DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVOUTTRANS2N12,1996-01-01T00:00:00-02:00,31.9001
1996-02-01,1996,1,2,FUNCEX12_MVOUTTRANS2N12,1996-02-01T00:00:00-02:00,45.3742
1996-03-01,1996,1,3,FUNCEX12_MVOUTTRANS2N12,1996-03-01T00:00:00-03:00,38.653
1996-04-01,1996,1,4,FUNCEX12_MVOUTTRANS2N12,1996-04-01T00:00:00-03:00,57.5531
1996-05-01,1996,1,5,FUNCEX12_MVOUTTRANS2N12,1996-05-01T00:00:00-03:00,29.6785
1996-06-01,1996,1,6,FUNCEX12_MVOUTTRANS2N12,1996-06-01T00:00:00-03:00,144.6377
1996-07-01,1996,1,7,FUNCEX12_MVOUTTRANS2N12,1996-07-01T00:00:00-03:00,47.4357
1996-08-01,1996,1,8,FUNCEX12_MVOUTTRANS2N12,1996-08-01T00:00:00-03:00,48.3001
1996-09-01,1996,1,9,FUNCEX12_MVOUTTRANS2N12,1996-09-01T00:00:00-03:00,44.8769
1996-10-01,1996,1,10,FUNCEX12_MVOUTTRANS2N12,1996-10-01T00:00:00-03:00,69.3658
1996-11-01,1996,1,11,FUNCEX12_MVOUTTRANS2N12,1996-11-01T00:00:00-03:00,154.7654
1996-12-01,1996,1,12,FUNCEX12_MVOUTTRANS2N12,1996-12-01T00:00:00-02:00,114.4471
1997-01-01,1997,1,1,FUNCEX12_MVOUTTRANS2N12,1997-01-01T00:00:00-02:00,23.3123
1997-02-01,1997,1,2,FUNCEX12_MVOUTTRANS2N12,1997-02-01T00:00:00-02:00,37.2903
1997-03-01,1997,1,3,FUNCEX12_MVOUTTRANS2N12,1997-03-01T00:00:00-03:00,82.2944
1997-04-01,1997,1,4,FUNCEX12_MVOUTTRANS2N12,1997-04-01T00:00:00-03:00,165.8156
1997-05-01,1997,1,5,FUNCEX12_MVOUTTRANS2N12,1997-05-01T00:00:00-03:00,85.3072
1997-06-01,1997,1,6,FUNCEX12_MVOUTTRANS2N12,1997-06-01T00:00:00-03:00,261.8311
1997-07-01,1997,1,7,FUNCEX12_MVOUTTRANS2N12,1997-07-01T00:00:00-03:00,284.0092
1997-08-01,1997,1,8,FUNCEX12_MVOUTTRANS2N12,1997-08-01T00:00:00-03:00,102.9952
1997-09-01,1997,1,9,FUNCEX12_MVOUTTRANS2N12,1997-09-01T00:00:00-03:00,129.8188
1997-10-01,1997,1,10,FUNCEX12_MVOUTTRANS2N12,1997-10-01T00:00:00-03:00,117.4783
1997-11-01,1997,1,11,FUNCEX12_MVOUTTRANS2N12,1997-11-01T00:00:00-03:00,91.8839
1997-12-01,1997,1,12,FUNCEX12_MVOUTTRANS2N12,1997-12-01T00:00:00-02:00,132.5868
1998-01-01,1998,1,1,FUNCEX12_MVOUTTRANS2N12,1998-01-01T00:00:00-02:00,111.9603
1998-02-01,1998,1,2,FUNCEX12_MVOUTTRANS2N12,1998-02-01T00:00:00-02:00,96.1689
1998-03-01,1998,1,3,FUNCEX12_MVOUTTRANS2N12,1998-03-01T00:00:00-03:00,122.1667
1998-04-01,1998,1,4,FUNCEX12_MVOUTTRANS2N12,1998-04-01T00:00:00-03:00,125.9236
1998-05-01,1998,1,5,FUNCEX12_MVOUTTRANS2N12,1998-05-01T00:00:00-03:00,127.2017
1998-06-01,1998,1,6,FUNCEX12_MVOUTTRANS2N12,1998-06-01T00:00:00-03:00,118.1017
1998-07-01,1998,1,7,FUNCEX12_MVOUTTRANS2N12,1998-07-01T00:00:00-03:00,236.0195
1998-08-01,1998,1,8,FUNCEX12_MVOUTTRANS2N12,1998-08-01T00:00:00-03:00,116.6867
1998-09-01,1998,1,9,FUNCEX12_MVOUTTRANS2N12,1998-09-01T00:00:00-03:00,106.2394
1998-10-01,1998,1,10,FUNCEX12_MVOUTTRANS2N12,1998-10-01T00:00:00-03:00,130.3337
1998-11-01,1998,1,11,FUNCEX12_MVOUTTRANS2N12,1998-11-01T00:00:00-03:00,273.3513
1998-12-01,1998,1,12,FUNCEX12_MVOUTTRANS2N12,1998-12-01T00:00:00-02:00,223.7838
1999-01-01,1999,1,1,FUNCEX12_MVOUTTRANS2N12,1999-01-01T00:00:00-02:00,112.9968
1999-02-01,1999,1,2,FUNCEX12_MVOUTTRANS2N12,1999-02-01T00:00:00-02:00,129.0303
1999-03-01,1999,1,3,FUNCEX12_MVOUTTRANS2N12,1999-03-01T00:00:00-03:00,117.4097
1999-04-01,1999,1,4,FUNCEX12_MVOUTTRANS2N12,1999-04-01T00:00:00-03:00,133.6185
1999-05-01,1999,1,5,FUNCEX12_MVOUTTRANS2N12,1999-05-01T00:00:00-03:00,173.829
1999-06-01,1999,1,6,FUNCEX12_MVOUTTRANS2N12,1999-06-01T00:00:00-03:00,198.805
1999-07-01,1999,1,7,FUNCEX12_MVOUTTRANS2N12,1999-07-01T00:00:00-03:00,154.78
1999-08-01,1999,1,8,FUNCEX12_MVOUTTRANS2N12,1999-08-01T00:00:00-03:00,143.7054
1999-09-01,1999,1,9,FUNCEX12_MVOUTTRANS2N12,1999-09-01T00:00:00-03:00,143.0423
1999-10-01,1999,1,10,FUNCEX12_MVOUTTRANS2N12,1999-10-01T00:00:00-03:00,154.0565
1999-11-01,1999,1,11,FUNCEX12_MVOUTTRANS2N12,1999-11-01T00:00:00-03:00,224.0071
1999-12-01,1999,1,12,FUNCEX12_MVOUTTRANS2N12,1999-12-01T00:00:00-02:00,258.2049
2000-01-01,2000,1,1,FUNCEX12_MVOUTTRANS2N12,2000-01-01T00:00:00-02:00,169.0761
2000-02-01,2000,1,2,FUNCEX12_MVOUTTRANS2N12,2000-02-01T00:00:00-02:00,217.3713
2000-03-01,2000,1,3,FUNCEX12_MVOUTTRANS2N12,2000-03-01T00:00:00-03:00,166.2596
2000-04-01,2000,1,4,FUNCEX12_MVOUTTRANS2N12,2000-04-01T00:00:00-03:00,194.6509
2000-05-01,2000,1,5,FUNCEX12_MVOUTTRANS2N12,2000-05-01T00:00:00-03:00,227.1127
2000-06-01,2000,1,6,FUNCEX12_MVOUTTRANS2N12,2000-06-01T00:00:00-03:00,188.3877
2000-07-01,2000,1,7,FUNCEX12_MVOUTTRANS2N12,2000-07-01T00:00:00-03:00,198.4748
2000-08-01,2000,1,8,FUNCEX12_MVOUTTRANS2N12,2000-08-01T00:00:00-03:00,152.7886
2000-09-01,2000,1,9,FUNCEX12_MVOUTTRANS2N12,2000-09-01T00:00:00-03:00,140.0971
2000-10-01,2000,1,10,FUNCEX12_MVOUTTRANS2N12,2000-10-01T00:00:00-03:00,148.3332
2000-11-01,2000,1,11,FUNCEX12_MVOUTTRANS2N12,2000-11-01T00:00:00-03:00,156.7629
2000-12-01,2000,1,12,FUNCEX12_MVOUTTRANS2N12,2000-12-01T00:00:00-02:00,182.6179
2001-01-01,2001,1,1,FUNCEX12_MVOUTTRANS2N12,2001-01-01T00:00:00-02:00,180.871
