DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVPES2N12,1996-01-01T00:00:00-02:00,2.5237
1996-02-01,1996,1,2,FUNCEX12_MVPES2N12,1996-02-01T00:00:00-02:00,2.4209
1996-03-01,1996,1,3,FUNCEX12_MVPES2N12,1996-03-01T00:00:00-03:00,3.2528
1996-04-01,1996,1,4,FUNCEX12_MVPES2N12,1996-04-01T00:00:00-03:00,2.9518
1996-05-01,1996,1,5,FUNCEX12_MVPES2N12,1996-05-01T00:00:00-03:00,2.7448
1996-06-01,1996,1,6,FUNCEX12_MVPES2N12,1996-06-01T00:00:00-03:00,3.181
1996-07-01,1996,1,7,FUNCEX12_MVPES2N12,1996-07-01T00:00:00-03:00,2.8027
1996-08-01,1996,1,8,FUNCEX12_MVPES2N12,1996-08-01T00:00:00-03:00,2.681
1996-09-01,1996,1,9,FUNCEX12_MVPES2N12,1996-09-01T00:00:00-03:00,2.5704
1996-10-01,1996,1,10,FUNCEX12_MVPES2N12,1996-10-01T00:00:00-03:00,3.2045
1996-11-01,1996,1,11,FUNCEX12_MVPES2N12,1996-11-01T00:00:00-03:00,2.2126
1996-12-01,1996,1,12,FUNCEX12_MVPES2N12,1996-12-01T00:00:00-02:00,3.7131
1997-01-01,1997,1,1,FUNCEX12_MVPES2N12,1997-01-01T00:00:00-02:00,2.5414
1997-02-01,1997,1,2,FUNCEX12_MVPES2N12,1997-02-01T00:00:00-02:00,2.3374
1997-03-01,1997,1,3,FUNCEX12_MVPES2N12,1997-03-01T00:00:00-03:00,5.0605
1997-04-01,1997,1,4,FUNCEX12_MVPES2N12,1997-04-01T00:00:00-03:00,3.2462
1997-05-01,1997,1,5,FUNCEX12_MVPES2N12,1997-05-01T00:00:00-03:00,3.4233
1997-06-01,1997,1,6,FUNCEX12_MVPES2N12,1997-06-01T00:00:00-03:00,2.8529
1997-07-01,1997,1,7,FUNCEX12_MVPES2N12,1997-07-01T00:00:00-03:00,2.8112
1997-08-01,1997,1,8,FUNCEX12_MVPES2N12,1997-08-01T00:00:00-03:00,3.0575
1997-09-01,1997,1,9,FUNCEX12_MVPES2N12,1997-09-01T00:00:00-03:00,2.6818
1997-10-01,1997,1,10,FUNCEX12_MVPES2N12,1997-10-01T00:00:00-03:00,2.8216
1997-11-01,1997,1,11,FUNCEX12_MVPES2N12,1997-11-01T00:00:00-03:00,2.5042
1997-12-01,1997,1,12,FUNCEX12_MVPES2N12,1997-12-01T00:00:00-02:00,2.943
1998-01-01,1998,1,1,FUNCEX12_MVPES2N12,1998-01-01T00:00:00-02:00,2.4695
1998-02-01,1998,1,2,FUNCEX12_MVPES2N12,1998-02-01T00:00:00-02:00,2.2999
1998-03-01,1998,1,3,FUNCEX12_MVPES2N12,1998-03-01T00:00:00-03:00,3.7459
1998-04-01,1998,1,4,FUNCEX12_MVPES2N12,1998-04-01T00:00:00-03:00,2.722
1998-05-01,1998,1,5,FUNCEX12_MVPES2N12,1998-05-01T00:00:00-03:00,2.6508
1998-06-01,1998,1,6,FUNCEX12_MVPES2N12,1998-06-01T00:00:00-03:00,2.4775
1998-07-01,1998,1,7,FUNCEX12_MVPES2N12,1998-07-01T00:00:00-03:00,2.9799
1998-08-01,1998,1,8,FUNCEX12_MVPES2N12,1998-08-01T00:00:00-03:00,2.9116
1998-09-01,1998,1,9,FUNCEX12_MVPES2N12,1998-09-01T00:00:00-03:00,2.6265
1998-10-01,1998,1,10,FUNCEX12_MVPES2N12,1998-10-01T00:00:00-03:00,3.0089
1998-11-01,1998,1,11,FUNCEX12_MVPES2N12,1998-11-01T00:00:00-03:00,3.118
1998-12-01,1998,1,12,FUNCEX12_MVPES2N12,1998-12-01T00:00:00-02:00,2.8041
1999-01-01,1999,1,1,FUNCEX12_MVPES2N12,1999-01-01T00:00:00-02:00,2.4237
1999-02-01,1999,1,2,FUNCEX12_MVPES2N12,1999-02-01T00:00:00-02:00,1.7276
1999-03-01,1999,1,3,FUNCEX12_MVPES2N12,1999-03-01T00:00:00-03:00,2.5942
1999-04-01,1999,1,4,FUNCEX12_MVPES2N12,1999-04-01T00:00:00-03:00,1.5854
1999-05-01,1999,1,5,FUNCEX12_MVPES2N12,1999-05-01T00:00:00-03:00,1.5982
1999-06-01,1999,1,6,FUNCEX12_MVPES2N12,1999-06-01T00:00:00-03:00,1.6535
1999-07-01,1999,1,7,FUNCEX12_MVPES2N12,1999-07-01T00:00:00-03:00,1.9004
1999-08-01,1999,1,8,FUNCEX12_MVPES2N12,1999-08-01T00:00:00-03:00,1.8442
1999-09-01,1999,1,9,FUNCEX12_MVPES2N12,1999-09-01T00:00:00-03:00,2.3677
1999-10-01,1999,1,10,FUNCEX12_MVPES2N12,1999-10-01T00:00:00-03:00,2.2157
1999-11-01,1999,1,11,FUNCEX12_MVPES2N12,1999-11-01T00:00:00-03:00,2.3788
1999-12-01,1999,1,12,FUNCEX12_MVPES2N12,1999-12-01T00:00:00-02:00,2.7271
2000-01-01,2000,1,1,FUNCEX12_MVPES2N12,2000-01-01T00:00:00-02:00,2.511
2000-02-01,2000,1,2,FUNCEX12_MVPES2N12,2000-02-01T00:00:00-02:00,2.6831
2000-03-01,2000,1,3,FUNCEX12_MVPES2N12,2000-03-01T00:00:00-03:00,2.7614
2000-04-01,2000,1,4,FUNCEX12_MVPES2N12,2000-04-01T00:00:00-03:00,2.4637
2000-05-01,2000,1,5,FUNCEX12_MVPES2N12,2000-05-01T00:00:00-03:00,2.2412
2000-06-01,2000,1,6,FUNCEX12_MVPES2N12,2000-06-01T00:00:00-03:00,1.8701
2000-07-01,2000,1,7,FUNCEX12_MVPES2N12,2000-07-01T00:00:00-03:00,2.0693
2000-08-01,2000,1,8,FUNCEX12_MVPES2N12,2000-08-01T00:00:00-03:00,2.2699
2000-09-01,2000,1,9,FUNCEX12_MVPES2N12,2000-09-01T00:00:00-03:00,2.13
2000-10-01,2000,1,10,FUNCEX12_MVPES2N12,2000-10-01T00:00:00-03:00,2.4457
2000-11-01,2000,1,11,FUNCEX12_MVPES2N12,2000-11-01T00:00:00-03:00,2.4962
2000-12-01,2000,1,12,FUNCEX12_MVPES2N12,2000-12-01T00:00:00-02:00,2.5448
2001-01-01,2001,1,1,FUNCEX12_MVPES2N12,2001-01-01T00:00:00-02:00,2.1582
2001-02-01,2001,1,2,FUNCEX12_MVPES2N12,2001-02-01T00:00:00-02:00,2.2103
2001-03-01,2001,1,3,FUNCEX12_MVPES2N12,2001-03-01T00:00:00-03:00,2.9541
2001-04-01,2001,1,4,FUNCEX12_MVPES2N12,2001-04-01T00:00:00-03:00,2.4372
2001-05-01,2001,1,5,FUNCEX12_MVPES2N12,2001-05-01T00:00:00-03:00,2.2896
2001-06-01,2001,1,6,FUNCEX12_MVPES2N12,2001-06-01T00:00:00-03:00,2.1641
2001-07-01,2001,1,7,FUNCEX12_MVPES2N12,2001-07-01T00:00:00-03:00,2.0149
2001-08-01,2001,1,8,FUNCEX12_MVPES2N12,2001-08-01T00:00:00-03:00,2.4008
2001-09-01,2001,1,9,FUNCEX12_MVPES2N12,2001-09-01T00:00:00-03:00,2.064
2001-10-01,2001,1,10,FUNCEX12_MVPES2N12,2001-10-01T00:00:00-03:00,2.1792
2001-11-01,2001,1,11,FUNCEX12_MVPES2N12,2001-11-01T00:00:00-03:00,2.0419
2001-12-01,2001,1,12,FUNCEX12_MVPES2N12,2001-12-01T00:00:00-02:00,2.0252
2002-01-01,2002,1,1,FUNCEX12_MVPES2N12,2002-01-01T00:00:00-02:00,2.5799
2002-02-01,2002,1,2,FUNCEX12_MVPES2N12,2002-02-01T00:00:00-02:00,2.5098
2002-03-01,2002,1,3,FUNCEX12_MVPES2N12,2002-03-01T00:00:00-03:00,2.9394
2002-04-01,2002,1,4,FUNCEX12_MVPES2N12,2002-04-01T00:00:00-03:00,2.4702
2002-05-01,2002,1,5,FUNCEX12_MVPES2N12,2002-05-01T00:00:00-03:00,1.523
2002-06-01,2002,1,6,FUNCEX12_MVPES2N12,2002-06-01T00:00:00-03:00,1.7286
2002-07-01,2002,1,7,FUNCEX12_MVPES2N12,2002-07-01T00:00:00-03:00,1.8259
2002-08-01,2002,1,8,FUNCEX12_MVPES2N12,2002-08-01T00:00:00-03:00,1.3261
2002-09-01,2002,1,9,FUNCEX12_MVPES2N12,2002-09-01T00:00:00-03:00,1.8383
2002-10-01,2002,1,10,FUNCEX12_MVPES2N12,2002-10-01T00:00:00-03:00,1.485
2002-11-01,2002,1,11,FUNCEX12_MVPES2N12,2002-11-01T00:00:00-03:00,1.2011
2002-12-01,2002,1,12,FUNCEX12_MVPES2N12,2002-12-01T00:00:00-02:00,1.853
2003-01-01,2003,1,1,FUNCEX12_MVPES2N12,2003-01-01T00:00:00-02:00,1.9195
2003-02-01,2003,1,2,FUNCEX12_MVPES2N12,2003-02-01T00:00:00-02:00,1.6718
2003-03-01,2003,1,3,FUNCEX12_MVPES2N12,2003-03-01T00:00:00-03:00,1.8941
2003-04-01,2003,1,4,FUNCEX12_MVPES2N12,2003-04-01T00:00:00-03:00,2.0628
2003-05-01,2003,1,5,FUNCEX12_MVPES2N12,2003-05-01T00:00:00-03:00,1.5513
