DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVPLAS2N12,1996-01-01T00:00:00-02:00,86.3425
1996-02-01,1996,1,2,FUNCEX12_MVPLAS2N12,1996-02-01T00:00:00-02:00,70.074
1996-03-01,1996,1,3,FUNCEX12_MVPLAS2N12,1996-03-01T00:00:00-03:00,92.8813
1996-04-01,1996,1,4,FUNCEX12_MVPLAS2N12,1996-04-01T00:00:00-03:00,90.0663
1996-05-01,1996,1,5,FUNCEX12_MVPLAS2N12,1996-05-01T00:00:00-03:00,100.4424
1996-06-01,1996,1,6,FUNCEX12_MVPLAS2N12,1996-06-01T00:00:00-03:00,92.2849
1996-07-01,1996,1,7,FUNCEX12_MVPLAS2N12,1996-07-01T00:00:00-03:00,100.2703
1996-08-01,1996,1,8,FUNCEX12_MVPLAS2N12,1996-08-01T00:00:00-03:00,109.2929
1996-09-01,1996,1,9,FUNCEX12_MVPLAS2N12,1996-09-01T00:00:00-03:00,102.0833
1996-10-01,1996,1,10,FUNCEX12_MVPLAS2N12,1996-10-01T00:00:00-03:00,120.6442
1996-11-01,1996,1,11,FUNCEX12_MVPLAS2N12,1996-11-01T00:00:00-03:00,96.4549
1996-12-01,1996,1,12,FUNCEX12_MVPLAS2N12,1996-12-01T00:00:00-02:00,108.9054
1997-01-01,1997,1,1,FUNCEX12_MVPLAS2N12,1997-01-01T00:00:00-02:00,71.768
1997-02-01,1997,1,2,FUNCEX12_MVPLAS2N12,1997-02-01T00:00:00-02:00,99.4392
1997-03-01,1997,1,3,FUNCEX12_MVPLAS2N12,1997-03-01T00:00:00-03:00,112.5033
1997-04-01,1997,1,4,FUNCEX12_MVPLAS2N12,1997-04-01T00:00:00-03:00,107.789
1997-05-01,1997,1,5,FUNCEX12_MVPLAS2N12,1997-05-01T00:00:00-03:00,110.5625
1997-06-01,1997,1,6,FUNCEX12_MVPLAS2N12,1997-06-01T00:00:00-03:00,114.6358
1997-07-01,1997,1,7,FUNCEX12_MVPLAS2N12,1997-07-01T00:00:00-03:00,122.2329
1997-08-01,1997,1,8,FUNCEX12_MVPLAS2N12,1997-08-01T00:00:00-03:00,118.5922
1997-09-01,1997,1,9,FUNCEX12_MVPLAS2N12,1997-09-01T00:00:00-03:00,118.0821
1997-10-01,1997,1,10,FUNCEX12_MVPLAS2N12,1997-10-01T00:00:00-03:00,125.5479
1997-11-01,1997,1,11,FUNCEX12_MVPLAS2N12,1997-11-01T00:00:00-03:00,118.1601
1997-12-01,1997,1,12,FUNCEX12_MVPLAS2N12,1997-12-01T00:00:00-02:00,108.3448
1998-01-01,1998,1,1,FUNCEX12_MVPLAS2N12,1998-01-01T00:00:00-02:00,117.6919
1998-02-01,1998,1,2,FUNCEX12_MVPLAS2N12,1998-02-01T00:00:00-02:00,93.2791
1998-03-01,1998,1,3,FUNCEX12_MVPLAS2N12,1998-03-01T00:00:00-03:00,121.8552
1998-04-01,1998,1,4,FUNCEX12_MVPLAS2N12,1998-04-01T00:00:00-03:00,118.0619
1998-05-01,1998,1,5,FUNCEX12_MVPLAS2N12,1998-05-01T00:00:00-03:00,121.1345
1998-06-01,1998,1,6,FUNCEX12_MVPLAS2N12,1998-06-01T00:00:00-03:00,115.312
