DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1977-01-01,1977,1,1,FUNCEX12_XPB12,1977-01-01T00:00:00-02:00,93.17
1977-02-01,1977,1,2,FUNCEX12_XPB12,1977-02-01T00:00:00-02:00,93.26
1977-03-01,1977,1,3,FUNCEX12_XPB12,1977-03-01T00:00:00-03:00,104.31
1977-04-01,1977,1,4,FUNCEX12_XPB12,1977-04-01T00:00:00-03:00,106.65
1977-05-01,1977,1,5,FUNCEX12_XPB12,1977-05-01T00:00:00-03:00,112.45
1977-06-01,1977,1,6,FUNCEX12_XPB12,1977-06-01T00:00:00-03:00,121.16
1977-07-01,1977,1,7,FUNCEX12_XPB12,1977-07-01T00:00:00-03:00,109.55
1977-08-01,1977,1,8,FUNCEX12_XPB12,1977-08-01T00:00:00-03:00,105.24
1977-09-01,1977,1,9,FUNCEX12_XPB12,1977-09-01T00:00:00-03:00,95.79
1977-10-01,1977,1,10,FUNCEX12_XPB12,1977-10-01T00:00:00-03:00,90.83
1977-11-01,1977,1,11,FUNCEX12_XPB12,1977-11-01T00:00:00-03:00,88.77
1977-12-01,1977,1,12,FUNCEX12_XPB12,1977-12-01T00:00:00-02:00,93.45
1978-01-01,1978,1,1,FUNCEX12_XPB12,1978-01-01T00:00:00-02:00,97.82
1978-02-01,1978,1,2,FUNCEX12_XPB12,1978-02-01T00:00:00-02:00,89.96
1978-03-01,1978,1,3,FUNCEX12_XPB12,1978-03-01T00:00:00-03:00,89.02
1978-04-01,1978,1,4,FUNCEX12_XPB12,1978-04-01T00:00:00-03:00,88.37
1978-05-01,1978,1,5,FUNCEX12_XPB12,1978-05-01T00:00:00-03:00,85.46
1978-06-01,1978,1,6,FUNCEX12_XPB12,1978-06-01T00:00:00-03:00,84.9
1978-07-01,1978,1,7,FUNCEX12_XPB12,1978-07-01T00:00:00-03:00,87.15
1978-08-01,1978,1,8,FUNCEX12_XPB12,1978-08-01T00:00:00-03:00,84.72
1978-09-01,1978,1,9,FUNCEX12_XPB12,1978-09-01T00:00:00-03:00,84.9
1978-10-01,1978,1,10,FUNCEX12_XPB12,1978-10-01T00:00:00-03:00,86.03
1978-11-01,1978,1,11,FUNCEX12_XPB12,1978-11-01T00:00:00-03:00,86.49
1978-12-01,1978,1,12,FUNCEX12_XPB12,1978-12-01T00:00:00-02:00,80.97
1979-01-01,1979,1,1,FUNCEX12_XPB12,1979-01-01T00:00:00-02:00,86.24
1979-02-01,1979,1,2,FUNCEX12_XPB12,1979-02-01T00:00:00-02:00,84.28
1979-03-01,1979,1,3,FUNCEX12_XPB12,1979-03-01T00:00:00-03:00,85.21
1979-04-01,1979,1,4,FUNCEX12_XPB12,1979-04-01T00:00:00-03:00,87.93
1979-05-01,1979,1,5,FUNCEX12_XPB12,1979-05-01T00:00:00-03:00,89.52
1979-06-01,1979,1,6,FUNCEX12_XPB12,1979-06-01T00:00:00-03:00,90.74
1979-07-01,1979,1,7,FUNCEX12_XPB12,1979-07-01T00:00:00-03:00,98.14
1979-08-01,1979,1,8,FUNCEX12_XPB12,1979-08-01T00:00:00-03:00,97.11
1979-09-01,1979,1,9,FUNCEX12_XPB12,1979-09-01T00:00:00-03:00,98.23
1979-10-01,1979,1,10,FUNCEX12_XPB12,1979-10-01T00:00:00-03:00,103.66
1979-11-01,1979,1,11,FUNCEX12_XPB12,1979-11-01T00:00:00-03:00,101.98
1979-12-01,1979,1,12,FUNCEX12_XPB12,1979-12-01T00:00:00-02:00,111.06
1980-01-01,1980,1,1,FUNCEX12_XPB12,1980-01-01T00:00:00-02:00,101.24
1980-02-01,1980,1,2,FUNCEX12_XPB12,1980-02-01T00:00:00-02:00,102.18
1980-03-01,1980,1,3,FUNCEX12_XPB12,1980-03-01T00:00:00-03:00,100.68
1980-04-01,1980,1,4,FUNCEX12_XPB12,1980-04-01T00:00:00-03:00,99.83
1980-05-01,1980,1,5,FUNCEX12_XPB12,1980-05-01T00:00:00-03:00,98.34
1980-06-01,1980,1,6,FUNCEX12_XPB12,1980-06-01T00:00:00-03:00,98.43
1980-07-01,1980,1,7,FUNCEX12_XPB12,1980-07-01T00:00:00-03:00,92.34
1980-08-01,1980,1,8,FUNCEX12_XPB12,1980-08-01T00:00:00-03:00,96.46
1980-09-01,1980,1,9,FUNCEX12_XPB12,1980-09-01T00:00:00-03:00,99.74
1980-10-01,1980,1,10,FUNCEX12_XPB12,1980-10-01T00:00:00-03:00,105.08
1980-11-01,1980,1,11,FUNCEX12_XPB12,1980-11-01T00:00:00-03:00,97.68
1980-12-01,1980,1,12,FUNCEX12_XPB12,1980-12-01T00:00:00-02:00,97.87
1981-01-01,1981,1,1,FUNCEX12_XPB12,1981-01-01T00:00:00-02:00,98.87
1981-02-01,1981,1,2,FUNCEX12_XPB12,1981-02-01T00:00:00-02:00,96.34
1981-03-01,1981,1,3,FUNCEX12_XPB12,1981-03-01T00:00:00-03:00,97.75
1981-04-01,1981,1,4,FUNCEX12_XPB12,1981-04-01T00:00:00-03:00,95.31
1981-05-01,1981,1,5,FUNCEX12_XPB12,1981-05-01T00:00:00-03:00,93.72
1981-06-01,1981,1,6,FUNCEX12_XPB12,1981-06-01T00:00:00-03:00,91.75
1981-07-01,1981,1,7,FUNCEX12_XPB12,1981-07-01T00:00:00-03:00,86.79
1981-08-01,1981,1,8,FUNCEX12_XPB12,1981-08-01T00:00:00-03:00,85.11
1981-09-01,1981,1,9,FUNCEX12_XPB12,1981-09-01T00:00:00-03:00,81.45
1981-10-01,1981,1,10,FUNCEX12_XPB12,1981-10-01T00:00:00-03:00,79.11
1981-11-01,1981,1,11,FUNCEX12_XPB12,1981-11-01T00:00:00-03:00,79.11
1981-12-01,1981,1,12,FUNCEX12_XPB12,1981-12-01T00:00:00-02:00,79.49
1982-01-01,1982,1,1,FUNCEX12_XPB12,1982-01-01T00:00:00-02:00,85.67
1982-02-01,1982,1,2,FUNCEX12_XPB12,1982-02-01T00:00:00-02:00,86.6
1982-03-01,1982,1,3,FUNCEX12_XPB12,1982-03-01T00:00:00-03:00,88.1
1982-04-01,1982,1,4,FUNCEX12_XPB12,1982-04-01T00:00:00-03:00,86.7
1982-05-01,1982,1,5,FUNCEX12_XPB12,1982-05-01T00:00:00-03:00,87.63
1982-06-01,1982,1,6,FUNCEX12_XPB12,1982-06-01T00:00:00-03:00,86.88
1982-07-01,1982,1,7,FUNCEX12_XPB12,1982-07-01T00:00:00-03:00,84.92
1982-08-01,1982,1,8,FUNCEX12_XPB12,1982-08-01T00:00:00-03:00,80.8
1982-09-01,1982,1,9,FUNCEX12_XPB12,1982-09-01T00:00:00-03:00,80.14
1982-10-01,1982,1,10,FUNCEX12_XPB12,1982-10-01T00:00:00-03:00,80.14
1982-11-01,1982,1,11,FUNCEX12_XPB12,1982-11-01T00:00:00-03:00,83.79
1982-12-01,1982,1,12,FUNCEX12_XPB12,1982-12-01T00:00:00-02:00,85.76
1983-01-01,1983,1,1,FUNCEX12_XPB12,1983-01-01T00:00:00-02:00,85.58
1983-02-01,1983,1,2,FUNCEX12_XPB12,1983-02-01T00:00:00-02:00,84.64
