DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XPBKGCE12,1997-01-01T00:00:00-02:00,83.62
1997-02-01,1997,1,2,FUNCEX12_XPBKGCE12,1997-02-01T00:00:00-02:00,88.82
1997-03-01,1997,1,3,FUNCEX12_XPBKGCE12,1997-03-01T00:00:00-03:00,83.84
1997-04-01,1997,1,4,FUNCEX12_XPBKGCE12,1997-04-01T00:00:00-03:00,90.79
1997-05-01,1997,1,5,FUNCEX12_XPBKGCE12,1997-05-01T00:00:00-03:00,90.51
1997-06-01,1997,1,6,FUNCEX12_XPBKGCE12,1997-06-01T00:00:00-03:00,94.37
1997-07-01,1997,1,7,FUNCEX12_XPBKGCE12,1997-07-01T00:00:00-03:00,89.66
1997-08-01,1997,1,8,FUNCEX12_XPBKGCE12,1997-08-01T00:00:00-03:00,88.38
1997-09-01,1997,1,9,FUNCEX12_XPBKGCE12,1997-09-01T00:00:00-03:00,89.62
1997-10-01,1997,1,10,FUNCEX12_XPBKGCE12,1997-10-01T00:00:00-03:00,87.06
1997-11-01,1997,1,11,FUNCEX12_XPBKGCE12,1997-11-01T00:00:00-03:00,90.79
1997-12-01,1997,1,12,FUNCEX12_XPBKGCE12,1997-12-01T00:00:00-02:00,87.01
1998-01-01,1998,1,1,FUNCEX12_XPBKGCE12,1998-01-01T00:00:00-02:00,91.75
1998-02-01,1998,1,2,FUNCEX12_XPBKGCE12,1998-02-01T00:00:00-02:00,91.64
1998-03-01,1998,1,3,FUNCEX12_XPBKGCE12,1998-03-01T00:00:00-03:00,93.05
1998-04-01,1998,1,4,FUNCEX12_XPBKGCE12,1998-04-01T00:00:00-03:00,94.15
1998-05-01,1998,1,5,FUNCEX12_XPBKGCE12,1998-05-01T00:00:00-03:00,94.02
1998-06-01,1998,1,6,FUNCEX12_XPBKGCE12,1998-06-01T00:00:00-03:00,94.84
1998-07-01,1998,1,7,FUNCEX12_XPBKGCE12,1998-07-01T00:00:00-03:00,93.23
1998-08-01,1998,1,8,FUNCEX12_XPBKGCE12,1998-08-01T00:00:00-03:00,91.29
1998-09-01,1998,1,9,FUNCEX12_XPBKGCE12,1998-09-01T00:00:00-03:00,95.56
1998-10-01,1998,1,10,FUNCEX12_XPBKGCE12,1998-10-01T00:00:00-03:00,92.0
1998-11-01,1998,1,11,FUNCEX12_XPBKGCE12,1998-11-01T00:00:00-03:00,95.2
1998-12-01,1998,1,12,FUNCEX12_XPBKGCE12,1998-12-01T00:00:00-02:00,92.53
1999-01-01,1999,1,1,FUNCEX12_XPBKGCE12,1999-01-01T00:00:00-02:00,91.49
1999-02-01,1999,1,2,FUNCEX12_XPBKGCE12,1999-02-01T00:00:00-02:00,90.65
