DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XPFARM2N12,1997-01-01T00:00:00-02:00,90.96
1997-02-01,1997,1,2,FUNCEX12_XPFARM2N12,1997-02-01T00:00:00-02:00,97.59
1997-03-01,1997,1,3,FUNCEX12_XPFARM2N12,1997-03-01T00:00:00-03:00,93.44
1997-04-01,1997,1,4,FUNCEX12_XPFARM2N12,1997-04-01T00:00:00-03:00,91.26
1997-05-01,1997,1,5,FUNCEX12_XPFARM2N12,1997-05-01T00:00:00-03:00,91.96
1997-06-01,1997,1,6,FUNCEX12_XPFARM2N12,1997-06-01T00:00:00-03:00,94.22
1997-07-01,1997,1,7,FUNCEX12_XPFARM2N12,1997-07-01T00:00:00-03:00,118.98
1997-08-01,1997,1,8,FUNCEX12_XPFARM2N12,1997-08-01T00:00:00-03:00,94.33
1997-09-01,1997,1,9,FUNCEX12_XPFARM2N12,1997-09-01T00:00:00-03:00,92.14
1997-10-01,1997,1,10,FUNCEX12_XPFARM2N12,1997-10-01T00:00:00-03:00,101.36
1997-11-01,1997,1,11,FUNCEX12_XPFARM2N12,1997-11-01T00:00:00-03:00,95.61
1997-12-01,1997,1,12,FUNCEX12_XPFARM2N12,1997-12-01T00:00:00-02:00,96.19
1998-01-01,1998,1,1,FUNCEX12_XPFARM2N12,1998-01-01T00:00:00-02:00,92.18
1998-02-01,1998,1,2,FUNCEX12_XPFARM2N12,1998-02-01T00:00:00-02:00,95.88
1998-03-01,1998,1,3,FUNCEX12_XPFARM2N12,1998-03-01T00:00:00-03:00,98.26
1998-04-01,1998,1,4,FUNCEX12_XPFARM2N12,1998-04-01T00:00:00-03:00,90.22
1998-05-01,1998,1,5,FUNCEX12_XPFARM2N12,1998-05-01T00:00:00-03:00,99.4
1998-06-01,1998,1,6,FUNCEX12_XPFARM2N12,1998-06-01T00:00:00-03:00,86.92
1998-07-01,1998,1,7,FUNCEX12_XPFARM2N12,1998-07-01T00:00:00-03:00,94.69
1998-08-01,1998,1,8,FUNCEX12_XPFARM2N12,1998-08-01T00:00:00-03:00,104.22
1998-09-01,1998,1,9,FUNCEX12_XPFARM2N12,1998-09-01T00:00:00-03:00,86.53
1998-10-01,1998,1,10,FUNCEX12_XPFARM2N12,1998-10-01T00:00:00-03:00,98.52
1998-11-01,1998,1,11,FUNCEX12_XPFARM2N12,1998-11-01T00:00:00-03:00,100.57
1998-12-01,1998,1,12,FUNCEX12_XPFARM2N12,1998-12-01T00:00:00-02:00,90.75
