DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XPIXPG2N12,1997-01-01T00:00:00-02:00,83.86
1997-02-01,1997,1,2,FUNCEX12_XPIXPG2N12,1997-02-01T00:00:00-02:00,74.69
1997-03-01,1997,1,3,FUNCEX12_XPIXPG2N12,1997-03-01T00:00:00-03:00,82.8
1997-04-01,1997,1,4,FUNCEX12_XPIXPG2N12,1997-04-01T00:00:00-03:00,80.98
1997-05-01,1997,1,5,FUNCEX12_XPIXPG2N12,1997-05-01T00:00:00-03:00,75.05
1997-06-01,1997,1,6,FUNCEX12_XPIXPG2N12,1997-06-01T00:00:00-03:00,77.63
1997-07-01,1997,1,7,FUNCEX12_XPIXPG2N12,1997-07-01T00:00:00-03:00,72.61
1997-08-01,1997,1,8,FUNCEX12_XPIXPG2N12,1997-08-01T00:00:00-03:00,64.18
1997-09-01,1997,1,9,FUNCEX12_XPIXPG2N12,1997-09-01T00:00:00-03:00,70.51
1997-10-01,1997,1,10,FUNCEX12_XPIXPG2N12,1997-10-01T00:00:00-03:00,81.36
1997-11-01,1997,1,11,FUNCEX12_XPIXPG2N12,1997-11-01T00:00:00-03:00,75.89
1997-12-01,1997,1,12,FUNCEX12_XPIXPG2N12,1997-12-01T00:00:00-02:00,63.88
1998-01-01,1998,1,1,FUNCEX12_XPIXPG2N12,1998-01-01T00:00:00-02:00,71.02
1998-02-01,1998,1,2,FUNCEX12_XPIXPG2N12,1998-02-01T00:00:00-02:00,69.65
1998-03-01,1998,1,3,FUNCEX12_XPIXPG2N12,1998-03-01T00:00:00-03:00,71.27
1998-04-01,1998,1,4,FUNCEX12_XPIXPG2N12,1998-04-01T00:00:00-03:00,68.2
1998-05-01,1998,1,5,FUNCEX12_XPIXPG2N12,1998-05-01T00:00:00-03:00,74.56
1998-06-01,1998,1,6,FUNCEX12_XPIXPG2N12,1998-06-01T00:00:00-03:00,91.98
1998-07-01,1998,1,7,FUNCEX12_XPIXPG2N12,1998-07-01T00:00:00-03:00,64.65
1998-08-01,1998,1,8,FUNCEX12_XPIXPG2N12,1998-08-01T00:00:00-03:00,69.33
1998-09-01,1998,1,9,FUNCEX12_XPIXPG2N12,1998-09-01T00:00:00-03:00,69.01
1998-10-01,1998,1,10,FUNCEX12_XPIXPG2N12,1998-10-01T00:00:00-03:00,73.1
1998-11-01,1998,1,11,FUNCEX12_XPIXPG2N12,1998-11-01T00:00:00-03:00,66.46
1998-12-01,1998,1,12,FUNCEX12_XPIXPG2N12,1998-12-01T00:00:00-02:00,59.18
1999-01-01,1999,1,1,FUNCEX12_XPIXPG2N12,1999-01-01T00:00:00-02:00,70.22
1999-02-01,1999,1,2,FUNCEX12_XPIXPG2N12,1999-02-01T00:00:00-02:00,72.69
1999-03-01,1999,1,3,FUNCEX12_XPIXPG2N12,1999-03-01T00:00:00-03:00,60.63
1999-04-01,1999,1,4,FUNCEX12_XPIXPG2N12,1999-04-01T00:00:00-03:00,62.87
1999-05-01,1999,1,5,FUNCEX12_XPIXPG2N12,1999-05-01T00:00:00-03:00,63.19
1999-06-01,1999,1,6,FUNCEX12_XPIXPG2N12,1999-06-01T00:00:00-03:00,52.37
