DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XPMETBAS2N12,1997-01-01T00:00:00-02:00,60.82
1997-02-01,1997,1,2,FUNCEX12_XPMETBAS2N12,1997-02-01T00:00:00-02:00,61.73
1997-03-01,1997,1,3,FUNCEX12_XPMETBAS2N12,1997-03-01T00:00:00-03:00,61.22
1997-04-01,1997,1,4,FUNCEX12_XPMETBAS2N12,1997-04-01T00:00:00-03:00,63.47
1997-05-01,1997,1,5,FUNCEX12_XPMETBAS2N12,1997-05-01T00:00:00-03:00,62.12
1997-06-01,1997,1,6,FUNCEX12_XPMETBAS2N12,1997-06-01T00:00:00-03:00,63.38
1997-07-01,1997,1,7,FUNCEX12_XPMETBAS2N12,1997-07-01T00:00:00-03:00,61.43
1997-08-01,1997,1,8,FUNCEX12_XPMETBAS2N12,1997-08-01T00:00:00-03:00,62.72
1997-09-01,1997,1,9,FUNCEX12_XPMETBAS2N12,1997-09-01T00:00:00-03:00,63.99
1997-10-01,1997,1,10,FUNCEX12_XPMETBAS2N12,1997-10-01T00:00:00-03:00,62.81
1997-11-01,1997,1,11,FUNCEX12_XPMETBAS2N12,1997-11-01T00:00:00-03:00,64.2
1997-12-01,1997,1,12,FUNCEX12_XPMETBAS2N12,1997-12-01T00:00:00-02:00,62.8
1998-01-01,1998,1,1,FUNCEX12_XPMETBAS2N12,1998-01-01T00:00:00-02:00,62.56
1998-02-01,1998,1,2,FUNCEX12_XPMETBAS2N12,1998-02-01T00:00:00-02:00,62.48
1998-03-01,1998,1,3,FUNCEX12_XPMETBAS2N12,1998-03-01T00:00:00-03:00,62.12
1998-04-01,1998,1,4,FUNCEX12_XPMETBAS2N12,1998-04-01T00:00:00-03:00,60.99
1998-05-01,1998,1,5,FUNCEX12_XPMETBAS2N12,1998-05-01T00:00:00-03:00,61.01
1998-06-01,1998,1,6,FUNCEX12_XPMETBAS2N12,1998-06-01T00:00:00-03:00,60.01
1998-07-01,1998,1,7,FUNCEX12_XPMETBAS2N12,1998-07-01T00:00:00-03:00,58.75
1998-08-01,1998,1,8,FUNCEX12_XPMETBAS2N12,1998-08-01T00:00:00-03:00,58.2
1998-09-01,1998,1,9,FUNCEX12_XPMETBAS2N12,1998-09-01T00:00:00-03:00,55.14
1998-10-01,1998,1,10,FUNCEX12_XPMETBAS2N12,1998-10-01T00:00:00-03:00,53.75
1998-11-01,1998,1,11,FUNCEX12_XPMETBAS2N12,1998-11-01T00:00:00-03:00,51.29
1998-12-01,1998,1,12,FUNCEX12_XPMETBAS2N12,1998-12-01T00:00:00-02:00,50.61
1999-01-01,1999,1,1,FUNCEX12_XPMETBAS2N12,1999-01-01T00:00:00-02:00,48.39
1999-02-01,1999,1,2,FUNCEX12_XPMETBAS2N12,1999-02-01T00:00:00-02:00,47.12
1999-03-01,1999,1,3,FUNCEX12_XPMETBAS2N12,1999-03-01T00:00:00-03:00,47.54
1999-04-01,1999,1,4,FUNCEX12_XPMETBAS2N12,1999-04-01T00:00:00-03:00,47.21
1999-05-01,1999,1,5,FUNCEX12_XPMETBAS2N12,1999-05-01T00:00:00-03:00,46.32
1999-06-01,1999,1,6,FUNCEX12_XPMETBAS2N12,1999-06-01T00:00:00-03:00,47.23
1999-07-01,1999,1,7,FUNCEX12_XPMETBAS2N12,1999-07-01T00:00:00-03:00,47.65
1999-08-01,1999,1,8,FUNCEX12_XPMETBAS2N12,1999-08-01T00:00:00-03:00,49.58
1999-09-01,1999,1,9,FUNCEX12_XPMETBAS2N12,1999-09-01T00:00:00-03:00,49.48
1999-10-01,1999,1,10,FUNCEX12_XPMETBAS2N12,1999-10-01T00:00:00-03:00,52.2
1999-11-01,1999,1,11,FUNCEX12_XPMETBAS2N12,1999-11-01T00:00:00-03:00,51.35
1999-12-01,1999,1,12,FUNCEX12_XPMETBAS2N12,1999-12-01T00:00:00-02:00,51.34
2000-01-01,2000,1,1,FUNCEX12_XPMETBAS2N12,2000-01-01T00:00:00-02:00,52.0
2000-02-01,2000,1,2,FUNCEX12_XPMETBAS2N12,2000-02-01T00:00:00-02:00,55.3
2000-03-01,2000,1,3,FUNCEX12_XPMETBAS2N12,2000-03-01T00:00:00-03:00,55.72
2000-04-01,2000,1,4,FUNCEX12_XPMETBAS2N12,2000-04-01T00:00:00-03:00,53.35
2000-05-01,2000,1,5,FUNCEX12_XPMETBAS2N12,2000-05-01T00:00:00-03:00,55.63
2000-06-01,2000,1,6,FUNCEX12_XPMETBAS2N12,2000-06-01T00:00:00-03:00,55.63
2000-07-01,2000,1,7,FUNCEX12_XPMETBAS2N12,2000-07-01T00:00:00-03:00,55.93
2000-08-01,2000,1,8,FUNCEX12_XPMETBAS2N12,2000-08-01T00:00:00-03:00,55.84
2000-09-01,2000,1,9,FUNCEX12_XPMETBAS2N12,2000-09-01T00:00:00-03:00,56.11
2000-10-01,2000,1,10,FUNCEX12_XPMETBAS2N12,2000-10-01T00:00:00-03:00,55.97
2000-11-01,2000,1,11,FUNCEX12_XPMETBAS2N12,2000-11-01T00:00:00-03:00,52.61
2000-12-01,2000,1,12,FUNCEX12_XPMETBAS2N12,2000-12-01T00:00:00-02:00,50.85
2001-01-01,2001,1,1,FUNCEX12_XPMETBAS2N12,2001-01-01T00:00:00-02:00,50.76
2001-02-01,2001,1,2,FUNCEX12_XPMETBAS2N12,2001-02-01T00:00:00-02:00,50.59
2001-03-01,2001,1,3,FUNCEX12_XPMETBAS2N12,2001-03-01T00:00:00-03:00,51.45
2001-04-01,2001,1,4,FUNCEX12_XPMETBAS2N12,2001-04-01T00:00:00-03:00,50.03
2001-05-01,2001,1,5,FUNCEX12_XPMETBAS2N12,2001-05-01T00:00:00-03:00,50.34
2001-06-01,2001,1,6,FUNCEX12_XPMETBAS2N12,2001-06-01T00:00:00-03:00,50.66
2001-07-01,2001,1,7,FUNCEX12_XPMETBAS2N12,2001-07-01T00:00:00-03:00,49.23
2001-08-01,2001,1,8,FUNCEX12_XPMETBAS2N12,2001-08-01T00:00:00-03:00,48.16
2001-09-01,2001,1,9,FUNCEX12_XPMETBAS2N12,2001-09-01T00:00:00-03:00,49.73
2001-10-01,2001,1,10,FUNCEX12_XPMETBAS2N12,2001-10-01T00:00:00-03:00,47.53
2001-11-01,2001,1,11,FUNCEX12_XPMETBAS2N12,2001-11-01T00:00:00-03:00,46.84
2001-12-01,2001,1,12,FUNCEX12_XPMETBAS2N12,2001-12-01T00:00:00-02:00,45.97
2002-01-01,2002,1,1,FUNCEX12_XPMETBAS2N12,2002-01-01T00:00:00-02:00,46.48
2002-02-01,2002,1,2,FUNCEX12_XPMETBAS2N12,2002-02-01T00:00:00-02:00,46.15
2002-03-01,2002,1,3,FUNCEX12_XPMETBAS2N12,2002-03-01T00:00:00-03:00,46.17
2002-04-01,2002,1,4,FUNCEX12_XPMETBAS2N12,2002-04-01T00:00:00-03:00,46.27
2002-05-01,2002,1,5,FUNCEX12_XPMETBAS2N12,2002-05-01T00:00:00-03:00,46.67
2002-06-01,2002,1,6,FUNCEX12_XPMETBAS2N12,2002-06-01T00:00:00-03:00,49.81
2002-07-01,2002,1,7,FUNCEX12_XPMETBAS2N12,2002-07-01T00:00:00-03:00,48.37
2002-08-01,2002,1,8,FUNCEX12_XPMETBAS2N12,2002-08-01T00:00:00-03:00,48.61
2002-09-01,2002,1,9,FUNCEX12_XPMETBAS2N12,2002-09-01T00:00:00-03:00,50.41
2002-10-01,2002,1,10,FUNCEX12_XPMETBAS2N12,2002-10-01T00:00:00-03:00,51.26
2002-11-01,2002,1,11,FUNCEX12_XPMETBAS2N12,2002-11-01T00:00:00-03:00,51.36
2002-12-01,2002,1,12,FUNCEX12_XPMETBAS2N12,2002-12-01T00:00:00-02:00,51.8
2003-01-01,2003,1,1,FUNCEX12_XPMETBAS2N12,2003-01-01T00:00:00-02:00,52.36
2003-02-01,2003,1,2,FUNCEX12_XPMETBAS2N12,2003-02-01T00:00:00-02:00,51.41
2003-03-01,2003,1,3,FUNCEX12_XPMETBAS2N12,2003-03-01T00:00:00-03:00,53.92
2003-04-01,2003,1,4,FUNCEX12_XPMETBAS2N12,2003-04-01T00:00:00-03:00,53.15
2003-05-01,2003,1,5,FUNCEX12_XPMETBAS2N12,2003-05-01T00:00:00-03:00,54.9
2003-06-01,2003,1,6,FUNCEX12_XPMETBAS2N12,2003-06-01T00:00:00-03:00,55.15
2003-07-01,2003,1,7,FUNCEX12_XPMETBAS2N12,2003-07-01T00:00:00-03:00,56.04
2003-08-01,2003,1,8,FUNCEX12_XPMETBAS2N12,2003-08-01T00:00:00-03:00,56.18
2003-09-01,2003,1,9,FUNCEX12_XPMETBAS2N12,2003-09-01T00:00:00-03:00,56.25
2003-10-01,2003,1,10,FUNCEX12_XPMETBAS2N12,2003-10-01T00:00:00-03:00,56.36
2003-11-01,2003,1,11,FUNCEX12_XPMETBAS2N12,2003-11-01T00:00:00-03:00,56.59
2003-12-01,2003,1,12,FUNCEX12_XPMETBAS2N12,2003-12-01T00:00:00-02:00,57.38
2004-01-01,2004,1,1,FUNCEX12_XPMETBAS2N12,2004-01-01T00:00:00-02:00,58.54
2004-02-01,2004,1,2,FUNCEX12_XPMETBAS2N12,2004-02-01T00:00:00-02:00,60.1
