DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XPTEXT2N12,1997-01-01T00:00:00-02:00,131.67
1997-02-01,1997,1,2,FUNCEX12_XPTEXT2N12,1997-02-01T00:00:00-02:00,131.24
1997-03-01,1997,1,3,FUNCEX12_XPTEXT2N12,1997-03-01T00:00:00-03:00,129.93
1997-04-01,1997,1,4,FUNCEX12_XPTEXT2N12,1997-04-01T00:00:00-03:00,127.99
1997-05-01,1997,1,5,FUNCEX12_XPTEXT2N12,1997-05-01T00:00:00-03:00,128.97
1997-06-01,1997,1,6,FUNCEX12_XPTEXT2N12,1997-06-01T00:00:00-03:00,127.52
1997-07-01,1997,1,7,FUNCEX12_XPTEXT2N12,1997-07-01T00:00:00-03:00,132.47
1997-08-01,1997,1,8,FUNCEX12_XPTEXT2N12,1997-08-01T00:00:00-03:00,130.46
1997-09-01,1997,1,9,FUNCEX12_XPTEXT2N12,1997-09-01T00:00:00-03:00,127.51
1997-10-01,1997,1,10,FUNCEX12_XPTEXT2N12,1997-10-01T00:00:00-03:00,129.27
1997-11-01,1997,1,11,FUNCEX12_XPTEXT2N12,1997-11-01T00:00:00-03:00,126.99
1997-12-01,1997,1,12,FUNCEX12_XPTEXT2N12,1997-12-01T00:00:00-02:00,126.09
1998-01-01,1998,1,1,FUNCEX12_XPTEXT2N12,1998-01-01T00:00:00-02:00,124.57
1998-02-01,1998,1,2,FUNCEX12_XPTEXT2N12,1998-02-01T00:00:00-02:00,124.53
1998-03-01,1998,1,3,FUNCEX12_XPTEXT2N12,1998-03-01T00:00:00-03:00,123.85
1998-04-01,1998,1,4,FUNCEX12_XPTEXT2N12,1998-04-01T00:00:00-03:00,122.18
1998-05-01,1998,1,5,FUNCEX12_XPTEXT2N12,1998-05-01T00:00:00-03:00,119.72
1998-06-01,1998,1,6,FUNCEX12_XPTEXT2N12,1998-06-01T00:00:00-03:00,119.95
1998-07-01,1998,1,7,FUNCEX12_XPTEXT2N12,1998-07-01T00:00:00-03:00,124.16
