DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XQCAL2N12,1997-01-01T00:00:00-02:00,69.47
1997-02-01,1997,1,2,FUNCEX12_XQCAL2N12,1997-02-01T00:00:00-02:00,69.01
1997-03-01,1997,1,3,FUNCEX12_XQCAL2N12,1997-03-01T00:00:00-03:00,71.49
1997-04-01,1997,1,4,FUNCEX12_XQCAL2N12,1997-04-01T00:00:00-03:00,73.16
1997-05-01,1997,1,5,FUNCEX12_XQCAL2N12,1997-05-01T00:00:00-03:00,72.35
1997-06-01,1997,1,6,FUNCEX12_XQCAL2N12,1997-06-01T00:00:00-03:00,68.5
1997-07-01,1997,1,7,FUNCEX12_XQCAL2N12,1997-07-01T00:00:00-03:00,75.01
1997-08-01,1997,1,8,FUNCEX12_XQCAL2N12,1997-08-01T00:00:00-03:00,62.86
1997-09-01,1997,1,9,FUNCEX12_XQCAL2N12,1997-09-01T00:00:00-03:00,60.34
1997-10-01,1997,1,10,FUNCEX12_XQCAL2N12,1997-10-01T00:00:00-03:00,67.08
1997-11-01,1997,1,11,FUNCEX12_XQCAL2N12,1997-11-01T00:00:00-03:00,61.75
1997-12-01,1997,1,12,FUNCEX12_XQCAL2N12,1997-12-01T00:00:00-02:00,70.86
1998-01-01,1998,1,1,FUNCEX12_XQCAL2N12,1998-01-01T00:00:00-02:00,73.69
1998-02-01,1998,1,2,FUNCEX12_XQCAL2N12,1998-02-01T00:00:00-02:00,69.71
1998-03-01,1998,1,3,FUNCEX12_XQCAL2N12,1998-03-01T00:00:00-03:00,68.36
1998-04-01,1998,1,4,FUNCEX12_XQCAL2N12,1998-04-01T00:00:00-03:00,61.36
1998-05-01,1998,1,5,FUNCEX12_XQCAL2N12,1998-05-01T00:00:00-03:00,62.28
1998-06-01,1998,1,6,FUNCEX12_XQCAL2N12,1998-06-01T00:00:00-03:00,65.16
1998-07-01,1998,1,7,FUNCEX12_XQCAL2N12,1998-07-01T00:00:00-03:00,66.61
1998-08-01,1998,1,8,FUNCEX12_XQCAL2N12,1998-08-01T00:00:00-03:00,64.94
1998-09-01,1998,1,9,FUNCEX12_XQCAL2N12,1998-09-01T00:00:00-03:00,57.47
1998-10-01,1998,1,10,FUNCEX12_XQCAL2N12,1998-10-01T00:00:00-03:00,59.72
1998-11-01,1998,1,11,FUNCEX12_XQCAL2N12,1998-11-01T00:00:00-03:00,56.12
1998-12-01,1998,1,12,FUNCEX12_XQCAL2N12,1998-12-01T00:00:00-02:00,67.59
1999-01-01,1999,1,1,FUNCEX12_XQCAL2N12,1999-01-01T00:00:00-02:00,60.24
1999-02-01,1999,1,2,FUNCEX12_XQCAL2N12,1999-02-01T00:00:00-02:00,69.76
1999-03-01,1999,1,3,FUNCEX12_XQCAL2N12,1999-03-01T00:00:00-03:00,74.63
1999-04-01,1999,1,4,FUNCEX12_XQCAL2N12,1999-04-01T00:00:00-03:00,63.45
1999-05-01,1999,1,5,FUNCEX12_XQCAL2N12,1999-05-01T00:00:00-03:00,68.71
1999-06-01,1999,1,6,FUNCEX12_XQCAL2N12,1999-06-01T00:00:00-03:00,70.53
1999-07-01,1999,1,7,FUNCEX12_XQCAL2N12,1999-07-01T00:00:00-03:00,72.67
1999-08-01,1999,1,8,FUNCEX12_XQCAL2N12,1999-08-01T00:00:00-03:00,74.74
