DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1977-01-01,1977,1,1,FUNCEX12_XQM12,1977-01-01T00:00:00-02:00,7.25
1977-02-01,1977,1,2,FUNCEX12_XQM12,1977-02-01T00:00:00-02:00,7.71
1977-03-01,1977,1,3,FUNCEX12_XQM12,1977-03-01T00:00:00-03:00,8.21
1977-04-01,1977,1,4,FUNCEX12_XQM12,1977-04-01T00:00:00-03:00,8.4
1977-05-01,1977,1,5,FUNCEX12_XQM12,1977-05-01T00:00:00-03:00,8.21
1977-06-01,1977,1,6,FUNCEX12_XQM12,1977-06-01T00:00:00-03:00,8.21
1977-07-01,1977,1,7,FUNCEX12_XQM12,1977-07-01T00:00:00-03:00,7.83
1977-08-01,1977,1,8,FUNCEX12_XQM12,1977-08-01T00:00:00-03:00,9.44
1977-09-01,1977,1,9,FUNCEX12_XQM12,1977-09-01T00:00:00-03:00,9.06
1977-10-01,1977,1,10,FUNCEX12_XQM12,1977-10-01T00:00:00-03:00,9.71
1977-11-01,1977,1,11,FUNCEX12_XQM12,1977-11-01T00:00:00-03:00,10.44
1977-12-01,1977,1,12,FUNCEX12_XQM12,1977-12-01T00:00:00-02:00,10.59
1978-01-01,1978,1,1,FUNCEX12_XQM12,1978-01-01T00:00:00-02:00,9.6
1978-02-01,1978,1,2,FUNCEX12_XQM12,1978-02-01T00:00:00-02:00,9.14
1978-03-01,1978,1,3,FUNCEX12_XQM12,1978-03-01T00:00:00-03:00,10.21
1978-04-01,1978,1,4,FUNCEX12_XQM12,1978-04-01T00:00:00-03:00,9.86
1978-05-01,1978,1,5,FUNCEX12_XQM12,1978-05-01T00:00:00-03:00,10.44
1978-06-01,1978,1,6,FUNCEX12_XQM12,1978-06-01T00:00:00-03:00,9.94
1978-07-01,1978,1,7,FUNCEX12_XQM12,1978-07-01T00:00:00-03:00,9.86
1978-08-01,1978,1,8,FUNCEX12_XQM12,1978-08-01T00:00:00-03:00,11.63
1978-09-01,1978,1,9,FUNCEX12_XQM12,1978-09-01T00:00:00-03:00,13.05
1978-10-01,1978,1,10,FUNCEX12_XQM12,1978-10-01T00:00:00-03:00,12.94
1978-11-01,1978,1,11,FUNCEX12_XQM12,1978-11-01T00:00:00-03:00,12.97
1978-12-01,1978,1,12,FUNCEX12_XQM12,1978-12-01T00:00:00-02:00,14.74
1979-01-01,1979,1,1,FUNCEX12_XQM12,1979-01-01T00:00:00-02:00,11.85
1979-02-01,1979,1,2,FUNCEX12_XQM12,1979-02-01T00:00:00-02:00,11.05
1979-03-01,1979,1,3,FUNCEX12_XQM12,1979-03-01T00:00:00-03:00,12.27
1979-04-01,1979,1,4,FUNCEX12_XQM12,1979-04-01T00:00:00-03:00,12.54
1979-05-01,1979,1,5,FUNCEX12_XQM12,1979-05-01T00:00:00-03:00,12.85
1979-06-01,1979,1,6,FUNCEX12_XQM12,1979-06-01T00:00:00-03:00,10.62
1979-07-01,1979,1,7,FUNCEX12_XQM12,1979-07-01T00:00:00-03:00,13.58
1979-08-01,1979,1,8,FUNCEX12_XQM12,1979-08-01T00:00:00-03:00,13.42
1979-09-01,1979,1,9,FUNCEX12_XQM12,1979-09-01T00:00:00-03:00,14.19
1979-10-01,1979,1,10,FUNCEX12_XQM12,1979-10-01T00:00:00-03:00,17.34
1979-11-01,1979,1,11,FUNCEX12_XQM12,1979-11-01T00:00:00-03:00,14.42
1979-12-01,1979,1,12,FUNCEX12_XQM12,1979-12-01T00:00:00-02:00,14.34
1980-01-01,1980,1,1,FUNCEX12_XQM12,1980-01-01T00:00:00-02:00,15.31
1980-02-01,1980,1,2,FUNCEX12_XQM12,1980-02-01T00:00:00-02:00,16.46
1980-03-01,1980,1,3,FUNCEX12_XQM12,1980-03-01T00:00:00-03:00,14.47
1980-04-01,1980,1,4,FUNCEX12_XQM12,1980-04-01T00:00:00-03:00,12.78
1980-05-01,1980,1,5,FUNCEX12_XQM12,1980-05-01T00:00:00-03:00,17.8
1980-06-01,1980,1,6,FUNCEX12_XQM12,1980-06-01T00:00:00-03:00,13.62
1980-07-01,1980,1,7,FUNCEX12_XQM12,1980-07-01T00:00:00-03:00,13.51
1980-08-01,1980,1,8,FUNCEX12_XQM12,1980-08-01T00:00:00-03:00,14.5
1980-09-01,1980,1,9,FUNCEX12_XQM12,1980-09-01T00:00:00-03:00,17.27
1980-10-01,1980,1,10,FUNCEX12_XQM12,1980-10-01T00:00:00-03:00,18.19
1980-11-01,1980,1,11,FUNCEX12_XQM12,1980-11-01T00:00:00-03:00,18.42
1980-12-01,1980,1,12,FUNCEX12_XQM12,1980-12-01T00:00:00-02:00,18.42
1981-01-01,1981,1,1,FUNCEX12_XQM12,1981-01-01T00:00:00-02:00,15.92
1981-02-01,1981,1,2,FUNCEX12_XQM12,1981-02-01T00:00:00-02:00,17.46
