DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XQMAQINF2N12,1997-01-01T00:00:00-02:00,14.97
1997-02-01,1997,1,2,FUNCEX12_XQMAQINF2N12,1997-02-01T00:00:00-02:00,14.66
1997-03-01,1997,1,3,FUNCEX12_XQMAQINF2N12,1997-03-01T00:00:00-03:00,17.18
1997-04-01,1997,1,4,FUNCEX12_XQMAQINF2N12,1997-04-01T00:00:00-03:00,18.7
1997-05-01,1997,1,5,FUNCEX12_XQMAQINF2N12,1997-05-01T00:00:00-03:00,19.62
1997-06-01,1997,1,6,FUNCEX12_XQMAQINF2N12,1997-06-01T00:00:00-03:00,17.34
1997-07-01,1997,1,7,FUNCEX12_XQMAQINF2N12,1997-07-01T00:00:00-03:00,17.99
1997-08-01,1997,1,8,FUNCEX12_XQMAQINF2N12,1997-08-01T00:00:00-03:00,20.31
1997-09-01,1997,1,9,FUNCEX12_XQMAQINF2N12,1997-09-01T00:00:00-03:00,22.9
1997-10-01,1997,1,10,FUNCEX12_XQMAQINF2N12,1997-10-01T00:00:00-03:00,26.79
1997-11-01,1997,1,11,FUNCEX12_XQMAQINF2N12,1997-11-01T00:00:00-03:00,23.34
1997-12-01,1997,1,12,FUNCEX12_XQMAQINF2N12,1997-12-01T00:00:00-02:00,23.09
1998-01-01,1998,1,1,FUNCEX12_XQMAQINF2N12,1998-01-01T00:00:00-02:00,12.69
1998-02-01,1998,1,2,FUNCEX12_XQMAQINF2N12,1998-02-01T00:00:00-02:00,16.52
1998-03-01,1998,1,3,FUNCEX12_XQMAQINF2N12,1998-03-01T00:00:00-03:00,24.44
1998-04-01,1998,1,4,FUNCEX12_XQMAQINF2N12,1998-04-01T00:00:00-03:00,20.8
1998-05-01,1998,1,5,FUNCEX12_XQMAQINF2N12,1998-05-01T00:00:00-03:00,21.72
1998-06-01,1998,1,6,FUNCEX12_XQMAQINF2N12,1998-06-01T00:00:00-03:00,23.33
1998-07-01,1998,1,7,FUNCEX12_XQMAQINF2N12,1998-07-01T00:00:00-03:00,22.12
1998-08-01,1998,1,8,FUNCEX12_XQMAQINF2N12,1998-08-01T00:00:00-03:00,20.21
1998-09-01,1998,1,9,FUNCEX12_XQMAQINF2N12,1998-09-01T00:00:00-03:00,20.8
1998-10-01,1998,1,10,FUNCEX12_XQMAQINF2N12,1998-10-01T00:00:00-03:00,21.52
1998-11-01,1998,1,11,FUNCEX12_XQMAQINF2N12,1998-11-01T00:00:00-03:00,21.79
1998-12-01,1998,1,12,FUNCEX12_XQMAQINF2N12,1998-12-01T00:00:00-02:00,24.17
1999-01-01,1999,1,1,FUNCEX12_XQMAQINF2N12,1999-01-01T00:00:00-02:00,16.37
1999-02-01,1999,1,2,FUNCEX12_XQMAQINF2N12,1999-02-01T00:00:00-02:00,19.28
1999-03-01,1999,1,3,FUNCEX12_XQMAQINF2N12,1999-03-01T00:00:00-03:00,27.11
1999-04-01,1999,1,4,FUNCEX12_XQMAQINF2N12,1999-04-01T00:00:00-03:00,20.56
1999-05-01,1999,1,5,FUNCEX12_XQMAQINF2N12,1999-05-01T00:00:00-03:00,30.98
1999-06-01,1999,1,6,FUNCEX12_XQMAQINF2N12,1999-06-01T00:00:00-03:00,28.81
1999-07-01,1999,1,7,FUNCEX12_XQMAQINF2N12,1999-07-01T00:00:00-03:00,27.68
1999-08-01,1999,1,8,FUNCEX12_XQMAQINF2N12,1999-08-01T00:00:00-03:00,32.21
1999-09-01,1999,1,9,FUNCEX12_XQMAQINF2N12,1999-09-01T00:00:00-03:00,33.68
1999-10-01,1999,1,10,FUNCEX12_XQMAQINF2N12,1999-10-01T00:00:00-03:00,42.02
1999-11-01,1999,1,11,FUNCEX12_XQMAQINF2N12,1999-11-01T00:00:00-03:00,34.78
1999-12-01,1999,1,12,FUNCEX12_XQMAQINF2N12,1999-12-01T00:00:00-02:00,42.65
2000-01-01,2000,1,1,FUNCEX12_XQMAQINF2N12,2000-01-01T00:00:00-02:00,35.1
2000-02-01,2000,1,2,FUNCEX12_XQMAQINF2N12,2000-02-01T00:00:00-02:00,45.55
2000-03-01,2000,1,3,FUNCEX12_XQMAQINF2N12,2000-03-01T00:00:00-03:00,47.71
2000-04-01,2000,1,4,FUNCEX12_XQMAQINF2N12,2000-04-01T00:00:00-03:00,40.9
2000-05-01,2000,1,5,FUNCEX12_XQMAQINF2N12,2000-05-01T00:00:00-03:00,42.87
2000-06-01,2000,1,6,FUNCEX12_XQMAQINF2N12,2000-06-01T00:00:00-03:00,59.26
2000-07-01,2000,1,7,FUNCEX12_XQMAQINF2N12,2000-07-01T00:00:00-03:00,51.36
2000-08-01,2000,1,8,FUNCEX12_XQMAQINF2N12,2000-08-01T00:00:00-03:00,56.36
2000-09-01,2000,1,9,FUNCEX12_XQMAQINF2N12,2000-09-01T00:00:00-03:00,43.39
2000-10-01,2000,1,10,FUNCEX12_XQMAQINF2N12,2000-10-01T00:00:00-03:00,46.89
2000-11-01,2000,1,11,FUNCEX12_XQMAQINF2N12,2000-11-01T00:00:00-03:00,49.14
2000-12-01,2000,1,12,FUNCEX12_XQMAQINF2N12,2000-12-01T00:00:00-02:00,55.59
2001-01-01,2001,1,1,FUNCEX12_XQMAQINF2N12,2001-01-01T00:00:00-02:00,35.17
2001-02-01,2001,1,2,FUNCEX12_XQMAQINF2N12,2001-02-01T00:00:00-02:00,36.84
2001-03-01,2001,1,3,FUNCEX12_XQMAQINF2N12,2001-03-01T00:00:00-03:00,41.72
2001-04-01,2001,1,4,FUNCEX12_XQMAQINF2N12,2001-04-01T00:00:00-03:00,36.27
2001-05-01,2001,1,5,FUNCEX12_XQMAQINF2N12,2001-05-01T00:00:00-03:00,43.49
2001-06-01,2001,1,6,FUNCEX12_XQMAQINF2N12,2001-06-01T00:00:00-03:00,40.38
2001-07-01,2001,1,7,FUNCEX12_XQMAQINF2N12,2001-07-01T00:00:00-03:00,41.06
2001-08-01,2001,1,8,FUNCEX12_XQMAQINF2N12,2001-08-01T00:00:00-03:00,48.64
2001-09-01,2001,1,9,FUNCEX12_XQMAQINF2N12,2001-09-01T00:00:00-03:00,37.99
2001-10-01,2001,1,10,FUNCEX12_XQMAQINF2N12,2001-10-01T00:00:00-03:00,45.03
2001-11-01,2001,1,11,FUNCEX12_XQMAQINF2N12,2001-11-01T00:00:00-03:00,48.2
2001-12-01,2001,1,12,FUNCEX12_XQMAQINF2N12,2001-12-01T00:00:00-02:00,41.95
2002-01-01,2002,1,1,FUNCEX12_XQMAQINF2N12,2002-01-01T00:00:00-02:00,25.22
2002-02-01,2002,1,2,FUNCEX12_XQMAQINF2N12,2002-02-01T00:00:00-02:00,32.97
2002-03-01,2002,1,3,FUNCEX12_XQMAQINF2N12,2002-03-01T00:00:00-03:00,43.12
2002-04-01,2002,1,4,FUNCEX12_XQMAQINF2N12,2002-04-01T00:00:00-03:00,34.89
2002-05-01,2002,1,5,FUNCEX12_XQMAQINF2N12,2002-05-01T00:00:00-03:00,39.74
2002-06-01,2002,1,6,FUNCEX12_XQMAQINF2N12,2002-06-01T00:00:00-03:00,42.09
2002-07-01,2002,1,7,FUNCEX12_XQMAQINF2N12,2002-07-01T00:00:00-03:00,39.39
2002-08-01,2002,1,8,FUNCEX12_XQMAQINF2N12,2002-08-01T00:00:00-03:00,41.65
2002-09-01,2002,1,9,FUNCEX12_XQMAQINF2N12,2002-09-01T00:00:00-03:00,42.43
2002-10-01,2002,1,10,FUNCEX12_XQMAQINF2N12,2002-10-01T00:00:00-03:00,51.91
2002-11-01,2002,1,11,FUNCEX12_XQMAQINF2N12,2002-11-01T00:00:00-03:00,44.85
2002-12-01,2002,1,12,FUNCEX12_XQMAQINF2N12,2002-12-01T00:00:00-02:00,37.35
2003-01-01,2003,1,1,FUNCEX12_XQMAQINF2N12,2003-01-01T00:00:00-02:00,27.46
2003-02-01,2003,1,2,FUNCEX12_XQMAQINF2N12,2003-02-01T00:00:00-02:00,35.53
2003-03-01,2003,1,3,FUNCEX12_XQMAQINF2N12,2003-03-01T00:00:00-03:00,34.53
2003-04-01,2003,1,4,FUNCEX12_XQMAQINF2N12,2003-04-01T00:00:00-03:00,41.65
2003-05-01,2003,1,5,FUNCEX12_XQMAQINF2N12,2003-05-01T00:00:00-03:00,38.96
2003-06-01,2003,1,6,FUNCEX12_XQMAQINF2N12,2003-06-01T00:00:00-03:00,37.22
2003-07-01,2003,1,7,FUNCEX12_XQMAQINF2N12,2003-07-01T00:00:00-03:00,44.64
2003-08-01,2003,1,8,FUNCEX12_XQMAQINF2N12,2003-08-01T00:00:00-03:00,61.11
2003-09-01,2003,1,9,FUNCEX12_XQMAQINF2N12,2003-09-01T00:00:00-03:00,64.48
2003-10-01,2003,1,10,FUNCEX12_XQMAQINF2N12,2003-10-01T00:00:00-03:00,75.34
2003-11-01,2003,1,11,FUNCEX12_XQMAQINF2N12,2003-11-01T00:00:00-03:00,66.27
2003-12-01,2003,1,12,FUNCEX12_XQMAQINF2N12,2003-12-01T00:00:00-02:00,43.84
2004-01-01,2004,1,1,FUNCEX12_XQMAQINF2N12,2004-01-01T00:00:00-02:00,31.88
2004-02-01,2004,1,2,FUNCEX12_XQMAQINF2N12,2004-02-01T00:00:00-02:00,38.94
2004-03-01,2004,1,3,FUNCEX12_XQMAQINF2N12,2004-03-01T00:00:00-03:00,48.45
2004-04-01,2004,1,4,FUNCEX12_XQMAQINF2N12,2004-04-01T00:00:00-03:00,43.52
2004-05-01,2004,1,5,FUNCEX12_XQMAQINF2N12,2004-05-01T00:00:00-03:00,48.89
2004-06-01,2004,1,6,FUNCEX12_XQMAQINF2N12,2004-06-01T00:00:00-03:00,53.33
2004-07-01,2004,1,7,FUNCEX12_XQMAQINF2N12,2004-07-01T00:00:00-03:00,51.98
2004-08-01,2004,1,8,FUNCEX12_XQMAQINF2N12,2004-08-01T00:00:00-03:00,43.72
2004-09-01,2004,1,9,FUNCEX12_XQMAQINF2N12,2004-09-01T00:00:00-03:00,51.01
2004-10-01,2004,1,10,FUNCEX12_XQMAQINF2N12,2004-10-01T00:00:00-03:00,69.94
2004-11-01,2004,1,11,FUNCEX12_XQMAQINF2N12,2004-11-01T00:00:00-03:00,58.28
2004-12-01,2004,1,12,FUNCEX12_XQMAQINF2N12,2004-12-01T00:00:00-02:00,64.17
2005-01-01,2005,1,1,FUNCEX12_XQMAQINF2N12,2005-01-01T00:00:00-02:00,55.67
2005-02-01,2005,1,2,FUNCEX12_XQMAQINF2N12,2005-02-01T00:00:00-02:00,67.83
2005-03-01,2005,1,3,FUNCEX12_XQMAQINF2N12,2005-03-01T00:00:00-03:00,92.4
2005-04-01,2005,1,4,FUNCEX12_XQMAQINF2N12,2005-04-01T00:00:00-03:00,107.63
2005-05-01,2005,1,5,FUNCEX12_XQMAQINF2N12,2005-05-01T00:00:00-03:00,94.71
