DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XQPES2N12,1997-01-01T00:00:00-02:00,51.89
1997-02-01,1997,1,2,FUNCEX12_XQPES2N12,1997-02-01T00:00:00-02:00,39.15
1997-03-01,1997,1,3,FUNCEX12_XQPES2N12,1997-03-01T00:00:00-03:00,63.72
1997-04-01,1997,1,4,FUNCEX12_XQPES2N12,1997-04-01T00:00:00-03:00,61.47
1997-05-01,1997,1,5,FUNCEX12_XQPES2N12,1997-05-01T00:00:00-03:00,74.87
1997-06-01,1997,1,6,FUNCEX12_XQPES2N12,1997-06-01T00:00:00-03:00,59.18
1997-07-01,1997,1,7,FUNCEX12_XQPES2N12,1997-07-01T00:00:00-03:00,69.89
1997-08-01,1997,1,8,FUNCEX12_XQPES2N12,1997-08-01T00:00:00-03:00,73.64
1997-09-01,1997,1,9,FUNCEX12_XQPES2N12,1997-09-01T00:00:00-03:00,80.51
1997-10-01,1997,1,10,FUNCEX12_XQPES2N12,1997-10-01T00:00:00-03:00,63.7
1997-11-01,1997,1,11,FUNCEX12_XQPES2N12,1997-11-01T00:00:00-03:00,58.49
1997-12-01,1997,1,12,FUNCEX12_XQPES2N12,1997-12-01T00:00:00-02:00,52.07
1998-01-01,1998,1,1,FUNCEX12_XQPES2N12,1998-01-01T00:00:00-02:00,48.06
1998-02-01,1998,1,2,FUNCEX12_XQPES2N12,1998-02-01T00:00:00-02:00,64.56
1998-03-01,1998,1,3,FUNCEX12_XQPES2N12,1998-03-01T00:00:00-03:00,64.86
1998-04-01,1998,1,4,FUNCEX12_XQPES2N12,1998-04-01T00:00:00-03:00,58.78
1998-05-01,1998,1,5,FUNCEX12_XQPES2N12,1998-05-01T00:00:00-03:00,66.89
1998-06-01,1998,1,6,FUNCEX12_XQPES2N12,1998-06-01T00:00:00-03:00,65.11
1998-07-01,1998,1,7,FUNCEX12_XQPES2N12,1998-07-01T00:00:00-03:00,73.67
1998-08-01,1998,1,8,FUNCEX12_XQPES2N12,1998-08-01T00:00:00-03:00,65.38
1998-09-01,1998,1,9,FUNCEX12_XQPES2N12,1998-09-01T00:00:00-03:00,72.53
1998-10-01,1998,1,10,FUNCEX12_XQPES2N12,1998-10-01T00:00:00-03:00,109.77
1998-11-01,1998,1,11,FUNCEX12_XQPES2N12,1998-11-01T00:00:00-03:00,109.47
1998-12-01,1998,1,12,FUNCEX12_XQPES2N12,1998-12-01T00:00:00-02:00,89.56
1999-01-01,1999,1,1,FUNCEX12_XQPES2N12,1999-01-01T00:00:00-02:00,66.38
1999-02-01,1999,1,2,FUNCEX12_XQPES2N12,1999-02-01T00:00:00-02:00,86.17
1999-03-01,1999,1,3,FUNCEX12_XQPES2N12,1999-03-01T00:00:00-03:00,124.89
1999-04-01,1999,1,4,FUNCEX12_XQPES2N12,1999-04-01T00:00:00-03:00,98.81
1999-05-01,1999,1,5,FUNCEX12_XQPES2N12,1999-05-01T00:00:00-03:00,138.09
1999-06-01,1999,1,6,FUNCEX12_XQPES2N12,1999-06-01T00:00:00-03:00,94.37
1999-07-01,1999,1,7,FUNCEX12_XQPES2N12,1999-07-01T00:00:00-03:00,121.9
1999-08-01,1999,1,8,FUNCEX12_XQPES2N12,1999-08-01T00:00:00-03:00,125.14
1999-09-01,1999,1,9,FUNCEX12_XQPES2N12,1999-09-01T00:00:00-03:00,131.01
1999-10-01,1999,1,10,FUNCEX12_XQPES2N12,1999-10-01T00:00:00-03:00,174.96
1999-11-01,1999,1,11,FUNCEX12_XQPES2N12,1999-11-01T00:00:00-03:00,140.56
1999-12-01,1999,1,12,FUNCEX12_XQPES2N12,1999-12-01T00:00:00-02:00,136.18
2000-01-01,2000,1,1,FUNCEX12_XQPES2N12,2000-01-01T00:00:00-02:00,88.05
2000-02-01,2000,1,2,FUNCEX12_XQPES2N12,2000-02-01T00:00:00-02:00,107.3
2000-03-01,2000,1,3,FUNCEX12_XQPES2N12,2000-03-01T00:00:00-03:00,121.3
2000-04-01,2000,1,4,FUNCEX12_XQPES2N12,2000-04-01T00:00:00-03:00,125.64
2000-05-01,2000,1,5,FUNCEX12_XQPES2N12,2000-05-01T00:00:00-03:00,120.32
2000-06-01,2000,1,6,FUNCEX12_XQPES2N12,2000-06-01T00:00:00-03:00,118.65
2000-07-01,2000,1,7,FUNCEX12_XQPES2N12,2000-07-01T00:00:00-03:00,110.46
2000-08-01,2000,1,8,FUNCEX12_XQPES2N12,2000-08-01T00:00:00-03:00,133.13
2000-09-01,2000,1,9,FUNCEX12_XQPES2N12,2000-09-01T00:00:00-03:00,123.75
2000-10-01,2000,1,10,FUNCEX12_XQPES2N12,2000-10-01T00:00:00-03:00,148.64
2000-11-01,2000,1,11,FUNCEX12_XQPES2N12,2000-11-01T00:00:00-03:00,108.09
2000-12-01,2000,1,12,FUNCEX12_XQPES2N12,2000-12-01T00:00:00-02:00,119.21
2001-01-01,2001,1,1,FUNCEX12_XQPES2N12,2001-01-01T00:00:00-02:00,117.63
2001-02-01,2001,1,2,FUNCEX12_XQPES2N12,2001-02-01T00:00:00-02:00,120.93
2001-03-01,2001,1,3,FUNCEX12_XQPES2N12,2001-03-01T00:00:00-03:00,148.49
2001-04-01,2001,1,4,FUNCEX12_XQPES2N12,2001-04-01T00:00:00-03:00,131.32
2001-05-01,2001,1,5,FUNCEX12_XQPES2N12,2001-05-01T00:00:00-03:00,120.08
2001-06-01,2001,1,6,FUNCEX12_XQPES2N12,2001-06-01T00:00:00-03:00,112.59
2001-07-01,2001,1,7,FUNCEX12_XQPES2N12,2001-07-01T00:00:00-03:00,117.01
2001-08-01,2001,1,8,FUNCEX12_XQPES2N12,2001-08-01T00:00:00-03:00,134.74
2001-09-01,2001,1,9,FUNCEX12_XQPES2N12,2001-09-01T00:00:00-03:00,121.21
