DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_XQTEXT2N12,1997-01-01T00:00:00-02:00,38.3
1997-02-01,1997,1,2,FUNCEX12_XQTEXT2N12,1997-02-01T00:00:00-02:00,42.53
1997-03-01,1997,1,3,FUNCEX12_XQTEXT2N12,1997-03-01T00:00:00-03:00,46.49
1997-04-01,1997,1,4,FUNCEX12_XQTEXT2N12,1997-04-01T00:00:00-03:00,53.68
1997-05-01,1997,1,5,FUNCEX12_XQTEXT2N12,1997-05-01T00:00:00-03:00,45.49
1997-06-01,1997,1,6,FUNCEX12_XQTEXT2N12,1997-06-01T00:00:00-03:00,43.33
1997-07-01,1997,1,7,FUNCEX12_XQTEXT2N12,1997-07-01T00:00:00-03:00,42.91
1997-08-01,1997,1,8,FUNCEX12_XQTEXT2N12,1997-08-01T00:00:00-03:00,44.37
1997-09-01,1997,1,9,FUNCEX12_XQTEXT2N12,1997-09-01T00:00:00-03:00,44.94
1997-10-01,1997,1,10,FUNCEX12_XQTEXT2N12,1997-10-01T00:00:00-03:00,42.96
1997-11-01,1997,1,11,FUNCEX12_XQTEXT2N12,1997-11-01T00:00:00-03:00,40.94
1997-12-01,1997,1,12,FUNCEX12_XQTEXT2N12,1997-12-01T00:00:00-02:00,54.4
1998-01-01,1998,1,1,FUNCEX12_XQTEXT2N12,1998-01-01T00:00:00-02:00,35.64
1998-02-01,1998,1,2,FUNCEX12_XQTEXT2N12,1998-02-01T00:00:00-02:00,41.6
1998-03-01,1998,1,3,FUNCEX12_XQTEXT2N12,1998-03-01T00:00:00-03:00,46.76
1998-04-01,1998,1,4,FUNCEX12_XQTEXT2N12,1998-04-01T00:00:00-03:00,45.24
1998-05-01,1998,1,5,FUNCEX12_XQTEXT2N12,1998-05-01T00:00:00-03:00,42.96
1998-06-01,1998,1,6,FUNCEX12_XQTEXT2N12,1998-06-01T00:00:00-03:00,41.99
1998-07-01,1998,1,7,FUNCEX12_XQTEXT2N12,1998-07-01T00:00:00-03:00,41.92
1998-08-01,1998,1,8,FUNCEX12_XQTEXT2N12,1998-08-01T00:00:00-03:00,38.87
1998-09-01,1998,1,9,FUNCEX12_XQTEXT2N12,1998-09-01T00:00:00-03:00,42.02
1998-10-01,1998,1,10,FUNCEX12_XQTEXT2N12,1998-10-01T00:00:00-03:00,40.06
