DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1985-01-01,1985,1,1,FUNCEX12_XR12,1985-01-01T00:00:00-02:00,153.705335294951
1985-02-01,1985,1,2,FUNCEX12_XR12,1985-02-01T00:00:00-02:00,158.807920736584
1985-03-01,1985,1,3,FUNCEX12_XR12,1985-03-01T00:00:00-03:00,152.99715417518
1985-04-01,1985,1,4,FUNCEX12_XR12,1985-04-01T00:00:00-03:00,155.050007516897
1985-05-01,1985,1,5,FUNCEX12_XR12,1985-05-01T00:00:00-03:00,157.132893163281
1985-06-01,1985,1,6,FUNCEX12_XR12,1985-06-01T00:00:00-03:00,160.126435789946
1985-07-01,1985,1,7,FUNCEX12_XR12,1985-07-01T00:00:00-03:00,155.41523909303
1985-08-01,1985,1,8,FUNCEX12_XR12,1985-08-01T00:00:00-03:00,152.0370892098
1985-09-01,1985,1,9,FUNCEX12_XR12,1985-09-01T00:00:00-03:00,156.695971569551
1985-10-01,1985,1,10,FUNCEX12_XR12,1985-10-01T00:00:00-03:00,156.100169396283
1985-11-01,1985,1,11,FUNCEX12_XR12,1985-11-01T00:00:00-03:00,146.740746963853
1985-12-01,1985,1,12,FUNCEX12_XR12,1985-12-01T00:00:00-02:00,148.479714282579
1986-01-01,1986,1,1,FUNCEX12_XR12,1986-01-01T00:00:00-02:00,147.808346955628
1986-02-01,1986,1,2,FUNCEX12_XR12,1986-02-01T00:00:00-02:00,159.126650679682
1986-03-01,1986,1,3,FUNCEX12_XR12,1986-03-01T00:00:00-03:00,169.445169293471
1986-04-01,1986,1,4,FUNCEX12_XR12,1986-04-01T00:00:00-03:00,164.764004901223
1986-05-01,1986,1,5,FUNCEX12_XR12,1986-05-01T00:00:00-03:00,165.897482206465
1986-06-01,1986,1,6,FUNCEX12_XR12,1986-06-01T00:00:00-03:00,160.76873959625
1986-07-01,1986,1,7,FUNCEX12_XR12,1986-07-01T00:00:00-03:00,151.015022067039
1986-08-01,1986,1,8,FUNCEX12_XR12,1986-08-01T00:00:00-03:00,150.730199564696
1986-09-01,1986,1,9,FUNCEX12_XR12,1986-09-01T00:00:00-03:00,156.685314945314
1986-10-01,1986,1,10,FUNCEX12_XR12,1986-10-01T00:00:00-03:00,161.75302416217
1986-11-01,1986,1,11,FUNCEX12_XR12,1986-11-01T00:00:00-03:00,161.505984236668
1986-12-01,1986,1,12,FUNCEX12_XR12,1986-12-01T00:00:00-02:00,157.006951240477
1987-01-01,1987,1,1,FUNCEX12_XR12,1987-01-01T00:00:00-02:00,151.773579955932
1987-02-01,1987,1,2,FUNCEX12_XR12,1987-02-01T00:00:00-02:00,153.729554895491
1987-03-01,1987,1,3,FUNCEX12_XR12,1987-03-01T00:00:00-03:00,152.360663073006
1987-04-01,1987,1,4,FUNCEX12_XR12,1987-04-01T00:00:00-03:00,142.584663511299
1987-05-01,1987,1,5,FUNCEX12_XR12,1987-05-01T00:00:00-03:00,145.043437358055
1987-06-01,1987,1,6,FUNCEX12_XR12,1987-06-01T00:00:00-03:00,148.340209383472
1987-07-01,1987,1,7,FUNCEX12_XR12,1987-07-01T00:00:00-03:00,160.798771900919
1987-08-01,1987,1,8,FUNCEX12_XR12,1987-08-01T00:00:00-03:00,172.218797947238
1987-09-01,1987,1,9,FUNCEX12_XR12,1987-09-01T00:00:00-03:00,170.022564570329
1987-10-01,1987,1,10,FUNCEX12_XR12,1987-10-01T00:00:00-03:00,157.08251639416
1987-11-01,1987,1,11,FUNCEX12_XR12,1987-11-01T00:00:00-03:00,149.78466635964
1987-12-01,1987,1,12,FUNCEX12_XR12,1987-12-01T00:00:00-02:00,144.514481282275
1988-01-01,1988,1,1,FUNCEX12_XR12,1988-01-01T00:00:00-02:00,145.708023196855
1988-02-01,1988,1,2,FUNCEX12_XR12,1988-02-01T00:00:00-02:00,145.633426827193
1988-03-01,1988,1,3,FUNCEX12_XR12,1988-03-01T00:00:00-03:00,150.183805376528
1988-04-01,1988,1,4,FUNCEX12_XR12,1988-04-01T00:00:00-03:00,149.266366908097
1988-05-01,1988,1,5,FUNCEX12_XR12,1988-05-01T00:00:00-03:00,148.751942592641
1988-06-01,1988,1,6,FUNCEX12_XR12,1988-06-01T00:00:00-03:00,147.237733166921
1988-07-01,1988,1,7,FUNCEX12_XR12,1988-07-01T00:00:00-03:00,150.336873251937
1988-08-01,1988,1,8,FUNCEX12_XR12,1988-08-01T00:00:00-03:00,155.641934554078
1988-09-01,1988,1,9,FUNCEX12_XR12,1988-09-01T00:00:00-03:00,150.912330960752
1988-10-01,1988,1,10,FUNCEX12_XR12,1988-10-01T00:00:00-03:00,150.617820618194
1988-11-01,1988,1,11,FUNCEX12_XR12,1988-11-01T00:00:00-03:00,150.253557826082
1988-12-01,1988,1,12,FUNCEX12_XR12,1988-12-01T00:00:00-02:00,144.053340088005
1989-01-01,1989,1,1,FUNCEX12_XR12,1989-01-01T00:00:00-02:00,145.256569842801
1989-02-01,1989,1,2,FUNCEX12_XR12,1989-02-01T00:00:00-02:00,144.30231758155
1989-03-01,1989,1,3,FUNCEX12_XR12,1989-03-01T00:00:00-03:00,142.58563229532
1989-04-01,1989,1,4,FUNCEX12_XR12,1989-04-01T00:00:00-03:00,138.175727429114
1989-05-01,1989,1,5,FUNCEX12_XR12,1989-05-01T00:00:00-03:00,134.20468172468
1989-06-01,1989,1,6,FUNCEX12_XR12,1989-06-01T00:00:00-03:00,133.629224015865
1989-07-01,1989,1,7,FUNCEX12_XR12,1989-07-01T00:00:00-03:00,135.889397138198
1989-08-01,1989,1,8,FUNCEX12_XR12,1989-08-01T00:00:00-03:00,129.076907898487
1989-09-01,1989,1,9,FUNCEX12_XR12,1989-09-01T00:00:00-03:00,120.128249891204
1989-10-01,1989,1,10,FUNCEX12_XR12,1989-10-01T00:00:00-03:00,115.83653667563
1989-11-01,1989,1,11,FUNCEX12_XR12,1989-11-01T00:00:00-03:00,109.657632186028
1989-12-01,1989,1,12,FUNCEX12_XR12,1989-12-01T00:00:00-02:00,111.86161583511
1990-01-01,1990,1,1,FUNCEX12_XR12,1990-01-01T00:00:00-02:00,99.4359919743965
1990-02-01,1990,1,2,FUNCEX12_XR12,1990-02-01T00:00:00-02:00,94.7819535347531
1990-03-01,1990,1,3,FUNCEX12_XR12,1990-03-01T00:00:00-03:00,86.9997114894459
1990-04-01,1990,1,4,FUNCEX12_XR12,1990-04-01T00:00:00-03:00,100.260427176756
1990-05-01,1990,1,5,FUNCEX12_XR12,1990-05-01T00:00:00-03:00,101.184647133338
1990-06-01,1990,1,6,FUNCEX12_XR12,1990-06-01T00:00:00-03:00,103.765487766812
1990-07-01,1990,1,7,FUNCEX12_XR12,1990-07-01T00:00:00-03:00,107.177545090798
1990-08-01,1990,1,8,FUNCEX12_XR12,1990-08-01T00:00:00-03:00,103.801332775611
1990-09-01,1990,1,9,FUNCEX12_XR12,1990-09-01T00:00:00-03:00,100.575281983768
1990-10-01,1990,1,10,FUNCEX12_XR12,1990-10-01T00:00:00-03:00,112.731583886484
1990-11-01,1990,1,11,FUNCEX12_XR12,1990-11-01T00:00:00-03:00,117.335245557005
1990-12-01,1990,1,12,FUNCEX12_XR12,1990-12-01T00:00:00-02:00,127.278844754445
1991-01-01,1991,1,1,FUNCEX12_XR12,1991-01-01T00:00:00-02:00,131.155918408786
1991-02-01,1991,1,2,FUNCEX12_XR12,1991-02-01T00:00:00-02:00,123.310705402076
1991-03-01,1991,1,3,FUNCEX12_XR12,1991-03-01T00:00:00-03:00,124.502309748613
1991-04-01,1991,1,4,FUNCEX12_XR12,1991-04-01T00:00:00-03:00,123.239984168501
1991-05-01,1991,1,5,FUNCEX12_XR12,1991-05-01T00:00:00-03:00,125.003171087767
1991-06-01,1991,1,6,FUNCEX12_XR12,1991-06-01T00:00:00-03:00,123.87938162274
1991-07-01,1991,1,7,FUNCEX12_XR12,1991-07-01T00:00:00-03:00,122.655807403492
1991-08-01,1991,1,8,FUNCEX12_XR12,1991-08-01T00:00:00-03:00,119.359035378074
1991-09-01,1991,1,9,FUNCEX12_XR12,1991-09-01T00:00:00-03:00,118.892081479675
1991-10-01,1991,1,10,FUNCEX12_XR12,1991-10-01T00:00:00-03:00,127.326315171502
1991-11-01,1991,1,11,FUNCEX12_XR12,1991-11-01T00:00:00-03:00,122.553116297205
1991-12-01,1991,1,12,FUNCEX12_XR12,1991-12-01T00:00:00-02:00,125.234710468923
1992-01-01,1992,1,1,FUNCEX12_XR12,1992-01-01T00:00:00-02:00,130.638587741265
1992-02-01,1992,1,2,FUNCEX12_XR12,1992-02-01T00:00:00-02:00,128.96162259992
1992-03-01,1992,1,3,FUNCEX12_XR12,1992-03-01T00:00:00-03:00,128.570233855203
1992-04-01,1992,1,4,FUNCEX12_XR12,1992-04-01T00:00:00-03:00,132.291333282071
1992-05-01,1992,1,5,FUNCEX12_XR12,1992-05-01T00:00:00-03:00,127.546229144399
1992-06-01,1992,1,6,FUNCEX12_XR12,1992-06-01T00:00:00-03:00,124.832665099969
1992-07-01,1992,1,7,FUNCEX12_XR12,1992-07-01T00:00:00-03:00,124.238800494744
1992-08-01,1992,1,8,FUNCEX12_XR12,1992-08-01T00:00:00-03:00,123.285517017515
1992-09-01,1992,1,9,FUNCEX12_XR12,1992-09-01T00:00:00-03:00,120.972060773995
1992-10-01,1992,1,10,FUNCEX12_XR12,1992-10-01T00:00:00-03:00,118.916301080215
1992-11-01,1992,1,11,FUNCEX12_XR12,1992-11-01T00:00:00-03:00,116.508872786602
1992-12-01,1992,1,12,FUNCEX12_XR12,1992-12-01T00:00:00-02:00,116.23664447654
1993-01-01,1993,1,1,FUNCEX12_XR12,1993-01-01T00:00:00-02:00,106.601118597961
1993-02-01,1993,1,2,FUNCEX12_XR12,1993-02-01T00:00:00-02:00,108.557093537519
1993-03-01,1993,1,3,FUNCEX12_XR12,1993-03-01T00:00:00-03:00,105.865811525586
1993-04-01,1993,1,4,FUNCEX12_XR12,1993-04-01T00:00:00-03:00,109.842669934149
1993-05-01,1993,1,5,FUNCEX12_XR12,1993-05-01T00:00:00-03:00,103.731580326057
1993-06-01,1993,1,6,FUNCEX12_XR12,1993-06-01T00:00:00-03:00,105.858061253413
1993-07-01,1993,1,7,FUNCEX12_XR12,1993-07-01T00:00:00-03:00,106.044067785555
1993-08-01,1993,1,8,FUNCEX12_XR12,1993-08-01T00:00:00-03:00,106.678621319687
1993-09-01,1993,1,9,FUNCEX12_XR12,1993-09-01T00:00:00-03:00,108.221894266055
1993-10-01,1993,1,10,FUNCEX12_XR12,1993-10-01T00:00:00-03:00,108.389493901787
1993-11-01,1993,1,11,FUNCEX12_XR12,1993-11-01T00:00:00-03:00,105.253540023951
1993-12-01,1993,1,12,FUNCEX12_XR12,1993-12-01T00:00:00-02:00,106.527491012321
1994-01-01,1994,1,1,FUNCEX12_XR12,1994-01-01T00:00:00-02:00,106.796812970319
1994-02-01,1994,1,2,FUNCEX12_XR12,1994-02-01T00:00:00-02:00,108.475715679707
1994-03-01,1994,1,3,FUNCEX12_XR12,1994-03-01T00:00:00-03:00,102.788953473065
