DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVAGP2N12,1996-01-01T00:00:00-02:00,115.914
1996-02-01,1996,1,2,FUNCEX12_XVAGP2N12,1996-02-01T00:00:00-02:00,109.438
1996-03-01,1996,1,3,FUNCEX12_XVAGP2N12,1996-03-01T00:00:00-03:00,180.2097
1996-04-01,1996,1,4,FUNCEX12_XVAGP2N12,1996-04-01T00:00:00-03:00,379.7159
1996-05-01,1996,1,5,FUNCEX12_XVAGP2N12,1996-05-01T00:00:00-03:00,329.6451
1996-06-01,1996,1,6,FUNCEX12_XVAGP2N12,1996-06-01T00:00:00-03:00,287.6253
1996-07-01,1996,1,7,FUNCEX12_XVAGP2N12,1996-07-01T00:00:00-03:00,332.1776
1996-08-01,1996,1,8,FUNCEX12_XVAGP2N12,1996-08-01T00:00:00-03:00,351.0294
1996-09-01,1996,1,9,FUNCEX12_XVAGP2N12,1996-09-01T00:00:00-03:00,266.9427
1996-10-01,1996,1,10,FUNCEX12_XVAGP2N12,1996-10-01T00:00:00-03:00,337.3441
1996-11-01,1996,1,11,FUNCEX12_XVAGP2N12,1996-11-01T00:00:00-03:00,251.6394
1996-12-01,1996,1,12,FUNCEX12_XVAGP2N12,1996-12-01T00:00:00-02:00,207.0245
1997-01-01,1997,1,1,FUNCEX12_XVAGP2N12,1997-01-01T00:00:00-02:00,211.6924
1997-02-01,1997,1,2,FUNCEX12_XVAGP2N12,1997-02-01T00:00:00-02:00,228.1319
1997-03-01,1997,1,3,FUNCEX12_XVAGP2N12,1997-03-01T00:00:00-03:00,447.5262
1997-04-01,1997,1,4,FUNCEX12_XVAGP2N12,1997-04-01T00:00:00-03:00,771.6228
1997-05-01,1997,1,5,FUNCEX12_XVAGP2N12,1997-05-01T00:00:00-03:00,795.4549
1997-06-01,1997,1,6,FUNCEX12_XVAGP2N12,1997-06-01T00:00:00-03:00,640.8135
1997-07-01,1997,1,7,FUNCEX12_XVAGP2N12,1997-07-01T00:00:00-03:00,738.6537
1997-08-01,1997,1,8,FUNCEX12_XVAGP2N12,1997-08-01T00:00:00-03:00,586.7688
1997-09-01,1997,1,9,FUNCEX12_XVAGP2N12,1997-09-01T00:00:00-03:00,389.7076
1997-10-01,1997,1,10,FUNCEX12_XVAGP2N12,1997-10-01T00:00:00-03:00,337.8737
1997-11-01,1997,1,11,FUNCEX12_XVAGP2N12,1997-11-01T00:00:00-03:00,233.7654
1997-12-01,1997,1,12,FUNCEX12_XVAGP2N12,1997-12-01T00:00:00-02:00,228.012
1998-01-01,1998,1,1,FUNCEX12_XVAGP2N12,1998-01-01T00:00:00-02:00,193.4679
1998-02-01,1998,1,2,FUNCEX12_XVAGP2N12,1998-02-01T00:00:00-02:00,228.1079
1998-03-01,1998,1,3,FUNCEX12_XVAGP2N12,1998-03-01T00:00:00-03:00,299.0306
1998-04-01,1998,1,4,FUNCEX12_XVAGP2N12,1998-04-01T00:00:00-03:00,630.2048
1998-05-01,1998,1,5,FUNCEX12_XVAGP2N12,1998-05-01T00:00:00-03:00,617.7358
1998-06-01,1998,1,6,FUNCEX12_XVAGP2N12,1998-06-01T00:00:00-03:00,569.324
1998-07-01,1998,1,7,FUNCEX12_XVAGP2N12,1998-07-01T00:00:00-03:00,527.7122
1998-08-01,1998,1,8,FUNCEX12_XVAGP2N12,1998-08-01T00:00:00-03:00,461.7544
1998-09-01,1998,1,9,FUNCEX12_XVAGP2N12,1998-09-01T00:00:00-03:00,498.8101
1998-10-01,1998,1,10,FUNCEX12_XVAGP2N12,1998-10-01T00:00:00-03:00,351.4498
1998-11-01,1998,1,11,FUNCEX12_XVAGP2N12,1998-11-01T00:00:00-03:00,269.0176
1998-12-01,1998,1,12,FUNCEX12_XVAGP2N12,1998-12-01T00:00:00-02:00,269.1932
