DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVBCNDGCE12,1996-01-01T00:00:00-02:00,520.7
1996-02-01,1996,1,2,FUNCEX12_XVBCNDGCE12,1996-02-01T00:00:00-02:00,579.5
1996-03-01,1996,1,3,FUNCEX12_XVBCNDGCE12,1996-03-01T00:00:00-03:00,627.8
1996-04-01,1996,1,4,FUNCEX12_XVBCNDGCE12,1996-04-01T00:00:00-03:00,657.5
1996-05-01,1996,1,5,FUNCEX12_XVBCNDGCE12,1996-05-01T00:00:00-03:00,715.3
1996-06-01,1996,1,6,FUNCEX12_XVBCNDGCE12,1996-06-01T00:00:00-03:00,613.3
1996-07-01,1996,1,7,FUNCEX12_XVBCNDGCE12,1996-07-01T00:00:00-03:00,756.3
1996-08-01,1996,1,8,FUNCEX12_XVBCNDGCE12,1996-08-01T00:00:00-03:00,740.9
1996-09-01,1996,1,9,FUNCEX12_XVBCNDGCE12,1996-09-01T00:00:00-03:00,653.5
1996-10-01,1996,1,10,FUNCEX12_XVBCNDGCE12,1996-10-01T00:00:00-03:00,710.2
1996-11-01,1996,1,11,FUNCEX12_XVBCNDGCE12,1996-11-01T00:00:00-03:00,652.3
1996-12-01,1996,1,12,FUNCEX12_XVBCNDGCE12,1996-12-01T00:00:00-02:00,646.4
1997-01-01,1997,1,1,FUNCEX12_XVBCNDGCE12,1997-01-01T00:00:00-02:00,627.2
1997-02-01,1997,1,2,FUNCEX12_XVBCNDGCE12,1997-02-01T00:00:00-02:00,549.2
1997-03-01,1997,1,3,FUNCEX12_XVBCNDGCE12,1997-03-01T00:00:00-03:00,558.3
1997-04-01,1997,1,4,FUNCEX12_XVBCNDGCE12,1997-04-01T00:00:00-03:00,610.2
1997-05-01,1997,1,5,FUNCEX12_XVBCNDGCE12,1997-05-01T00:00:00-03:00,580.4
1997-06-01,1997,1,6,FUNCEX12_XVBCNDGCE12,1997-06-01T00:00:00-03:00,692.9
1997-07-01,1997,1,7,FUNCEX12_XVBCNDGCE12,1997-07-01T00:00:00-03:00,789.4
1997-08-01,1997,1,8,FUNCEX12_XVBCNDGCE12,1997-08-01T00:00:00-03:00,735.3
1997-09-01,1997,1,9,FUNCEX12_XVBCNDGCE12,1997-09-01T00:00:00-03:00,690.4
1997-10-01,1997,1,10,FUNCEX12_XVBCNDGCE12,1997-10-01T00:00:00-03:00,800.4
1997-11-01,1997,1,11,FUNCEX12_XVBCNDGCE12,1997-11-01T00:00:00-03:00,642.1
1997-12-01,1997,1,12,FUNCEX12_XVBCNDGCE12,1997-12-01T00:00:00-02:00,714.3
1998-01-01,1998,1,1,FUNCEX12_XVBCNDGCE12,1998-01-01T00:00:00-02:00,588.2
1998-02-01,1998,1,2,FUNCEX12_XVBCNDGCE12,1998-02-01T00:00:00-02:00,643.5
1998-03-01,1998,1,3,FUNCEX12_XVBCNDGCE12,1998-03-01T00:00:00-03:00,669.5
1998-04-01,1998,1,4,FUNCEX12_XVBCNDGCE12,1998-04-01T00:00:00-03:00,659.7
1998-05-01,1998,1,5,FUNCEX12_XVBCNDGCE12,1998-05-01T00:00:00-03:00,602.4
1998-06-01,1998,1,6,FUNCEX12_XVBCNDGCE12,1998-06-01T00:00:00-03:00,740.7
1998-07-01,1998,1,7,FUNCEX12_XVBCNDGCE12,1998-07-01T00:00:00-03:00,736.6
1998-08-01,1998,1,8,FUNCEX12_XVBCNDGCE12,1998-08-01T00:00:00-03:00,695.1
1998-09-01,1998,1,9,FUNCEX12_XVBCNDGCE12,1998-09-01T00:00:00-03:00,764.1
1998-10-01,1998,1,10,FUNCEX12_XVBCNDGCE12,1998-10-01T00:00:00-03:00,692.1
1998-11-01,1998,1,11,FUNCEX12_XVBCNDGCE12,1998-11-01T00:00:00-03:00,680.3
1998-12-01,1998,1,12,FUNCEX12_XVBCNDGCE12,1998-12-01T00:00:00-02:00,728.5
1999-01-01,1999,1,1,FUNCEX12_XVBCNDGCE12,1999-01-01T00:00:00-02:00,495.5
1999-02-01,1999,1,2,FUNCEX12_XVBCNDGCE12,1999-02-01T00:00:00-02:00,585.2
1999-03-01,1999,1,3,FUNCEX12_XVBCNDGCE12,1999-03-01T00:00:00-03:00,652.9
1999-04-01,1999,1,4,FUNCEX12_XVBCNDGCE12,1999-04-01T00:00:00-03:00,608.8
1999-05-01,1999,1,5,FUNCEX12_XVBCNDGCE12,1999-05-01T00:00:00-03:00,650.7
1999-06-01,1999,1,6,FUNCEX12_XVBCNDGCE12,1999-06-01T00:00:00-03:00,682.6
1999-07-01,1999,1,7,FUNCEX12_XVBCNDGCE12,1999-07-01T00:00:00-03:00,649.7
1999-08-01,1999,1,8,FUNCEX12_XVBCNDGCE12,1999-08-01T00:00:00-03:00,732.2
1999-09-01,1999,1,9,FUNCEX12_XVBCNDGCE12,1999-09-01T00:00:00-03:00,721.0
1999-10-01,1999,1,10,FUNCEX12_XVBCNDGCE12,1999-10-01T00:00:00-03:00,776.9
1999-11-01,1999,1,11,FUNCEX12_XVBCNDGCE12,1999-11-01T00:00:00-03:00,661.5
1999-12-01,1999,1,12,FUNCEX12_XVBCNDGCE12,1999-12-01T00:00:00-02:00,804.8
2000-01-01,2000,1,1,FUNCEX12_XVBCNDGCE12,2000-01-01T00:00:00-02:00,614.6
2000-02-01,2000,1,2,FUNCEX12_XVBCNDGCE12,2000-02-01T00:00:00-02:00,697.1
2000-03-01,2000,1,3,FUNCEX12_XVBCNDGCE12,2000-03-01T00:00:00-03:00,681.5
2000-04-01,2000,1,4,FUNCEX12_XVBCNDGCE12,2000-04-01T00:00:00-03:00,643.3
