DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVDIV2N12,1996-01-01T00:00:00-02:00,30.5911
1996-02-01,1996,1,2,FUNCEX12_XVDIV2N12,1996-02-01T00:00:00-02:00,28.35
1996-03-01,1996,1,3,FUNCEX12_XVDIV2N12,1996-03-01T00:00:00-03:00,26.4404
1996-04-01,1996,1,4,FUNCEX12_XVDIV2N12,1996-04-01T00:00:00-03:00,32.4471
1996-05-01,1996,1,5,FUNCEX12_XVDIV2N12,1996-05-01T00:00:00-03:00,37.5015
1996-06-01,1996,1,6,FUNCEX12_XVDIV2N12,1996-06-01T00:00:00-03:00,26.9178
1996-07-01,1996,1,7,FUNCEX12_XVDIV2N12,1996-07-01T00:00:00-03:00,33.4658
1996-08-01,1996,1,8,FUNCEX12_XVDIV2N12,1996-08-01T00:00:00-03:00,28.5978
1996-09-01,1996,1,9,FUNCEX12_XVDIV2N12,1996-09-01T00:00:00-03:00,30.247
1996-10-01,1996,1,10,FUNCEX12_XVDIV2N12,1996-10-01T00:00:00-03:00,30.9682
1996-11-01,1996,1,11,FUNCEX12_XVDIV2N12,1996-11-01T00:00:00-03:00,36.354
1996-12-01,1996,1,12,FUNCEX12_XVDIV2N12,1996-12-01T00:00:00-02:00,31.5266
1997-01-01,1997,1,1,FUNCEX12_XVDIV2N12,1997-01-01T00:00:00-02:00,30.304
1997-02-01,1997,1,2,FUNCEX12_XVDIV2N12,1997-02-01T00:00:00-02:00,29.4042
1997-03-01,1997,1,3,FUNCEX12_XVDIV2N12,1997-03-01T00:00:00-03:00,34.4672
1997-04-01,1997,1,4,FUNCEX12_XVDIV2N12,1997-04-01T00:00:00-03:00,34.825
1997-05-01,1997,1,5,FUNCEX12_XVDIV2N12,1997-05-01T00:00:00-03:00,33.224
1997-06-01,1997,1,6,FUNCEX12_XVDIV2N12,1997-06-01T00:00:00-03:00,36.7991
1997-07-01,1997,1,7,FUNCEX12_XVDIV2N12,1997-07-01T00:00:00-03:00,34.4184
1997-08-01,1997,1,8,FUNCEX12_XVDIV2N12,1997-08-01T00:00:00-03:00,31.8837
1997-09-01,1997,1,9,FUNCEX12_XVDIV2N12,1997-09-01T00:00:00-03:00,34.5412
1997-10-01,1997,1,10,FUNCEX12_XVDIV2N12,1997-10-01T00:00:00-03:00,43.5933
1997-11-01,1997,1,11,FUNCEX12_XVDIV2N12,1997-11-01T00:00:00-03:00,37.5252
1997-12-01,1997,1,12,FUNCEX12_XVDIV2N12,1997-12-01T00:00:00-02:00,38.4927
1998-01-01,1998,1,1,FUNCEX12_XVDIV2N12,1998-01-01T00:00:00-02:00,26.8703
1998-02-01,1998,1,2,FUNCEX12_XVDIV2N12,1998-02-01T00:00:00-02:00,27.3197
1998-03-01,1998,1,3,FUNCEX12_XVDIV2N12,1998-03-01T00:00:00-03:00,41.6608
1998-04-01,1998,1,4,FUNCEX12_XVDIV2N12,1998-04-01T00:00:00-03:00,37.3319
1998-05-01,1998,1,5,FUNCEX12_XVDIV2N12,1998-05-01T00:00:00-03:00,39.6474
1998-06-01,1998,1,6,FUNCEX12_XVDIV2N12,1998-06-01T00:00:00-03:00,39.3141
1998-07-01,1998,1,7,FUNCEX12_XVDIV2N12,1998-07-01T00:00:00-03:00,29.7065
1998-08-01,1998,1,8,FUNCEX12_XVDIV2N12,1998-08-01T00:00:00-03:00,30.9479
1998-09-01,1998,1,9,FUNCEX12_XVDIV2N12,1998-09-01T00:00:00-03:00,38.4419
1998-10-01,1998,1,10,FUNCEX12_XVDIV2N12,1998-10-01T00:00:00-03:00,33.8526
1998-11-01,1998,1,11,FUNCEX12_XVDIV2N12,1998-11-01T00:00:00-03:00,33.7391
1998-12-01,1998,1,12,FUNCEX12_XVDIV2N12,1998-12-01T00:00:00-02:00,40.5878
1999-01-01,1999,1,1,FUNCEX12_XVDIV2N12,1999-01-01T00:00:00-02:00,26.0342
1999-02-01,1999,1,2,FUNCEX12_XVDIV2N12,1999-02-01T00:00:00-02:00,31.4084
1999-03-01,1999,1,3,FUNCEX12_XVDIV2N12,1999-03-01T00:00:00-03:00,38.2928
1999-04-01,1999,1,4,FUNCEX12_XVDIV2N12,1999-04-01T00:00:00-03:00,33.0843
1999-05-01,1999,1,5,FUNCEX12_XVDIV2N12,1999-05-01T00:00:00-03:00,34.9145
1999-06-01,1999,1,6,FUNCEX12_XVDIV2N12,1999-06-01T00:00:00-03:00,31.1344
1999-07-01,1999,1,7,FUNCEX12_XVDIV2N12,1999-07-01T00:00:00-03:00,27.7596
1999-08-01,1999,1,8,FUNCEX12_XVDIV2N12,1999-08-01T00:00:00-03:00,34.4849
