DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVECARV2N12,1996-01-01T00:00:00-02:00,0.0256
1996-02-01,1996,1,2,FUNCEX12_XVECARV2N12,1996-02-01T00:00:00-02:00,0.0381
1996-03-01,1996,1,3,FUNCEX12_XVECARV2N12,1996-03-01T00:00:00-03:00,0.0095
1996-04-01,1996,1,4,FUNCEX12_XVECARV2N12,1996-04-01T00:00:00-03:00,0.0323
1996-05-01,1996,1,5,FUNCEX12_XVECARV2N12,1996-05-01T00:00:00-03:00,0.0066
1996-06-01,1996,1,6,FUNCEX12_XVECARV2N12,1996-06-01T00:00:00-03:00,0.0182
1996-07-01,1996,1,7,FUNCEX12_XVECARV2N12,1996-07-01T00:00:00-03:00,
1996-08-01,1996,1,8,FUNCEX12_XVECARV2N12,1996-08-01T00:00:00-03:00,0.0251
1996-09-01,1996,1,9,FUNCEX12_XVECARV2N12,1996-09-01T00:00:00-03:00,0.0171
1996-10-01,1996,1,10,FUNCEX12_XVECARV2N12,1996-10-01T00:00:00-03:00,0.0057
1996-11-01,1996,1,11,FUNCEX12_XVECARV2N12,1996-11-01T00:00:00-03:00,
1996-12-01,1996,1,12,FUNCEX12_XVECARV2N12,1996-12-01T00:00:00-02:00,0.016
1997-01-01,1997,1,1,FUNCEX12_XVECARV2N12,1997-01-01T00:00:00-02:00,0.016
1997-02-01,1997,1,2,FUNCEX12_XVECARV2N12,1997-02-01T00:00:00-02:00,
1997-03-01,1997,1,3,FUNCEX12_XVECARV2N12,1997-03-01T00:00:00-03:00,0.0369
1997-04-01,1997,1,4,FUNCEX12_XVECARV2N12,1997-04-01T00:00:00-03:00,
1997-05-01,1997,1,5,FUNCEX12_XVECARV2N12,1997-05-01T00:00:00-03:00,0.1115
1997-06-01,1997,1,6,FUNCEX12_XVECARV2N12,1997-06-01T00:00:00-03:00,0.0192
1997-07-01,1997,1,7,FUNCEX12_XVECARV2N12,1997-07-01T00:00:00-03:00,0.0148
1997-08-01,1997,1,8,FUNCEX12_XVECARV2N12,1997-08-01T00:00:00-03:00,0.0002
1997-09-01,1997,1,9,FUNCEX12_XVECARV2N12,1997-09-01T00:00:00-03:00,0.0152
1997-10-01,1997,1,10,FUNCEX12_XVECARV2N12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,FUNCEX12_XVECARV2N12,1997-11-01T00:00:00-03:00,0.0008
1997-12-01,1997,1,12,FUNCEX12_XVECARV2N12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,FUNCEX12_XVECARV2N12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,FUNCEX12_XVECARV2N12,1998-02-01T00:00:00-02:00,0.0005
1998-03-01,1998,1,3,FUNCEX12_XVECARV2N12,1998-03-01T00:00:00-03:00,0.0005
1998-04-01,1998,1,4,FUNCEX12_XVECARV2N12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,FUNCEX12_XVECARV2N12,1998-05-01T00:00:00-03:00,0.0039
1998-06-01,1998,1,6,FUNCEX12_XVECARV2N12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,FUNCEX12_XVECARV2N12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,FUNCEX12_XVECARV2N12,1998-08-01T00:00:00-03:00,0.0005
1998-09-01,1998,1,9,FUNCEX12_XVECARV2N12,1998-09-01T00:00:00-03:00,0.0082
1998-10-01,1998,1,10,FUNCEX12_XVECARV2N12,1998-10-01T00:00:00-03:00,0.0081
1998-11-01,1998,1,11,FUNCEX12_XVECARV2N12,1998-11-01T00:00:00-03:00,0.0138
1998-12-01,1998,1,12,FUNCEX12_XVECARV2N12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,FUNCEX12_XVECARV2N12,1999-01-01T00:00:00-02:00,0.0089
1999-02-01,1999,1,2,FUNCEX12_XVECARV2N12,1999-02-01T00:00:00-02:00,0.0165
1999-03-01,1999,1,3,FUNCEX12_XVECARV2N12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,FUNCEX12_XVECARV2N12,1999-04-01T00:00:00-03:00,0.0082
1999-05-01,1999,1,5,FUNCEX12_XVECARV2N12,1999-05-01T00:00:00-03:00,0.0492
1999-06-01,1999,1,6,FUNCEX12_XVECARV2N12,1999-06-01T00:00:00-03:00,0.0173
1999-07-01,1999,1,7,FUNCEX12_XVECARV2N12,1999-07-01T00:00:00-03:00,0.0082
1999-08-01,1999,1,8,FUNCEX12_XVECARV2N12,1999-08-01T00:00:00-03:00,0.0082
1999-09-01,1999,1,9,FUNCEX12_XVECARV2N12,1999-09-01T00:00:00-03:00,0.0
1999-10-01,1999,1,10,FUNCEX12_XVECARV2N12,1999-10-01T00:00:00-03:00,0.0009
1999-11-01,1999,1,11,FUNCEX12_XVECARV2N12,1999-11-01T00:00:00-03:00,0.0165
1999-12-01,1999,1,12,FUNCEX12_XVECARV2N12,1999-12-01T00:00:00-02:00,0.0087
2000-01-01,2000,1,1,FUNCEX12_XVECARV2N12,2000-01-01T00:00:00-02:00,
2000-02-01,2000,1,2,FUNCEX12_XVECARV2N12,2000-02-01T00:00:00-02:00,0.0165
2000-03-01,2000,1,3,FUNCEX12_XVECARV2N12,2000-03-01T00:00:00-03:00,0.025
2000-04-01,2000,1,4,FUNCEX12_XVECARV2N12,2000-04-01T00:00:00-03:00,0.0108
2000-05-01,2000,1,5,FUNCEX12_XVECARV2N12,2000-05-01T00:00:00-03:00,0.0996
2000-06-01,2000,1,6,FUNCEX12_XVECARV2N12,2000-06-01T00:00:00-03:00,
2000-07-01,2000,1,7,FUNCEX12_XVECARV2N12,2000-07-01T00:00:00-03:00,0.0132
2000-08-01,2000,1,8,FUNCEX12_XVECARV2N12,2000-08-01T00:00:00-03:00,0.0086
2000-09-01,2000,1,9,FUNCEX12_XVECARV2N12,2000-09-01T00:00:00-03:00,0.0082
2000-10-01,2000,1,10,FUNCEX12_XVECARV2N12,2000-10-01T00:00:00-03:00,0.0275
2000-11-01,2000,1,11,FUNCEX12_XVECARV2N12,2000-11-01T00:00:00-03:00,0.0082
2000-12-01,2000,1,12,FUNCEX12_XVECARV2N12,2000-12-01T00:00:00-02:00,0.0082
2001-01-01,2001,1,1,FUNCEX12_XVECARV2N12,2001-01-01T00:00:00-02:00,0.02
2001-02-01,2001,1,2,FUNCEX12_XVECARV2N12,2001-02-01T00:00:00-02:00,0.009
2001-03-01,2001,1,3,FUNCEX12_XVECARV2N12,2001-03-01T00:00:00-03:00,0.025
2001-04-01,2001,1,4,FUNCEX12_XVECARV2N12,2001-04-01T00:00:00-03:00,0.0265
2001-05-01,2001,1,5,FUNCEX12_XVECARV2N12,2001-05-01T00:00:00-03:00,0.0007
2001-06-01,2001,1,6,FUNCEX12_XVECARV2N12,2001-06-01T00:00:00-03:00,0.0082
2001-07-01,2001,1,7,FUNCEX12_XVECARV2N12,2001-07-01T00:00:00-03:00,0.0055
2001-08-01,2001,1,8,FUNCEX12_XVECARV2N12,2001-08-01T00:00:00-03:00,0.0132
2001-09-01,2001,1,9,FUNCEX12_XVECARV2N12,2001-09-01T00:00:00-03:00,0.0215
2001-10-01,2001,1,10,FUNCEX12_XVECARV2N12,2001-10-01T00:00:00-03:00,0.0328
2001-11-01,2001,1,11,FUNCEX12_XVECARV2N12,2001-11-01T00:00:00-03:00,0.0132
2001-12-01,2001,1,12,FUNCEX12_XVECARV2N12,2001-12-01T00:00:00-02:00,0.0252
2002-01-01,2002,1,1,FUNCEX12_XVECARV2N12,2002-01-01T00:00:00-02:00,0.0009
2002-02-01,2002,1,2,FUNCEX12_XVECARV2N12,2002-02-01T00:00:00-02:00,0.1283
2002-03-01,2002,1,3,FUNCEX12_XVECARV2N12,2002-03-01T00:00:00-03:00,0.0245
2002-04-01,2002,1,4,FUNCEX12_XVECARV2N12,2002-04-01T00:00:00-03:00,0.0132
2002-05-01,2002,1,5,FUNCEX12_XVECARV2N12,2002-05-01T00:00:00-03:00,0.0215
2002-06-01,2002,1,6,FUNCEX12_XVECARV2N12,2002-06-01T00:00:00-03:00,0.0182
2002-07-01,2002,1,7,FUNCEX12_XVECARV2N12,2002-07-01T00:00:00-03:00,0.005
2002-08-01,2002,1,8,FUNCEX12_XVECARV2N12,2002-08-01T00:00:00-03:00,0.0318
2002-09-01,2002,1,9,FUNCEX12_XVECARV2N12,2002-09-01T00:00:00-03:00,0.0132
2002-10-01,2002,1,10,FUNCEX12_XVECARV2N12,2002-10-01T00:00:00-03:00,0.0132
2002-11-01,2002,1,11,FUNCEX12_XVECARV2N12,2002-11-01T00:00:00-03:00,0.005
2002-12-01,2002,1,12,FUNCEX12_XVECARV2N12,2002-12-01T00:00:00-02:00,0.005
2003-01-01,2003,1,1,FUNCEX12_XVECARV2N12,2003-01-01T00:00:00-02:00,
2003-02-01,2003,1,2,FUNCEX12_XVECARV2N12,2003-02-01T00:00:00-02:00,0.015
2003-03-01,2003,1,3,FUNCEX12_XVECARV2N12,2003-03-01T00:00:00-03:00,0.0232
2003-04-01,2003,1,4,FUNCEX12_XVECARV2N12,2003-04-01T00:00:00-03:00,0.005
2003-05-01,2003,1,5,FUNCEX12_XVECARV2N12,2003-05-01T00:00:00-03:00,0.0159
2003-06-01,2003,1,6,FUNCEX12_XVECARV2N12,2003-06-01T00:00:00-03:00,0.0082
2003-07-01,2003,1,7,FUNCEX12_XVECARV2N12,2003-07-01T00:00:00-03:00,0.0712
2003-08-01,2003,1,8,FUNCEX12_XVECARV2N12,2003-08-01T00:00:00-03:00,
2003-09-01,2003,1,9,FUNCEX12_XVECARV2N12,2003-09-01T00:00:00-03:00,0.033
2003-10-01,2003,1,10,FUNCEX12_XVECARV2N12,2003-10-01T00:00:00-03:00,0.0133
2003-11-01,2003,1,11,FUNCEX12_XVECARV2N12,2003-11-01T00:00:00-03:00,0.01
2003-12-01,2003,1,12,FUNCEX12_XVECARV2N12,2003-12-01T00:00:00-02:00,0.0084
2004-01-01,2004,1,1,FUNCEX12_XVECARV2N12,2004-01-01T00:00:00-02:00,0.0088
2004-02-01,2004,1,2,FUNCEX12_XVECARV2N12,2004-02-01T00:00:00-02:00,0.0165
2004-03-01,2004,1,3,FUNCEX12_XVECARV2N12,2004-03-01T00:00:00-03:00,
2004-04-01,2004,1,4,FUNCEX12_XVECARV2N12,2004-04-01T00:00:00-03:00,0.017
2004-05-01,2004,1,5,FUNCEX12_XVECARV2N12,2004-05-01T00:00:00-03:00,0.0228
2004-06-01,2004,1,6,FUNCEX12_XVECARV2N12,2004-06-01T00:00:00-03:00,0.0228
2004-07-01,2004,1,7,FUNCEX12_XVECARV2N12,2004-07-01T00:00:00-03:00,0.005
2004-08-01,2004,1,8,FUNCEX12_XVECARV2N12,2004-08-01T00:00:00-03:00,
2004-09-01,2004,1,9,FUNCEX12_XVECARV2N12,2004-09-01T00:00:00-03:00,0.0224
2004-10-01,2004,1,10,FUNCEX12_XVECARV2N12,2004-10-01T00:00:00-03:00,0.0178
2004-11-01,2004,1,11,FUNCEX12_XVECARV2N12,2004-11-01T00:00:00-03:00,0.0178
2004-12-01,2004,1,12,FUNCEX12_XVECARV2N12,2004-12-01T00:00:00-02:00,
2005-01-01,2005,1,1,FUNCEX12_XVECARV2N12,2005-01-01T00:00:00-02:00,
2005-02-01,2005,1,2,FUNCEX12_XVECARV2N12,2005-02-01T00:00:00-02:00,0.0089
2005-03-01,2005,1,3,FUNCEX12_XVECARV2N12,2005-03-01T00:00:00-03:00,
2005-04-01,2005,1,4,FUNCEX12_XVECARV2N12,2005-04-01T00:00:00-03:00,0.0394
2005-05-01,2005,1,5,FUNCEX12_XVECARV2N12,2005-05-01T00:00:00-03:00,0.0043
2005-06-01,2005,1,6,FUNCEX12_XVECARV2N12,2005-06-01T00:00:00-03:00,0.0184
2005-07-01,2005,1,7,FUNCEX12_XVECARV2N12,2005-07-01T00:00:00-03:00,0.0199
2005-08-01,2005,1,8,FUNCEX12_XVECARV2N12,2005-08-01T00:00:00-03:00,
2005-09-01,2005,1,9,FUNCEX12_XVECARV2N12,2005-09-01T00:00:00-03:00,0.01
2005-10-01,2005,1,10,FUNCEX12_XVECARV2N12,2005-10-01T00:00:00-03:00,0.0263
2005-11-01,2005,1,11,FUNCEX12_XVECARV2N12,2005-11-01T00:00:00-02:00,
2005-12-01,2005,1,12,FUNCEX12_XVECARV2N12,2005-12-01T00:00:00-02:00,0.0356
2006-01-01,2006,1,1,FUNCEX12_XVECARV2N12,2006-01-01T00:00:00-02:00,
2006-02-01,2006,1,2,FUNCEX12_XVECARV2N12,2006-02-01T00:00:00-02:00,0.0052
2006-03-01,2006,1,3,FUNCEX12_XVECARV2N12,2006-03-01T00:00:00-03:00,0.005
2006-04-01,2006,1,4,FUNCEX12_XVECARV2N12,2006-04-01T00:00:00-03:00,
2006-05-01,2006,1,5,FUNCEX12_XVECARV2N12,2006-05-01T00:00:00-03:00,0.0179
2006-06-01,2006,1,6,FUNCEX12_XVECARV2N12,2006-06-01T00:00:00-03:00,0.0105
2006-07-01,2006,1,7,FUNCEX12_XVECARV2N12,2006-07-01T00:00:00-03:00,
2006-08-01,2006,1,8,FUNCEX12_XVECARV2N12,2006-08-01T00:00:00-03:00,
2006-09-01,2006,1,9,FUNCEX12_XVECARV2N12,2006-09-01T00:00:00-03:00,
2006-10-01,2006,1,10,FUNCEX12_XVECARV2N12,2006-10-01T00:00:00-03:00,0.0347
2006-11-01,2006,1,11,FUNCEX12_XVECARV2N12,2006-11-01T00:00:00-03:00,0.0108
2006-12-01,2006,1,12,FUNCEX12_XVECARV2N12,2006-12-01T00:00:00-02:00,0.0193
2007-01-01,2007,1,1,FUNCEX12_XVECARV2N12,2007-01-01T00:00:00-02:00,0.0226
2007-02-01,2007,1,2,FUNCEX12_XVECARV2N12,2007-02-01T00:00:00-02:00,0.0109
2007-03-01,2007,1,3,FUNCEX12_XVECARV2N12,2007-03-01T00:00:00-03:00,0.0293
2007-04-01,2007,1,4,FUNCEX12_XVECARV2N12,2007-04-01T00:00:00-03:00,0.0064
2007-05-01,2007,1,5,FUNCEX12_XVECARV2N12,2007-05-01T00:00:00-03:00,0.0055
2007-06-01,2007,1,6,FUNCEX12_XVECARV2N12,2007-06-01T00:00:00-03:00,0.0571
2007-07-01,2007,1,7,FUNCEX12_XVECARV2N12,2007-07-01T00:00:00-03:00,0.0136
2007-08-01,2007,1,8,FUNCEX12_XVECARV2N12,2007-08-01T00:00:00-03:00,0.0867
2007-09-01,2007,1,9,FUNCEX12_XVECARV2N12,2007-09-01T00:00:00-03:00,0.0868
2007-10-01,2007,1,10,FUNCEX12_XVECARV2N12,2007-10-01T00:00:00-03:00,0.0511
2007-11-01,2007,1,11,FUNCEX12_XVECARV2N12,2007-11-01T00:00:00-02:00,0.0222
2007-12-01,2007,1,12,FUNCEX12_XVECARV2N12,2007-12-01T00:00:00-02:00,0.0988
2008-01-01,2008,1,1,FUNCEX12_XVECARV2N12,2008-01-01T00:00:00-02:00,0.0074
2008-02-01,2008,1,2,FUNCEX12_XVECARV2N12,2008-02-01T00:00:00-02:00,
2008-03-01,2008,1,3,FUNCEX12_XVECARV2N12,2008-03-01T00:00:00-03:00,0.0092
2008-04-01,2008,1,4,FUNCEX12_XVECARV2N12,2008-04-01T00:00:00-03:00,
2008-05-01,2008,1,5,FUNCEX12_XVECARV2N12,2008-05-01T00:00:00-03:00,0.0417
2008-06-01,2008,1,6,FUNCEX12_XVECARV2N12,2008-06-01T00:00:00-03:00,0.0429
2008-07-01,2008,1,7,FUNCEX12_XVECARV2N12,2008-07-01T00:00:00-03:00,0.5378
2008-08-01,2008,1,8,FUNCEX12_XVECARV2N12,2008-08-01T00:00:00-03:00,0.0331
2008-09-01,2008,1,9,FUNCEX12_XVECARV2N12,2008-09-01T00:00:00-03:00,0.0112
2008-10-01,2008,1,10,FUNCEX12_XVECARV2N12,2008-10-01T00:00:00-03:00,0.0187
2008-11-01,2008,1,11,FUNCEX12_XVECARV2N12,2008-11-01T00:00:00-02:00,0.0457
2008-12-01,2008,1,12,FUNCEX12_XVECARV2N12,2008-12-01T00:00:00-02:00,
2009-01-01,2009,1,1,FUNCEX12_XVECARV2N12,2009-01-01T00:00:00-02:00,0.0186
2009-02-01,2009,1,2,FUNCEX12_XVECARV2N12,2009-02-01T00:00:00-02:00,
2009-03-01,2009,1,3,FUNCEX12_XVECARV2N12,2009-03-01T00:00:00-03:00,
2009-04-01,2009,1,4,FUNCEX12_XVECARV2N12,2009-04-01T00:00:00-03:00,0.0104
2009-05-01,2009,1,5,FUNCEX12_XVECARV2N12,2009-05-01T00:00:00-03:00,
2009-06-01,2009,1,6,FUNCEX12_XVECARV2N12,2009-06-01T00:00:00-03:00,
2009-07-01,2009,1,7,FUNCEX12_XVECARV2N12,2009-07-01T00:00:00-03:00,
2009-08-01,2009,1,8,FUNCEX12_XVECARV2N12,2009-08-01T00:00:00-03:00,0.0104
2009-09-01,2009,1,9,FUNCEX12_XVECARV2N12,2009-09-01T00:00:00-03:00,
2009-10-01,2009,1,10,FUNCEX12_XVECARV2N12,2009-10-01T00:00:00-03:00,0.0052
2009-11-01,2009,1,11,FUNCEX12_XVECARV2N12,2009-11-01T00:00:00-02:00,0.0419
2009-12-01,2009,1,12,FUNCEX12_XVECARV2N12,2009-12-01T00:00:00-02:00,
2010-01-01,2010,1,1,FUNCEX12_XVECARV2N12,2010-01-01T00:00:00-02:00,0.0217
2010-02-01,2010,1,2,FUNCEX12_XVECARV2N12,2010-02-01T00:00:00-02:00,
2010-03-01,2010,1,3,FUNCEX12_XVECARV2N12,2010-03-01T00:00:00-03:00,0.0104
2010-04-01,2010,1,4,FUNCEX12_XVECARV2N12,2010-04-01T00:00:00-03:00,
2010-05-01,2010,1,5,FUNCEX12_XVECARV2N12,2010-05-01T00:00:00-03:00,0.0107
2010-06-01,2010,1,6,FUNCEX12_XVECARV2N12,2010-06-01T00:00:00-03:00,0.0179
2010-07-01,2010,1,7,FUNCEX12_XVECARV2N12,2010-07-01T00:00:00-03:00,0.0104
2010-08-01,2010,1,8,FUNCEX12_XVECARV2N12,2010-08-01T00:00:00-03:00,0.1029
2010-09-01,2010,1,9,FUNCEX12_XVECARV2N12,2010-09-01T00:00:00-03:00,0.0287
2010-10-01,2010,1,10,FUNCEX12_XVECARV2N12,2010-10-01T00:00:00-03:00,0.02
2010-11-01,2010,1,11,FUNCEX12_XVECARV2N12,2010-11-01T00:00:00-02:00,0.02
2010-12-01,2010,1,12,FUNCEX12_XVECARV2N12,2010-12-01T00:00:00-02:00,0.02
2011-01-01,2011,1,1,FUNCEX12_XVECARV2N12,2011-01-01T00:00:00-02:00,
2011-02-01,2011,1,2,FUNCEX12_XVECARV2N12,2011-02-01T00:00:00-02:00,0.02
2011-03-01,2011,1,3,FUNCEX12_XVECARV2N12,2011-03-01T00:00:00-03:00,
2011-04-01,2011,1,4,FUNCEX12_XVECARV2N12,2011-04-01T00:00:00-03:00,0.02
2011-05-01,2011,1,5,FUNCEX12_XVECARV2N12,2011-05-01T00:00:00-03:00,0.0131
2011-06-01,2011,1,6,FUNCEX12_XVECARV2N12,2011-06-01T00:00:00-03:00,0.033
