DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVEMNM2N12,1996-01-01T00:00:00-02:00,15.6192
1996-02-01,1996,1,2,FUNCEX12_XVEMNM2N12,1996-02-01T00:00:00-02:00,9.8095
1996-03-01,1996,1,3,FUNCEX12_XVEMNM2N12,1996-03-01T00:00:00-03:00,13.7345
1996-04-01,1996,1,4,FUNCEX12_XVEMNM2N12,1996-04-01T00:00:00-03:00,14.9504
1996-05-01,1996,1,5,FUNCEX12_XVEMNM2N12,1996-05-01T00:00:00-03:00,19.6239
1996-06-01,1996,1,6,FUNCEX12_XVEMNM2N12,1996-06-01T00:00:00-03:00,9.9755
1996-07-01,1996,1,7,FUNCEX12_XVEMNM2N12,1996-07-01T00:00:00-03:00,14.3986
1996-08-01,1996,1,8,FUNCEX12_XVEMNM2N12,1996-08-01T00:00:00-03:00,13.8838
1996-09-01,1996,1,9,FUNCEX12_XVEMNM2N12,1996-09-01T00:00:00-03:00,15.7594
1996-10-01,1996,1,10,FUNCEX12_XVEMNM2N12,1996-10-01T00:00:00-03:00,19.4043
1996-11-01,1996,1,11,FUNCEX12_XVEMNM2N12,1996-11-01T00:00:00-03:00,14.8714
1996-12-01,1996,1,12,FUNCEX12_XVEMNM2N12,1996-12-01T00:00:00-02:00,11.4637
1997-01-01,1997,1,1,FUNCEX12_XVEMNM2N12,1997-01-01T00:00:00-02:00,14.1811
1997-02-01,1997,1,2,FUNCEX12_XVEMNM2N12,1997-02-01T00:00:00-02:00,11.8985
1997-03-01,1997,1,3,FUNCEX12_XVEMNM2N12,1997-03-01T00:00:00-03:00,14.515
1997-04-01,1997,1,4,FUNCEX12_XVEMNM2N12,1997-04-01T00:00:00-03:00,16.971
1997-05-01,1997,1,5,FUNCEX12_XVEMNM2N12,1997-05-01T00:00:00-03:00,15.7593
1997-06-01,1997,1,6,FUNCEX12_XVEMNM2N12,1997-06-01T00:00:00-03:00,13.9055
1997-07-01,1997,1,7,FUNCEX12_XVEMNM2N12,1997-07-01T00:00:00-03:00,15.6813
1997-08-01,1997,1,8,FUNCEX12_XVEMNM2N12,1997-08-01T00:00:00-03:00,19.0503
1997-09-01,1997,1,9,FUNCEX12_XVEMNM2N12,1997-09-01T00:00:00-03:00,18.308
1997-10-01,1997,1,10,FUNCEX12_XVEMNM2N12,1997-10-01T00:00:00-03:00,15.2819
1997-11-01,1997,1,11,FUNCEX12_XVEMNM2N12,1997-11-01T00:00:00-03:00,19.2737
1997-12-01,1997,1,12,FUNCEX12_XVEMNM2N12,1997-12-01T00:00:00-02:00,20.2611
1998-01-01,1998,1,1,FUNCEX12_XVEMNM2N12,1998-01-01T00:00:00-02:00,20.0646
1998-02-01,1998,1,2,FUNCEX12_XVEMNM2N12,1998-02-01T00:00:00-02:00,13.1175
1998-03-01,1998,1,3,FUNCEX12_XVEMNM2N12,1998-03-01T00:00:00-03:00,18.1483
1998-04-01,1998,1,4,FUNCEX12_XVEMNM2N12,1998-04-01T00:00:00-03:00,14.4659
1998-05-01,1998,1,5,FUNCEX12_XVEMNM2N12,1998-05-01T00:00:00-03:00,20.4662
1998-06-01,1998,1,6,FUNCEX12_XVEMNM2N12,1998-06-01T00:00:00-03:00,17.4574
1998-07-01,1998,1,7,FUNCEX12_XVEMNM2N12,1998-07-01T00:00:00-03:00,17.1935
1998-08-01,1998,1,8,FUNCEX12_XVEMNM2N12,1998-08-01T00:00:00-03:00,18.5413
1998-09-01,1998,1,9,FUNCEX12_XVEMNM2N12,1998-09-01T00:00:00-03:00,19.6728
1998-10-01,1998,1,10,FUNCEX12_XVEMNM2N12,1998-10-01T00:00:00-03:00,16.1534
1998-11-01,1998,1,11,FUNCEX12_XVEMNM2N12,1998-11-01T00:00:00-03:00,17.8565
1998-12-01,1998,1,12,FUNCEX12_XVEMNM2N12,1998-12-01T00:00:00-02:00,13.8985
1999-01-01,1999,1,1,FUNCEX12_XVEMNM2N12,1999-01-01T00:00:00-02:00,17.9531
1999-02-01,1999,1,2,FUNCEX12_XVEMNM2N12,1999-02-01T00:00:00-02:00,11.5221
1999-03-01,1999,1,3,FUNCEX12_XVEMNM2N12,1999-03-01T00:00:00-03:00,14.0233
1999-04-01,1999,1,4,FUNCEX12_XVEMNM2N12,1999-04-01T00:00:00-03:00,17.1948
1999-05-01,1999,1,5,FUNCEX12_XVEMNM2N12,1999-05-01T00:00:00-03:00,21.5219
1999-06-01,1999,1,6,FUNCEX12_XVEMNM2N12,1999-06-01T00:00:00-03:00,15.9058
1999-07-01,1999,1,7,FUNCEX12_XVEMNM2N12,1999-07-01T00:00:00-03:00,23.9164
1999-08-01,1999,1,8,FUNCEX12_XVEMNM2N12,1999-08-01T00:00:00-03:00,29.5218
1999-09-01,1999,1,9,FUNCEX12_XVEMNM2N12,1999-09-01T00:00:00-03:00,22.1352
1999-10-01,1999,1,10,FUNCEX12_XVEMNM2N12,1999-10-01T00:00:00-03:00,19.2023
1999-11-01,1999,1,11,FUNCEX12_XVEMNM2N12,1999-11-01T00:00:00-03:00,27.5525
1999-12-01,1999,1,12,FUNCEX12_XVEMNM2N12,1999-12-01T00:00:00-02:00,23.3678
2000-01-01,2000,1,1,FUNCEX12_XVEMNM2N12,2000-01-01T00:00:00-02:00,18.823
2000-02-01,2000,1,2,FUNCEX12_XVEMNM2N12,2000-02-01T00:00:00-02:00,28.8195
2000-03-01,2000,1,3,FUNCEX12_XVEMNM2N12,2000-03-01T00:00:00-03:00,24.4393
2000-04-01,2000,1,4,FUNCEX12_XVEMNM2N12,2000-04-01T00:00:00-03:00,22.4696
2000-05-01,2000,1,5,FUNCEX12_XVEMNM2N12,2000-05-01T00:00:00-03:00,32.5881
2000-06-01,2000,1,6,FUNCEX12_XVEMNM2N12,2000-06-01T00:00:00-03:00,25.4844
2000-07-01,2000,1,7,FUNCEX12_XVEMNM2N12,2000-07-01T00:00:00-03:00,25.2079
2000-08-01,2000,1,8,FUNCEX12_XVEMNM2N12,2000-08-01T00:00:00-03:00,26.8372
2000-09-01,2000,1,9,FUNCEX12_XVEMNM2N12,2000-09-01T00:00:00-03:00,26.1864
2000-10-01,2000,1,10,FUNCEX12_XVEMNM2N12,2000-10-01T00:00:00-03:00,28.9042
2000-11-01,2000,1,11,FUNCEX12_XVEMNM2N12,2000-11-01T00:00:00-03:00,25.025
2000-12-01,2000,1,12,FUNCEX12_XVEMNM2N12,2000-12-01T00:00:00-02:00,28.9806
2001-01-01,2001,1,1,FUNCEX12_XVEMNM2N12,2001-01-01T00:00:00-02:00,20.2508
2001-02-01,2001,1,2,FUNCEX12_XVEMNM2N12,2001-02-01T00:00:00-02:00,21.2515
2001-03-01,2001,1,3,FUNCEX12_XVEMNM2N12,2001-03-01T00:00:00-03:00,31.0623
2001-04-01,2001,1,4,FUNCEX12_XVEMNM2N12,2001-04-01T00:00:00-03:00,23.398
2001-05-01,2001,1,5,FUNCEX12_XVEMNM2N12,2001-05-01T00:00:00-03:00,25.1591
2001-06-01,2001,1,6,FUNCEX12_XVEMNM2N12,2001-06-01T00:00:00-03:00,25.87
2001-07-01,2001,1,7,FUNCEX12_XVEMNM2N12,2001-07-01T00:00:00-03:00,18.0474
2001-08-01,2001,1,8,FUNCEX12_XVEMNM2N12,2001-08-01T00:00:00-03:00,31.2711
2001-09-01,2001,1,9,FUNCEX12_XVEMNM2N12,2001-09-01T00:00:00-03:00,22.3001
2001-10-01,2001,1,10,FUNCEX12_XVEMNM2N12,2001-10-01T00:00:00-03:00,30.1281
2001-11-01,2001,1,11,FUNCEX12_XVEMNM2N12,2001-11-01T00:00:00-03:00,19.6281
2001-12-01,2001,1,12,FUNCEX12_XVEMNM2N12,2001-12-01T00:00:00-02:00,27.4237
2002-01-01,2002,1,1,FUNCEX12_XVEMNM2N12,2002-01-01T00:00:00-02:00,23.0121
2002-02-01,2002,1,2,FUNCEX12_XVEMNM2N12,2002-02-01T00:00:00-02:00,20.2916
2002-03-01,2002,1,3,FUNCEX12_XVEMNM2N12,2002-03-01T00:00:00-03:00,22.6331
2002-04-01,2002,1,4,FUNCEX12_XVEMNM2N12,2002-04-01T00:00:00-03:00,27.4865
2002-05-01,2002,1,5,FUNCEX12_XVEMNM2N12,2002-05-01T00:00:00-03:00,27.2863
2002-06-01,2002,1,6,FUNCEX12_XVEMNM2N12,2002-06-01T00:00:00-03:00,22.8171
2002-07-01,2002,1,7,FUNCEX12_XVEMNM2N12,2002-07-01T00:00:00-03:00,27.4534
2002-08-01,2002,1,8,FUNCEX12_XVEMNM2N12,2002-08-01T00:00:00-03:00,34.7395
2002-09-01,2002,1,9,FUNCEX12_XVEMNM2N12,2002-09-01T00:00:00-03:00,25.6159
2002-10-01,2002,1,10,FUNCEX12_XVEMNM2N12,2002-10-01T00:00:00-03:00,33.4408
2002-11-01,2002,1,11,FUNCEX12_XVEMNM2N12,2002-11-01T00:00:00-03:00,41.2324
2002-12-01,2002,1,12,FUNCEX12_XVEMNM2N12,2002-12-01T00:00:00-02:00,33.6229
2003-01-01,2003,1,1,FUNCEX12_XVEMNM2N12,2003-01-01T00:00:00-02:00,43.3808
2003-02-01,2003,1,2,FUNCEX12_XVEMNM2N12,2003-02-01T00:00:00-02:00,28.441
2003-03-01,2003,1,3,FUNCEX12_XVEMNM2N12,2003-03-01T00:00:00-03:00,37.8292
2003-04-01,2003,1,4,FUNCEX12_XVEMNM2N12,2003-04-01T00:00:00-03:00,35.3124
2003-05-01,2003,1,5,FUNCEX12_XVEMNM2N12,2003-05-01T00:00:00-03:00,38.9119
2003-06-01,2003,1,6,FUNCEX12_XVEMNM2N12,2003-06-01T00:00:00-03:00,25.0455
2003-07-01,2003,1,7,FUNCEX12_XVEMNM2N12,2003-07-01T00:00:00-03:00,37.4703
2003-08-01,2003,1,8,FUNCEX12_XVEMNM2N12,2003-08-01T00:00:00-03:00,41.9202
2003-09-01,2003,1,9,FUNCEX12_XVEMNM2N12,2003-09-01T00:00:00-03:00,28.8652
2003-10-01,2003,1,10,FUNCEX12_XVEMNM2N12,2003-10-01T00:00:00-03:00,49.7993
2003-11-01,2003,1,11,FUNCEX12_XVEMNM2N12,2003-11-01T00:00:00-03:00,29.364
2003-12-01,2003,1,12,FUNCEX12_XVEMNM2N12,2003-12-01T00:00:00-02:00,56.7663
2004-01-01,2004,1,1,FUNCEX12_XVEMNM2N12,2004-01-01T00:00:00-02:00,18.5204
2004-02-01,2004,1,2,FUNCEX12_XVEMNM2N12,2004-02-01T00:00:00-02:00,48.849
2004-03-01,2004,1,3,FUNCEX12_XVEMNM2N12,2004-03-01T00:00:00-03:00,47.0992
2004-04-01,2004,1,4,FUNCEX12_XVEMNM2N12,2004-04-01T00:00:00-03:00,34.1783
2004-05-01,2004,1,5,FUNCEX12_XVEMNM2N12,2004-05-01T00:00:00-03:00,35.6655
2004-06-01,2004,1,6,FUNCEX12_XVEMNM2N12,2004-06-01T00:00:00-03:00,46.5903
2004-07-01,2004,1,7,FUNCEX12_XVEMNM2N12,2004-07-01T00:00:00-03:00,56.4788
2004-08-01,2004,1,8,FUNCEX12_XVEMNM2N12,2004-08-01T00:00:00-03:00,44.3616
2004-09-01,2004,1,9,FUNCEX12_XVEMNM2N12,2004-09-01T00:00:00-03:00,44.1502
2004-10-01,2004,1,10,FUNCEX12_XVEMNM2N12,2004-10-01T00:00:00-03:00,43.6901
