DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVMAD2N12,1996-01-01T00:00:00-02:00,82.1849
1996-02-01,1996,1,2,FUNCEX12_XVMAD2N12,1996-02-01T00:00:00-02:00,89.9176
1996-03-01,1996,1,3,FUNCEX12_XVMAD2N12,1996-03-01T00:00:00-03:00,93.2682
1996-04-01,1996,1,4,FUNCEX12_XVMAD2N12,1996-04-01T00:00:00-03:00,84.8981
1996-05-01,1996,1,5,FUNCEX12_XVMAD2N12,1996-05-01T00:00:00-03:00,85.1952
1996-06-01,1996,1,6,FUNCEX12_XVMAD2N12,1996-06-01T00:00:00-03:00,69.1723
1996-07-01,1996,1,7,FUNCEX12_XVMAD2N12,1996-07-01T00:00:00-03:00,89.3788
1996-08-01,1996,1,8,FUNCEX12_XVMAD2N12,1996-08-01T00:00:00-03:00,98.0053
1996-09-01,1996,1,9,FUNCEX12_XVMAD2N12,1996-09-01T00:00:00-03:00,93.5807
1996-10-01,1996,1,10,FUNCEX12_XVMAD2N12,1996-10-01T00:00:00-03:00,92.0791
1996-11-01,1996,1,11,FUNCEX12_XVMAD2N12,1996-11-01T00:00:00-03:00,96.0443
1996-12-01,1996,1,12,FUNCEX12_XVMAD2N12,1996-12-01T00:00:00-02:00,112.2136
1997-01-01,1997,1,1,FUNCEX12_XVMAD2N12,1997-01-01T00:00:00-02:00,77.736
1997-02-01,1997,1,2,FUNCEX12_XVMAD2N12,1997-02-01T00:00:00-02:00,79.9159
1997-03-01,1997,1,3,FUNCEX12_XVMAD2N12,1997-03-01T00:00:00-03:00,92.3592
1997-04-01,1997,1,4,FUNCEX12_XVMAD2N12,1997-04-01T00:00:00-03:00,96.0811
1997-05-01,1997,1,5,FUNCEX12_XVMAD2N12,1997-05-01T00:00:00-03:00,92.1717
1997-06-01,1997,1,6,FUNCEX12_XVMAD2N12,1997-06-01T00:00:00-03:00,99.7305
1997-07-01,1997,1,7,FUNCEX12_XVMAD2N12,1997-07-01T00:00:00-03:00,108.7177
1997-08-01,1997,1,8,FUNCEX12_XVMAD2N12,1997-08-01T00:00:00-03:00,95.8513
1997-09-01,1997,1,9,FUNCEX12_XVMAD2N12,1997-09-01T00:00:00-03:00,115.3316
1997-10-01,1997,1,10,FUNCEX12_XVMAD2N12,1997-10-01T00:00:00-03:00,124.9816
1997-11-01,1997,1,11,FUNCEX12_XVMAD2N12,1997-11-01T00:00:00-03:00,93.8501
1997-12-01,1997,1,12,FUNCEX12_XVMAD2N12,1997-12-01T00:00:00-02:00,110.6786
1998-01-01,1998,1,1,FUNCEX12_XVMAD2N12,1998-01-01T00:00:00-02:00,91.5826
1998-02-01,1998,1,2,FUNCEX12_XVMAD2N12,1998-02-01T00:00:00-02:00,91.1179
1998-03-01,1998,1,3,FUNCEX12_XVMAD2N12,1998-03-01T00:00:00-03:00,92.5803
1998-04-01,1998,1,4,FUNCEX12_XVMAD2N12,1998-04-01T00:00:00-03:00,92.6193
1998-05-01,1998,1,5,FUNCEX12_XVMAD2N12,1998-05-01T00:00:00-03:00,87.0855
1998-06-01,1998,1,6,FUNCEX12_XVMAD2N12,1998-06-01T00:00:00-03:00,72.0853
1998-07-01,1998,1,7,FUNCEX12_XVMAD2N12,1998-07-01T00:00:00-03:00,98.5623
1998-08-01,1998,1,8,FUNCEX12_XVMAD2N12,1998-08-01T00:00:00-03:00,78.4139
1998-09-01,1998,1,9,FUNCEX12_XVMAD2N12,1998-09-01T00:00:00-03:00,90.2442
1998-10-01,1998,1,10,FUNCEX12_XVMAD2N12,1998-10-01T00:00:00-03:00,103.6228
1998-11-01,1998,1,11,FUNCEX12_XVMAD2N12,1998-11-01T00:00:00-03:00,80.8827
1998-12-01,1998,1,12,FUNCEX12_XVMAD2N12,1998-12-01T00:00:00-02:00,105.2467
1999-01-01,1999,1,1,FUNCEX12_XVMAD2N12,1999-01-01T00:00:00-02:00,84.4528
1999-02-01,1999,1,2,FUNCEX12_XVMAD2N12,1999-02-01T00:00:00-02:00,86.9429
1999-03-01,1999,1,3,FUNCEX12_XVMAD2N12,1999-03-01T00:00:00-03:00,113.7708
1999-04-01,1999,1,4,FUNCEX12_XVMAD2N12,1999-04-01T00:00:00-03:00,99.7171
1999-05-01,1999,1,5,FUNCEX12_XVMAD2N12,1999-05-01T00:00:00-03:00,105.8543
1999-06-01,1999,1,6,FUNCEX12_XVMAD2N12,1999-06-01T00:00:00-03:00,112.2635
1999-07-01,1999,1,7,FUNCEX12_XVMAD2N12,1999-07-01T00:00:00-03:00,106.4567
1999-08-01,1999,1,8,FUNCEX12_XVMAD2N12,1999-08-01T00:00:00-03:00,126.4781
1999-09-01,1999,1,9,FUNCEX12_XVMAD2N12,1999-09-01T00:00:00-03:00,127.4331
1999-10-01,1999,1,10,FUNCEX12_XVMAD2N12,1999-10-01T00:00:00-03:00,125.2668
1999-11-01,1999,1,11,FUNCEX12_XVMAD2N12,1999-11-01T00:00:00-03:00,131.6468
1999-12-01,1999,1,12,FUNCEX12_XVMAD2N12,1999-12-01T00:00:00-02:00,151.3447
2000-01-01,2000,1,1,FUNCEX12_XVMAD2N12,2000-01-01T00:00:00-02:00,107.6466
2000-02-01,2000,1,2,FUNCEX12_XVMAD2N12,2000-02-01T00:00:00-02:00,119.4188
2000-03-01,2000,1,3,FUNCEX12_XVMAD2N12,2000-03-01T00:00:00-03:00,128.6944
2000-04-01,2000,1,4,FUNCEX12_XVMAD2N12,2000-04-01T00:00:00-03:00,113.9482
2000-05-01,2000,1,5,FUNCEX12_XVMAD2N12,2000-05-01T00:00:00-03:00,115.3401
2000-06-01,2000,1,6,FUNCEX12_XVMAD2N12,2000-06-01T00:00:00-03:00,114.7701
2000-07-01,2000,1,7,FUNCEX12_XVMAD2N12,2000-07-01T00:00:00-03:00,114.0994
2000-08-01,2000,1,8,FUNCEX12_XVMAD2N12,2000-08-01T00:00:00-03:00,123.8377
2000-09-01,2000,1,9,FUNCEX12_XVMAD2N12,2000-09-01T00:00:00-03:00,124.2906
2000-10-01,2000,1,10,FUNCEX12_XVMAD2N12,2000-10-01T00:00:00-03:00,122.2167
2000-11-01,2000,1,11,FUNCEX12_XVMAD2N12,2000-11-01T00:00:00-03:00,127.2545
2000-12-01,2000,1,12,FUNCEX12_XVMAD2N12,2000-12-01T00:00:00-02:00,141.9158
2001-01-01,2001,1,1,FUNCEX12_XVMAD2N12,2001-01-01T00:00:00-02:00,108.5485
2001-02-01,2001,1,2,FUNCEX12_XVMAD2N12,2001-02-01T00:00:00-02:00,113.9766
2001-03-01,2001,1,3,FUNCEX12_XVMAD2N12,2001-03-01T00:00:00-03:00,124.9912
2001-04-01,2001,1,4,FUNCEX12_XVMAD2N12,2001-04-01T00:00:00-03:00,120.3344
2001-05-01,2001,1,5,FUNCEX12_XVMAD2N12,2001-05-01T00:00:00-03:00,135.9275
2001-06-01,2001,1,6,FUNCEX12_XVMAD2N12,2001-06-01T00:00:00-03:00,117.1369
2001-07-01,2001,1,7,FUNCEX12_XVMAD2N12,2001-07-01T00:00:00-03:00,121.9275
2001-08-01,2001,1,8,FUNCEX12_XVMAD2N12,2001-08-01T00:00:00-03:00,142.6272
2001-09-01,2001,1,9,FUNCEX12_XVMAD2N12,2001-09-01T00:00:00-03:00,118.6821
2001-10-01,2001,1,10,FUNCEX12_XVMAD2N12,2001-10-01T00:00:00-03:00,133.4007
2001-11-01,2001,1,11,FUNCEX12_XVMAD2N12,2001-11-01T00:00:00-03:00,123.7211
2001-12-01,2001,1,12,FUNCEX12_XVMAD2N12,2001-12-01T00:00:00-02:00,115.6761
2002-01-01,2002,1,1,FUNCEX12_XVMAD2N12,2002-01-01T00:00:00-02:00,115.4452
2002-02-01,2002,1,2,FUNCEX12_XVMAD2N12,2002-02-01T00:00:00-02:00,117.4768
2002-03-01,2002,1,3,FUNCEX12_XVMAD2N12,2002-03-01T00:00:00-03:00,129.7496
2002-04-01,2002,1,4,FUNCEX12_XVMAD2N12,2002-04-01T00:00:00-03:00,139.6625
2002-05-01,2002,1,5,FUNCEX12_XVMAD2N12,2002-05-01T00:00:00-03:00,136.7927
2002-06-01,2002,1,6,FUNCEX12_XVMAD2N12,2002-06-01T00:00:00-03:00,138.5853
2002-07-01,2002,1,7,FUNCEX12_XVMAD2N12,2002-07-01T00:00:00-03:00,161.9598
2002-08-01,2002,1,8,FUNCEX12_XVMAD2N12,2002-08-01T00:00:00-03:00,161.9899
2002-09-01,2002,1,9,FUNCEX12_XVMAD2N12,2002-09-01T00:00:00-03:00,155.0934
