DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVMAQINF2N12,1996-01-01T00:00:00-02:00,70.5537
1996-02-01,1996,1,2,FUNCEX12_XVMAQINF2N12,1996-02-01T00:00:00-02:00,75.4844
1996-03-01,1996,1,3,FUNCEX12_XVMAQINF2N12,1996-03-01T00:00:00-03:00,79.6671
1996-04-01,1996,1,4,FUNCEX12_XVMAQINF2N12,1996-04-01T00:00:00-03:00,100.4335
1996-05-01,1996,1,5,FUNCEX12_XVMAQINF2N12,1996-05-01T00:00:00-03:00,99.3931
1996-06-01,1996,1,6,FUNCEX12_XVMAQINF2N12,1996-06-01T00:00:00-03:00,78.2436
1996-07-01,1996,1,7,FUNCEX12_XVMAQINF2N12,1996-07-01T00:00:00-03:00,83.6731
1996-08-01,1996,1,8,FUNCEX12_XVMAQINF2N12,1996-08-01T00:00:00-03:00,95.2758
1996-09-01,1996,1,9,FUNCEX12_XVMAQINF2N12,1996-09-01T00:00:00-03:00,95.9628
1996-10-01,1996,1,10,FUNCEX12_XVMAQINF2N12,1996-10-01T00:00:00-03:00,90.7655
1996-11-01,1996,1,11,FUNCEX12_XVMAQINF2N12,1996-11-01T00:00:00-03:00,101.0418
1996-12-01,1996,1,12,FUNCEX12_XVMAQINF2N12,1996-12-01T00:00:00-02:00,98.7126
1997-01-01,1997,1,1,FUNCEX12_XVMAQINF2N12,1997-01-01T00:00:00-02:00,85.6106
1997-02-01,1997,1,2,FUNCEX12_XVMAQINF2N12,1997-02-01T00:00:00-02:00,81.882
1997-03-01,1997,1,3,FUNCEX12_XVMAQINF2N12,1997-03-01T00:00:00-03:00,92.7395
1997-04-01,1997,1,4,FUNCEX12_XVMAQINF2N12,1997-04-01T00:00:00-03:00,104.8807
1997-05-01,1997,1,5,FUNCEX12_XVMAQINF2N12,1997-05-01T00:00:00-03:00,103.9694
1997-06-01,1997,1,6,FUNCEX12_XVMAQINF2N12,1997-06-01T00:00:00-03:00,94.2951
1997-07-01,1997,1,7,FUNCEX12_XVMAQINF2N12,1997-07-01T00:00:00-03:00,96.9774
1997-08-01,1997,1,8,FUNCEX12_XVMAQINF2N12,1997-08-01T00:00:00-03:00,110.9118
1997-09-01,1997,1,9,FUNCEX12_XVMAQINF2N12,1997-09-01T00:00:00-03:00,120.422
1997-10-01,1997,1,10,FUNCEX12_XVMAQINF2N12,1997-10-01T00:00:00-03:00,143.9492
1997-11-01,1997,1,11,FUNCEX12_XVMAQINF2N12,1997-11-01T00:00:00-03:00,116.2289
1997-12-01,1997,1,12,FUNCEX12_XVMAQINF2N12,1997-12-01T00:00:00-02:00,114.8339
1998-01-01,1998,1,1,FUNCEX12_XVMAQINF2N12,1998-01-01T00:00:00-02:00,77.4545
1998-02-01,1998,1,2,FUNCEX12_XVMAQINF2N12,1998-02-01T00:00:00-02:00,90.9386
1998-03-01,1998,1,3,FUNCEX12_XVMAQINF2N12,1998-03-01T00:00:00-03:00,141.8798
1998-04-01,1998,1,4,FUNCEX12_XVMAQINF2N12,1998-04-01T00:00:00-03:00,113.715
1998-05-01,1998,1,5,FUNCEX12_XVMAQINF2N12,1998-05-01T00:00:00-03:00,112.4333
1998-06-01,1998,1,6,FUNCEX12_XVMAQINF2N12,1998-06-01T00:00:00-03:00,124.4942
1998-07-01,1998,1,7,FUNCEX12_XVMAQINF2N12,1998-07-01T00:00:00-03:00,113.3902
1998-08-01,1998,1,8,FUNCEX12_XVMAQINF2N12,1998-08-01T00:00:00-03:00,101.4069
1998-09-01,1998,1,9,FUNCEX12_XVMAQINF2N12,1998-09-01T00:00:00-03:00,112.1818
1998-10-01,1998,1,10,FUNCEX12_XVMAQINF2N12,1998-10-01T00:00:00-03:00,104.2489
1998-11-01,1998,1,11,FUNCEX12_XVMAQINF2N12,1998-11-01T00:00:00-03:00,104.2892
1998-12-01,1998,1,12,FUNCEX12_XVMAQINF2N12,1998-12-01T00:00:00-02:00,122.9486
1999-01-01,1999,1,1,FUNCEX12_XVMAQINF2N12,1999-01-01T00:00:00-02:00,78.1122
1999-02-01,1999,1,2,FUNCEX12_XVMAQINF2N12,1999-02-01T00:00:00-02:00,92.0747
1999-03-01,1999,1,3,FUNCEX12_XVMAQINF2N12,1999-03-01T00:00:00-03:00,122.7374
1999-04-01,1999,1,4,FUNCEX12_XVMAQINF2N12,1999-04-01T00:00:00-03:00,93.8241
1999-05-01,1999,1,5,FUNCEX12_XVMAQINF2N12,1999-05-01T00:00:00-03:00,144.9434
1999-06-01,1999,1,6,FUNCEX12_XVMAQINF2N12,1999-06-01T00:00:00-03:00,134.6079
1999-07-01,1999,1,7,FUNCEX12_XVMAQINF2N12,1999-07-01T00:00:00-03:00,124.0814
1999-08-01,1999,1,8,FUNCEX12_XVMAQINF2N12,1999-08-01T00:00:00-03:00,148.7055
1999-09-01,1999,1,9,FUNCEX12_XVMAQINF2N12,1999-09-01T00:00:00-03:00,149.8227
1999-10-01,1999,1,10,FUNCEX12_XVMAQINF2N12,1999-10-01T00:00:00-03:00,194.6818
1999-11-01,1999,1,11,FUNCEX12_XVMAQINF2N12,1999-11-01T00:00:00-03:00,155.3299
1999-12-01,1999,1,12,FUNCEX12_XVMAQINF2N12,1999-12-01T00:00:00-02:00,188.2919
2000-01-01,2000,1,1,FUNCEX12_XVMAQINF2N12,2000-01-01T00:00:00-02:00,159.2822
2000-02-01,2000,1,2,FUNCEX12_XVMAQINF2N12,2000-02-01T00:00:00-02:00,189.3063
2000-03-01,2000,1,3,FUNCEX12_XVMAQINF2N12,2000-03-01T00:00:00-03:00,204.2693
2000-04-01,2000,1,4,FUNCEX12_XVMAQINF2N12,2000-04-01T00:00:00-03:00,168.1312
2000-05-01,2000,1,5,FUNCEX12_XVMAQINF2N12,2000-05-01T00:00:00-03:00,189.5071
