DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVMETBAS2N12,1996-01-01T00:00:00-02:00,679.2512
1996-02-01,1996,1,2,FUNCEX12_XVMETBAS2N12,1996-02-01T00:00:00-02:00,597.3034
1996-03-01,1996,1,3,FUNCEX12_XVMETBAS2N12,1996-03-01T00:00:00-03:00,438.733
1996-04-01,1996,1,4,FUNCEX12_XVMETBAS2N12,1996-04-01T00:00:00-03:00,622.7592
1996-05-01,1996,1,5,FUNCEX12_XVMETBAS2N12,1996-05-01T00:00:00-03:00,640.6415
1996-06-01,1996,1,6,FUNCEX12_XVMETBAS2N12,1996-06-01T00:00:00-03:00,547.3022
1996-07-01,1996,1,7,FUNCEX12_XVMETBAS2N12,1996-07-01T00:00:00-03:00,536.0423
1996-08-01,1996,1,8,FUNCEX12_XVMETBAS2N12,1996-08-01T00:00:00-03:00,542.0507
1996-09-01,1996,1,9,FUNCEX12_XVMETBAS2N12,1996-09-01T00:00:00-03:00,476.9728
1996-10-01,1996,1,10,FUNCEX12_XVMETBAS2N12,1996-10-01T00:00:00-03:00,525.3829
1996-11-01,1996,1,11,FUNCEX12_XVMETBAS2N12,1996-11-01T00:00:00-03:00,447.8034
1996-12-01,1996,1,12,FUNCEX12_XVMETBAS2N12,1996-12-01T00:00:00-02:00,525.8877
1997-01-01,1997,1,1,FUNCEX12_XVMETBAS2N12,1997-01-01T00:00:00-02:00,566.7525
1997-02-01,1997,1,2,FUNCEX12_XVMETBAS2N12,1997-02-01T00:00:00-02:00,419.2188
1997-03-01,1997,1,3,FUNCEX12_XVMETBAS2N12,1997-03-01T00:00:00-03:00,506.3435
1997-04-01,1997,1,4,FUNCEX12_XVMETBAS2N12,1997-04-01T00:00:00-03:00,567.6704
1997-05-01,1997,1,5,FUNCEX12_XVMETBAS2N12,1997-05-01T00:00:00-03:00,449.7077
1997-06-01,1997,1,6,FUNCEX12_XVMETBAS2N12,1997-06-01T00:00:00-03:00,498.7847
1997-07-01,1997,1,7,FUNCEX12_XVMETBAS2N12,1997-07-01T00:00:00-03:00,583.8984
1997-08-01,1997,1,8,FUNCEX12_XVMETBAS2N12,1997-08-01T00:00:00-03:00,554.15
1997-09-01,1997,1,9,FUNCEX12_XVMETBAS2N12,1997-09-01T00:00:00-03:00,558.8608
1997-10-01,1997,1,10,FUNCEX12_XVMETBAS2N12,1997-10-01T00:00:00-03:00,553.5069
1997-11-01,1997,1,11,FUNCEX12_XVMETBAS2N12,1997-11-01T00:00:00-03:00,459.66
1997-12-01,1997,1,12,FUNCEX12_XVMETBAS2N12,1997-12-01T00:00:00-02:00,546.3637
1998-01-01,1998,1,1,FUNCEX12_XVMETBAS2N12,1998-01-01T00:00:00-02:00,541.1057
1998-02-01,1998,1,2,FUNCEX12_XVMETBAS2N12,1998-02-01T00:00:00-02:00,474.6187
1998-03-01,1998,1,3,FUNCEX12_XVMETBAS2N12,1998-03-01T00:00:00-03:00,547.9335
1998-04-01,1998,1,4,FUNCEX12_XVMETBAS2N12,1998-04-01T00:00:00-03:00,532.183
1998-05-01,1998,1,5,FUNCEX12_XVMETBAS2N12,1998-05-01T00:00:00-03:00,490.3331
1998-06-01,1998,1,6,FUNCEX12_XVMETBAS2N12,1998-06-01T00:00:00-03:00,465.8433
1998-07-01,1998,1,7,FUNCEX12_XVMETBAS2N12,1998-07-01T00:00:00-03:00,470.0143
1998-08-01,1998,1,8,FUNCEX12_XVMETBAS2N12,1998-08-01T00:00:00-03:00,312.6927
1998-09-01,1998,1,9,FUNCEX12_XVMETBAS2N12,1998-09-01T00:00:00-03:00,482.2759
1998-10-01,1998,1,10,FUNCEX12_XVMETBAS2N12,1998-10-01T00:00:00-03:00,482.673
1998-11-01,1998,1,11,FUNCEX12_XVMETBAS2N12,1998-11-01T00:00:00-03:00,375.1995
1998-12-01,1998,1,12,FUNCEX12_XVMETBAS2N12,1998-12-01T00:00:00-02:00,411.2897
1999-01-01,1999,1,1,FUNCEX12_XVMETBAS2N12,1999-01-01T00:00:00-02:00,391.4126
1999-02-01,1999,1,2,FUNCEX12_XVMETBAS2N12,1999-02-01T00:00:00-02:00,420.0993
1999-03-01,1999,1,3,FUNCEX12_XVMETBAS2N12,1999-03-01T00:00:00-03:00,443.8296
1999-04-01,1999,1,4,FUNCEX12_XVMETBAS2N12,1999-04-01T00:00:00-03:00,376.5869
1999-05-01,1999,1,5,FUNCEX12_XVMETBAS2N12,1999-05-01T00:00:00-03:00,469.3816
1999-06-01,1999,1,6,FUNCEX12_XVMETBAS2N12,1999-06-01T00:00:00-03:00,428.7694
1999-07-01,1999,1,7,FUNCEX12_XVMETBAS2N12,1999-07-01T00:00:00-03:00,432.0289
1999-08-01,1999,1,8,FUNCEX12_XVMETBAS2N12,1999-08-01T00:00:00-03:00,388.6878
1999-09-01,1999,1,9,FUNCEX12_XVMETBAS2N12,1999-09-01T00:00:00-03:00,439.9402
1999-10-01,1999,1,10,FUNCEX12_XVMETBAS2N12,1999-10-01T00:00:00-03:00,455.983
1999-11-01,1999,1,11,FUNCEX12_XVMETBAS2N12,1999-11-01T00:00:00-03:00,441.2293
1999-12-01,1999,1,12,FUNCEX12_XVMETBAS2N12,1999-12-01T00:00:00-02:00,557.978
2000-01-01,2000,1,1,FUNCEX12_XVMETBAS2N12,2000-01-01T00:00:00-02:00,485.242
2000-02-01,2000,1,2,FUNCEX12_XVMETBAS2N12,2000-02-01T00:00:00-02:00,559.7232
2000-03-01,2000,1,3,FUNCEX12_XVMETBAS2N12,2000-03-01T00:00:00-03:00,592.7598
2000-04-01,2000,1,4,FUNCEX12_XVMETBAS2N12,2000-04-01T00:00:00-03:00,452.0276
2000-05-01,2000,1,5,FUNCEX12_XVMETBAS2N12,2000-05-01T00:00:00-03:00,538.5767
2000-06-01,2000,1,6,FUNCEX12_XVMETBAS2N12,2000-06-01T00:00:00-03:00,493.0926
2000-07-01,2000,1,7,FUNCEX12_XVMETBAS2N12,2000-07-01T00:00:00-03:00,493.9921
2000-08-01,2000,1,8,FUNCEX12_XVMETBAS2N12,2000-08-01T00:00:00-03:00,537.0394
2000-09-01,2000,1,9,FUNCEX12_XVMETBAS2N12,2000-09-01T00:00:00-03:00,527.7807
2000-10-01,2000,1,10,FUNCEX12_XVMETBAS2N12,2000-10-01T00:00:00-03:00,429.8111
2000-11-01,2000,1,11,FUNCEX12_XVMETBAS2N12,2000-11-01T00:00:00-03:00,493.664
2000-12-01,2000,1,12,FUNCEX12_XVMETBAS2N12,2000-12-01T00:00:00-02:00,527.5722
2001-01-01,2001,1,1,FUNCEX12_XVMETBAS2N12,2001-01-01T00:00:00-02:00,460.5971
2001-02-01,2001,1,2,FUNCEX12_XVMETBAS2N12,2001-02-01T00:00:00-02:00,454.9841
2001-03-01,2001,1,3,FUNCEX12_XVMETBAS2N12,2001-03-01T00:00:00-03:00,497.3073
