DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVOUTTRANS2N12,1996-01-01T00:00:00-02:00,92.805
1996-02-01,1996,1,2,FUNCEX12_XVOUTTRANS2N12,1996-02-01T00:00:00-02:00,58.8666
1996-03-01,1996,1,3,FUNCEX12_XVOUTTRANS2N12,1996-03-01T00:00:00-03:00,92.0639
1996-04-01,1996,1,4,FUNCEX12_XVOUTTRANS2N12,1996-04-01T00:00:00-03:00,45.9605
1996-05-01,1996,1,5,FUNCEX12_XVOUTTRANS2N12,1996-05-01T00:00:00-03:00,61.2692
1996-06-01,1996,1,6,FUNCEX12_XVOUTTRANS2N12,1996-06-01T00:00:00-03:00,26.0539
1996-07-01,1996,1,7,FUNCEX12_XVOUTTRANS2N12,1996-07-01T00:00:00-03:00,54.3118
1996-08-01,1996,1,8,FUNCEX12_XVOUTTRANS2N12,1996-08-01T00:00:00-03:00,34.1817
1996-09-01,1996,1,9,FUNCEX12_XVOUTTRANS2N12,1996-09-01T00:00:00-03:00,98.041
1996-10-01,1996,1,10,FUNCEX12_XVOUTTRANS2N12,1996-10-01T00:00:00-03:00,31.9335
1996-11-01,1996,1,11,FUNCEX12_XVOUTTRANS2N12,1996-11-01T00:00:00-03:00,91.7988
1996-12-01,1996,1,12,FUNCEX12_XVOUTTRANS2N12,1996-12-01T00:00:00-02:00,112.036
1997-01-01,1997,1,1,FUNCEX12_XVOUTTRANS2N12,1997-01-01T00:00:00-02:00,102.1733
1997-02-01,1997,1,2,FUNCEX12_XVOUTTRANS2N12,1997-02-01T00:00:00-02:00,57.2489
1997-03-01,1997,1,3,FUNCEX12_XVOUTTRANS2N12,1997-03-01T00:00:00-03:00,19.7045
1997-04-01,1997,1,4,FUNCEX12_XVOUTTRANS2N12,1997-04-01T00:00:00-03:00,48.8872
1997-05-01,1997,1,5,FUNCEX12_XVOUTTRANS2N12,1997-05-01T00:00:00-03:00,66.6487
1997-06-01,1997,1,6,FUNCEX12_XVOUTTRANS2N12,1997-06-01T00:00:00-03:00,90.5376
1997-07-01,1997,1,7,FUNCEX12_XVOUTTRANS2N12,1997-07-01T00:00:00-03:00,66.5586
1997-08-01,1997,1,8,FUNCEX12_XVOUTTRANS2N12,1997-08-01T00:00:00-03:00,300.8439
1997-09-01,1997,1,9,FUNCEX12_XVOUTTRANS2N12,1997-09-01T00:00:00-03:00,68.9016
1997-10-01,1997,1,10,FUNCEX12_XVOUTTRANS2N12,1997-10-01T00:00:00-03:00,106.2865
1997-11-01,1997,1,11,FUNCEX12_XVOUTTRANS2N12,1997-11-01T00:00:00-03:00,88.7711
1997-12-01,1997,1,12,FUNCEX12_XVOUTTRANS2N12,1997-12-01T00:00:00-02:00,116.1132
1998-01-01,1998,1,1,FUNCEX12_XVOUTTRANS2N12,1998-01-01T00:00:00-02:00,50.391
1998-02-01,1998,1,2,FUNCEX12_XVOUTTRANS2N12,1998-02-01T00:00:00-02:00,110.0121
1998-03-01,1998,1,3,FUNCEX12_XVOUTTRANS2N12,1998-03-01T00:00:00-03:00,114.1882
1998-04-01,1998,1,4,FUNCEX12_XVOUTTRANS2N12,1998-04-01T00:00:00-03:00,120.4171
1998-05-01,1998,1,5,FUNCEX12_XVOUTTRANS2N12,1998-05-01T00:00:00-03:00,187.5292
1998-06-01,1998,1,6,FUNCEX12_XVOUTTRANS2N12,1998-06-01T00:00:00-03:00,140.2734
1998-07-01,1998,1,7,FUNCEX12_XVOUTTRANS2N12,1998-07-01T00:00:00-03:00,184.4439
1998-08-01,1998,1,8,FUNCEX12_XVOUTTRANS2N12,1998-08-01T00:00:00-03:00,136.9246
1998-09-01,1998,1,9,FUNCEX12_XVOUTTRANS2N12,1998-09-01T00:00:00-03:00,121.6659
1998-10-01,1998,1,10,FUNCEX12_XVOUTTRANS2N12,1998-10-01T00:00:00-03:00,133.2403
1998-11-01,1998,1,11,FUNCEX12_XVOUTTRANS2N12,1998-11-01T00:00:00-03:00,193.8214
1998-12-01,1998,1,12,FUNCEX12_XVOUTTRANS2N12,1998-12-01T00:00:00-02:00,136.1984
1999-01-01,1999,1,1,FUNCEX12_XVOUTTRANS2N12,1999-01-01T00:00:00-02:00,120.1275
1999-02-01,1999,1,2,FUNCEX12_XVOUTTRANS2N12,1999-02-01T00:00:00-02:00,121.5666
1999-03-01,1999,1,3,FUNCEX12_XVOUTTRANS2N12,1999-03-01T00:00:00-03:00,111.246
1999-04-01,1999,1,4,FUNCEX12_XVOUTTRANS2N12,1999-04-01T00:00:00-03:00,209.7534
1999-05-01,1999,1,5,FUNCEX12_XVOUTTRANS2N12,1999-05-01T00:00:00-03:00,150.5039
1999-06-01,1999,1,6,FUNCEX12_XVOUTTRANS2N12,1999-06-01T00:00:00-03:00,214.256
1999-07-01,1999,1,7,FUNCEX12_XVOUTTRANS2N12,1999-07-01T00:00:00-03:00,178.7037
1999-08-01,1999,1,8,FUNCEX12_XVOUTTRANS2N12,1999-08-01T00:00:00-03:00,208.4258
1999-09-01,1999,1,9,FUNCEX12_XVOUTTRANS2N12,1999-09-01T00:00:00-03:00,214.5512
1999-10-01,1999,1,10,FUNCEX12_XVOUTTRANS2N12,1999-10-01T00:00:00-03:00,206.182
1999-11-01,1999,1,11,FUNCEX12_XVOUTTRANS2N12,1999-11-01T00:00:00-03:00,178.3146
1999-12-01,1999,1,12,FUNCEX12_XVOUTTRANS2N12,1999-12-01T00:00:00-02:00,134.2017
2000-01-01,2000,1,1,FUNCEX12_XVOUTTRANS2N12,2000-01-01T00:00:00-02:00,176.2746
2000-02-01,2000,1,2,FUNCEX12_XVOUTTRANS2N12,2000-02-01T00:00:00-02:00,304.2498
2000-03-01,2000,1,3,FUNCEX12_XVOUTTRANS2N12,2000-03-01T00:00:00-03:00,356.0967
2000-04-01,2000,1,4,FUNCEX12_XVOUTTRANS2N12,2000-04-01T00:00:00-03:00,268.0447
2000-05-01,2000,1,5,FUNCEX12_XVOUTTRANS2N12,2000-05-01T00:00:00-03:00,390.8931
2000-06-01,2000,1,6,FUNCEX12_XVOUTTRANS2N12,2000-06-01T00:00:00-03:00,272.4363
2000-07-01,2000,1,7,FUNCEX12_XVOUTTRANS2N12,2000-07-01T00:00:00-03:00,252.7974
2000-08-01,2000,1,8,FUNCEX12_XVOUTTRANS2N12,2000-08-01T00:00:00-03:00,510.2301
2000-09-01,2000,1,9,FUNCEX12_XVOUTTRANS2N12,2000-09-01T00:00:00-03:00,385.5601
2000-10-01,2000,1,10,FUNCEX12_XVOUTTRANS2N12,2000-10-01T00:00:00-03:00,296.9429
2000-11-01,2000,1,11,FUNCEX12_XVOUTTRANS2N12,2000-11-01T00:00:00-03:00,230.4848
2000-12-01,2000,1,12,FUNCEX12_XVOUTTRANS2N12,2000-12-01T00:00:00-02:00,362.6156
2001-01-01,2001,1,1,FUNCEX12_XVOUTTRANS2N12,2001-01-01T00:00:00-02:00,339.4282
2001-02-01,2001,1,2,FUNCEX12_XVOUTTRANS2N12,2001-02-01T00:00:00-02:00,259.3082
2001-03-01,2001,1,3,FUNCEX12_XVOUTTRANS2N12,2001-03-01T00:00:00-03:00,526.3527
2001-04-01,2001,1,4,FUNCEX12_XVOUTTRANS2N12,2001-04-01T00:00:00-03:00,295.1931
2001-05-01,2001,1,5,FUNCEX12_XVOUTTRANS2N12,2001-05-01T00:00:00-03:00,338.6065
2001-06-01,2001,1,6,FUNCEX12_XVOUTTRANS2N12,2001-06-01T00:00:00-03:00,337.479
2001-07-01,2001,1,7,FUNCEX12_XVOUTTRANS2N12,2001-07-01T00:00:00-03:00,208.1004
2001-08-01,2001,1,8,FUNCEX12_XVOUTTRANS2N12,2001-08-01T00:00:00-03:00,505.1026
2001-09-01,2001,1,9,FUNCEX12_XVOUTTRANS2N12,2001-09-01T00:00:00-03:00,331.8328
2001-10-01,2001,1,10,FUNCEX12_XVOUTTRANS2N12,2001-10-01T00:00:00-03:00,190.7958
2001-11-01,2001,1,11,FUNCEX12_XVOUTTRANS2N12,2001-11-01T00:00:00-03:00,241.6278
2001-12-01,2001,1,12,FUNCEX12_XVOUTTRANS2N12,2001-12-01T00:00:00-02:00,299.3707
2002-01-01,2002,1,1,FUNCEX12_XVOUTTRANS2N12,2002-01-01T00:00:00-02:00,547.7341
2002-02-01,2002,1,2,FUNCEX12_XVOUTTRANS2N12,2002-02-01T00:00:00-02:00,169.5337
2002-03-01,2002,1,3,FUNCEX12_XVOUTTRANS2N12,2002-03-01T00:00:00-03:00,223.8927
2002-04-01,2002,1,4,FUNCEX12_XVOUTTRANS2N12,2002-04-01T00:00:00-03:00,213.404
2002-05-01,2002,1,5,FUNCEX12_XVOUTTRANS2N12,2002-05-01T00:00:00-03:00,159.4006
2002-06-01,2002,1,6,FUNCEX12_XVOUTTRANS2N12,2002-06-01T00:00:00-03:00,180.1647
2002-07-01,2002,1,7,FUNCEX12_XVOUTTRANS2N12,2002-07-01T00:00:00-03:00,256.8547
2002-08-01,2002,1,8,FUNCEX12_XVOUTTRANS2N12,2002-08-01T00:00:00-03:00,208.6215
2002-09-01,2002,1,9,FUNCEX12_XVOUTTRANS2N12,2002-09-01T00:00:00-03:00,190.7426
2002-10-01,2002,1,10,FUNCEX12_XVOUTTRANS2N12,2002-10-01T00:00:00-03:00,293.045
2002-11-01,2002,1,11,FUNCEX12_XVOUTTRANS2N12,2002-11-01T00:00:00-03:00,171.52
2002-12-01,2002,1,12,FUNCEX12_XVOUTTRANS2N12,2002-12-01T00:00:00-02:00,361.8787
2003-01-01,2003,1,1,FUNCEX12_XVOUTTRANS2N12,2003-01-01T00:00:00-02:00,199.3362
2003-02-01,2003,1,2,FUNCEX12_XVOUTTRANS2N12,2003-02-01T00:00:00-02:00,163.877
2003-03-01,2003,1,3,FUNCEX12_XVOUTTRANS2N12,2003-03-01T00:00:00-03:00,131.8965
2003-04-01,2003,1,4,FUNCEX12_XVOUTTRANS2N12,2003-04-01T00:00:00-03:00,164.4032
2003-05-01,2003,1,5,FUNCEX12_XVOUTTRANS2N12,2003-05-01T00:00:00-03:00,225.2974
2003-06-01,2003,1,6,FUNCEX12_XVOUTTRANS2N12,2003-06-01T00:00:00-03:00,197.7956
2003-07-01,2003,1,7,FUNCEX12_XVOUTTRANS2N12,2003-07-01T00:00:00-03:00,151.5511
2003-08-01,2003,1,8,FUNCEX12_XVOUTTRANS2N12,2003-08-01T00:00:00-03:00,171.4992
2003-09-01,2003,1,9,FUNCEX12_XVOUTTRANS2N12,2003-09-01T00:00:00-03:00,160.411
2003-10-01,2003,1,10,FUNCEX12_XVOUTTRANS2N12,2003-10-01T00:00:00-03:00,190.9984
