DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVPETCOMB2N12,1996-01-01T00:00:00-02:00,57.1968
1996-02-01,1996,1,2,FUNCEX12_XVPETCOMB2N12,1996-02-01T00:00:00-02:00,52.8505
1996-03-01,1996,1,3,FUNCEX12_XVPETCOMB2N12,1996-03-01T00:00:00-03:00,47.1377
1996-04-01,1996,1,4,FUNCEX12_XVPETCOMB2N12,1996-04-01T00:00:00-03:00,20.3831
1996-05-01,1996,1,5,FUNCEX12_XVPETCOMB2N12,1996-05-01T00:00:00-03:00,33.839
1996-06-01,1996,1,6,FUNCEX12_XVPETCOMB2N12,1996-06-01T00:00:00-03:00,20.902
1996-07-01,1996,1,7,FUNCEX12_XVPETCOMB2N12,1996-07-01T00:00:00-03:00,42.6563
1996-08-01,1996,1,8,FUNCEX12_XVPETCOMB2N12,1996-08-01T00:00:00-03:00,65.0639
1996-09-01,1996,1,9,FUNCEX12_XVPETCOMB2N12,1996-09-01T00:00:00-03:00,41.2252
1996-10-01,1996,1,10,FUNCEX12_XVPETCOMB2N12,1996-10-01T00:00:00-03:00,47.376
1996-11-01,1996,1,11,FUNCEX12_XVPETCOMB2N12,1996-11-01T00:00:00-03:00,33.1601
1996-12-01,1996,1,12,FUNCEX12_XVPETCOMB2N12,1996-12-01T00:00:00-02:00,31.424
1997-01-01,1997,1,1,FUNCEX12_XVPETCOMB2N12,1997-01-01T00:00:00-02:00,37.1845
1997-02-01,1997,1,2,FUNCEX12_XVPETCOMB2N12,1997-02-01T00:00:00-02:00,22.8671
1997-03-01,1997,1,3,FUNCEX12_XVPETCOMB2N12,1997-03-01T00:00:00-03:00,11.1919
1997-04-01,1997,1,4,FUNCEX12_XVPETCOMB2N12,1997-04-01T00:00:00-03:00,35.8982
1997-05-01,1997,1,5,FUNCEX12_XVPETCOMB2N12,1997-05-01T00:00:00-03:00,11.0952
1997-06-01,1997,1,6,FUNCEX12_XVPETCOMB2N12,1997-06-01T00:00:00-03:00,24.293
1997-07-01,1997,1,7,FUNCEX12_XVPETCOMB2N12,1997-07-01T00:00:00-03:00,49.1846
1997-08-01,1997,1,8,FUNCEX12_XVPETCOMB2N12,1997-08-01T00:00:00-03:00,48.2322
1997-09-01,1997,1,9,FUNCEX12_XVPETCOMB2N12,1997-09-01T00:00:00-03:00,36.2729
1997-10-01,1997,1,10,FUNCEX12_XVPETCOMB2N12,1997-10-01T00:00:00-03:00,43.7631
1997-11-01,1997,1,11,FUNCEX12_XVPETCOMB2N12,1997-11-01T00:00:00-03:00,20.6203
1997-12-01,1997,1,12,FUNCEX12_XVPETCOMB2N12,1997-12-01T00:00:00-02:00,14.8749
1998-01-01,1998,1,1,FUNCEX12_XVPETCOMB2N12,1998-01-01T00:00:00-02:00,22.1337
1998-02-01,1998,1,2,FUNCEX12_XVPETCOMB2N12,1998-02-01T00:00:00-02:00,6.5934
1998-03-01,1998,1,3,FUNCEX12_XVPETCOMB2N12,1998-03-01T00:00:00-03:00,20.8041
1998-04-01,1998,1,4,FUNCEX12_XVPETCOMB2N12,1998-04-01T00:00:00-03:00,23.1606
1998-05-01,1998,1,5,FUNCEX12_XVPETCOMB2N12,1998-05-01T00:00:00-03:00,27.5892
1998-06-01,1998,1,6,FUNCEX12_XVPETCOMB2N12,1998-06-01T00:00:00-03:00,29.3405
1998-07-01,1998,1,7,FUNCEX12_XVPETCOMB2N12,1998-07-01T00:00:00-03:00,61.7166
1998-08-01,1998,1,8,FUNCEX12_XVPETCOMB2N12,1998-08-01T00:00:00-03:00,12.2609
1998-09-01,1998,1,9,FUNCEX12_XVPETCOMB2N12,1998-09-01T00:00:00-03:00,57.1914
1998-10-01,1998,1,10,FUNCEX12_XVPETCOMB2N12,1998-10-01T00:00:00-03:00,36.8686
1998-11-01,1998,1,11,FUNCEX12_XVPETCOMB2N12,1998-11-01T00:00:00-03:00,48.2023
1998-12-01,1998,1,12,FUNCEX12_XVPETCOMB2N12,1998-12-01T00:00:00-02:00,26.93
1999-01-01,1999,1,1,FUNCEX12_XVPETCOMB2N12,1999-01-01T00:00:00-02:00,25.5578
1999-02-01,1999,1,2,FUNCEX12_XVPETCOMB2N12,1999-02-01T00:00:00-02:00,12.3171
1999-03-01,1999,1,3,FUNCEX12_XVPETCOMB2N12,1999-03-01T00:00:00-03:00,12.9472
1999-04-01,1999,1,4,FUNCEX12_XVPETCOMB2N12,1999-04-01T00:00:00-03:00,23.2236
1999-05-01,1999,1,5,FUNCEX12_XVPETCOMB2N12,1999-05-01T00:00:00-03:00,38.9406
1999-06-01,1999,1,6,FUNCEX12_XVPETCOMB2N12,1999-06-01T00:00:00-03:00,51.1042
1999-07-01,1999,1,7,FUNCEX12_XVPETCOMB2N12,1999-07-01T00:00:00-03:00,58.7392
1999-08-01,1999,1,8,FUNCEX12_XVPETCOMB2N12,1999-08-01T00:00:00-03:00,61.4946
1999-09-01,1999,1,9,FUNCEX12_XVPETCOMB2N12,1999-09-01T00:00:00-03:00,44.9288
1999-10-01,1999,1,10,FUNCEX12_XVPETCOMB2N12,1999-10-01T00:00:00-03:00,59.8965
1999-11-01,1999,1,11,FUNCEX12_XVPETCOMB2N12,1999-11-01T00:00:00-03:00,28.2458
1999-12-01,1999,1,12,FUNCEX12_XVPETCOMB2N12,1999-12-01T00:00:00-02:00,42.4215
2000-01-01,2000,1,1,FUNCEX12_XVPETCOMB2N12,2000-01-01T00:00:00-02:00,48.0448
2000-02-01,2000,1,2,FUNCEX12_XVPETCOMB2N12,2000-02-01T00:00:00-02:00,29.4058
2000-03-01,2000,1,3,FUNCEX12_XVPETCOMB2N12,2000-03-01T00:00:00-03:00,69.547
2000-04-01,2000,1,4,FUNCEX12_XVPETCOMB2N12,2000-04-01T00:00:00-03:00,8.2157
2000-05-01,2000,1,5,FUNCEX12_XVPETCOMB2N12,2000-05-01T00:00:00-03:00,52.6571
2000-06-01,2000,1,6,FUNCEX12_XVPETCOMB2N12,2000-06-01T00:00:00-03:00,41.123
2000-07-01,2000,1,7,FUNCEX12_XVPETCOMB2N12,2000-07-01T00:00:00-03:00,135.3802
2000-08-01,2000,1,8,FUNCEX12_XVPETCOMB2N12,2000-08-01T00:00:00-03:00,129.6743
2000-09-01,2000,1,9,FUNCEX12_XVPETCOMB2N12,2000-09-01T00:00:00-03:00,96.7604
2000-10-01,2000,1,10,FUNCEX12_XVPETCOMB2N12,2000-10-01T00:00:00-03:00,46.31
2000-11-01,2000,1,11,FUNCEX12_XVPETCOMB2N12,2000-11-01T00:00:00-03:00,25.3687
2000-12-01,2000,1,12,FUNCEX12_XVPETCOMB2N12,2000-12-01T00:00:00-02:00,88.6939
2001-01-01,2001,1,1,FUNCEX12_XVPETCOMB2N12,2001-01-01T00:00:00-02:00,215.8828
2001-02-01,2001,1,2,FUNCEX12_XVPETCOMB2N12,2001-02-01T00:00:00-02:00,107.2912
2001-03-01,2001,1,3,FUNCEX12_XVPETCOMB2N12,2001-03-01T00:00:00-03:00,125.4745
2001-04-01,2001,1,4,FUNCEX12_XVPETCOMB2N12,2001-04-01T00:00:00-03:00,171.1136
2001-05-01,2001,1,5,FUNCEX12_XVPETCOMB2N12,2001-05-01T00:00:00-03:00,123.1421
2001-06-01,2001,1,6,FUNCEX12_XVPETCOMB2N12,2001-06-01T00:00:00-03:00,101.4929
2001-07-01,2001,1,7,FUNCEX12_XVPETCOMB2N12,2001-07-01T00:00:00-03:00,104.1925
2001-08-01,2001,1,8,FUNCEX12_XVPETCOMB2N12,2001-08-01T00:00:00-03:00,116.9457
2001-09-01,2001,1,9,FUNCEX12_XVPETCOMB2N12,2001-09-01T00:00:00-03:00,80.0064
2001-10-01,2001,1,10,FUNCEX12_XVPETCOMB2N12,2001-10-01T00:00:00-03:00,101.292
2001-11-01,2001,1,11,FUNCEX12_XVPETCOMB2N12,2001-11-01T00:00:00-03:00,107.8404
2001-12-01,2001,1,12,FUNCEX12_XVPETCOMB2N12,2001-12-01T00:00:00-02:00,88.9323
2002-01-01,2002,1,1,FUNCEX12_XVPETCOMB2N12,2002-01-01T00:00:00-02:00,74.3519
2002-02-01,2002,1,2,FUNCEX12_XVPETCOMB2N12,2002-02-01T00:00:00-02:00,23.8638
2002-03-01,2002,1,3,FUNCEX12_XVPETCOMB2N12,2002-03-01T00:00:00-03:00,125.971
2002-04-01,2002,1,4,FUNCEX12_XVPETCOMB2N12,2002-04-01T00:00:00-03:00,82.5025
2002-05-01,2002,1,5,FUNCEX12_XVPETCOMB2N12,2002-05-01T00:00:00-03:00,146.599
2002-06-01,2002,1,6,FUNCEX12_XVPETCOMB2N12,2002-06-01T00:00:00-03:00,143.2986
2002-07-01,2002,1,7,FUNCEX12_XVPETCOMB2N12,2002-07-01T00:00:00-03:00,121.9985
2002-08-01,2002,1,8,FUNCEX12_XVPETCOMB2N12,2002-08-01T00:00:00-03:00,131.9824
2002-09-01,2002,1,9,FUNCEX12_XVPETCOMB2N12,2002-09-01T00:00:00-03:00,171.5677
2002-10-01,2002,1,10,FUNCEX12_XVPETCOMB2N12,2002-10-01T00:00:00-03:00,174.9935
2002-11-01,2002,1,11,FUNCEX12_XVPETCOMB2N12,2002-11-01T00:00:00-03:00,113.4356
2002-12-01,2002,1,12,FUNCEX12_XVPETCOMB2N12,2002-12-01T00:00:00-02:00,97.459
2003-01-01,2003,1,1,FUNCEX12_XVPETCOMB2N12,2003-01-01T00:00:00-02:00,138.0598
2003-02-01,2003,1,2,FUNCEX12_XVPETCOMB2N12,2003-02-01T00:00:00-02:00,165.1916
2003-03-01,2003,1,3,FUNCEX12_XVPETCOMB2N12,2003-03-01T00:00:00-03:00,158.5988
2003-04-01,2003,1,4,FUNCEX12_XVPETCOMB2N12,2003-04-01T00:00:00-03:00,171.3753
2003-05-01,2003,1,5,FUNCEX12_XVPETCOMB2N12,2003-05-01T00:00:00-03:00,153.7732
2003-06-01,2003,1,6,FUNCEX12_XVPETCOMB2N12,2003-06-01T00:00:00-03:00,62.215
