DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_XVTEXT2N12,1996-01-01T00:00:00-02:00,75.2733
1996-02-01,1996,1,2,FUNCEX12_XVTEXT2N12,1996-02-01T00:00:00-02:00,80.0945
1996-03-01,1996,1,3,FUNCEX12_XVTEXT2N12,1996-03-01T00:00:00-03:00,77.955
1996-04-01,1996,1,4,FUNCEX12_XVTEXT2N12,1996-04-01T00:00:00-03:00,87.2649
1996-05-01,1996,1,5,FUNCEX12_XVTEXT2N12,1996-05-01T00:00:00-03:00,88.4847
1996-06-01,1996,1,6,FUNCEX12_XVTEXT2N12,1996-06-01T00:00:00-03:00,69.326
1996-07-01,1996,1,7,FUNCEX12_XVTEXT2N12,1996-07-01T00:00:00-03:00,81.5514
1996-08-01,1996,1,8,FUNCEX12_XVTEXT2N12,1996-08-01T00:00:00-03:00,80.3654
1996-09-01,1996,1,9,FUNCEX12_XVTEXT2N12,1996-09-01T00:00:00-03:00,68.3159
1996-10-01,1996,1,10,FUNCEX12_XVTEXT2N12,1996-10-01T00:00:00-03:00,73.3463
1996-11-01,1996,1,11,FUNCEX12_XVTEXT2N12,1996-11-01T00:00:00-03:00,70.8247
1996-12-01,1996,1,12,FUNCEX12_XVTEXT2N12,1996-12-01T00:00:00-02:00,85.3724
1997-01-01,1997,1,1,FUNCEX12_XVTEXT2N12,1997-01-01T00:00:00-02:00,68.8829
1997-02-01,1997,1,2,FUNCEX12_XVTEXT2N12,1997-02-01T00:00:00-02:00,76.2524
1997-03-01,1997,1,3,FUNCEX12_XVTEXT2N12,1997-03-01T00:00:00-03:00,82.5107
1997-04-01,1997,1,4,FUNCEX12_XVTEXT2N12,1997-04-01T00:00:00-03:00,93.846
1997-05-01,1997,1,5,FUNCEX12_XVTEXT2N12,1997-05-01T00:00:00-03:00,80.1326
1997-06-01,1997,1,6,FUNCEX12_XVTEXT2N12,1997-06-01T00:00:00-03:00,75.4741
1997-07-01,1997,1,7,FUNCEX12_XVTEXT2N12,1997-07-01T00:00:00-03:00,77.639
1997-08-01,1997,1,8,FUNCEX12_XVTEXT2N12,1997-08-01T00:00:00-03:00,79.0659
1997-09-01,1997,1,9,FUNCEX12_XVTEXT2N12,1997-09-01T00:00:00-03:00,78.2725
1997-10-01,1997,1,10,FUNCEX12_XVTEXT2N12,1997-10-01T00:00:00-03:00,75.861
1997-11-01,1997,1,11,FUNCEX12_XVTEXT2N12,1997-11-01T00:00:00-03:00,71.0196
1997-12-01,1997,1,12,FUNCEX12_XVTEXT2N12,1997-12-01T00:00:00-02:00,93.7013
1998-01-01,1998,1,1,FUNCEX12_XVTEXT2N12,1998-01-01T00:00:00-02:00,60.5876
1998-02-01,1998,1,2,FUNCEX12_XVTEXT2N12,1998-02-01T00:00:00-02:00,70.6997
1998-03-01,1998,1,3,FUNCEX12_XVTEXT2N12,1998-03-01T00:00:00-03:00,79.0279
1998-04-01,1998,1,4,FUNCEX12_XVTEXT2N12,1998-04-01T00:00:00-03:00,75.4267
1998-05-01,1998,1,5,FUNCEX12_XVTEXT2N12,1998-05-01T00:00:00-03:00,70.1842
1998-06-01,1998,1,6,FUNCEX12_XVTEXT2N12,1998-06-01T00:00:00-03:00,68.7275
1998-07-01,1998,1,7,FUNCEX12_XVTEXT2N12,1998-07-01T00:00:00-03:00,71.0255
1998-08-01,1998,1,8,FUNCEX12_XVTEXT2N12,1998-08-01T00:00:00-03:00,64.7481
1998-09-01,1998,1,9,FUNCEX12_XVTEXT2N12,1998-09-01T00:00:00-03:00,70.9452
1998-10-01,1998,1,10,FUNCEX12_XVTEXT2N12,1998-10-01T00:00:00-03:00,65.9221
1998-11-01,1998,1,11,FUNCEX12_XVTEXT2N12,1998-11-01T00:00:00-03:00,57.4018
