DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CABEB12,1998-01-01T00:00:00-02:00,76.4880709695412
1998-02-01,1998,1,2,GAC12_CABEB12,1998-02-01T00:00:00-02:00,63.9466065081192
1998-03-01,1998,1,3,GAC12_CABEB12,1998-03-01T00:00:00-03:00,93.1567931768328
1998-04-01,1998,1,4,GAC12_CABEB12,1998-04-01T00:00:00-03:00,69.2451263329395
1998-05-01,1998,1,5,GAC12_CABEB12,1998-05-01T00:00:00-03:00,75.2932923662118
1998-06-01,1998,1,6,GAC12_CABEB12,1998-06-01T00:00:00-03:00,74.6821096394405
1998-07-01,1998,1,7,GAC12_CABEB12,1998-07-01T00:00:00-03:00,81.1658101310084
1998-08-01,1998,1,8,GAC12_CABEB12,1998-08-01T00:00:00-03:00,76.886427774511
1998-09-01,1998,1,9,GAC12_CABEB12,1998-09-01T00:00:00-03:00,83.8082457522434
1998-10-01,1998,1,10,GAC12_CABEB12,1998-10-01T00:00:00-03:00,89.5552972505724
1998-11-01,1998,1,11,GAC12_CABEB12,1998-11-01T00:00:00-03:00,88.3193208985909
1998-12-01,1998,1,12,GAC12_CABEB12,1998-12-01T00:00:00-02:00,92.3798515275264
1999-01-01,1999,1,1,GAC12_CABEB12,1999-01-01T00:00:00-02:00,69.8695958068488
1999-02-01,1999,1,2,GAC12_CABEB12,1999-02-01T00:00:00-02:00,62.47177974089
1999-03-01,1999,1,3,GAC12_CABEB12,1999-03-01T00:00:00-03:00,81.8234048898427
1999-04-01,1999,1,4,GAC12_CABEB12,1999-04-01T00:00:00-03:00,92.0621577752043
1999-05-01,1999,1,5,GAC12_CABEB12,1999-05-01T00:00:00-03:00,71.0528176726189
1999-06-01,1999,1,6,GAC12_CABEB12,1999-06-01T00:00:00-03:00,70.7108749265684
1999-07-01,1999,1,7,GAC12_CABEB12,1999-07-01T00:00:00-03:00,72.9416707952232
1999-08-01,1999,1,8,GAC12_CABEB12,1999-08-01T00:00:00-03:00,75.7807724213928
1999-09-01,1999,1,9,GAC12_CABEB12,1999-09-01T00:00:00-03:00,81.041469575234
1999-10-01,1999,1,10,GAC12_CABEB12,1999-10-01T00:00:00-03:00,86.5081893118541
1999-11-01,1999,1,11,GAC12_CABEB12,1999-11-01T00:00:00-03:00,88.2862694139654
1999-12-01,1999,1,12,GAC12_CABEB12,1999-12-01T00:00:00-02:00,97.2195763211372
2000-01-01,2000,1,1,GAC12_CABEB12,2000-01-01T00:00:00-02:00,63.0632687957401
2000-02-01,2000,1,2,GAC12_CABEB12,2000-02-01T00:00:00-02:00,62.4655589293103
2000-03-01,2000,1,3,GAC12_CABEB12,2000-03-01T00:00:00-03:00,93.8017372060976
2000-04-01,2000,1,4,GAC12_CABEB12,2000-04-01T00:00:00-03:00,75.3558405080034
2000-05-01,2000,1,5,GAC12_CABEB12,2000-05-01T00:00:00-03:00,79.4498693478096
2000-06-01,2000,1,6,GAC12_CABEB12,2000-06-01T00:00:00-03:00,61.5852584100792
2000-07-01,2000,1,7,GAC12_CABEB12,2000-07-01T00:00:00-03:00,68.5347284523925
2000-08-01,2000,1,8,GAC12_CABEB12,2000-08-01T00:00:00-03:00,78.0345406115243
2000-09-01,2000,1,9,GAC12_CABEB12,2000-09-01T00:00:00-03:00,76.3714205869446
2000-10-01,2000,1,10,GAC12_CABEB12,2000-10-01T00:00:00-03:00,84.874517401455
2000-11-01,2000,1,11,GAC12_CABEB12,2000-11-01T00:00:00-03:00,91.0302677776761
2000-12-01,2000,1,12,GAC12_CABEB12,2000-12-01T00:00:00-02:00,97.2059498356075
2001-01-01,2001,1,1,GAC12_CABEB12,2001-01-01T00:00:00-02:00,70.3980996131648
2001-02-01,2001,1,2,GAC12_CABEB12,2001-02-01T00:00:00-02:00,60.6567092938959
