DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1995-01-01,1995,1,1,GAC12_CABIDESSAZ12,1995-01-01T00:00:00-02:00,72.1092326142043
1995-02-01,1995,1,2,GAC12_CABIDESSAZ12,1995-02-01T00:00:00-02:00,73.6142202847496
1995-03-01,1995,1,3,GAC12_CABIDESSAZ12,1995-03-01T00:00:00-03:00,71.4298767438678
1995-04-01,1995,1,4,GAC12_CABIDESSAZ12,1995-04-01T00:00:00-03:00,71.2917995266764
1995-05-01,1995,1,5,GAC12_CABIDESSAZ12,1995-05-01T00:00:00-03:00,64.3596728233727
1995-06-01,1995,1,6,GAC12_CABIDESSAZ12,1995-06-01T00:00:00-03:00,69.7487145471015
1995-07-01,1995,1,7,GAC12_CABIDESSAZ12,1995-07-01T00:00:00-03:00,64.3697010519972
1995-08-01,1995,1,8,GAC12_CABIDESSAZ12,1995-08-01T00:00:00-03:00,62.1826152764531
1995-09-01,1995,1,9,GAC12_CABIDESSAZ12,1995-09-01T00:00:00-03:00,60.4956135517137
1995-10-01,1995,1,10,GAC12_CABIDESSAZ12,1995-10-01T00:00:00-03:00,63.1228178575043
1995-11-01,1995,1,11,GAC12_CABIDESSAZ12,1995-11-01T00:00:00-03:00,63.6381456089325
1995-12-01,1995,1,12,GAC12_CABIDESSAZ12,1995-12-01T00:00:00-02:00,65.7236650448547
1996-01-01,1996,1,1,GAC12_CABIDESSAZ12,1996-01-01T00:00:00-02:00,65.3394014606669
1996-02-01,1996,1,2,GAC12_CABIDESSAZ12,1996-02-01T00:00:00-02:00,65.5906681273837
1996-03-01,1996,1,3,GAC12_CABIDESSAZ12,1996-03-01T00:00:00-03:00,66.6985758221407
1996-04-01,1996,1,4,GAC12_CABIDESSAZ12,1996-04-01T00:00:00-03:00,67.5428792351719
1996-05-01,1996,1,5,GAC12_CABIDESSAZ12,1996-05-01T00:00:00-03:00,67.4463327681275
1996-06-01,1996,1,6,GAC12_CABIDESSAZ12,1996-06-01T00:00:00-03:00,68.0235593300332
1996-07-01,1996,1,7,GAC12_CABIDESSAZ12,1996-07-01T00:00:00-03:00,71.0345169207507
1996-08-01,1996,1,8,GAC12_CABIDESSAZ12,1996-08-01T00:00:00-03:00,69.954733754656
1996-09-01,1996,1,9,GAC12_CABIDESSAZ12,1996-09-01T00:00:00-03:00,71.3250630383808
1996-10-01,1996,1,10,GAC12_CABIDESSAZ12,1996-10-01T00:00:00-03:00,71.9592118028332
1996-11-01,1996,1,11,GAC12_CABIDESSAZ12,1996-11-01T00:00:00-03:00,71.6844134944857
1996-12-01,1996,1,12,GAC12_CABIDESSAZ12,1996-12-01T00:00:00-02:00,76.7506827297778
1997-01-01,1997,1,1,GAC12_CABIDESSAZ12,1997-01-01T00:00:00-02:00,67.4342081027738
1997-02-01,1997,1,2,GAC12_CABIDESSAZ12,1997-02-01T00:00:00-02:00,74.3905069823241
1997-03-01,1997,1,3,GAC12_CABIDESSAZ12,1997-03-01T00:00:00-03:00,74.5336634533326
1997-04-01,1997,1,4,GAC12_CABIDESSAZ12,1997-04-01T00:00:00-03:00,73.6692601836889
1997-05-01,1997,1,5,GAC12_CABIDESSAZ12,1997-05-01T00:00:00-03:00,73.3007423492151
1997-06-01,1997,1,6,GAC12_CABIDESSAZ12,1997-06-01T00:00:00-03:00,75.1825331272871
1997-07-01,1997,1,7,GAC12_CABIDESSAZ12,1997-07-01T00:00:00-03:00,73.7808817596047
1997-08-01,1997,1,8,GAC12_CABIDESSAZ12,1997-08-01T00:00:00-03:00,75.5855758306475
1997-09-01,1997,1,9,GAC12_CABIDESSAZ12,1997-09-01T00:00:00-03:00,75.639674655899
1997-10-01,1997,1,10,GAC12_CABIDESSAZ12,1997-10-01T00:00:00-03:00,74.9972603352251
1997-11-01,1997,1,11,GAC12_CABIDESSAZ12,1997-11-01T00:00:00-03:00,74.5204866442273
1997-12-01,1997,1,12,GAC12_CABIDESSAZ12,1997-12-01T00:00:00-02:00,72.5079371759215
1998-01-01,1998,1,1,GAC12_CABIDESSAZ12,1998-01-01T00:00:00-02:00,72.5386518535879
