DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CABORRDESSAZ12,1998-01-01T00:00:00-02:00,80.1482035465531
1998-02-01,1998,1,2,GAC12_CABORRDESSAZ12,1998-02-01T00:00:00-02:00,82.0387012361356
1998-03-01,1998,1,3,GAC12_CABORRDESSAZ12,1998-03-01T00:00:00-03:00,82.2500510096711
1998-04-01,1998,1,4,GAC12_CABORRDESSAZ12,1998-04-01T00:00:00-03:00,79.9528685700238
1998-05-01,1998,1,5,GAC12_CABORRDESSAZ12,1998-05-01T00:00:00-03:00,81.4739320355558
1998-06-01,1998,1,6,GAC12_CABORRDESSAZ12,1998-06-01T00:00:00-03:00,84.3437791356298
1998-07-01,1998,1,7,GAC12_CABORRDESSAZ12,1998-07-01T00:00:00-03:00,84.0658300463606
1998-08-01,1998,1,8,GAC12_CABORRDESSAZ12,1998-08-01T00:00:00-03:00,82.9785493803956
1998-09-01,1998,1,9,GAC12_CABORRDESSAZ12,1998-09-01T00:00:00-03:00,80.074843208787
1998-10-01,1998,1,10,GAC12_CABORRDESSAZ12,1998-10-01T00:00:00-03:00,79.9681796449322
1998-11-01,1998,1,11,GAC12_CABORRDESSAZ12,1998-11-01T00:00:00-03:00,78.9869016252858
1998-12-01,1998,1,12,GAC12_CABORRDESSAZ12,1998-12-01T00:00:00-02:00,71.0578083275191
1999-01-01,1999,1,1,GAC12_CABORRDESSAZ12,1999-01-01T00:00:00-02:00,78.4192420688211
1999-02-01,1999,1,2,GAC12_CABORRDESSAZ12,1999-02-01T00:00:00-02:00,78.8725586190118
1999-03-01,1999,1,3,GAC12_CABORRDESSAZ12,1999-03-01T00:00:00-03:00,76.0856617373845
1999-04-01,1999,1,4,GAC12_CABORRDESSAZ12,1999-04-01T00:00:00-03:00,77.6206649815656
1999-05-01,1999,1,5,GAC12_CABORRDESSAZ12,1999-05-01T00:00:00-03:00,78.1197266892914
1999-06-01,1999,1,6,GAC12_CABORRDESSAZ12,1999-06-01T00:00:00-03:00,76.0206257676842
