DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CACOUDESSAZ12,1998-01-01T00:00:00-02:00,166.890422496194
1998-02-01,1998,1,2,GAC12_CACOUDESSAZ12,1998-02-01T00:00:00-02:00,167.584701436851
1998-03-01,1998,1,3,GAC12_CACOUDESSAZ12,1998-03-01T00:00:00-03:00,176.501568677363
1998-04-01,1998,1,4,GAC12_CACOUDESSAZ12,1998-04-01T00:00:00-03:00,177.243385569068
1998-05-01,1998,1,5,GAC12_CACOUDESSAZ12,1998-05-01T00:00:00-03:00,183.24735576352
1998-06-01,1998,1,6,GAC12_CACOUDESSAZ12,1998-06-01T00:00:00-03:00,177.218507478106
1998-07-01,1998,1,7,GAC12_CACOUDESSAZ12,1998-07-01T00:00:00-03:00,181.056360738076
1998-08-01,1998,1,8,GAC12_CACOUDESSAZ12,1998-08-01T00:00:00-03:00,168.141168528482
1998-09-01,1998,1,9,GAC12_CACOUDESSAZ12,1998-09-01T00:00:00-03:00,185.020013999349
1998-10-01,1998,1,10,GAC12_CACOUDESSAZ12,1998-10-01T00:00:00-03:00,182.967232937058
1998-11-01,1998,1,11,GAC12_CACOUDESSAZ12,1998-11-01T00:00:00-03:00,180.932505941292
1998-12-01,1998,1,12,GAC12_CACOUDESSAZ12,1998-12-01T00:00:00-02:00,171.18925219734
1999-01-01,1999,1,1,GAC12_CACOUDESSAZ12,1999-01-01T00:00:00-02:00,172.971792181956
1999-02-01,1999,1,2,GAC12_CACOUDESSAZ12,1999-02-01T00:00:00-02:00,167.825570181659
1999-03-01,1999,1,3,GAC12_CACOUDESSAZ12,1999-03-01T00:00:00-03:00,169.230647082556
1999-04-01,1999,1,4,GAC12_CACOUDESSAZ12,1999-04-01T00:00:00-03:00,170.321793444629
1999-05-01,1999,1,5,GAC12_CACOUDESSAZ12,1999-05-01T00:00:00-03:00,165.588479433382
1999-06-01,1999,1,6,GAC12_CACOUDESSAZ12,1999-06-01T00:00:00-03:00,168.105962763716
1999-07-01,1999,1,7,GAC12_CACOUDESSAZ12,1999-07-01T00:00:00-03:00,167.530127794867
1999-08-01,1999,1,8,GAC12_CACOUDESSAZ12,1999-08-01T00:00:00-03:00,164.286973186202
1999-09-01,1999,1,9,GAC12_CACOUDESSAZ12,1999-09-01T00:00:00-03:00,165.694750677634
1999-10-01,1999,1,10,GAC12_CACOUDESSAZ12,1999-10-01T00:00:00-03:00,159.077501845429
1999-11-01,1999,1,11,GAC12_CACOUDESSAZ12,1999-11-01T00:00:00-03:00,157.466483315414
1999-12-01,1999,1,12,GAC12_CACOUDESSAZ12,1999-12-01T00:00:00-02:00,164.833462465607
2000-01-01,2000,1,1,GAC12_CACOUDESSAZ12,2000-01-01T00:00:00-02:00,157.707058028905
