DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAFARM12,1998-01-01T00:00:00-02:00,41.8842866118774
1998-02-01,1998,1,2,GAC12_CAFARM12,1998-02-01T00:00:00-02:00,45.1822232364089
1998-03-01,1998,1,3,GAC12_CAFARM12,1998-03-01T00:00:00-03:00,54.5407874765601
1998-04-01,1998,1,4,GAC12_CAFARM12,1998-04-01T00:00:00-03:00,55.3752720076164
1998-05-01,1998,1,5,GAC12_CAFARM12,1998-05-01T00:00:00-03:00,61.2714191203408
1998-06-01,1998,1,6,GAC12_CAFARM12,1998-06-01T00:00:00-03:00,60.1961224962967
1998-07-01,1998,1,7,GAC12_CAFARM12,1998-07-01T00:00:00-03:00,69.193942396125
1998-08-01,1998,1,8,GAC12_CAFARM12,1998-08-01T00:00:00-03:00,56.7385376628754
1998-09-01,1998,1,9,GAC12_CAFARM12,1998-09-01T00:00:00-03:00,63.3815611584516
1998-10-01,1998,1,10,GAC12_CAFARM12,1998-10-01T00:00:00-03:00,64.5981791231752
1998-11-01,1998,1,11,GAC12_CAFARM12,1998-11-01T00:00:00-03:00,59.3199328002942
1998-12-01,1998,1,12,GAC12_CAFARM12,1998-12-01T00:00:00-02:00,46.638619069604
1999-01-01,1999,1,1,GAC12_CAFARM12,1999-01-01T00:00:00-02:00,39.8381400278743
1999-02-01,1999,1,2,GAC12_CAFARM12,1999-02-01T00:00:00-02:00,46.0437191614767
1999-03-01,1999,1,3,GAC12_CAFARM12,1999-03-01T00:00:00-03:00,63.8195757045928
1999-04-01,1999,1,4,GAC12_CAFARM12,1999-04-01T00:00:00-03:00,56.6472896294519
1999-05-01,1999,1,5,GAC12_CAFARM12,1999-05-01T00:00:00-03:00,62.743911790585
1999-06-01,1999,1,6,GAC12_CAFARM12,1999-06-01T00:00:00-03:00,67.1860078507287
1999-07-01,1999,1,7,GAC12_CAFARM12,1999-07-01T00:00:00-03:00,63.9586642293793
