DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAIG12,1998-01-01T00:00:00-02:00,64.0205046523632
1998-02-01,1998,1,2,GAC12_CAIG12,1998-02-01T00:00:00-02:00,61.5513488471856
1998-03-01,1998,1,3,GAC12_CAIG12,1998-03-01T00:00:00-03:00,73.7590218209872
1998-04-01,1998,1,4,GAC12_CAIG12,1998-04-01T00:00:00-03:00,69.9952030355226
1998-05-01,1998,1,5,GAC12_CAIG12,1998-05-01T00:00:00-03:00,74.5521508207852
1998-06-01,1998,1,6,GAC12_CAIG12,1998-06-01T00:00:00-03:00,73.8946441365445
1998-07-01,1998,1,7,GAC12_CAIG12,1998-07-01T00:00:00-03:00,78.4288409501154
1998-08-01,1998,1,8,GAC12_CAIG12,1998-08-01T00:00:00-03:00,75.9889206290571
1998-09-01,1998,1,9,GAC12_CAIG12,1998-09-01T00:00:00-03:00,77.9361028680873
1998-10-01,1998,1,10,GAC12_CAIG12,1998-10-01T00:00:00-03:00,76.6917692566974
1998-11-01,1998,1,11,GAC12_CAIG12,1998-11-01T00:00:00-03:00,72.6870835354954
1998-12-01,1998,1,12,GAC12_CAIG12,1998-12-01T00:00:00-02:00,62.4512813344892
1999-01-01,1999,1,1,GAC12_CAIG12,1999-01-01T00:00:00-02:00,61.5474423634528
1999-02-01,1999,1,2,GAC12_CAIG12,1999-02-01T00:00:00-02:00,56.7997225496989
1999-03-01,1999,1,3,GAC12_CAIG12,1999-03-01T00:00:00-03:00,69.4162365220424
1999-04-01,1999,1,4,GAC12_CAIG12,1999-04-01T00:00:00-03:00,66.1753431781219
1999-05-01,1999,1,5,GAC12_CAIG12,1999-05-01T00:00:00-03:00,70.0559317619593
1999-06-01,1999,1,6,GAC12_CAIG12,1999-06-01T00:00:00-03:00,70.7721321457844
1999-07-01,1999,1,7,GAC12_CAIG12,1999-07-01T00:00:00-03:00,71.3278209675905
1999-08-01,1999,1,8,GAC12_CAIG12,1999-08-01T00:00:00-03:00,74.4196235502221
1999-09-01,1999,1,9,GAC12_CAIG12,1999-09-01T00:00:00-03:00,73.2782875728374
1999-10-01,1999,1,10,GAC12_CAIG12,1999-10-01T00:00:00-03:00,74.7448593119696
1999-11-01,1999,1,11,GAC12_CAIG12,1999-11-01T00:00:00-03:00,73.9545683817572
1999-12-01,1999,1,12,GAC12_CAIG12,1999-12-01T00:00:00-02:00,65.2746566023965
2000-01-01,2000,1,1,GAC12_CAIG12,2000-01-01T00:00:00-02:00,62.2125017527412
2000-02-01,2000,1,2,GAC12_CAIG12,2000-02-01T00:00:00-02:00,66.2340779174688
2000-03-01,2000,1,3,GAC12_CAIG12,2000-03-01T00:00:00-03:00,70.9201919305481
2000-04-01,2000,1,4,GAC12_CAIG12,2000-04-01T00:00:00-03:00,67.9277967967186
