DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2003-01-01,2003,1,1,GAC12_CAIMP12,2003-01-01T00:00:00-02:00,87.9457692968542
2003-02-01,2003,1,2,GAC12_CAIMP12,2003-02-01T00:00:00-02:00,83.6383999184184
2003-03-01,2003,1,3,GAC12_CAIMP12,2003-03-01T00:00:00-03:00,92.5727015816961
2003-04-01,2003,1,4,GAC12_CAIMP12,2003-04-01T00:00:00-03:00,86.6349832917308
2003-05-01,2003,1,5,GAC12_CAIMP12,2003-05-01T00:00:00-03:00,89.7775435699516
2003-06-01,2003,1,6,GAC12_CAIMP12,2003-06-01T00:00:00-03:00,80.0513899606119
2003-07-01,2003,1,7,GAC12_CAIMP12,2003-07-01T00:00:00-03:00,84.7399914860987
2003-08-01,2003,1,8,GAC12_CAIMP12,2003-08-01T00:00:00-03:00,89.3785356049535
2003-09-01,2003,1,9,GAC12_CAIMP12,2003-09-01T00:00:00-03:00,93.5502037528628
2003-10-01,2003,1,10,GAC12_CAIMP12,2003-10-01T00:00:00-03:00,111.592935420855
2003-11-01,2003,1,11,GAC12_CAIMP12,2003-11-01T00:00:00-03:00,126.555099289779
2003-12-01,2003,1,12,GAC12_CAIMP12,2003-12-01T00:00:00-02:00,130.420273062066
2004-01-01,2004,1,1,GAC12_CAIMP12,2004-01-01T00:00:00-02:00,94.2896999279534
2004-02-01,2004,1,2,GAC12_CAIMP12,2004-02-01T00:00:00-02:00,81.0141764267809
2004-03-01,2004,1,3,GAC12_CAIMP12,2004-03-01T00:00:00-03:00,97.0946195770821
2004-04-01,2004,1,4,GAC12_CAIMP12,2004-04-01T00:00:00-03:00,88.6424873524052
2004-05-01,2004,1,5,GAC12_CAIMP12,2004-05-01T00:00:00-03:00,88.567633009679
2004-06-01,2004,1,6,GAC12_CAIMP12,2004-06-01T00:00:00-03:00,84.1291315447255
2004-07-01,2004,1,7,GAC12_CAIMP12,2004-07-01T00:00:00-03:00,83.4310793134823
2004-08-01,2004,1,8,GAC12_CAIMP12,2004-08-01T00:00:00-03:00,91.2482150776163
2004-09-01,2004,1,9,GAC12_CAIMP12,2004-09-01T00:00:00-03:00,90.9494564569345
2004-10-01,2004,1,10,GAC12_CAIMP12,2004-10-01T00:00:00-03:00,97.6243573516317
2004-11-01,2004,1,11,GAC12_CAIMP12,2004-11-01T00:00:00-03:00,119.319623466058
2004-12-01,2004,1,12,GAC12_CAIMP12,2004-12-01T00:00:00-02:00,118.653196413175
2005-01-01,2005,1,1,GAC12_CAIMP12,2005-01-01T00:00:00-02:00,117.564582674258
2005-02-01,2005,1,2,GAC12_CAIMP12,2005-02-01T00:00:00-02:00,86.8819105727498
2005-03-01,2005,1,3,GAC12_CAIMP12,2005-03-01T00:00:00-03:00,92.1476071424333
2005-04-01,2005,1,4,GAC12_CAIMP12,2005-04-01T00:00:00-03:00,86.9163877930339
2005-05-01,2005,1,5,GAC12_CAIMP12,2005-05-01T00:00:00-03:00,92.7497378518196
2005-06-01,2005,1,6,GAC12_CAIMP12,2005-06-01T00:00:00-03:00,94.8960087816592
2005-07-01,2005,1,7,GAC12_CAIMP12,2005-07-01T00:00:00-03:00,94.5969681252969
2005-08-01,2005,1,8,GAC12_CAIMP12,2005-08-01T00:00:00-03:00,100.371839157467
2005-09-01,2005,1,9,GAC12_CAIMP12,2005-09-01T00:00:00-03:00,97.7810757168325
2005-10-01,2005,1,10,GAC12_CAIMP12,2005-10-01T00:00:00-03:00,101.11342324102
2005-11-01,2005,1,11,GAC12_CAIMP12,2005-11-01T00:00:00-02:00,127.531960578349
2005-12-01,2005,1,12,GAC12_CAIMP12,2005-12-01T00:00:00-02:00,122.419741046129
2006-01-01,2006,1,1,GAC12_CAIMP12,2006-01-01T00:00:00-02:00,99.0763663578678
2006-02-01,2006,1,2,GAC12_CAIMP12,2006-02-01T00:00:00-02:00,84.5787833585063
2006-03-01,2006,1,3,GAC12_CAIMP12,2006-03-01T00:00:00-03:00,97.6316265055659
2006-04-01,2006,1,4,GAC12_CAIMP12,2006-04-01T00:00:00-03:00,98.4899055036167
2006-05-01,2006,1,5,GAC12_CAIMP12,2006-05-01T00:00:00-03:00,98.7534433394516
2006-06-01,2006,1,6,GAC12_CAIMP12,2006-06-01T00:00:00-03:00,95.1593009050221
2006-07-01,2006,1,7,GAC12_CAIMP12,2006-07-01T00:00:00-03:00,89.9452741309016
2006-08-01,2006,1,8,GAC12_CAIMP12,2006-08-01T00:00:00-03:00,103.404075331801
2006-09-01,2006,1,9,GAC12_CAIMP12,2006-09-01T00:00:00-03:00,103.648037963444
2006-10-01,2006,1,10,GAC12_CAIMP12,2006-10-01T00:00:00-03:00,115.692224784705
2006-11-01,2006,1,11,GAC12_CAIMP12,2006-11-01T00:00:00-03:00,132.429098236128
2006-12-01,2006,1,12,GAC12_CAIMP12,2006-12-01T00:00:00-02:00,132.510855652094
2007-01-01,2007,1,1,GAC12_CAIMP12,2007-01-01T00:00:00-02:00,97.5690680941485
2007-02-01,2007,1,2,GAC12_CAIMP12,2007-02-01T00:00:00-02:00,87.7489356575808
2007-03-01,2007,1,3,GAC12_CAIMP12,2007-03-01T00:00:00-03:00,99.8010779082164
2007-04-01,2007,1,4,GAC12_CAIMP12,2007-04-01T00:00:00-03:00,98.8735403529714
2007-05-01,2007,1,5,GAC12_CAIMP12,2007-05-01T00:00:00-03:00,100.987789732938
2007-06-01,2007,1,6,GAC12_CAIMP12,2007-06-01T00:00:00-03:00,94.5361116853216
2007-07-01,2007,1,7,GAC12_CAIMP12,2007-07-01T00:00:00-03:00,97.6486063269392
2007-08-01,2007,1,8,GAC12_CAIMP12,2007-08-01T00:00:00-03:00,104.897141759117
2007-09-01,2007,1,9,GAC12_CAIMP12,2007-09-01T00:00:00-03:00,101.978195957708
2007-10-01,2007,1,10,GAC12_CAIMP12,2007-10-01T00:00:00-03:00,114.991907692939
2007-11-01,2007,1,11,GAC12_CAIMP12,2007-11-01T00:00:00-02:00,124.03384443526
2007-12-01,2007,1,12,GAC12_CAIMP12,2007-12-01T00:00:00-02:00,101.660892952619
2008-01-01,2008,1,1,GAC12_CAIMP12,2008-01-01T00:00:00-02:00,91.8001273631438
2008-02-01,2008,1,2,GAC12_CAIMP12,2008-02-01T00:00:00-02:00,87.6558681125013
2008-03-01,2008,1,3,GAC12_CAIMP12,2008-03-01T00:00:00-03:00,101.255010268302
2008-04-01,2008,1,4,GAC12_CAIMP12,2008-04-01T00:00:00-03:00,97.2898106207681
2008-05-01,2008,1,5,GAC12_CAIMP12,2008-05-01T00:00:00-03:00,105.990243300815
2008-06-01,2008,1,6,GAC12_CAIMP12,2008-06-01T00:00:00-03:00,94.2103443278991
2008-07-01,2008,1,7,GAC12_CAIMP12,2008-07-01T00:00:00-03:00,102.664712689554
2008-08-01,2008,1,8,GAC12_CAIMP12,2008-08-01T00:00:00-03:00,105.793870163349
2008-09-01,2008,1,9,GAC12_CAIMP12,2008-09-01T00:00:00-03:00,112.123782216722
2008-10-01,2008,1,10,GAC12_CAIMP12,2008-10-01T00:00:00-03:00,121.345673280223
2008-11-01,2008,1,11,GAC12_CAIMP12,2008-11-01T00:00:00-02:00,110.955635265568
2008-12-01,2008,1,12,GAC12_CAIMP12,2008-12-01T00:00:00-02:00,101.561397638128
2009-01-01,2009,1,1,GAC12_CAIMP12,2009-01-01T00:00:00-02:00,83.688488644506
2009-02-01,2009,1,2,GAC12_CAIMP12,2009-02-01T00:00:00-02:00,85.8164055399784
2009-03-01,2009,1,3,GAC12_CAIMP12,2009-03-01T00:00:00-03:00,98.2860287509269
2009-04-01,2009,1,4,GAC12_CAIMP12,2009-04-01T00:00:00-03:00,90.3741218348381
2009-05-01,2009,1,5,GAC12_CAIMP12,2009-05-01T00:00:00-03:00,91.7552616936988
2009-06-01,2009,1,6,GAC12_CAIMP12,2009-06-01T00:00:00-03:00,88.0369558104563
2009-07-01,2009,1,7,GAC12_CAIMP12,2009-07-01T00:00:00-03:00,95.1425440287141
2009-08-01,2009,1,8,GAC12_CAIMP12,2009-08-01T00:00:00-03:00,96.8656321238748
2009-09-01,2009,1,9,GAC12_CAIMP12,2009-09-01T00:00:00-03:00,104.803326147343
2009-10-01,2009,1,10,GAC12_CAIMP12,2009-10-01T00:00:00-03:00,120.285294627131
2009-11-01,2009,1,11,GAC12_CAIMP12,2009-11-01T00:00:00-02:00,115.48861623535
2009-12-01,2009,1,12,GAC12_CAIMP12,2009-12-01T00:00:00-02:00,103.858117106713
2010-01-01,2010,1,1,GAC12_CAIMP12,2010-01-01T00:00:00-02:00,83.2319073896491
2010-02-01,2010,1,2,GAC12_CAIMP12,2010-02-01T00:00:00-02:00,84.8072254300197
2010-03-01,2010,1,3,GAC12_CAIMP12,2010-03-01T00:00:00-03:00,105.83945017575
2010-04-01,2010,1,4,GAC12_CAIMP12,2010-04-01T00:00:00-03:00,87.7736573821386
2010-05-01,2010,1,5,GAC12_CAIMP12,2010-05-01T00:00:00-03:00,91.8697173534515
2010-06-01,2010,1,6,GAC12_CAIMP12,2010-06-01T00:00:00-03:00,85.6280769253049
2010-07-01,2010,1,7,GAC12_CAIMP12,2010-07-01T00:00:00-03:00,86.2976073889164
2010-08-01,2010,1,8,GAC12_CAIMP12,2010-08-01T00:00:00-03:00,99.7640441902987
2010-09-01,2010,1,9,GAC12_CAIMP12,2010-09-01T00:00:00-03:00,132.964229798712
2010-10-01,2010,1,10,GAC12_CAIMP12,2010-10-01T00:00:00-03:00,138.421773348729
2010-11-01,2010,1,11,GAC12_CAIMP12,2010-11-01T00:00:00-02:00,139.976246513687
2010-12-01,2010,1,12,GAC12_CAIMP12,2010-12-01T00:00:00-02:00,109.382097518067
2011-01-01,2011,1,1,GAC12_CAIMP12,2011-01-01T00:00:00-02:00,93.2273972301857
2011-02-01,2011,1,2,GAC12_CAIMP12,2011-02-01T00:00:00-02:00,86.9326441142382
2011-03-01,2011,1,3,GAC12_CAIMP12,2011-03-01T00:00:00-03:00,104.061138645395
2011-04-01,2011,1,4,GAC12_CAIMP12,2011-04-01T00:00:00-03:00,94.6225126200854
2011-05-01,2011,1,5,GAC12_CAIMP12,2011-05-01T00:00:00-03:00,94.878610812026
2011-06-01,2011,1,6,GAC12_CAIMP12,2011-06-01T00:00:00-03:00,97.7186606327506
2011-07-01,2011,1,7,GAC12_CAIMP12,2011-07-01T00:00:00-03:00,120.261970697009
2011-08-01,2011,1,8,GAC12_CAIMP12,2011-08-01T00:00:00-03:00,114.233144248777
2011-09-01,2011,1,9,GAC12_CAIMP12,2011-09-01T00:00:00-03:00,115.192849583954
2011-10-01,2011,1,10,GAC12_CAIMP12,2011-10-01T00:00:00-03:00,120.766721864863
2011-11-01,2011,1,11,GAC12_CAIMP12,2011-11-01T00:00:00-02:00,121.378355455979
2011-12-01,2011,1,12,GAC12_CAIMP12,2011-12-01T00:00:00-02:00,98.7068680233806
2012-01-01,2012,1,1,GAC12_CAIMP12,2012-01-01T00:00:00-02:00,93.9180046641084
2012-02-01,2012,1,2,GAC12_CAIMP12,2012-02-01T00:00:00-02:00,92.2323699015154
2012-03-01,2012,1,3,GAC12_CAIMP12,2012-03-01T00:00:00-03:00,97.9962909867809
2012-04-01,2012,1,4,GAC12_CAIMP12,2012-04-01T00:00:00-03:00,94.9322175544973
2012-05-01,2012,1,5,GAC12_CAIMP12,2012-05-01T00:00:00-03:00,95.1501922961348
2012-06-01,2012,1,6,GAC12_CAIMP12,2012-06-01T00:00:00-03:00,89.6574683725046
2012-07-01,2012,1,7,GAC12_CAIMP12,2012-07-01T00:00:00-03:00,97.3572758003639
2012-08-01,2012,1,8,GAC12_CAIMP12,2012-08-01T00:00:00-03:00,102.267542775912
2012-09-01,2012,1,9,GAC12_CAIMP12,2012-09-01T00:00:00-03:00,111.244972459341
2012-10-01,2012,1,10,GAC12_CAIMP12,2012-10-01T00:00:00-03:00,115.175864714823
2012-11-01,2012,1,11,GAC12_CAIMP12,2012-11-01T00:00:00-02:00,115.242893583941
2012-12-01,2012,1,12,GAC12_CAIMP12,2012-12-01T00:00:00-02:00,94.8249068900781
2013-01-01,2013,1,1,GAC12_CAIMP12,2013-01-01T00:00:00-02:00,88.9072712777583
2013-02-01,2013,1,2,GAC12_CAIMP12,2013-02-01T00:00:00-02:00,85.864475275033
2013-03-01,2013,1,3,GAC12_CAIMP12,2013-03-01T00:00:00-03:00,89.8518823561462
2013-04-01,2013,1,4,GAC12_CAIMP12,2013-04-01T00:00:00-03:00,100.03594329557
2013-05-01,2013,1,5,GAC12_CAIMP12,2013-05-01T00:00:00-03:00,99.8092795484744
2013-06-01,2013,1,6,GAC12_CAIMP12,2013-06-01T00:00:00-03:00,90.1216379080619
2013-07-01,2013,1,7,GAC12_CAIMP12,2013-07-01T00:00:00-03:00,82.0907855366928
2013-08-01,2013,1,8,GAC12_CAIMP12,2013-08-01T00:00:00-03:00,104.497634798986
2013-09-01,2013,1,9,GAC12_CAIMP12,2013-09-01T00:00:00-03:00,97.0623010293963
2013-10-01,2013,1,10,GAC12_CAIMP12,2013-10-01T00:00:00-03:00,123.361522291452
2013-11-01,2013,1,11,GAC12_CAIMP12,2013-11-01T00:00:00-02:00,100.756438644309
2013-12-01,2013,1,12,GAC12_CAIMP12,2013-12-01T00:00:00-02:00,82.7114836353548
2014-01-01,2014,1,1,GAC12_CAIMP12,2014-01-01T00:00:00-02:00,86.661014292131
2014-02-01,2014,1,2,GAC12_CAIMP12,2014-02-01T00:00:00-02:00,83.3528042040066
2014-03-01,2014,1,3,GAC12_CAIMP12,2014-03-01T00:00:00-03:00,88.2121161078692
2014-04-01,2014,1,4,GAC12_CAIMP12,2014-04-01T00:00:00-03:00,91.1072587209267
2014-05-01,2014,1,5,GAC12_CAIMP12,2014-05-01T00:00:00-03:00,91.1900313521066
2014-06-01,2014,1,6,GAC12_CAIMP12,2014-06-01T00:00:00-03:00,88.1952911217149
2014-07-01,2014,1,7,GAC12_CAIMP12,2014-07-01T00:00:00-03:00,109.183216785379
2014-08-01,2014,1,8,GAC12_CAIMP12,2014-08-01T00:00:00-03:00,98.5715317048176
2014-09-01,2014,1,9,GAC12_CAIMP12,2014-09-01T00:00:00-03:00,117.373250046513
2014-10-01,2014,1,10,GAC12_CAIMP12,2014-10-01T00:00:00-03:00,115.280666308391
2014-11-01,2014,1,11,GAC12_CAIMP12,2014-11-01T00:00:00-02:00,110.273834502407
2014-12-01,2014,1,12,GAC12_CAIMP12,2014-12-01T00:00:00-02:00,88.6354499471048
2015-01-01,2015,1,1,GAC12_CAIMP12,2015-01-01T00:00:00-02:00,94.5353633473349
2015-02-01,2015,1,2,GAC12_CAIMP12,2015-02-01T00:00:00-02:00,67.3233727781476
2015-03-01,2015,1,3,GAC12_CAIMP12,2015-03-01T00:00:00-03:00,81.2439211280192
2015-04-01,2015,1,4,GAC12_CAIMP12,2015-04-01T00:00:00-03:00,71.0974991201918
2015-05-01,2015,1,5,GAC12_CAIMP12,2015-05-01T00:00:00-03:00,83.1797408212557
2015-06-01,2015,1,6,GAC12_CAIMP12,2015-06-01T00:00:00-03:00,77.7615617611265
2015-07-01,2015,1,7,GAC12_CAIMP12,2015-07-01T00:00:00-03:00,81.9306065461211
2015-08-01,2015,1,8,GAC12_CAIMP12,2015-08-01T00:00:00-03:00,71.4659746083203
2015-09-01,2015,1,9,GAC12_CAIMP12,2015-09-01T00:00:00-03:00,89.3712386034269
2015-10-01,2015,1,10,GAC12_CAIMP12,2015-10-01T00:00:00-03:00,75.4359817898835
2015-11-01,2015,1,11,GAC12_CAIMP12,2015-11-01T00:00:00-02:00,78.9175376786435
2015-12-01,2015,1,12,GAC12_CAIMP12,2015-12-01T00:00:00-02:00,73.6840939007361
2016-01-01,2016,1,1,GAC12_CAIMP12,2016-01-01T00:00:00-02:00,67.4078162825237
2016-02-01,2016,1,2,GAC12_CAIMP12,2016-02-01T00:00:00-02:00,70.7405193195535
2016-03-01,2016,1,3,GAC12_CAIMP12,2016-03-01T00:00:00-03:00,69.9152406090519
2016-04-01,2016,1,4,GAC12_CAIMP12,2016-04-01T00:00:00-03:00,69.3591310980423
2016-05-01,2016,1,5,GAC12_CAIMP12,2016-05-01T00:00:00-03:00,65.9060386652465
2016-06-01,2016,1,6,GAC12_CAIMP12,2016-06-01T00:00:00-03:00,81.1574684603554
2016-07-01,2016,1,7,GAC12_CAIMP12,2016-07-01T00:00:00-03:00,67.4648305852603
2016-08-01,2016,1,8,GAC12_CAIMP12,2016-08-01T00:00:00-03:00,81.0596011333283
2016-09-01,2016,1,9,GAC12_CAIMP12,2016-09-01T00:00:00-03:00,91.7737903310894
2016-10-01,2016,1,10,GAC12_CAIMP12,2016-10-01T00:00:00-03:00,80.6645116630378
2016-11-01,2016,1,11,GAC12_CAIMP12,2016-11-01T00:00:00-02:00,73.7299995440414
2016-12-01,2016,1,12,GAC12_CAIMP12,2016-12-01T00:00:00-02:00,64.705533765005
2017-01-01,2017,1,1,GAC12_CAIMP12,2017-01-01T00:00:00-02:00,65.0299510001349
2017-02-01,2017,1,2,GAC12_CAIMP12,2017-02-01T00:00:00-02:00,60.0611446457761
2017-03-01,2017,1,3,GAC12_CAIMP12,2017-03-01T00:00:00-03:00,63.7109962358199
2017-04-01,2017,1,4,GAC12_CAIMP12,2017-04-01T00:00:00-03:00,67.3393368793804
