DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2003-01-01,2003,1,1,GAC12_CAIMPDESSAZ12,2003-01-01T00:00:00-02:00,92.9395090712862
2003-02-01,2003,1,2,GAC12_CAIMPDESSAZ12,2003-02-01T00:00:00-02:00,98.6707192028404
2003-03-01,2003,1,3,GAC12_CAIMPDESSAZ12,2003-03-01T00:00:00-03:00,98.5823381112119
2003-04-01,2003,1,4,GAC12_CAIMPDESSAZ12,2003-04-01T00:00:00-03:00,94.6320160375606
2003-05-01,2003,1,5,GAC12_CAIMPDESSAZ12,2003-05-01T00:00:00-03:00,94.5592987103088
2003-06-01,2003,1,6,GAC12_CAIMPDESSAZ12,2003-06-01T00:00:00-03:00,91.1786961714726
2003-07-01,2003,1,7,GAC12_CAIMPDESSAZ12,2003-07-01T00:00:00-03:00,92.0616115044436
2003-08-01,2003,1,8,GAC12_CAIMPDESSAZ12,2003-08-01T00:00:00-03:00,93.1143211028263
2003-09-01,2003,1,9,GAC12_CAIMPDESSAZ12,2003-09-01T00:00:00-03:00,95.620708369575
2003-10-01,2003,1,10,GAC12_CAIMPDESSAZ12,2003-10-01T00:00:00-03:00,100.252710902698
2003-11-01,2003,1,11,GAC12_CAIMPDESSAZ12,2003-11-01T00:00:00-03:00,101.207672992766
2003-12-01,2003,1,12,GAC12_CAIMPDESSAZ12,2003-12-01T00:00:00-02:00,104.959724425561
2004-01-01,2004,1,1,GAC12_CAIMPDESSAZ12,2004-01-01T00:00:00-02:00,99.9766578292422
2004-02-01,2004,1,2,GAC12_CAIMPDESSAZ12,2004-02-01T00:00:00-02:00,95.6460510163525
2004-03-01,2004,1,3,GAC12_CAIMPDESSAZ12,2004-03-01T00:00:00-03:00,98.7327615983182
2004-04-01,2004,1,4,GAC12_CAIMPDESSAZ12,2004-04-01T00:00:00-03:00,96.5117247710714
2004-05-01,2004,1,5,GAC12_CAIMPDESSAZ12,2004-05-01T00:00:00-03:00,95.0951869296105
2004-06-01,2004,1,6,GAC12_CAIMPDESSAZ12,2004-06-01T00:00:00-03:00,92.7889091600062
2004-07-01,2004,1,7,GAC12_CAIMPDESSAZ12,2004-07-01T00:00:00-03:00,91.8218554447264
2004-08-01,2004,1,8,GAC12_CAIMPDESSAZ12,2004-08-01T00:00:00-03:00,93.0515743783178
2004-09-01,2004,1,9,GAC12_CAIMPDESSAZ12,2004-09-01T00:00:00-03:00,92.5237116279813
2004-10-01,2004,1,10,GAC12_CAIMPDESSAZ12,2004-10-01T00:00:00-03:00,89.1674620837347
2004-11-01,2004,1,11,GAC12_CAIMPDESSAZ12,2004-11-01T00:00:00-03:00,91.5174863665632
2004-12-01,2004,1,12,GAC12_CAIMPDESSAZ12,2004-12-01T00:00:00-02:00,94.5907031687533
2005-01-01,2005,1,1,GAC12_CAIMPDESSAZ12,2005-01-01T00:00:00-02:00,124.459393059802
2005-02-01,2005,1,2,GAC12_CAIMPDESSAZ12,2005-02-01T00:00:00-02:00,104.943639040683
2005-03-01,2005,1,3,GAC12_CAIMPDESSAZ12,2005-03-01T00:00:00-03:00,95.1588292426092
