DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAIT12,1998-01-01T00:00:00-02:00,65.7791454921517
1998-02-01,1998,1,2,GAC12_CAIT12,1998-02-01T00:00:00-02:00,63.0666703205755
1998-03-01,1998,1,3,GAC12_CAIT12,1998-03-01T00:00:00-03:00,76.0337851722832
1998-04-01,1998,1,4,GAC12_CAIT12,1998-04-01T00:00:00-03:00,72.2068685908321
1998-05-01,1998,1,5,GAC12_CAIT12,1998-05-01T00:00:00-03:00,77.0767875618908
1998-06-01,1998,1,6,GAC12_CAIT12,1998-06-01T00:00:00-03:00,76.4964700564593
1998-07-01,1998,1,7,GAC12_CAIT12,1998-07-01T00:00:00-03:00,81.2824339643577
1998-08-01,1998,1,8,GAC12_CAIT12,1998-08-01T00:00:00-03:00,78.4819991505092
1998-09-01,1998,1,9,GAC12_CAIT12,1998-09-01T00:00:00-03:00,80.4684864629241
1998-10-01,1998,1,10,GAC12_CAIT12,1998-10-01T00:00:00-03:00,79.019399203033
1998-11-01,1998,1,11,GAC12_CAIT12,1998-11-01T00:00:00-03:00,74.4626153970666
1998-12-01,1998,1,12,GAC12_CAIT12,1998-12-01T00:00:00-02:00,62.8180094105509
1999-01-01,1999,1,1,GAC12_CAIT12,1999-01-01T00:00:00-02:00,61.6096315509105
1999-02-01,1999,1,2,GAC12_CAIT12,1999-02-01T00:00:00-02:00,57.5210476375924
1999-03-01,1999,1,3,GAC12_CAIT12,1999-03-01T00:00:00-03:00,70.5500276353385
1999-04-01,1999,1,4,GAC12_CAIT12,1999-04-01T00:00:00-03:00,67.2395591219538
1999-05-01,1999,1,5,GAC12_CAIT12,1999-05-01T00:00:00-03:00,72.0410588418223
1999-06-01,1999,1,6,GAC12_CAIT12,1999-06-01T00:00:00-03:00,72.2991343188696
1999-07-01,1999,1,7,GAC12_CAIT12,1999-07-01T00:00:00-03:00,73.2676717661391
1999-08-01,1999,1,8,GAC12_CAIT12,1999-08-01T00:00:00-03:00,76.4819917421489
1999-09-01,1999,1,9,GAC12_CAIT12,1999-09-01T00:00:00-03:00,75.4576227832416
1999-10-01,1999,1,10,GAC12_CAIT12,1999-10-01T00:00:00-03:00,76.7960453278101
1999-11-01,1999,1,11,GAC12_CAIT12,1999-11-01T00:00:00-03:00,75.7342325665303
1999-12-01,1999,1,12,GAC12_CAIT12,1999-12-01T00:00:00-02:00,65.6156980726231
2000-01-01,2000,1,1,GAC12_CAIT12,2000-01-01T00:00:00-02:00,62.7617362711609
2000-02-01,2000,1,2,GAC12_CAIT12,2000-02-01T00:00:00-02:00,67.4610909463876
2000-03-01,2000,1,3,GAC12_CAIT12,2000-03-01T00:00:00-03:00,71.9836675126093
2000-04-01,2000,1,4,GAC12_CAIT12,2000-04-01T00:00:00-03:00,69.1175247094298
2000-05-01,2000,1,5,GAC12_CAIT12,2000-05-01T00:00:00-03:00,76.9011512629471
2000-06-01,2000,1,6,GAC12_CAIT12,2000-06-01T00:00:00-03:00,76.8768381901936
2000-07-01,2000,1,7,GAC12_CAIT12,2000-07-01T00:00:00-03:00,79.0646904552574
2000-08-01,2000,1,8,GAC12_CAIT12,2000-08-01T00:00:00-03:00,83.2853135466283
2000-09-01,2000,1,9,GAC12_CAIT12,2000-09-01T00:00:00-03:00,78.2063391502098
2000-10-01,2000,1,10,GAC12_CAIT12,2000-10-01T00:00:00-03:00,82.9002650352913
2000-11-01,2000,1,11,GAC12_CAIT12,2000-11-01T00:00:00-03:00,79.5371346621779
2000-12-01,2000,1,12,GAC12_CAIT12,2000-12-01T00:00:00-02:00,71.2275184173467
2001-01-01,2001,1,1,GAC12_CAIT12,2001-01-01T00:00:00-02:00,72.1947932425342
2001-02-01,2001,1,2,GAC12_CAIT12,2001-02-01T00:00:00-02:00,67.5628842981938
2001-03-01,2001,1,3,GAC12_CAIT12,2001-03-01T00:00:00-03:00,80.4070546352542
2001-04-01,2001,1,4,GAC12_CAIT12,2001-04-01T00:00:00-03:00,74.6452972951252
2001-05-01,2001,1,5,GAC12_CAIT12,2001-05-01T00:00:00-03:00,81.4938728780963
2001-06-01,2001,1,6,GAC12_CAIT12,2001-06-01T00:00:00-03:00,76.151930709588
2001-07-01,2001,1,7,GAC12_CAIT12,2001-07-01T00:00:00-03:00,80.4610448298589
2001-08-01,2001,1,8,GAC12_CAIT12,2001-08-01T00:00:00-03:00,81.3367887525267
2001-09-01,2001,1,9,GAC12_CAIT12,2001-09-01T00:00:00-03:00,75.4542889237478
2001-10-01,2001,1,10,GAC12_CAIT12,2001-10-01T00:00:00-03:00,79.5204174738295
2001-11-01,2001,1,11,GAC12_CAIT12,2001-11-01T00:00:00-03:00,76.7812222275506
2001-12-01,2001,1,12,GAC12_CAIT12,2001-12-01T00:00:00-02:00,63.5658258640826
2002-01-01,2002,1,1,GAC12_CAIT12,2002-01-01T00:00:00-02:00,67.8077101373769
2002-02-01,2002,1,2,GAC12_CAIT12,2002-02-01T00:00:00-02:00,65.7421238857044
