DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAMETALDESSAZ12,1998-01-01T00:00:00-02:00,66.1124172960873
1998-02-01,1998,1,2,GAC12_CAMETALDESSAZ12,1998-02-01T00:00:00-02:00,67.5580676809211
1998-03-01,1998,1,3,GAC12_CAMETALDESSAZ12,1998-03-01T00:00:00-03:00,67.5840999923758
1998-04-01,1998,1,4,GAC12_CAMETALDESSAZ12,1998-04-01T00:00:00-03:00,69.2398721337806
1998-05-01,1998,1,5,GAC12_CAMETALDESSAZ12,1998-05-01T00:00:00-03:00,66.7015540091464
1998-06-01,1998,1,6,GAC12_CAMETALDESSAZ12,1998-06-01T00:00:00-03:00,64.7481296265081
1998-07-01,1998,1,7,GAC12_CAMETALDESSAZ12,1998-07-01T00:00:00-03:00,68.1228034581376
1998-08-01,1998,1,8,GAC12_CAMETALDESSAZ12,1998-08-01T00:00:00-03:00,66.6614061225052
1998-09-01,1998,1,9,GAC12_CAMETALDESSAZ12,1998-09-01T00:00:00-03:00,66.211863361329
1998-10-01,1998,1,10,GAC12_CAMETALDESSAZ12,1998-10-01T00:00:00-03:00,64.891869757983
1998-11-01,1998,1,11,GAC12_CAMETALDESSAZ12,1998-11-01T00:00:00-03:00,65.0908137407469
1998-12-01,1998,1,12,GAC12_CAMETALDESSAZ12,1998-12-01T00:00:00-02:00,59.0356592743684
1999-01-01,1999,1,1,GAC12_CAMETALDESSAZ12,1999-01-01T00:00:00-02:00,63.00888137762
1999-02-01,1999,1,2,GAC12_CAMETALDESSAZ12,1999-02-01T00:00:00-02:00,60.8962970399504
1999-03-01,1999,1,3,GAC12_CAMETALDESSAZ12,1999-03-01T00:00:00-03:00,62.7951926449317
1999-04-01,1999,1,4,GAC12_CAMETALDESSAZ12,1999-04-01T00:00:00-03:00,62.2201925660962
1999-05-01,1999,1,5,GAC12_CAMETALDESSAZ12,1999-05-01T00:00:00-03:00,65.4545011022387
