DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAPET12,1998-01-01T00:00:00-02:00,84.8247744495276
1998-02-01,1998,1,2,GAC12_CAPET12,1998-02-01T00:00:00-02:00,78.5564654323139
1998-03-01,1998,1,3,GAC12_CAPET12,1998-03-01T00:00:00-03:00,86.7818733227282
1998-04-01,1998,1,4,GAC12_CAPET12,1998-04-01T00:00:00-03:00,85.3431914056998
1998-05-01,1998,1,5,GAC12_CAPET12,1998-05-01T00:00:00-03:00,97.252854623828
1998-06-01,1998,1,6,GAC12_CAPET12,1998-06-01T00:00:00-03:00,99.6099807526568
1998-07-01,1998,1,7,GAC12_CAPET12,1998-07-01T00:00:00-03:00,106.226169527626
1998-08-01,1998,1,8,GAC12_CAPET12,1998-08-01T00:00:00-03:00,106.014089120408
1998-09-01,1998,1,9,GAC12_CAPET12,1998-09-01T00:00:00-03:00,98.0909943927146
1998-10-01,1998,1,10,GAC12_CAPET12,1998-10-01T00:00:00-03:00,105.19979225084
1998-11-01,1998,1,11,GAC12_CAPET12,1998-11-01T00:00:00-03:00,93.0319828133959
1998-12-01,1998,1,12,GAC12_CAPET12,1998-12-01T00:00:00-02:00,87.0713536639567
1999-01-01,1999,1,1,GAC12_CAPET12,1999-01-01T00:00:00-02:00,83.2789974705502
1999-02-01,1999,1,2,GAC12_CAPET12,1999-02-01T00:00:00-02:00,72.3143015067547
1999-03-01,1999,1,3,GAC12_CAPET12,1999-03-01T00:00:00-03:00,89.9906696075729
1999-04-01,1999,1,4,GAC12_CAPET12,1999-04-01T00:00:00-03:00,87.3114662170855
1999-05-01,1999,1,5,GAC12_CAPET12,1999-05-01T00:00:00-03:00,101.376544987327
1999-06-01,1999,1,6,GAC12_CAPET12,1999-06-01T00:00:00-03:00,100.200451159883
1999-07-01,1999,1,7,GAC12_CAPET12,1999-07-01T00:00:00-03:00,99.0568999405605
1999-08-01,1999,1,8,GAC12_CAPET12,1999-08-01T00:00:00-03:00,96.0562504873358
1999-09-01,1999,1,9,GAC12_CAPET12,1999-09-01T00:00:00-03:00,98.4749244536317
1999-10-01,1999,1,10,GAC12_CAPET12,1999-10-01T00:00:00-03:00,103.224832313575
1999-11-01,1999,1,11,GAC12_CAPET12,1999-11-01T00:00:00-03:00,94.1981200795556
1999-12-01,1999,1,12,GAC12_CAPET12,1999-12-01T00:00:00-02:00,86.3415751307048
2000-01-01,2000,1,1,GAC12_CAPET12,2000-01-01T00:00:00-02:00,77.5768525500964
2000-02-01,2000,1,2,GAC12_CAPET12,2000-02-01T00:00:00-02:00,77.2604290603714
2000-03-01,2000,1,3,GAC12_CAPET12,2000-03-01T00:00:00-03:00,82.3889648852765
2000-04-01,2000,1,4,GAC12_CAPET12,2000-04-01T00:00:00-03:00,83.0188411645619
2000-05-01,2000,1,5,GAC12_CAPET12,2000-05-01T00:00:00-03:00,92.0708194541302
2000-06-01,2000,1,6,GAC12_CAPET12,2000-06-01T00:00:00-03:00,102.615509160795
2000-07-01,2000,1,7,GAC12_CAPET12,2000-07-01T00:00:00-03:00,100.576526531082
2000-08-01,2000,1,8,GAC12_CAPET12,2000-08-01T00:00:00-03:00,98.9726832396855
2000-09-01,2000,1,9,GAC12_CAPET12,2000-09-01T00:00:00-03:00,92.3715862285001
2000-10-01,2000,1,10,GAC12_CAPET12,2000-10-01T00:00:00-03:00,107.134613273836
2000-11-01,2000,1,11,GAC12_CAPET12,2000-11-01T00:00:00-03:00,87.1665850667156
2000-12-01,2000,1,12,GAC12_CAPET12,2000-12-01T00:00:00-02:00,86.4896526273341
2001-01-01,2001,1,1,GAC12_CAPET12,2001-01-01T00:00:00-02:00,79.7471994568702
2001-02-01,2001,1,2,GAC12_CAPET12,2001-02-01T00:00:00-02:00,76.2524710539407
2001-03-01,2001,1,3,GAC12_CAPET12,2001-03-01T00:00:00-03:00,84.1276577637967
2001-04-01,2001,1,4,GAC12_CAPET12,2001-04-01T00:00:00-03:00,78.614161915628
2001-05-01,2001,1,5,GAC12_CAPET12,2001-05-01T00:00:00-03:00,91.4669350718656
2001-06-01,2001,1,6,GAC12_CAPET12,2001-06-01T00:00:00-03:00,96.8264727539866
2001-07-01,2001,1,7,GAC12_CAPET12,2001-07-01T00:00:00-03:00,103.955233901292
2001-08-01,2001,1,8,GAC12_CAPET12,2001-08-01T00:00:00-03:00,103.189797633745
2001-09-01,2001,1,9,GAC12_CAPET12,2001-09-01T00:00:00-03:00,102.912523536176
