DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAPETDESSAZ12,1998-01-01T00:00:00-02:00,95.9026966208853
1998-02-01,1998,1,2,GAC12_CAPETDESSAZ12,1998-02-01T00:00:00-02:00,93.9267950092586
1998-03-01,1998,1,3,GAC12_CAPETDESSAZ12,1998-03-01T00:00:00-03:00,93.2843040443715
1998-04-01,1998,1,4,GAC12_CAPETDESSAZ12,1998-04-01T00:00:00-03:00,94.0853240756756
1998-05-01,1998,1,5,GAC12_CAPETDESSAZ12,1998-05-01T00:00:00-03:00,94.6008214663924
1998-06-01,1998,1,6,GAC12_CAPETDESSAZ12,1998-06-01T00:00:00-03:00,91.7857707468385
1998-07-01,1998,1,7,GAC12_CAPETDESSAZ12,1998-07-01T00:00:00-03:00,96.2356463078433
1998-08-01,1998,1,8,GAC12_CAPETDESSAZ12,1998-08-01T00:00:00-03:00,96.3592278258295
1998-09-01,1998,1,9,GAC12_CAPETDESSAZ12,1998-09-01T00:00:00-03:00,91.8264647152559
1998-10-01,1998,1,10,GAC12_CAPETDESSAZ12,1998-10-01T00:00:00-03:00,93.1450489038873
1998-11-01,1998,1,11,GAC12_CAPETDESSAZ12,1998-11-01T00:00:00-03:00,94.2960555371709
1998-12-01,1998,1,12,GAC12_CAPETDESSAZ12,1998-12-01T00:00:00-02:00,93.4171249967451
1999-01-01,1999,1,1,GAC12_CAPETDESSAZ12,1999-01-01T00:00:00-02:00,95.0399314157157
1999-02-01,1999,1,2,GAC12_CAPETDESSAZ12,1999-02-01T00:00:00-02:00,86.1530705341884
1999-03-01,1999,1,3,GAC12_CAPETDESSAZ12,1999-03-01T00:00:00-03:00,96.966972693771
1999-04-01,1999,1,4,GAC12_CAPETDESSAZ12,1999-04-01T00:00:00-03:00,93.6421461343851
1999-05-01,1999,1,5,GAC12_CAPETDESSAZ12,1999-05-01T00:00:00-03:00,98.8657421515565
1999-06-01,1999,1,6,GAC12_CAPETDESSAZ12,1999-06-01T00:00:00-03:00,95.168829660092
1999-07-01,1999,1,7,GAC12_CAPETDESSAZ12,1999-07-01T00:00:00-03:00,88.8868038342833
1999-08-01,1999,1,8,GAC12_CAPETDESSAZ12,1999-08-01T00:00:00-03:00,86.2735079516139
1999-09-01,1999,1,9,GAC12_CAPETDESSAZ12,1999-09-01T00:00:00-03:00,92.5461633958814
1999-10-01,1999,1,10,GAC12_CAPETDESSAZ12,1999-10-01T00:00:00-03:00,92.595914923741
1999-11-01,1999,1,11,GAC12_CAPETDESSAZ12,1999-11-01T00:00:00-03:00,94.2308084361829
1999-12-01,1999,1,12,GAC12_CAPETDESSAZ12,1999-12-01T00:00:00-02:00,92.1182415416869
2000-01-01,2000,1,1,GAC12_CAPETDESSAZ12,2000-01-01T00:00:00-02:00,88.2640374186452
2000-02-01,2000,1,2,GAC12_CAPETDESSAZ12,2000-02-01T00:00:00-02:00,88.7934745292434
2000-03-01,2000,1,3,GAC12_CAPETDESSAZ12,2000-03-01T00:00:00-03:00,87.9071756263639
2000-04-01,2000,1,4,GAC12_CAPETDESSAZ12,2000-04-01T00:00:00-03:00,91.5423068370788
