DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1998-01-01,1998,1,1,GAC12_CAVEST12,1998-01-01T00:00:00-02:00,62.4693643175491
1998-02-01,1998,1,2,GAC12_CAVEST12,1998-02-01T00:00:00-02:00,64.9555694360036
1998-03-01,1998,1,3,GAC12_CAVEST12,1998-03-01T00:00:00-03:00,78.6105781441582
1998-04-01,1998,1,4,GAC12_CAVEST12,1998-04-01T00:00:00-03:00,78.9918524411379
1998-05-01,1998,1,5,GAC12_CAVEST12,1998-05-01T00:00:00-03:00,83.3616351721248
1998-06-01,1998,1,6,GAC12_CAVEST12,1998-06-01T00:00:00-03:00,82.1492656364806
1998-07-01,1998,1,7,GAC12_CAVEST12,1998-07-01T00:00:00-03:00,93.8648971716104
1998-08-01,1998,1,8,GAC12_CAVEST12,1998-08-01T00:00:00-03:00,92.9992010142774
1998-09-01,1998,1,9,GAC12_CAVEST12,1998-09-01T00:00:00-03:00,102.11861209544
1998-10-01,1998,1,10,GAC12_CAVEST12,1998-10-01T00:00:00-03:00,109.44630200553
1998-11-01,1998,1,11,GAC12_CAVEST12,1998-11-01T00:00:00-03:00,107.912009141998
1998-12-01,1998,1,12,GAC12_CAVEST12,1998-12-01T00:00:00-02:00,73.7135427805641
1999-01-01,1999,1,1,GAC12_CAVEST12,1999-01-01T00:00:00-02:00,66.1319034000293
1999-02-01,1999,1,2,GAC12_CAVEST12,1999-02-01T00:00:00-02:00,62.4258235663993
1999-03-01,1999,1,3,GAC12_CAVEST12,1999-03-01T00:00:00-03:00,80.255679733446
1999-04-01,1999,1,4,GAC12_CAVEST12,1999-04-01T00:00:00-03:00,80.7400232433382
1999-05-01,1999,1,5,GAC12_CAVEST12,1999-05-01T00:00:00-03:00,78.906875433796
1999-06-01,1999,1,6,GAC12_CAVEST12,1999-06-01T00:00:00-03:00,76.3833810620452
1999-07-01,1999,1,7,GAC12_CAVEST12,1999-07-01T00:00:00-03:00,81.6571376323107
1999-08-01,1999,1,8,GAC12_CAVEST12,1999-08-01T00:00:00-03:00,86.2245080805477
1999-09-01,1999,1,9,GAC12_CAVEST12,1999-09-01T00:00:00-03:00,84.1223877986913
1999-10-01,1999,1,10,GAC12_CAVEST12,1999-10-01T00:00:00-03:00,93.595200315027
1999-11-01,1999,1,11,GAC12_CAVEST12,1999-11-01T00:00:00-03:00,101.113490483331
1999-12-01,1999,1,12,GAC12_CAVEST12,1999-12-01T00:00:00-02:00,72.727167228403
2000-01-01,2000,1,1,GAC12_CAVEST12,2000-01-01T00:00:00-02:00,72.4761778320821
2000-02-01,2000,1,2,GAC12_CAVEST12,2000-02-01T00:00:00-02:00,77.1572400840082
2000-03-01,2000,1,3,GAC12_CAVEST12,2000-03-01T00:00:00-03:00,80.2975086977944
2000-04-01,2000,1,4,GAC12_CAVEST12,2000-04-01T00:00:00-03:00,79.1408646812776
2000-05-01,2000,1,5,GAC12_CAVEST12,2000-05-01T00:00:00-03:00,84.1942495416108
2000-06-01,2000,1,6,GAC12_CAVEST12,2000-06-01T00:00:00-03:00,78.010449510099
2000-07-01,2000,1,7,GAC12_CAVEST12,2000-07-01T00:00:00-03:00,87.1707607648566
2000-08-01,2000,1,8,GAC12_CAVEST12,2000-08-01T00:00:00-03:00,92.2024155203024
2000-09-01,2000,1,9,GAC12_CAVEST12,2000-09-01T00:00:00-03:00,91.1592647188671
2000-10-01,2000,1,10,GAC12_CAVEST12,2000-10-01T00:00:00-03:00,99.9256058517167
2000-11-01,2000,1,11,GAC12_CAVEST12,2000-11-01T00:00:00-03:00,103.430773194959
2000-12-01,2000,1,12,GAC12_CAVEST12,2000-12-01T00:00:00-02:00,73.2726060656874
2001-01-01,2001,1,1,GAC12_CAVEST12,2001-01-01T00:00:00-02:00,68.6754665601333
2001-02-01,2001,1,2,GAC12_CAVEST12,2001-02-01T00:00:00-02:00,72.9484256584762
2001-03-01,2001,1,3,GAC12_CAVEST12,2001-03-01T00:00:00-03:00,81.3878396118138
2001-04-01,2001,1,4,GAC12_CAVEST12,2001-04-01T00:00:00-03:00,72.3681611307776
2001-05-01,2001,1,5,GAC12_CAVEST12,2001-05-01T00:00:00-03:00,75.6311168141227
2001-06-01,2001,1,6,GAC12_CAVEST12,2001-06-01T00:00:00-03:00,66.907976373533
2001-07-01,2001,1,7,GAC12_CAVEST12,2001-07-01T00:00:00-03:00,77.9269218558543
2001-08-01,2001,1,8,GAC12_CAVEST12,2001-08-01T00:00:00-03:00,83.7534578524414
2001-09-01,2001,1,9,GAC12_CAVEST12,2001-09-01T00:00:00-03:00,75.199189153929
2001-10-01,2001,1,10,GAC12_CAVEST12,2001-10-01T00:00:00-03:00,85.9056057643257
2001-11-01,2001,1,11,GAC12_CAVEST12,2001-11-01T00:00:00-03:00,88.9512320540437
2001-12-01,2001,1,12,GAC12_CAVEST12,2001-12-01T00:00:00-02:00,65.7846079718167
2002-01-01,2002,1,1,GAC12_CAVEST12,2002-01-01T00:00:00-02:00,61.6291139654746
2002-02-01,2002,1,2,GAC12_CAVEST12,2002-02-01T00:00:00-02:00,65.3627981662006
2002-03-01,2002,1,3,GAC12_CAVEST12,2002-03-01T00:00:00-03:00,78.6373122170725
2002-04-01,2002,1,4,GAC12_CAVEST12,2002-04-01T00:00:00-03:00,84.1372888442509
2002-05-01,2002,1,5,GAC12_CAVEST12,2002-05-01T00:00:00-03:00,79.1382346099685
2002-06-01,2002,1,6,GAC12_CAVEST12,2002-06-01T00:00:00-03:00,73.5815027215718
2002-07-01,2002,1,7,GAC12_CAVEST12,2002-07-01T00:00:00-03:00,87.4099054500033
2002-08-01,2002,1,8,GAC12_CAVEST12,2002-08-01T00:00:00-03:00,92.2668633211392
2002-09-01,2002,1,9,GAC12_CAVEST12,2002-09-01T00:00:00-03:00,89.4075362297171
2002-10-01,2002,1,10,GAC12_CAVEST12,2002-10-01T00:00:00-03:00,98.4800376581798
2002-11-01,2002,1,11,GAC12_CAVEST12,2002-11-01T00:00:00-03:00,95.849153016251
2002-12-01,2002,1,12,GAC12_CAVEST12,2002-12-01T00:00:00-02:00,60.572826964302
2003-01-01,2003,1,1,GAC12_CAVEST12,2003-01-01T00:00:00-02:00,55.3630896773437
2003-02-01,2003,1,2,GAC12_CAVEST12,2003-02-01T00:00:00-02:00,60.1315687951865
2003-03-01,2003,1,3,GAC12_CAVEST12,2003-03-01T00:00:00-03:00,61.9801244323484
2003-04-01,2003,1,4,GAC12_CAVEST12,2003-04-01T00:00:00-03:00,63.1283611516569
2003-05-01,2003,1,5,GAC12_CAVEST12,2003-05-01T00:00:00-03:00,66.2731704060132
2003-06-01,2003,1,6,GAC12_CAVEST12,2003-06-01T00:00:00-03:00,64.1831012856553
2003-07-01,2003,1,7,GAC12_CAVEST12,2003-07-01T00:00:00-03:00,71.8234763370468
2003-08-01,2003,1,8,GAC12_CAVEST12,2003-08-01T00:00:00-03:00,74.550266410861
2003-09-01,2003,1,9,GAC12_CAVEST12,2003-09-01T00:00:00-03:00,83.5633054861875
2003-10-01,2003,1,10,GAC12_CAVEST12,2003-10-01T00:00:00-03:00,89.1976342070217
2003-11-01,2003,1,11,GAC12_CAVEST12,2003-11-01T00:00:00-03:00,85.9143879160785
2003-12-01,2003,1,12,GAC12_CAVEST12,2003-12-01T00:00:00-02:00,48.8545768461775
2004-01-01,2004,1,1,GAC12_CAVEST12,2004-01-01T00:00:00-02:00,45.7092293875779
2004-02-01,2004,1,2,GAC12_CAVEST12,2004-02-01T00:00:00-02:00,51.6100065836805
2004-03-01,2004,1,3,GAC12_CAVEST12,2004-03-01T00:00:00-03:00,69.9497769656251
2004-04-01,2004,1,4,GAC12_CAVEST12,2004-04-01T00:00:00-03:00,63.9182138996415
2004-05-01,2004,1,5,GAC12_CAVEST12,2004-05-01T00:00:00-03:00,64.4432802460683
2004-06-01,2004,1,6,GAC12_CAVEST12,2004-06-01T00:00:00-03:00,66.6826135146644
2004-07-01,2004,1,7,GAC12_CAVEST12,2004-07-01T00:00:00-03:00,76.1981428520178
2004-08-01,2004,1,8,GAC12_CAVEST12,2004-08-01T00:00:00-03:00,83.815002284621
2004-09-01,2004,1,9,GAC12_CAVEST12,2004-09-01T00:00:00-03:00,86.7697719144008
2004-10-01,2004,1,10,GAC12_CAVEST12,2004-10-01T00:00:00-03:00,85.984377403798
2004-11-01,2004,1,11,GAC12_CAVEST12,2004-11-01T00:00:00-03:00,87.4978775369253
2004-12-01,2004,1,12,GAC12_CAVEST12,2004-12-01T00:00:00-02:00,55.5788134546165
2005-01-01,2005,1,1,GAC12_CAVEST12,2005-01-01T00:00:00-02:00,49.5478177376449
2005-02-01,2005,1,2,GAC12_CAVEST12,2005-02-01T00:00:00-02:00,53.656336184546
2005-03-01,2005,1,3,GAC12_CAVEST12,2005-03-01T00:00:00-03:00,71.5736279050343
2005-04-01,2005,1,4,GAC12_CAVEST12,2005-04-01T00:00:00-03:00,66.5937553957101
2005-05-01,2005,1,5,GAC12_CAVEST12,2005-05-01T00:00:00-03:00,66.8737486385438
2005-06-01,2005,1,6,GAC12_CAVEST12,2005-06-01T00:00:00-03:00,70.2468170107081
2005-07-01,2005,1,7,GAC12_CAVEST12,2005-07-01T00:00:00-03:00,68.6842691415078
2005-08-01,2005,1,8,GAC12_CAVEST12,2005-08-01T00:00:00-03:00,76.3972121738862
2005-09-01,2005,1,9,GAC12_CAVEST12,2005-09-01T00:00:00-03:00,78.0765883334213
2005-10-01,2005,1,10,GAC12_CAVEST12,2005-10-01T00:00:00-03:00,80.1895614643519
2005-11-01,2005,1,11,GAC12_CAVEST12,2005-11-01T00:00:00-02:00,82.9154595409197
2005-12-01,2005,1,12,GAC12_CAVEST12,2005-12-01T00:00:00-02:00,52.1597023512943
2006-01-01,2006,1,1,GAC12_CAVEST12,2006-01-01T00:00:00-02:00,50.4363062143343
2006-02-01,2006,1,2,GAC12_CAVEST12,2006-02-01T00:00:00-02:00,58.349676381694
2006-03-01,2006,1,3,GAC12_CAVEST12,2006-03-01T00:00:00-03:00,70.7859200835067
2006-04-01,2006,1,4,GAC12_CAVEST12,2006-04-01T00:00:00-03:00,59.8908170179068
2006-05-01,2006,1,5,GAC12_CAVEST12,2006-05-01T00:00:00-03:00,64.6241754797169
2006-06-01,2006,1,6,GAC12_CAVEST12,2006-06-01T00:00:00-03:00,58.315921506515
2006-07-01,2006,1,7,GAC12_CAVEST12,2006-07-01T00:00:00-03:00,65.8728668249268
2006-08-01,2006,1,8,GAC12_CAVEST12,2006-08-01T00:00:00-03:00,73.8276772910041
2006-09-01,2006,1,9,GAC12_CAVEST12,2006-09-01T00:00:00-03:00,72.7169429015124
2006-10-01,2006,1,10,GAC12_CAVEST12,2006-10-01T00:00:00-03:00,78.721302118753
2006-11-01,2006,1,11,GAC12_CAVEST12,2006-11-01T00:00:00-03:00,79.9419421348518
2006-12-01,2006,1,12,GAC12_CAVEST12,2006-12-01T00:00:00-02:00,48.4917019473761
2007-01-01,2007,1,1,GAC12_CAVEST12,2007-01-01T00:00:00-02:00,46.948619543636
2007-02-01,2007,1,2,GAC12_CAVEST12,2007-02-01T00:00:00-02:00,61.8782935593677
2007-03-01,2007,1,3,GAC12_CAVEST12,2007-03-01T00:00:00-03:00,71.6831119303846
2007-04-01,2007,1,4,GAC12_CAVEST12,2007-04-01T00:00:00-03:00,71.350001157321
2007-05-01,2007,1,5,GAC12_CAVEST12,2007-05-01T00:00:00-03:00,84.033892987069
2007-06-01,2007,1,6,GAC12_CAVEST12,2007-06-01T00:00:00-03:00,68.8823233651776
2007-07-01,2007,1,7,GAC12_CAVEST12,2007-07-01T00:00:00-03:00,75.6366503050303
2007-08-01,2007,1,8,GAC12_CAVEST12,2007-08-01T00:00:00-03:00,84.5269449176067
2007-09-01,2007,1,9,GAC12_CAVEST12,2007-09-01T00:00:00-03:00,85.5275912544205
