DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$ (do último mês))
1940-07-01,1940,1,7,GAC12_SALMINRE12,1940-07-01T00:00:00-03:00,456.27272466742
1940-08-01,1940,1,8,GAC12_SALMINRE12,1940-08-01T00:00:00-03:00,454.998728228378
1940-09-01,1940,1,9,GAC12_SALMINRE12,1940-09-01T00:00:00-03:00,454.589597590548
1940-10-01,1940,1,10,GAC12_SALMINRE12,1940-10-01T00:00:00-03:00,447.474749080172
1940-11-01,1940,1,11,GAC12_SALMINRE12,1940-11-01T00:00:00-03:00,437.414221974755
1940-12-01,1940,1,12,GAC12_SALMINRE12,1940-12-01T00:00:00-02:00,445.024134677743
1941-01-01,1941,1,1,GAC12_SALMINRE12,1941-01-01T00:00:00-02:00,433.493215154629
1941-02-01,1941,1,2,GAC12_SALMINRE12,1941-02-01T00:00:00-02:00,415.661343517718
1941-03-01,1941,1,3,GAC12_SALMINRE12,1941-03-01T00:00:00-03:00,430.024150132134
1941-04-01,1941,1,4,GAC12_SALMINRE12,1941-04-01T00:00:00-03:00,424.757161331623
1941-05-01,1941,1,5,GAC12_SALMINRE12,1941-05-01T00:00:00-03:00,409.365035978818
1941-06-01,1941,1,6,GAC12_SALMINRE12,1941-06-01T00:00:00-03:00,399.263665248044
1941-07-01,1941,1,7,GAC12_SALMINRE12,1941-07-01T00:00:00-03:00,405.590883023205
1941-08-01,1941,1,8,GAC12_SALMINRE12,1941-08-01T00:00:00-03:00,400.227830099866
1941-09-01,1941,1,9,GAC12_SALMINRE12,1941-09-01T00:00:00-03:00,396.972654334324
1941-10-01,1941,1,10,GAC12_SALMINRE12,1941-10-01T00:00:00-03:00,402.568354461338
1941-11-01,1941,1,11,GAC12_SALMINRE12,1941-11-01T00:00:00-03:00,394.713554722361
1941-12-01,1941,1,12,GAC12_SALMINRE12,1941-12-01T00:00:00-02:00,399.91241613208
1942-01-01,1942,1,1,GAC12_SALMINRE12,1942-01-01T00:00:00-02:00,403.585039996042
1942-02-01,1942,1,2,GAC12_SALMINRE12,1942-02-01T00:00:00-02:00,401.57715422492
