DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1944-02-01,1944,1,2,IGP12_IGPDIG12,1944-02-01T00:00:00-02:00,1.45
1944-03-01,1944,1,3,IGP12_IGPDIG12,1944-03-01T00:00:00-03:00,1.43
1944-04-01,1944,1,4,IGP12_IGPDIG12,1944-04-01T00:00:00-03:00,1.41
1944-05-01,1944,1,5,IGP12_IGPDIG12,1944-05-01T00:00:00-03:00,1.39
1944-06-01,1944,1,6,IGP12_IGPDIG12,1944-06-01T00:00:00-03:00,1.37
1944-07-01,1944,1,7,IGP12_IGPDIG12,1944-07-01T00:00:00-03:00,1.35
1944-08-01,1944,1,8,IGP12_IGPDIG12,1944-08-01T00:00:00-03:00,1.33
1944-09-01,1944,1,9,IGP12_IGPDIG12,1944-09-01T00:00:00-03:00,1.32
1944-10-01,1944,1,10,IGP12_IGPDIG12,1944-10-01T00:00:00-03:00,2.6
1944-11-01,1944,1,11,IGP12_IGPDIG12,1944-11-01T00:00:00-03:00,2.53
1944-12-01,1944,1,12,IGP12_IGPDIG12,1944-12-01T00:00:00-02:00,0.0
1945-01-01,1945,1,1,IGP12_IGPDIG12,1945-01-01T00:00:00-02:00,1.23
1945-02-01,1945,1,2,IGP12_IGPDIG12,1945-02-01T00:00:00-02:00,2.44
1945-03-01,1945,1,3,IGP12_IGPDIG12,1945-03-01T00:00:00-03:00,-1.19
1945-04-01,1945,1,4,IGP12_IGPDIG12,1945-04-01T00:00:00-03:00,0.0
1945-05-01,1945,1,5,IGP12_IGPDIG12,1945-05-01T00:00:00-03:00,1.2
1945-06-01,1945,1,6,IGP12_IGPDIG12,1945-06-01T00:00:00-03:00,1.19
1945-07-01,1945,1,7,IGP12_IGPDIG12,1945-07-01T00:00:00-03:00,1.18
1945-08-01,1945,1,8,IGP12_IGPDIG12,1945-08-01T00:00:00-03:00,1.16
1945-09-01,1945,1,9,IGP12_IGPDIG12,1945-09-01T00:00:00-03:00,0.0
1945-10-01,1945,1,10,IGP12_IGPDIG12,1945-10-01T00:00:00-03:00,1.15
1945-11-01,1945,1,11,IGP12_IGPDIG12,1945-11-01T00:00:00-03:00,1.14
1945-12-01,1945,1,12,IGP12_IGPDIG12,1945-12-01T00:00:00-02:00,1.12
1946-01-01,1946,1,1,IGP12_IGPDIG12,1946-01-01T00:00:00-02:00,1.11
1946-02-01,1946,1,2,IGP12_IGPDIG12,1946-02-01T00:00:00-02:00,1.1
1946-03-01,1946,1,3,IGP12_IGPDIG12,1946-03-01T00:00:00-03:00,1.09
1946-04-01,1946,1,4,IGP12_IGPDIG12,1946-04-01T00:00:00-03:00,1.08
1946-05-01,1946,1,5,IGP12_IGPDIG12,1946-05-01T00:00:00-03:00,1.06
1946-06-01,1946,1,6,IGP12_IGPDIG12,1946-06-01T00:00:00-03:00,3.16
1946-07-01,1946,1,7,IGP12_IGPDIG12,1946-07-01T00:00:00-03:00,2.04
1946-08-01,1946,1,8,IGP12_IGPDIG12,1946-08-01T00:00:00-03:00,4.0
1946-09-01,1946,1,9,IGP12_IGPDIG12,1946-09-01T00:00:00-03:00,2.88
1946-10-01,1946,1,10,IGP12_IGPDIG12,1946-10-01T00:00:00-03:00,0.93
1946-11-01,1946,1,11,IGP12_IGPDIG12,1946-11-01T00:00:00-03:00,0.93
1946-12-01,1946,1,12,IGP12_IGPDIG12,1946-12-01T00:00:00-02:00,0.92
1947-01-01,1947,1,1,IGP12_IGPDIG12,1947-01-01T00:00:00-02:00,3.64
1947-02-01,1947,1,2,IGP12_IGPDIG12,1947-02-01T00:00:00-02:00,0.88
1947-03-01,1947,1,3,IGP12_IGPDIG12,1947-03-01T00:00:00-03:00,0.87
1947-04-01,1947,1,4,IGP12_IGPDIG12,1947-04-01T00:00:00-03:00,-2.59
1947-05-01,1947,1,5,IGP12_IGPDIG12,1947-05-01T00:00:00-03:00,-0.88
1947-06-01,1947,1,6,IGP12_IGPDIG12,1947-06-01T00:00:00-03:00,-0.89
1947-07-01,1947,1,7,IGP12_IGPDIG12,1947-07-01T00:00:00-03:00,-1.8
1947-08-01,1947,1,8,IGP12_IGPDIG12,1947-08-01T00:00:00-03:00,0.0
1947-09-01,1947,1,9,IGP12_IGPDIG12,1947-09-01T00:00:00-03:00,0.92
1947-10-01,1947,1,10,IGP12_IGPDIG12,1947-10-01T00:00:00-03:00,0.0
1947-11-01,1947,1,11,IGP12_IGPDIG12,1947-11-01T00:00:00-03:00,0.91
1947-12-01,1947,1,12,IGP12_IGPDIG12,1947-12-01T00:00:00-02:00,1.8
1948-01-01,1948,1,1,IGP12_IGPDIG12,1948-01-01T00:00:00-02:00,2.65
1948-02-01,1948,1,2,IGP12_IGPDIG12,1948-02-01T00:00:00-02:00,2.59
1948-03-01,1948,1,3,IGP12_IGPDIG12,1948-03-01T00:00:00-03:00,1.68
1948-04-01,1948,1,4,IGP12_IGPDIG12,1948-04-01T00:00:00-03:00,-0.83
1948-05-01,1948,1,5,IGP12_IGPDIG12,1948-05-01T00:00:00-03:00,-0.83
1948-06-01,1948,1,6,IGP12_IGPDIG12,1948-06-01T00:00:00-03:00,0.84
1948-07-01,1948,1,7,IGP12_IGPDIG12,1948-07-01T00:00:00-03:00,-0.83
1948-08-01,1948,1,8,IGP12_IGPDIG12,1948-08-01T00:00:00-03:00,0.84
1948-09-01,1948,1,9,IGP12_IGPDIG12,1948-09-01T00:00:00-03:00,0.0
1948-10-01,1948,1,10,IGP12_IGPDIG12,1948-10-01T00:00:00-03:00,0.0
1948-11-01,1948,1,11,IGP12_IGPDIG12,1948-11-01T00:00:00-03:00,0.83
1948-12-01,1948,1,12,IGP12_IGPDIG12,1948-12-01T00:00:00-02:00,0.83
1949-01-01,1949,1,1,IGP12_IGPDIG12,1949-01-01T00:00:00-02:00,1.64
1949-02-01,1949,1,2,IGP12_IGPDIG12,1949-02-01T00:00:00-02:00,0.81
1949-03-01,1949,1,3,IGP12_IGPDIG12,1949-03-01T00:00:00-03:00,0.0
1949-04-01,1949,1,4,IGP12_IGPDIG12,1949-04-01T00:00:00-03:00,0.0
1949-05-01,1949,1,5,IGP12_IGPDIG12,1949-05-01T00:00:00-03:00,0.0
1949-06-01,1949,1,6,IGP12_IGPDIG12,1949-06-01T00:00:00-03:00,0.0
1949-07-01,1949,1,7,IGP12_IGPDIG12,1949-07-01T00:00:00-03:00,0.8
1949-08-01,1949,1,8,IGP12_IGPDIG12,1949-08-01T00:00:00-03:00,0.79
1949-09-01,1949,1,9,IGP12_IGPDIG12,1949-09-01T00:00:00-03:00,0.79
1949-10-01,1949,1,10,IGP12_IGPDIG12,1949-10-01T00:00:00-03:00,2.34
1949-11-01,1949,1,11,IGP12_IGPDIG12,1949-11-01T00:00:00-03:00,4.58
1949-12-01,1949,1,12,IGP12_IGPDIG12,1949-12-01T00:00:00-02:00,0.0
1950-01-01,1950,1,1,IGP12_IGPDIG12,1950-01-01T00:00:00-02:00,1.46
1950-02-01,1950,1,2,IGP12_IGPDIG12,1950-02-01T00:00:00-02:00,0.0
1950-03-01,1950,1,3,IGP12_IGPDIG12,1950-03-01T00:00:00-03:00,-2.16
1950-04-01,1950,1,4,IGP12_IGPDIG12,1950-04-01T00:00:00-03:00,-0.74
