DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1993-09-01,1993,1,9,IGP12_INCC1012,1993-09-01T00:00:00-03:00,2.80062
1993-10-01,1993,1,10,IGP12_INCC1012,1993-10-01T00:00:00-03:00,3.86685
1993-11-01,1993,1,11,IGP12_INCC1012,1993-11-01T00:00:00-03:00,5.24224
1993-12-01,1993,1,12,IGP12_INCC1012,1993-12-01T00:00:00-02:00,7.27202
1994-01-01,1994,1,1,IGP12_INCC1012,1994-01-01T00:00:00-02:00,9.70462
1994-02-01,1994,1,2,IGP12_INCC1012,1994-02-01T00:00:00-02:00,13.9391
1994-03-01,1994,1,3,IGP12_INCC1012,1994-03-01T00:00:00-03:00,19.8308
1994-04-01,1994,1,4,IGP12_INCC1012,1994-04-01T00:00:00-03:00,30.5107
1994-05-01,1994,1,5,IGP12_INCC1012,1994-05-01T00:00:00-03:00,44.1928
1994-06-01,1994,1,6,IGP12_INCC1012,1994-06-01T00:00:00-03:00,64.3411
1994-07-01,1994,1,7,IGP12_INCC1012,1994-07-01T00:00:00-03:00,94.8252
1994-08-01,1994,1,8,IGP12_INCC1012,1994-08-01T00:00:00-03:00,100.0
1994-09-01,1994,1,9,IGP12_INCC1012,1994-09-01T00:00:00-03:00,100.065
1994-10-01,1994,1,10,IGP12_INCC1012,1994-10-01T00:00:00-03:00,100.682
1994-11-01,1994,1,11,IGP12_INCC1012,1994-11-01T00:00:00-03:00,102.015
1994-12-01,1994,1,12,IGP12_INCC1012,1994-12-01T00:00:00-02:00,104.513
1995-01-01,1995,1,1,IGP12_INCC1012,1995-01-01T00:00:00-02:00,105.837
1995-02-01,1995,1,2,IGP12_INCC1012,1995-02-01T00:00:00-02:00,109.537
1995-03-01,1995,1,3,IGP12_INCC1012,1995-03-01T00:00:00-03:00,111.704
1995-04-01,1995,1,4,IGP12_INCC1012,1995-04-01T00:00:00-03:00,115.26
1995-05-01,1995,1,5,IGP12_INCC1012,1995-05-01T00:00:00-03:00,117.971
1995-06-01,1995,1,6,IGP12_INCC1012,1995-06-01T00:00:00-03:00,128.374
1995-07-01,1995,1,7,IGP12_INCC1012,1995-07-01T00:00:00-03:00,132.363
1995-08-01,1995,1,8,IGP12_INCC1012,1995-08-01T00:00:00-03:00,133.624
1995-09-01,1995,1,9,IGP12_INCC1012,1995-09-01T00:00:00-03:00,134.416
1995-10-01,1995,1,10,IGP12_INCC1012,1995-10-01T00:00:00-03:00,135.436
1995-11-01,1995,1,11,IGP12_INCC1012,1995-11-01T00:00:00-03:00,136.522
1995-12-01,1995,1,12,IGP12_INCC1012,1995-12-01T00:00:00-02:00,137.588
1996-01-01,1996,1,1,IGP12_INCC1012,1996-01-01T00:00:00-02:00,138.647
1996-02-01,1996,1,2,IGP12_INCC1012,1996-02-01T00:00:00-02:00,140.655
1996-03-01,1996,1,3,IGP12_INCC1012,1996-03-01T00:00:00-03:00,140.858
1996-04-01,1996,1,4,IGP12_INCC1012,1996-04-01T00:00:00-03:00,141.965
1996-05-01,1996,1,5,IGP12_INCC1012,1996-05-01T00:00:00-03:00,142.459
1996-06-01,1996,1,6,IGP12_INCC1012,1996-06-01T00:00:00-03:00,145.67
1996-07-01,1996,1,7,IGP12_INCC1012,1996-07-01T00:00:00-03:00,147.979
1996-08-01,1996,1,8,IGP12_INCC1012,1996-08-01T00:00:00-03:00,149.044
1996-09-01,1996,1,9,IGP12_INCC1012,1996-09-01T00:00:00-03:00,149.305
1996-10-01,1996,1,10,IGP12_INCC1012,1996-10-01T00:00:00-03:00,149.58
1996-11-01,1996,1,11,IGP12_INCC1012,1996-11-01T00:00:00-03:00,149.978
1996-12-01,1996,1,12,IGP12_INCC1012,1996-12-01T00:00:00-02:00,150.738
1997-01-01,1997,1,1,IGP12_INCC1012,1997-01-01T00:00:00-02:00,151.771
1997-02-01,1997,1,2,IGP12_INCC1012,1997-02-01T00:00:00-02:00,152.314
1997-03-01,1997,1,3,IGP12_INCC1012,1997-03-01T00:00:00-03:00,152.975
1997-04-01,1997,1,4,IGP12_INCC1012,1997-04-01T00:00:00-03:00,154.014
1997-05-01,1997,1,5,IGP12_INCC1012,1997-05-01T00:00:00-03:00,154.49
1997-06-01,1997,1,6,IGP12_INCC1012,1997-06-01T00:00:00-03:00,156.016
1997-07-01,1997,1,7,IGP12_INCC1012,1997-07-01T00:00:00-03:00,157.515
1997-08-01,1997,1,8,IGP12_INCC1012,1997-08-01T00:00:00-03:00,158.361
1997-09-01,1997,1,9,IGP12_INCC1012,1997-09-01T00:00:00-03:00,160.317
1997-10-01,1997,1,10,IGP12_INCC1012,1997-10-01T00:00:00-03:00,160.71
1997-11-01,1997,1,11,IGP12_INCC1012,1997-11-01T00:00:00-03:00,161.012
1997-12-01,1997,1,12,IGP12_INCC1012,1997-12-01T00:00:00-02:00,161.889
1998-01-01,1998,1,1,IGP12_INCC1012,1998-01-01T00:00:00-02:00,162.343
1998-02-01,1998,1,2,IGP12_INCC1012,1998-02-01T00:00:00-02:00,163.656
1998-03-01,1998,1,3,IGP12_INCC1012,1998-03-01T00:00:00-03:00,163.656
