DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1989-06-01,1989,1,6,IGP12_INCCMG1D12,1989-06-01T00:00:00-03:00,15.48
1989-07-01,1989,1,7,IGP12_INCCMG1D12,1989-07-01T00:00:00-03:00,17.76
1989-08-01,1989,1,8,IGP12_INCCMG1D12,1989-08-01T00:00:00-03:00,30.24
1989-09-01,1989,1,9,IGP12_INCCMG1D12,1989-09-01T00:00:00-03:00,28.62
1989-10-01,1989,1,10,IGP12_INCCMG1D12,1989-10-01T00:00:00-03:00,27.36
1989-11-01,1989,1,11,IGP12_INCCMG1D12,1989-11-01T00:00:00-03:00,28.73
1989-12-01,1989,1,12,IGP12_INCCMG1D12,1989-12-01T00:00:00-02:00,24.8
1990-01-01,1990,1,1,IGP12_INCCMG1D12,1990-01-01T00:00:00-02:00,23.7
1990-02-01,1990,1,2,IGP12_INCCMG1D12,1990-02-01T00:00:00-02:00,32.16
1990-03-01,1990,1,3,IGP12_INCCMG1D12,1990-03-01T00:00:00-03:00,29.53
1990-04-01,1990,1,4,IGP12_INCCMG1D12,1990-04-01T00:00:00-03:00,36.43
1990-05-01,1990,1,5,IGP12_INCCMG1D12,1990-05-01T00:00:00-03:00,0.85
1990-06-01,1990,1,6,IGP12_INCCMG1D12,1990-06-01T00:00:00-03:00,1.37
1990-07-01,1990,1,7,IGP12_INCCMG1D12,1990-07-01T00:00:00-03:00,4.18
1990-08-01,1990,1,8,IGP12_INCCMG1D12,1990-08-01T00:00:00-03:00,9.14
1990-09-01,1990,1,9,IGP12_INCCMG1D12,1990-09-01T00:00:00-03:00,8.35
1990-10-01,1990,1,10,IGP12_INCCMG1D12,1990-10-01T00:00:00-03:00,7.23
1990-11-01,1990,1,11,IGP12_INCCMG1D12,1990-11-01T00:00:00-03:00,7.28
1990-12-01,1990,1,12,IGP12_INCCMG1D12,1990-12-01T00:00:00-02:00,8.27
1991-01-01,1991,1,1,IGP12_INCCMG1D12,1991-01-01T00:00:00-02:00,11.18
1991-02-01,1991,1,2,IGP12_INCCMG1D12,1991-02-01T00:00:00-02:00,11.62
1991-03-01,1991,1,3,IGP12_INCCMG1D12,1991-03-01T00:00:00-03:00,10.09
1991-04-01,1991,1,4,IGP12_INCCMG1D12,1991-04-01T00:00:00-03:00,6.98
1991-05-01,1991,1,5,IGP12_INCCMG1D12,1991-05-01T00:00:00-03:00,5.42
1991-06-01,1991,1,6,IGP12_INCCMG1D12,1991-06-01T00:00:00-03:00,8.46
1991-07-01,1991,1,7,IGP12_INCCMG1D12,1991-07-01T00:00:00-03:00,7.23
1991-08-01,1991,1,8,IGP12_INCCMG1D12,1991-08-01T00:00:00-03:00,8.82
1991-09-01,1991,1,9,IGP12_INCCMG1D12,1991-09-01T00:00:00-03:00,8.92
1991-10-01,1991,1,10,IGP12_INCCMG1D12,1991-10-01T00:00:00-03:00,16.33
1991-11-01,1991,1,11,IGP12_INCCMG1D12,1991-11-01T00:00:00-03:00,10.48
1991-12-01,1991,1,12,IGP12_INCCMG1D12,1991-12-01T00:00:00-02:00,19.68
1992-01-01,1992,1,1,IGP12_INCCMG1D12,1992-01-01T00:00:00-02:00,11.05
1992-02-01,1992,1,2,IGP12_INCCMG1D12,1992-02-01T00:00:00-02:00,24.16
1992-03-01,1992,1,3,IGP12_INCCMG1D12,1992-03-01T00:00:00-03:00,14.31
1992-04-01,1992,1,4,IGP12_INCCMG1D12,1992-04-01T00:00:00-03:00,16.05
1992-05-01,1992,1,5,IGP12_INCCMG1D12,1992-05-01T00:00:00-03:00,8.19
1992-06-01,1992,1,6,IGP12_INCCMG1D12,1992-06-01T00:00:00-03:00,12.99
1992-07-01,1992,1,7,IGP12_INCCMG1D12,1992-07-01T00:00:00-03:00,9.18
1992-08-01,1992,1,8,IGP12_INCCMG1D12,1992-08-01T00:00:00-03:00,14.59
1992-09-01,1992,1,9,IGP12_INCCMG1D12,1992-09-01T00:00:00-03:00,9.6
1992-10-01,1992,1,10,IGP12_INCCMG1D12,1992-10-01T00:00:00-03:00,20.9
1992-11-01,1992,1,11,IGP12_INCCMG1D12,1992-11-01T00:00:00-03:00,10.57
1992-12-01,1992,1,12,IGP12_INCCMG1D12,1992-12-01T00:00:00-02:00,15.92
1993-01-01,1993,1,1,IGP12_INCCMG1D12,1993-01-01T00:00:00-02:00,8.69
1993-02-01,1993,1,2,IGP12_INCCMG1D12,1993-02-01T00:00:00-02:00,21.01
1993-03-01,1993,1,3,IGP12_INCCMG1D12,1993-03-01T00:00:00-03:00,11.4
1993-04-01,1993,1,4,IGP12_INCCMG1D12,1993-04-01T00:00:00-03:00,20.07
1993-05-01,1993,1,5,IGP12_INCCMG1D12,1993-05-01T00:00:00-03:00,9.84
1993-06-01,1993,1,6,IGP12_INCCMG1D12,1993-06-01T00:00:00-03:00,18.67
1993-07-01,1993,1,7,IGP12_INCCMG1D12,1993-07-01T00:00:00-03:00,9.7
1993-08-01,1993,1,8,IGP12_INCCMG1D12,1993-08-01T00:00:00-03:00,15.32
1993-09-01,1993,1,9,IGP12_INCCMG1D12,1993-09-01T00:00:00-03:00,12.41
1993-10-01,1993,1,10,IGP12_INCCMG1D12,1993-10-01T00:00:00-03:00,16.73
1993-11-01,1993,1,11,IGP12_INCCMG1D12,1993-11-01T00:00:00-03:00,15.36
1993-12-01,1993,1,12,IGP12_INCCMG1D12,1993-12-01T00:00:00-02:00,19.23
1994-01-01,1994,1,1,IGP12_INCCMG1D12,1994-01-01T00:00:00-02:00,13.42
1994-02-01,1994,1,2,IGP12_INCCMG1D12,1994-02-01T00:00:00-02:00,20.74
1994-03-01,1994,1,3,IGP12_INCCMG1D12,1994-03-01T00:00:00-03:00,19.03
1994-04-01,1994,1,4,IGP12_INCCMG1D12,1994-04-01T00:00:00-03:00,22.44
1994-05-01,1994,1,5,IGP12_INCCMG1D12,1994-05-01T00:00:00-03:00,23.4
1994-06-01,1994,1,6,IGP12_INCCMG1D12,1994-06-01T00:00:00-03:00,23.85
1994-07-01,1994,1,7,IGP12_INCCMG1D12,1994-07-01T00:00:00-03:00,24.85
1994-08-01,1994,1,8,IGP12_INCCMG1D12,1994-08-01T00:00:00-03:00,3.37
1994-09-01,1994,1,9,IGP12_INCCMG1D12,1994-09-01T00:00:00-03:00,0.23
1994-10-01,1994,1,10,IGP12_INCCMG1D12,1994-10-01T00:00:00-03:00,0.29
1994-11-01,1994,1,11,IGP12_INCCMG1D12,1994-11-01T00:00:00-03:00,0.67
1994-12-01,1994,1,12,IGP12_INCCMG1D12,1994-12-01T00:00:00-02:00,1.37
1995-01-01,1995,1,1,IGP12_INCCMG1D12,1995-01-01T00:00:00-02:00,0.76
1995-02-01,1995,1,2,IGP12_INCCMG1D12,1995-02-01T00:00:00-02:00,2.64
1995-03-01,1995,1,3,IGP12_INCCMG1D12,1995-03-01T00:00:00-03:00,1.18
