DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1993-09-01,1993,1,9,IGP12_IPA1012,1993-09-01T00:00:00-03:00,3.25855
1993-10-01,1993,1,10,IGP12_IPA1012,1993-10-01T00:00:00-03:00,4.43735
1993-11-01,1993,1,11,IGP12_IPA1012,1993-11-01T00:00:00-03:00,5.98513
1993-12-01,1993,1,12,IGP12_IPA1012,1993-12-01T00:00:00-02:00,8.22641
1994-01-01,1994,1,1,IGP12_IPA1012,1994-01-01T00:00:00-02:00,11.0532
1994-02-01,1994,1,2,IGP12_IPA1012,1994-02-01T00:00:00-02:00,15.7574
1994-03-01,1994,1,3,IGP12_IPA1012,1994-03-01T00:00:00-03:00,22.4194
1994-04-01,1994,1,4,IGP12_IPA1012,1994-04-01T00:00:00-03:00,31.0077
1994-05-01,1994,1,5,IGP12_IPA1012,1994-05-01T00:00:00-03:00,44.071
1994-06-01,1994,1,6,IGP12_IPA1012,1994-06-01T00:00:00-03:00,63.3307
1994-07-01,1994,1,7,IGP12_IPA1012,1994-07-01T00:00:00-03:00,89.8769
1994-08-01,1994,1,8,IGP12_IPA1012,1994-08-01T00:00:00-03:00,100.0
1994-09-01,1994,1,9,IGP12_IPA1012,1994-09-01T00:00:00-03:00,103.372
1994-10-01,1994,1,10,IGP12_IPA1012,1994-10-01T00:00:00-03:00,105.308
1994-11-01,1994,1,11,IGP12_IPA1012,1994-11-01T00:00:00-03:00,108.583
1994-12-01,1994,1,12,IGP12_IPA1012,1994-12-01T00:00:00-02:00,108.943
1995-01-01,1995,1,1,IGP12_IPA1012,1995-01-01T00:00:00-02:00,109.157
1995-02-01,1995,1,2,IGP12_IPA1012,1995-02-01T00:00:00-02:00,110.519
1995-03-01,1995,1,3,IGP12_IPA1012,1995-03-01T00:00:00-03:00,110.885
1995-04-01,1995,1,4,IGP12_IPA1012,1995-04-01T00:00:00-03:00,112.086
1995-05-01,1995,1,5,IGP12_IPA1012,1995-05-01T00:00:00-03:00,112.919
1995-06-01,1995,1,6,IGP12_IPA1012,1995-06-01T00:00:00-03:00,112.373
1995-07-01,1995,1,7,IGP12_IPA1012,1995-07-01T00:00:00-03:00,113.698
1995-08-01,1995,1,8,IGP12_IPA1012,1995-08-01T00:00:00-03:00,116.491
1995-09-01,1995,1,9,IGP12_IPA1012,1995-09-01T00:00:00-03:00,116.427
1995-10-01,1995,1,10,IGP12_IPA1012,1995-10-01T00:00:00-03:00,115.58
1995-11-01,1995,1,11,IGP12_IPA1012,1995-11-01T00:00:00-03:00,116.592
1995-12-01,1995,1,12,IGP12_IPA1012,1995-12-01T00:00:00-02:00,117.47
1996-01-01,1996,1,1,IGP12_IPA1012,1996-01-01T00:00:00-02:00,118.348
1996-02-01,1996,1,2,IGP12_IPA1012,1996-02-01T00:00:00-02:00,119.625
1996-03-01,1996,1,3,IGP12_IPA1012,1996-03-01T00:00:00-03:00,119.721
1996-04-01,1996,1,4,IGP12_IPA1012,1996-04-01T00:00:00-03:00,119.592
1996-05-01,1996,1,5,IGP12_IPA1012,1996-05-01T00:00:00-03:00,121.245
1996-06-01,1996,1,6,IGP12_IPA1012,1996-06-01T00:00:00-03:00,121.78
1996-07-01,1996,1,7,IGP12_IPA1012,1996-07-01T00:00:00-03:00,123.432
1996-08-01,1996,1,8,IGP12_IPA1012,1996-08-01T00:00:00-03:00,124.357
1996-09-01,1996,1,9,IGP12_IPA1012,1996-09-01T00:00:00-03:00,124.605
1996-10-01,1996,1,10,IGP12_IPA1012,1996-10-01T00:00:00-03:00,125.151
1996-11-01,1996,1,11,IGP12_IPA1012,1996-11-01T00:00:00-03:00,125.174
1996-12-01,1996,1,12,IGP12_IPA1012,1996-12-01T00:00:00-02:00,125.84
1997-01-01,1997,1,1,IGP12_IPA1012,1997-01-01T00:00:00-02:00,128.442
1997-02-01,1997,1,2,IGP12_IPA1012,1997-02-01T00:00:00-02:00,129.182
1997-03-01,1997,1,3,IGP12_IPA1012,1997-03-01T00:00:00-03:00,130.79
1997-04-01,1997,1,4,IGP12_IPA1012,1997-04-01T00:00:00-03:00,131.856
1997-05-01,1997,1,5,IGP12_IPA1012,1997-05-01T00:00:00-03:00,132.105
1997-06-01,1997,1,6,IGP12_IPA1012,1997-06-01T00:00:00-03:00,132.506
1997-07-01,1997,1,7,IGP12_IPA1012,1997-07-01T00:00:00-03:00,131.999
1997-08-01,1997,1,8,IGP12_IPA1012,1997-08-01T00:00:00-03:00,132.542
1997-09-01,1997,1,9,IGP12_IPA1012,1997-09-01T00:00:00-03:00,133.085
1997-10-01,1997,1,10,IGP12_IPA1012,1997-10-01T00:00:00-03:00,133.639
1997-11-01,1997,1,11,IGP12_IPA1012,1997-11-01T00:00:00-03:00,134.518
1997-12-01,1997,1,12,IGP12_IPA1012,1997-12-01T00:00:00-02:00,135.582
1998-01-01,1998,1,1,IGP12_IPA1012,1998-01-01T00:00:00-02:00,136.941
1998-02-01,1998,1,2,IGP12_IPA1012,1998-02-01T00:00:00-02:00,137.318
1998-03-01,1998,1,3,IGP12_IPA1012,1998-03-01T00:00:00-03:00,137.318
1998-04-01,1998,1,4,IGP12_IPA1012,1998-04-01T00:00:00-03:00,137.71
1998-05-01,1998,1,5,IGP12_IPA1012,1998-05-01T00:00:00-03:00,137.625
1998-06-01,1998,1,6,IGP12_IPA1012,1998-06-01T00:00:00-03:00,138.23
1998-07-01,1998,1,7,IGP12_IPA1012,1998-07-01T00:00:00-03:00,137.951
1998-08-01,1998,1,8,IGP12_IPA1012,1998-08-01T00:00:00-03:00,137.758
1998-09-01,1998,1,9,IGP12_IPA1012,1998-09-01T00:00:00-03:00,137.497
1998-10-01,1998,1,10,IGP12_IPA1012,1998-10-01T00:00:00-03:00,137.791
1998-11-01,1998,1,11,IGP12_IPA1012,1998-11-01T00:00:00-03:00,137.524
