DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2013-12-01,2013,1,12,IPP12_IPPBC12,2013-12-01T00:00:00-02:00,79.38006
2014-01-01,2014,1,1,IPP12_IPPBC12,2014-01-01T00:00:00-02:00,79.7126
2014-02-01,2014,1,2,IPP12_IPPBC12,2014-02-01T00:00:00-02:00,80.28009
2014-03-01,2014,1,3,IPP12_IPPBC12,2014-03-01T00:00:00-03:00,80.5301
2014-04-01,2014,1,4,IPP12_IPPBC12,2014-04-01T00:00:00-03:00,80.69998
2014-05-01,2014,1,5,IPP12_IPPBC12,2014-05-01T00:00:00-03:00,80.75872
2014-06-01,2014,1,6,IPP12_IPPBC12,2014-06-01T00:00:00-03:00,80.73199
2014-07-01,2014,1,7,IPP12_IPPBC12,2014-07-01T00:00:00-03:00,80.52422
2014-08-01,2014,1,8,IPP12_IPPBC12,2014-08-01T00:00:00-03:00,81.10829
2014-09-01,2014,1,9,IPP12_IPPBC12,2014-09-01T00:00:00-03:00,82.25515
2014-10-01,2014,1,10,IPP12_IPPBC12,2014-10-01T00:00:00-03:00,82.45612
2014-11-01,2014,1,11,IPP12_IPPBC12,2014-11-01T00:00:00-02:00,83.20451
2014-12-01,2014,1,12,IPP12_IPPBC12,2014-12-01T00:00:00-02:00,83.83276
2015-01-01,2015,1,1,IPP12_IPPBC12,2015-01-01T00:00:00-02:00,84.31223
2015-02-01,2015,1,2,IPP12_IPPBC12,2015-02-01T00:00:00-02:00,85.0886
2015-03-01,2015,1,3,IPP12_IPPBC12,2015-03-01T00:00:00-03:00,85.51658
2015-04-01,2015,1,4,IPP12_IPPBC12,2015-04-01T00:00:00-03:00,85.3755
2015-05-01,2015,1,5,IPP12_IPPBC12,2015-05-01T00:00:00-03:00,85.90991
2015-06-01,2015,1,6,IPP12_IPPBC12,2015-06-01T00:00:00-03:00,85.70827
2015-07-01,2015,1,7,IPP12_IPPBC12,2015-07-01T00:00:00-03:00,86.05596
2015-08-01,2015,1,8,IPP12_IPPBC12,2015-08-01T00:00:00-03:00,86.86321
2015-09-01,2015,1,9,IPP12_IPPBC12,2015-09-01T00:00:00-03:00,88.48972
2015-10-01,2015,1,10,IPP12_IPPBC12,2015-10-01T00:00:00-03:00,90.4448
2015-11-01,2015,1,11,IPP12_IPPBC12,2015-11-01T00:00:00-02:00,90.88291
2015-12-01,2015,1,12,IPP12_IPPBC12,2015-12-01T00:00:00-02:00,91.21877
2016-01-01,2016,1,1,IPP12_IPPBC12,2016-01-01T00:00:00-02:00,92.02809
2016-02-01,2016,1,2,IPP12_IPPBC12,2016-02-01T00:00:00-02:00,92.70484
2016-03-01,2016,1,3,IPP12_IPPBC12,2016-03-01T00:00:00-03:00,92.43896
2016-04-01,2016,1,4,IPP12_IPPBC12,2016-04-01T00:00:00-03:00,91.97776
2016-05-01,2016,1,5,IPP12_IPPBC12,2016-05-01T00:00:00-03:00,92.67306
2016-06-01,2016,1,6,IPP12_IPPBC12,2016-06-01T00:00:00-03:00,93.07529
2016-07-01,2016,1,7,IPP12_IPPBC12,2016-07-01T00:00:00-03:00,93.47225
2016-08-01,2016,1,8,IPP12_IPPBC12,2016-08-01T00:00:00-03:00,93.49585
2016-09-01,2016,1,9,IPP12_IPPBC12,2016-09-01T00:00:00-03:00,93.62489
2016-10-01,2016,1,10,IPP12_IPPBC12,2016-10-01T00:00:00-03:00,94.56449
2016-11-01,2016,1,11,IPP12_IPPBC12,2016-11-01T00:00:00-02:00,95.39928
2016-12-01,2016,1,12,IPP12_IPPBC12,2016-12-01T00:00:00-02:00,95.97315
2017-01-01,2017,1,1,IPP12_IPPBC12,2017-01-01T00:00:00-02:00,95.41817
2017-02-01,2017,1,2,IPP12_IPPBC12,2017-02-01T00:00:00-02:00,94.83876
2017-03-01,2017,1,3,IPP12_IPPBC12,2017-03-01T00:00:00-03:00,94.41704
2017-04-01,2017,1,4,IPP12_IPPBC12,2017-04-01T00:00:00-03:00,94.52791
2017-05-01,2017,1,5,IPP12_IPPBC12,2017-05-01T00:00:00-03:00,95.05776
2017-06-01,2017,1,6,IPP12_IPPBC12,2017-06-01T00:00:00-03:00,94.87395
2017-07-01,2017,1,7,IPP12_IPPBC12,2017-07-01T00:00:00-03:00,93.9243
2017-08-01,2017,1,8,IPP12_IPPBC12,2017-08-01T00:00:00-03:00,94.78457
2017-09-01,2017,1,9,IPP12_IPPBC12,2017-09-01T00:00:00-03:00,95.41891
2017-10-01,2017,1,10,IPP12_IPPBC12,2017-10-01T00:00:00-03:00,95.90797
2017-11-01,2017,1,11,IPP12_IPPBC12,2017-11-01T00:00:00-02:00,96.5447
2017-12-01,2017,1,12,IPP12_IPPBC12,2017-12-01T00:00:00-02:00,96.48869
2018-01-01,2018,1,1,IPP12_IPPBC12,2018-01-01T00:00:00-02:00,96.37538
2018-02-01,2018,1,2,IPP12_IPPBC12,2018-02-01T00:00:00-02:00,96.12164
2018-03-01,2018,1,3,IPP12_IPPBC12,2018-03-01T00:00:00-03:00,96.4535
2018-04-01,2018,1,4,IPP12_IPPBC12,2018-04-01T00:00:00-03:00,96.72575
2018-05-01,2018,1,5,IPP12_IPPBC12,2018-05-01T00:00:00-03:00,98.01357
2018-06-01,2018,1,6,IPP12_IPPBC12,2018-06-01T00:00:00-03:00,99.53042
2018-07-01,2018,1,7,IPP12_IPPBC12,2018-07-01T00:00:00-03:00,99.81969
2018-08-01,2018,1,8,IPP12_IPPBC12,2018-08-01T00:00:00-03:00,100.11047
2018-09-01,2018,1,9,IPP12_IPPBC12,2018-09-01T00:00:00-03:00,101.67537
2018-10-01,2018,1,10,IPP12_IPPBC12,2018-10-01T00:00:00-03:00,101.53547
2018-11-01,2018,1,11,IPP12_IPPBC12,2018-11-01T00:00:00-03:00,99.99035
2018-12-01,2018,1,12,IPP12_IPPBC12,2018-12-01T00:00:00-02:00,100.0
2019-01-01,2019,1,1,IPP12_IPPBC12,2019-01-01T00:00:00-02:00,99.74667
2019-02-01,2019,1,2,IPP12_IPPBC12,2019-02-01T00:00:00-02:00,99.90523
2019-03-01,2019,1,3,IPP12_IPPBC12,2019-03-01T00:00:00-03:00,101.62626
2019-04-01,2019,1,4,IPP12_IPPBC12,2019-04-01T00:00:00-03:00,103.34928
2019-05-01,2019,1,5,IPP12_IPPBC12,2019-05-01T00:00:00-03:00,104.31409
2019-06-01,2019,1,6,IPP12_IPPBC12,2019-06-01T00:00:00-03:00,103.06769
2019-07-01,2019,1,7,IPP12_IPPBC12,2019-07-01T00:00:00-03:00,102.45839
2019-08-01,2019,1,8,IPP12_IPPBC12,2019-08-01T00:00:00-03:00,102.89354
2019-09-01,2019,1,9,IPP12_IPPBC12,2019-09-01T00:00:00-03:00,103.45282
2019-10-01,2019,1,10,IPP12_IPPBC12,2019-10-01T00:00:00-03:00,105.00151
2019-11-01,2019,1,11,IPP12_IPPBC12,2019-11-01T00:00:00-03:00,106.87337
2019-12-01,2019,1,12,IPP12_IPPBC12,2019-12-01T00:00:00-03:00,108.38809
2020-01-01,2020,1,1,IPP12_IPPBC12,2020-01-01T00:00:00-03:00,107.06936
2020-02-01,2020,1,2,IPP12_IPPBC12,2020-02-01T00:00:00-03:00,107.59739
2020-03-01,2020,1,3,IPP12_IPPBC12,2020-03-01T00:00:00-03:00,108.53686
2020-04-01,2020,1,4,IPP12_IPPBC12,2020-04-01T00:00:00-03:00,106.4393
