DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2013-12-01,2013,1,12,IPP12_IPPBCD12,2013-12-01T00:00:00-02:00,76.54285
2014-01-01,2014,1,1,IPP12_IPPBCD12,2014-01-01T00:00:00-02:00,77.29041
2014-02-01,2014,1,2,IPP12_IPPBCD12,2014-02-01T00:00:00-02:00,78.18424
2014-03-01,2014,1,3,IPP12_IPPBCD12,2014-03-01T00:00:00-03:00,78.2638
2014-04-01,2014,1,4,IPP12_IPPBCD12,2014-04-01T00:00:00-03:00,78.2127
2014-05-01,2014,1,5,IPP12_IPPBCD12,2014-05-01T00:00:00-03:00,78.85265
2014-06-01,2014,1,6,IPP12_IPPBCD12,2014-06-01T00:00:00-03:00,78.83079
2014-07-01,2014,1,7,IPP12_IPPBCD12,2014-07-01T00:00:00-03:00,78.83003
2014-08-01,2014,1,8,IPP12_IPPBCD12,2014-08-01T00:00:00-03:00,79.54382
2014-09-01,2014,1,9,IPP12_IPPBCD12,2014-09-01T00:00:00-03:00,80.84074
2014-10-01,2014,1,10,IPP12_IPPBCD12,2014-10-01T00:00:00-03:00,81.00239
2014-11-01,2014,1,11,IPP12_IPPBCD12,2014-11-01T00:00:00-02:00,81.87823
2014-12-01,2014,1,12,IPP12_IPPBCD12,2014-12-01T00:00:00-02:00,82.12668
2015-01-01,2015,1,1,IPP12_IPPBCD12,2015-01-01T00:00:00-02:00,83.45084
2015-02-01,2015,1,2,IPP12_IPPBCD12,2015-02-01T00:00:00-02:00,84.02565
2015-03-01,2015,1,3,IPP12_IPPBCD12,2015-03-01T00:00:00-03:00,84.86134
2015-04-01,2015,1,4,IPP12_IPPBCD12,2015-04-01T00:00:00-03:00,85.18589
2015-05-01,2015,1,5,IPP12_IPPBCD12,2015-05-01T00:00:00-03:00,85.88255
2015-06-01,2015,1,6,IPP12_IPPBCD12,2015-06-01T00:00:00-03:00,85.74778
2015-07-01,2015,1,7,IPP12_IPPBCD12,2015-07-01T00:00:00-03:00,85.53179
2015-08-01,2015,1,8,IPP12_IPPBCD12,2015-08-01T00:00:00-03:00,86.09011
2015-09-01,2015,1,9,IPP12_IPPBCD12,2015-09-01T00:00:00-03:00,86.63594
2015-10-01,2015,1,10,IPP12_IPPBCD12,2015-10-01T00:00:00-03:00,87.04154
2015-11-01,2015,1,11,IPP12_IPPBCD12,2015-11-01T00:00:00-02:00,86.89396
2015-12-01,2015,1,12,IPP12_IPPBCD12,2015-12-01T00:00:00-02:00,87.1491
2016-01-01,2016,1,1,IPP12_IPPBCD12,2016-01-01T00:00:00-02:00,88.39319
2016-02-01,2016,1,2,IPP12_IPPBCD12,2016-02-01T00:00:00-02:00,88.84192
2016-03-01,2016,1,3,IPP12_IPPBCD12,2016-03-01T00:00:00-03:00,88.77623
2016-04-01,2016,1,4,IPP12_IPPBCD12,2016-04-01T00:00:00-03:00,88.23026
2016-05-01,2016,1,5,IPP12_IPPBCD12,2016-05-01T00:00:00-03:00,88.63902
2016-06-01,2016,1,6,IPP12_IPPBCD12,2016-06-01T00:00:00-03:00,88.70743
2016-07-01,2016,1,7,IPP12_IPPBCD12,2016-07-01T00:00:00-03:00,88.71783
2016-08-01,2016,1,8,IPP12_IPPBCD12,2016-08-01T00:00:00-03:00,89.53657
2016-09-01,2016,1,9,IPP12_IPPBCD12,2016-09-01T00:00:00-03:00,89.40033
2016-10-01,2016,1,10,IPP12_IPPBCD12,2016-10-01T00:00:00-03:00,89.49156
2016-11-01,2016,1,11,IPP12_IPPBCD12,2016-11-01T00:00:00-02:00,89.82532
2016-12-01,2016,1,12,IPP12_IPPBCD12,2016-12-01T00:00:00-02:00,90.34333
2017-01-01,2017,1,1,IPP12_IPPBCD12,2017-01-01T00:00:00-02:00,90.96314
2017-02-01,2017,1,2,IPP12_IPPBCD12,2017-02-01T00:00:00-02:00,90.95893
2017-03-01,2017,1,3,IPP12_IPPBCD12,2017-03-01T00:00:00-03:00,91.29766
2017-04-01,2017,1,4,IPP12_IPPBCD12,2017-04-01T00:00:00-03:00,91.68685
2017-05-01,2017,1,5,IPP12_IPPBCD12,2017-05-01T00:00:00-03:00,93.11673
2017-06-01,2017,1,6,IPP12_IPPBCD12,2017-06-01T00:00:00-03:00,93.09392
2017-07-01,2017,1,7,IPP12_IPPBCD12,2017-07-01T00:00:00-03:00,93.2789
2017-08-01,2017,1,8,IPP12_IPPBCD12,2017-08-01T00:00:00-03:00,93.34199
2017-09-01,2017,1,9,IPP12_IPPBCD12,2017-09-01T00:00:00-03:00,93.75851
2017-10-01,2017,1,10,IPP12_IPPBCD12,2017-10-01T00:00:00-03:00,93.84505
2017-11-01,2017,1,11,IPP12_IPPBCD12,2017-11-01T00:00:00-02:00,93.98971
2017-12-01,2017,1,12,IPP12_IPPBCD12,2017-12-01T00:00:00-02:00,94.28604
2018-01-01,2018,1,1,IPP12_IPPBCD12,2018-01-01T00:00:00-02:00,95.4656
2018-02-01,2018,1,2,IPP12_IPPBCD12,2018-02-01T00:00:00-02:00,95.52153
2018-03-01,2018,1,3,IPP12_IPPBCD12,2018-03-01T00:00:00-03:00,95.66879
2018-04-01,2018,1,4,IPP12_IPPBCD12,2018-04-01T00:00:00-03:00,95.79516
2018-05-01,2018,1,5,IPP12_IPPBCD12,2018-05-01T00:00:00-03:00,96.23263
2018-06-01,2018,1,6,IPP12_IPPBCD12,2018-06-01T00:00:00-03:00,96.57871
2018-07-01,2018,1,7,IPP12_IPPBCD12,2018-07-01T00:00:00-03:00,97.02412
2018-08-01,2018,1,8,IPP12_IPPBCD12,2018-08-01T00:00:00-03:00,97.90767
2018-09-01,2018,1,9,IPP12_IPPBCD12,2018-09-01T00:00:00-03:00,98.69573
2018-10-01,2018,1,10,IPP12_IPPBCD12,2018-10-01T00:00:00-03:00,99.53602
2018-11-01,2018,1,11,IPP12_IPPBCD12,2018-11-01T00:00:00-03:00,99.50056
2018-12-01,2018,1,12,IPP12_IPPBCD12,2018-12-01T00:00:00-02:00,100.0
2019-01-01,2019,1,1,IPP12_IPPBCD12,2019-01-01T00:00:00-02:00,101.41823
2019-02-01,2019,1,2,IPP12_IPPBCD12,2019-02-01T00:00:00-02:00,101.60248
2019-03-01,2019,1,3,IPP12_IPPBCD12,2019-03-01T00:00:00-03:00,101.57283
2019-04-01,2019,1,4,IPP12_IPPBCD12,2019-04-01T00:00:00-03:00,102.60782
2019-05-01,2019,1,5,IPP12_IPPBCD12,2019-05-01T00:00:00-03:00,102.75835
2019-06-01,2019,1,6,IPP12_IPPBCD12,2019-06-01T00:00:00-03:00,102.80149
2019-07-01,2019,1,7,IPP12_IPPBCD12,2019-07-01T00:00:00-03:00,102.94204
2019-08-01,2019,1,8,IPP12_IPPBCD12,2019-08-01T00:00:00-03:00,102.45259
2019-09-01,2019,1,9,IPP12_IPPBCD12,2019-09-01T00:00:00-03:00,103.17563
2019-10-01,2019,1,10,IPP12_IPPBCD12,2019-10-01T00:00:00-03:00,104.10993
2019-11-01,2019,1,11,IPP12_IPPBCD12,2019-11-01T00:00:00-03:00,104.57766
2019-12-01,2019,1,12,IPP12_IPPBCD12,2019-12-01T00:00:00-03:00,104.44767
2020-01-01,2020,1,1,IPP12_IPPBCD12,2020-01-01T00:00:00-03:00,105.04332
2020-02-01,2020,1,2,IPP12_IPPBCD12,2020-02-01T00:00:00-03:00,105.35651
2020-03-01,2020,1,3,IPP12_IPPBCD12,2020-03-01T00:00:00-03:00,105.74409
2020-04-01,2020,1,4,IPP12_IPPBCD12,2020-04-01T00:00:00-03:00,106.93249
2020-05-01,2020,1,5,IPP12_IPPBCD12,2020-05-01T00:00:00-03:00,108.70287
2020-06-01,2020,1,6,IPP12_IPPBCD12,2020-06-01T00:00:00-03:00,109.52156
2020-07-01,2020,1,7,IPP12_IPPBCD12,2020-07-01T00:00:00-03:00,110.61386
2020-08-01,2020,1,8,IPP12_IPPBCD12,2020-08-01T00:00:00-03:00,111.40467
2020-09-01,2020,1,9,IPP12_IPPBCD12,2020-09-01T00:00:00-03:00,113.15613
2020-10-01,2020,1,10,IPP12_IPPBCD12,2020-10-01T00:00:00-03:00,114.29164
2020-11-01,2020,1,11,IPP12_IPPBCD12,2020-11-01T00:00:00-03:00,115.28949
2020-12-01,2020,1,12,IPP12_IPPBCD12,2020-12-01T00:00:00-03:00,116.24972
2021-01-01,2021,1,1,IPP12_IPPBCD12,2021-01-01T00:00:00-03:00,118.7353
