DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2009-12-01,2009,1,12,IPP12_IPPC18ATIV12,2009-12-01T00:00:00-02:00,81.01912
2010-01-01,2010,1,1,IPP12_IPPC18ATIV12,2010-01-01T00:00:00-02:00,80.43474
2010-02-01,2010,1,2,IPP12_IPPC18ATIV12,2010-02-01T00:00:00-02:00,80.62515
2010-03-01,2010,1,3,IPP12_IPPC18ATIV12,2010-03-01T00:00:00-03:00,81.54333
2010-04-01,2010,1,4,IPP12_IPPC18ATIV12,2010-04-01T00:00:00-03:00,83.03947
2010-05-01,2010,1,5,IPP12_IPPC18ATIV12,2010-05-01T00:00:00-03:00,83.34202
2010-06-01,2010,1,6,IPP12_IPPC18ATIV12,2010-06-01T00:00:00-03:00,83.93754
2010-07-01,2010,1,7,IPP12_IPPC18ATIV12,2010-07-01T00:00:00-03:00,84.02464
2010-08-01,2010,1,8,IPP12_IPPC18ATIV12,2010-08-01T00:00:00-03:00,84.23798
2010-09-01,2010,1,9,IPP12_IPPC18ATIV12,2010-09-01T00:00:00-03:00,83.79529
2010-10-01,2010,1,10,IPP12_IPPC18ATIV12,2010-10-01T00:00:00-03:00,85.85197
2010-11-01,2010,1,11,IPP12_IPPC18ATIV12,2010-11-01T00:00:00-02:00,85.1499
2010-12-01,2010,1,12,IPP12_IPPC18ATIV12,2010-12-01T00:00:00-02:00,87.26054
2011-01-01,2011,1,1,IPP12_IPPC18ATIV12,2011-01-01T00:00:00-02:00,85.10877
2011-02-01,2011,1,2,IPP12_IPPC18ATIV12,2011-02-01T00:00:00-02:00,85.82
2011-03-01,2011,1,3,IPP12_IPPC18ATIV12,2011-03-01T00:00:00-03:00,90.36528
2011-04-01,2011,1,4,IPP12_IPPC18ATIV12,2011-04-01T00:00:00-03:00,89.7729
2011-05-01,2011,1,5,IPP12_IPPC18ATIV12,2011-05-01T00:00:00-03:00,87.93183
2011-06-01,2011,1,6,IPP12_IPPC18ATIV12,2011-06-01T00:00:00-03:00,88.42921
2011-07-01,2011,1,7,IPP12_IPPC18ATIV12,2011-07-01T00:00:00-03:00,85.49089
2011-08-01,2011,1,8,IPP12_IPPC18ATIV12,2011-08-01T00:00:00-03:00,83.88126
2011-09-01,2011,1,9,IPP12_IPPC18ATIV12,2011-09-01T00:00:00-03:00,83.84857
2011-10-01,2011,1,10,IPP12_IPPC18ATIV12,2011-10-01T00:00:00-03:00,83.60844
2011-11-01,2011,1,11,IPP12_IPPC18ATIV12,2011-11-01T00:00:00-02:00,88.8023
2011-12-01,2011,1,12,IPP12_IPPC18ATIV12,2011-12-01T00:00:00-02:00,86.41831
2012-01-01,2012,1,1,IPP12_IPPC18ATIV12,2012-01-01T00:00:00-02:00,85.55864
2012-02-01,2012,1,2,IPP12_IPPC18ATIV12,2012-02-01T00:00:00-02:00,87.32581
2012-03-01,2012,1,3,IPP12_IPPC18ATIV12,2012-03-01T00:00:00-03:00,86.50519
2012-04-01,2012,1,4,IPP12_IPPC18ATIV12,2012-04-01T00:00:00-03:00,89.19035
2012-05-01,2012,1,5,IPP12_IPPC18ATIV12,2012-05-01T00:00:00-03:00,84.80559
2012-06-01,2012,1,6,IPP12_IPPC18ATIV12,2012-06-01T00:00:00-03:00,85.43794
2012-07-01,2012,1,7,IPP12_IPPC18ATIV12,2012-07-01T00:00:00-03:00,85.60193
2012-08-01,2012,1,8,IPP12_IPPC18ATIV12,2012-08-01T00:00:00-03:00,85.89565
2012-09-01,2012,1,9,IPP12_IPPC18ATIV12,2012-09-01T00:00:00-03:00,85.86094
2012-10-01,2012,1,10,IPP12_IPPC18ATIV12,2012-10-01T00:00:00-03:00,85.44555
2012-11-01,2012,1,11,IPP12_IPPC18ATIV12,2012-11-01T00:00:00-02:00,86.16222
2012-12-01,2012,1,12,IPP12_IPPC18ATIV12,2012-12-01T00:00:00-02:00,86.1636
2013-01-01,2013,1,1,IPP12_IPPC18ATIV12,2013-01-01T00:00:00-02:00,85.3486
2013-02-01,2013,1,2,IPP12_IPPC18ATIV12,2013-02-01T00:00:00-02:00,86.24698
2013-03-01,2013,1,3,IPP12_IPPC18ATIV12,2013-03-01T00:00:00-03:00,86.36662
2013-04-01,2013,1,4,IPP12_IPPC18ATIV12,2013-04-01T00:00:00-03:00,85.48179
2013-05-01,2013,1,5,IPP12_IPPC18ATIV12,2013-05-01T00:00:00-03:00,85.37426
2013-06-01,2013,1,6,IPP12_IPPC18ATIV12,2013-06-01T00:00:00-03:00,85.56012
2013-07-01,2013,1,7,IPP12_IPPC18ATIV12,2013-07-01T00:00:00-03:00,84.1825
2013-08-01,2013,1,8,IPP12_IPPC18ATIV12,2013-08-01T00:00:00-03:00,83.11563
2013-09-01,2013,1,9,IPP12_IPPC18ATIV12,2013-09-01T00:00:00-03:00,80.87021
2013-10-01,2013,1,10,IPP12_IPPC18ATIV12,2013-10-01T00:00:00-03:00,80.36359
2013-11-01,2013,1,11,IPP12_IPPC18ATIV12,2013-11-01T00:00:00-02:00,81.29124
2013-12-01,2013,1,12,IPP12_IPPC18ATIV12,2013-12-01T00:00:00-02:00,80.01818
2014-01-01,2014,1,1,IPP12_IPPC18ATIV12,2014-01-01T00:00:00-02:00,78.63293
2014-02-01,2014,1,2,IPP12_IPPC18ATIV12,2014-02-01T00:00:00-02:00,78.44776
2014-03-01,2014,1,3,IPP12_IPPC18ATIV12,2014-03-01T00:00:00-03:00,77.33898
2014-04-01,2014,1,4,IPP12_IPPC18ATIV12,2014-04-01T00:00:00-03:00,76.97803
2014-05-01,2014,1,5,IPP12_IPPC18ATIV12,2014-05-01T00:00:00-03:00,77.96831
2014-06-01,2014,1,6,IPP12_IPPC18ATIV12,2014-06-01T00:00:00-03:00,80.09944
2014-07-01,2014,1,7,IPP12_IPPC18ATIV12,2014-07-01T00:00:00-03:00,79.01234
2014-08-01,2014,1,8,IPP12_IPPC18ATIV12,2014-08-01T00:00:00-03:00,77.41235
2014-09-01,2014,1,9,IPP12_IPPC18ATIV12,2014-09-01T00:00:00-03:00,79.23666
2014-10-01,2014,1,10,IPP12_IPPC18ATIV12,2014-10-01T00:00:00-03:00,78.94306
2014-11-01,2014,1,11,IPP12_IPPC18ATIV12,2014-11-01T00:00:00-02:00,76.8003
2014-12-01,2014,1,12,IPP12_IPPC18ATIV12,2014-12-01T00:00:00-02:00,77.29752
2015-01-01,2015,1,1,IPP12_IPPC18ATIV12,2015-01-01T00:00:00-02:00,78.85997
2015-02-01,2015,1,2,IPP12_IPPC18ATIV12,2015-02-01T00:00:00-02:00,79.37302
