DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2003-02-01,2003,1,2,MPAS12_ARRBT12,2003-02-01T00:00:00-02:00,6471707.55856
2003-03-01,2003,1,3,MPAS12_ARRBT12,2003-03-01T00:00:00-03:00,6138042.54539
2003-04-01,2003,1,4,MPAS12_ARRBT12,2003-04-01T00:00:00-03:00,6283699.07651
2003-05-01,2003,1,5,MPAS12_ARRBT12,2003-05-01T00:00:00-03:00,6494069.08428
2003-06-01,2003,1,6,MPAS12_ARRBT12,2003-06-01T00:00:00-03:00,6628234.68763
2003-07-01,2003,1,7,MPAS12_ARRBT12,2003-07-01T00:00:00-03:00,6869826.34158
2003-08-01,2003,1,8,MPAS12_ARRBT12,2003-08-01T00:00:00-03:00,6995588.68869
2003-09-01,2003,1,9,MPAS12_ARRBT12,2003-09-01T00:00:00-03:00,7091851.68386
2003-10-01,2003,1,10,MPAS12_ARRBT12,2003-10-01T00:00:00-03:00,7465847.03168
2003-11-01,2003,1,11,MPAS12_ARRBT12,2003-11-01T00:00:00-03:00,7100103.5816
2003-12-01,2003,1,12,MPAS12_ARRBT12,2003-12-01T00:00:00-02:00,12824459.57851
2004-01-01,2004,1,1,MPAS12_ARRBT12,2004-01-01T00:00:00-02:00,6798895.12091
2004-02-01,2004,1,2,MPAS12_ARRBT12,2004-02-01T00:00:00-02:00,7558036.34655
2004-03-01,2004,1,3,MPAS12_ARRBT12,2004-03-01T00:00:00-03:00,7689699.73648
2004-04-01,2004,1,4,MPAS12_ARRBT12,2004-04-01T00:00:00-03:00,7728015.51044
2004-05-01,2004,1,5,MPAS12_ARRBT12,2004-05-01T00:00:00-03:00,7793402.71937
2004-06-01,2004,1,6,MPAS12_ARRBT12,2004-06-01T00:00:00-03:00,8456317.6025
2004-07-01,2004,1,7,MPAS12_ARRBT12,2004-07-01T00:00:00-03:00,8060701.89676
2004-08-01,2004,1,8,MPAS12_ARRBT12,2004-08-01T00:00:00-03:00,8161140.12166
2004-09-01,2004,1,9,MPAS12_ARRBT12,2004-09-01T00:00:00-03:00,8137552.49529
2004-10-01,2004,1,10,MPAS12_ARRBT12,2004-10-01T00:00:00-03:00,8324172.94927
2004-11-01,2004,1,11,MPAS12_ARRBT12,2004-11-01T00:00:00-03:00,8271452.29613
2004-12-01,2004,1,12,MPAS12_ARRBT12,2004-12-01T00:00:00-02:00,14146454.39181
2005-01-01,2005,1,1,MPAS12_ARRBT12,2005-01-01T00:00:00-02:00,8504121.71089
2005-02-01,2005,1,2,MPAS12_ARRBT12,2005-02-01T00:00:00-02:00,8501198.2209
2005-03-01,2005,1,3,MPAS12_ARRBT12,2005-03-01T00:00:00-03:00,8776046.13171
2005-04-01,2005,1,4,MPAS12_ARRBT12,2005-04-01T00:00:00-03:00,8841778.66509
2005-05-01,2005,1,5,MPAS12_ARRBT12,2005-05-01T00:00:00-03:00,8753960.39299
2005-06-01,2005,1,6,MPAS12_ARRBT12,2005-06-01T00:00:00-03:00,9103391.49782
2005-07-01,2005,1,7,MPAS12_ARRBT12,2005-07-01T00:00:00-03:00,9131579.28605
2005-08-01,2005,1,8,MPAS12_ARRBT12,2005-08-01T00:00:00-03:00,9618377.17656
2005-09-01,2005,1,9,MPAS12_ARRBT12,2005-09-01T00:00:00-03:00,9423047.1372
2005-10-01,2005,1,10,MPAS12_ARRBT12,2005-10-01T00:00:00-03:00,9374483.4367
2005-11-01,2005,1,11,MPAS12_ARRBT12,2005-11-01T00:00:00-02:00,9731484.1161
2005-12-01,2005,1,12,MPAS12_ARRBT12,2005-12-01T00:00:00-02:00,16196100.15456
2006-01-01,2006,1,1,MPAS12_ARRBT12,2006-01-01T00:00:00-02:00,9434828.45744
2006-02-01,2006,1,2,MPAS12_ARRBT12,2006-02-01T00:00:00-02:00,10010406.61528
2006-03-01,2006,1,3,MPAS12_ARRBT12,2006-03-01T00:00:00-03:00,9914106.57351
2006-04-01,2006,1,4,MPAS12_ARRBT12,2006-04-01T00:00:00-03:00,9965677.51461
2006-05-01,2006,1,5,MPAS12_ARRBT12,2006-05-01T00:00:00-03:00,10286782.96445
2006-06-01,2006,1,6,MPAS12_ARRBT12,2006-06-01T00:00:00-03:00,10416545.692073
2006-07-01,2006,1,7,MPAS12_ARRBT12,2006-07-01T00:00:00-03:00,10463942.68801
2006-08-01,2006,1,8,MPAS12_ARRBT12,2006-08-01T00:00:00-03:00,10800884.70776
2006-09-01,2006,1,9,MPAS12_ARRBT12,2006-09-01T00:00:00-03:00,11180194.68845
2006-10-01,2006,1,10,MPAS12_ARRBT12,2006-10-01T00:00:00-03:00,11121727.59258
2006-11-01,2006,1,11,MPAS12_ARRBT12,2006-11-01T00:00:00-03:00,11217915.5688
2006-12-01,2006,1,12,MPAS12_ARRBT12,2006-12-01T00:00:00-02:00,18202278.66147
2007-01-01,2007,1,1,MPAS12_ARRBT12,2007-01-01T00:00:00-02:00,10897704.61145
2007-02-01,2007,1,2,MPAS12_ARRBT12,2007-02-01T00:00:00-02:00,11250515.68317
2007-03-01,2007,1,3,MPAS12_ARRBT12,2007-03-01T00:00:00-03:00,11571206.9925
2007-04-01,2007,1,4,MPAS12_ARRBT12,2007-04-01T00:00:00-03:00,11657048.13436
2007-05-01,2007,1,5,MPAS12_ARRBT12,2007-05-01T00:00:00-03:00,11907517.05736
2007-06-01,2007,1,6,MPAS12_ARRBT12,2007-06-01T00:00:00-03:00,12011993.79394
2007-07-01,2007,1,7,MPAS12_ARRBT12,2007-07-01T00:00:00-03:00,12288794.50932
2007-08-01,2007,1,8,MPAS12_ARRBT12,2007-08-01T00:00:00-03:00,12814965.33167
2007-09-01,2007,1,9,MPAS12_ARRBT12,2007-09-01T00:00:00-03:00,12538230.27099
2007-10-01,2007,1,10,MPAS12_ARRBT12,2007-10-01T00:00:00-03:00,12886708.42641
2007-11-01,2007,1,11,MPAS12_ARRBT12,2007-11-01T00:00:00-02:00,12930563.12582
2007-12-01,2007,1,12,MPAS12_ARRBT12,2007-12-01T00:00:00-02:00,21033100.38163
2008-01-01,2008,1,1,MPAS12_ARRBT12,2008-01-01T00:00:00-02:00,13312529.4717
2008-02-01,2008,1,2,MPAS12_ARRBT12,2008-02-01T00:00:00-02:00,13141669.5197
2008-03-01,2008,1,3,MPAS12_ARRBT12,2008-03-01T00:00:00-03:00,13363921.75026
2008-04-01,2008,1,4,MPAS12_ARRBT12,2008-04-01T00:00:00-03:00,13914187.30301
2008-05-01,2008,1,5,MPAS12_ARRBT12,2008-05-01T00:00:00-03:00,13910796.39812
2008-06-01,2008,1,6,MPAS12_ARRBT12,2008-06-01T00:00:00-03:00,14238436.17553
2008-07-01,2008,1,7,MPAS12_ARRBT12,2008-07-01T00:00:00-03:00,14593983.78113
