DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,PAN12_XTV12,1995-01-01T00:00:00-02:00,2970.122648
1995-02-01,1995,1,2,PAN12_XTV12,1995-02-01T00:00:00-02:00,2945.832224
1995-03-01,1995,1,3,PAN12_XTV12,1995-03-01T00:00:00-03:00,3786.85721
1995-04-01,1995,1,4,PAN12_XTV12,1995-04-01T00:00:00-03:00,3382.444048
1995-05-01,1995,1,5,PAN12_XTV12,1995-05-01T00:00:00-03:00,4200.07892
1995-06-01,1995,1,6,PAN12_XTV12,1995-06-01T00:00:00-03:00,4109.735081
1995-07-01,1995,1,7,PAN12_XTV12,1995-07-01T00:00:00-03:00,3977.189602
1995-08-01,1995,1,8,PAN12_XTV12,1995-08-01T00:00:00-03:00,4548.872534
1995-09-01,1995,1,9,PAN12_XTV12,1995-09-01T00:00:00-03:00,4161.430329
1995-10-01,1995,1,10,PAN12_XTV12,1995-10-01T00:00:00-03:00,4401.90526
1995-11-01,1995,1,11,PAN12_XTV12,1995-11-01T00:00:00-03:00,4060.416579
1995-12-01,1995,1,12,PAN12_XTV12,1995-12-01T00:00:00-02:00,3871.263979
1996-01-01,1996,1,1,PAN12_XTV12,1996-01-01T00:00:00-02:00,3473.218473
1996-02-01,1996,1,2,PAN12_XTV12,1996-02-01T00:00:00-02:00,3409.779497
1996-03-01,1996,1,3,PAN12_XTV12,1996-03-01T00:00:00-03:00,3420.129883
1996-04-01,1996,1,4,PAN12_XTV12,1996-04-01T00:00:00-03:00,4276.872377
1996-05-01,1996,1,5,PAN12_XTV12,1996-05-01T00:00:00-03:00,4487.161028
1996-06-01,1996,1,6,PAN12_XTV12,1996-06-01T00:00:00-03:00,3829.560609
1996-07-01,1996,1,7,PAN12_XTV12,1996-07-01T00:00:00-03:00,4446.461508
1996-08-01,1996,1,8,PAN12_XTV12,1996-08-01T00:00:00-03:00,4378.512474
1996-09-01,1996,1,9,PAN12_XTV12,1996-09-01T00:00:00-03:00,4119.129467
1996-10-01,1996,1,10,PAN12_XTV12,1996-10-01T00:00:00-03:00,4176.29936
1996-11-01,1996,1,11,PAN12_XTV12,1996-11-01T00:00:00-03:00,3907.772859
1996-12-01,1996,1,12,PAN12_XTV12,1996-12-01T00:00:00-02:00,3786.216623
1997-01-01,1997,1,1,PAN12_XTV12,1997-01-01T00:00:00-02:00,3672.500329
1997-02-01,1997,1,2,PAN12_XTV12,1997-02-01T00:00:00-02:00,3141.827591
1997-03-01,1997,1,3,PAN12_XTV12,1997-03-01T00:00:00-03:00,3821.745112
1997-04-01,1997,1,4,PAN12_XTV12,1997-04-01T00:00:00-03:00,4611.467456
1997-05-01,1997,1,5,PAN12_XTV12,1997-05-01T00:00:00-03:00,4625.770845
1997-06-01,1997,1,6,PAN12_XTV12,1997-06-01T00:00:00-03:00,4814.143313
1997-07-01,1997,1,7,PAN12_XTV12,1997-07-01T00:00:00-03:00,5219.439799
1997-08-01,1997,1,8,PAN12_XTV12,1997-08-01T00:00:00-03:00,5055.730308
1997-09-01,1997,1,9,PAN12_XTV12,1997-09-01T00:00:00-03:00,4578.39003
1997-10-01,1997,1,10,PAN12_XTV12,1997-10-01T00:00:00-03:00,4795.210347
1997-11-01,1997,1,11,PAN12_XTV12,1997-11-01T00:00:00-03:00,3970.439433
1997-12-01,1997,1,12,PAN12_XTV12,1997-12-01T00:00:00-02:00,4515.894266
1998-01-01,1998,1,1,PAN12_XTV12,1998-01-01T00:00:00-02:00,3912.69809
1998-02-01,1998,1,2,PAN12_XTV12,1998-02-01T00:00:00-02:00,3711.707053
1998-03-01,1998,1,3,PAN12_XTV12,1998-03-01T00:00:00-03:00,4268.623367
1998-04-01,1998,1,4,PAN12_XTV12,1998-04-01T00:00:00-03:00,4567.741125
1998-05-01,1998,1,5,PAN12_XTV12,1998-05-01T00:00:00-03:00,4603.798252
1998-06-01,1998,1,6,PAN12_XTV12,1998-06-01T00:00:00-03:00,4891.352504
1998-07-01,1998,1,7,PAN12_XTV12,1998-07-01T00:00:00-03:00,4967.523086
1998-08-01,1998,1,8,PAN12_XTV12,1998-08-01T00:00:00-03:00,3979.567684
1998-09-01,1998,1,9,PAN12_XTV12,1998-09-01T00:00:00-03:00,4514.717015
1998-10-01,1998,1,10,PAN12_XTV12,1998-10-01T00:00:00-03:00,4004.124914
1998-11-01,1998,1,11,PAN12_XTV12,1998-11-01T00:00:00-03:00,3707.27756
1998-12-01,1998,1,12,PAN12_XTV12,1998-12-01T00:00:00-02:00,3979.418895
1999-01-01,1999,1,1,PAN12_XTV12,1999-01-01T00:00:00-02:00,2954.970776
1999-02-01,1999,1,2,PAN12_XTV12,1999-02-01T00:00:00-02:00,3277.473013
1999-03-01,1999,1,3,PAN12_XTV12,1999-03-01T00:00:00-03:00,3812.733981
1999-04-01,1999,1,4,PAN12_XTV12,1999-04-01T00:00:00-03:00,3696.16787
1999-05-01,1999,1,5,PAN12_XTV12,1999-05-01T00:00:00-03:00,4390.465597
1999-06-01,1999,1,6,PAN12_XTV12,1999-06-01T00:00:00-03:00,4319.419911
1999-07-01,1999,1,7,PAN12_XTV12,1999-07-01T00:00:00-03:00,4128.037889
1999-08-01,1999,1,8,PAN12_XTV12,1999-08-01T00:00:00-03:00,4284.480174
1999-09-01,1999,1,9,PAN12_XTV12,1999-09-01T00:00:00-03:00,4302.797694
1999-10-01,1999,1,10,PAN12_XTV12,1999-10-01T00:00:00-03:00,4343.800509
1999-11-01,1999,1,11,PAN12_XTV12,1999-11-01T00:00:00-03:00,4058.493406
1999-12-01,1999,1,12,PAN12_XTV12,1999-12-01T00:00:00-02:00,4695.319127
2000-01-01,2000,1,1,PAN12_XTV12,2000-01-01T00:00:00-02:00,3487.650475
2000-02-01,2000,1,2,PAN12_XTV12,2000-02-01T00:00:00-02:00,4185.831858
