DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2002-01-01,2002,1,1,PIMPFN12_QIBCTNAS12,2002-01-01T00:00:00-02:00,76.2
2002-02-01,2002,1,2,PIMPFN12_QIBCTNAS12,2002-02-01T00:00:00-02:00,79.4
2002-03-01,2002,1,3,PIMPFN12_QIBCTNAS12,2002-03-01T00:00:00-03:00,78.7
2002-04-01,2002,1,4,PIMPFN12_QIBCTNAS12,2002-04-01T00:00:00-03:00,78.6
2002-05-01,2002,1,5,PIMPFN12_QIBCTNAS12,2002-05-01T00:00:00-03:00,77.7
2002-06-01,2002,1,6,PIMPFN12_QIBCTNAS12,2002-06-01T00:00:00-03:00,77.0
2002-07-01,2002,1,7,PIMPFN12_QIBCTNAS12,2002-07-01T00:00:00-03:00,78.6
2002-08-01,2002,1,8,PIMPFN12_QIBCTNAS12,2002-08-01T00:00:00-03:00,77.9
2002-09-01,2002,1,9,PIMPFN12_QIBCTNAS12,2002-09-01T00:00:00-03:00,77.4
2002-10-01,2002,1,10,PIMPFN12_QIBCTNAS12,2002-10-01T00:00:00-03:00,80.0
2002-11-01,2002,1,11,PIMPFN12_QIBCTNAS12,2002-11-01T00:00:00-03:00,78.1
2002-12-01,2002,1,12,PIMPFN12_QIBCTNAS12,2002-12-01T00:00:00-02:00,76.9
2003-01-01,2003,1,1,PIMPFN12_QIBCTNAS12,2003-01-01T00:00:00-02:00,76.3
2003-02-01,2003,1,2,PIMPFN12_QIBCTNAS12,2003-02-01T00:00:00-02:00,75.7
2003-03-01,2003,1,3,PIMPFN12_QIBCTNAS12,2003-03-01T00:00:00-03:00,75.4
2003-04-01,2003,1,4,PIMPFN12_QIBCTNAS12,2003-04-01T00:00:00-03:00,74.9
2003-05-01,2003,1,5,PIMPFN12_QIBCTNAS12,2003-05-01T00:00:00-03:00,74.3
2003-06-01,2003,1,6,PIMPFN12_QIBCTNAS12,2003-06-01T00:00:00-03:00,74.7
