DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2000-01-01,2000,1,1,PMC12_VNELETR12,2000-01-01T00:00:00-02:00,18.4
2000-02-01,2000,1,2,PMC12_VNELETR12,2000-02-01T00:00:00-02:00,17.9
2000-03-01,2000,1,3,PMC12_VNELETR12,2000-03-01T00:00:00-03:00,19.0
2000-04-01,2000,1,4,PMC12_VNELETR12,2000-04-01T00:00:00-03:00,18.2
2000-05-01,2000,1,5,PMC12_VNELETR12,2000-05-01T00:00:00-03:00,22.0
2000-06-01,2000,1,6,PMC12_VNELETR12,2000-06-01T00:00:00-03:00,19.5
2000-07-01,2000,1,7,PMC12_VNELETR12,2000-07-01T00:00:00-03:00,21.4
2000-08-01,2000,1,8,PMC12_VNELETR12,2000-08-01T00:00:00-03:00,22.4
2000-09-01,2000,1,9,PMC12_VNELETR12,2000-09-01T00:00:00-03:00,20.9
2000-10-01,2000,1,10,PMC12_VNELETR12,2000-10-01T00:00:00-03:00,22.1
2000-11-01,2000,1,11,PMC12_VNELETR12,2000-11-01T00:00:00-03:00,23.6
2000-12-01,2000,1,12,PMC12_VNELETR12,2000-12-01T00:00:00-02:00,36.2
2001-01-01,2001,1,1,PMC12_VNELETR12,2001-01-01T00:00:00-02:00,21.7
2001-02-01,2001,1,2,PMC12_VNELETR12,2001-02-01T00:00:00-02:00,18.7
2001-03-01,2001,1,3,PMC12_VNELETR12,2001-03-01T00:00:00-03:00,22.0
2001-04-01,2001,1,4,PMC12_VNELETR12,2001-04-01T00:00:00-03:00,19.7
2001-05-01,2001,1,5,PMC12_VNELETR12,2001-05-01T00:00:00-03:00,23.1
2001-06-01,2001,1,6,PMC12_VNELETR12,2001-06-01T00:00:00-03:00,19.5
2001-07-01,2001,1,7,PMC12_VNELETR12,2001-07-01T00:00:00-03:00,21.1
2001-08-01,2001,1,8,PMC12_VNELETR12,2001-08-01T00:00:00-03:00,21.3
2001-09-01,2001,1,9,PMC12_VNELETR12,2001-09-01T00:00:00-03:00,20.1
2001-10-01,2001,1,10,PMC12_VNELETR12,2001-10-01T00:00:00-03:00,22.7
2001-11-01,2001,1,11,PMC12_VNELETR12,2001-11-01T00:00:00-03:00,22.9
2001-12-01,2001,1,12,PMC12_VNELETR12,2001-12-01T00:00:00-02:00,36.1
2002-01-01,2002,1,1,PMC12_VNELETR12,2002-01-01T00:00:00-02:00,23.1
2002-02-01,2002,1,2,PMC12_VNELETR12,2002-02-01T00:00:00-02:00,19.5
2002-03-01,2002,1,3,PMC12_VNELETR12,2002-03-01T00:00:00-03:00,22.4
2002-04-01,2002,1,4,PMC12_VNELETR12,2002-04-01T00:00:00-03:00,22.5
2002-05-01,2002,1,5,PMC12_VNELETR12,2002-05-01T00:00:00-03:00,24.9
2002-06-01,2002,1,6,PMC12_VNELETR12,2002-06-01T00:00:00-03:00,21.3
2002-07-01,2002,1,7,PMC12_VNELETR12,2002-07-01T00:00:00-03:00,22.4
2002-08-01,2002,1,8,PMC12_VNELETR12,2002-08-01T00:00:00-03:00,23.1
2002-09-01,2002,1,9,PMC12_VNELETR12,2002-09-01T00:00:00-03:00,21.7
2002-10-01,2002,1,10,PMC12_VNELETR12,2002-10-01T00:00:00-03:00,25.1
2002-11-01,2002,1,11,PMC12_VNELETR12,2002-11-01T00:00:00-03:00,25.3
2002-12-01,2002,1,12,PMC12_VNELETR12,2002-12-01T00:00:00-02:00,37.6
2003-01-01,2003,1,1,PMC12_VNELETR12,2003-01-01T00:00:00-02:00,23.5
2003-02-01,2003,1,2,PMC12_VNELETR12,2003-02-01T00:00:00-02:00,22.1
2003-03-01,2003,1,3,PMC12_VNELETR12,2003-03-01T00:00:00-03:00,22.1
2003-04-01,2003,1,4,PMC12_VNELETR12,2003-04-01T00:00:00-03:00,22.3
