DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2003-01-01,2003,1,1,PMC12_VRINFO12,2003-01-01T00:00:00-02:00,12.8
2003-02-01,2003,1,2,PMC12_VRINFO12,2003-02-01T00:00:00-02:00,11.8
2003-03-01,2003,1,3,PMC12_VRINFO12,2003-03-01T00:00:00-03:00,11.3
2003-04-01,2003,1,4,PMC12_VRINFO12,2003-04-01T00:00:00-03:00,11.2
2003-05-01,2003,1,5,PMC12_VRINFO12,2003-05-01T00:00:00-03:00,11.9
2003-06-01,2003,1,6,PMC12_VRINFO12,2003-06-01T00:00:00-03:00,12.3
2003-07-01,2003,1,7,PMC12_VRINFO12,2003-07-01T00:00:00-03:00,12.5
2003-08-01,2003,1,8,PMC12_VRINFO12,2003-08-01T00:00:00-03:00,14.1
2003-09-01,2003,1,9,PMC12_VRINFO12,2003-09-01T00:00:00-03:00,14.7
2003-10-01,2003,1,10,PMC12_VRINFO12,2003-10-01T00:00:00-03:00,16.7
2003-11-01,2003,1,11,PMC12_VRINFO12,2003-11-01T00:00:00-03:00,18.3
2003-12-01,2003,1,12,PMC12_VRINFO12,2003-12-01T00:00:00-02:00,22.9
2004-01-01,2004,1,1,PMC12_VRINFO12,2004-01-01T00:00:00-02:00,15.3
2004-02-01,2004,1,2,PMC12_VRINFO12,2004-02-01T00:00:00-02:00,12.6
2004-03-01,2004,1,3,PMC12_VRINFO12,2004-03-01T00:00:00-03:00,17.1
2004-04-01,2004,1,4,PMC12_VRINFO12,2004-04-01T00:00:00-03:00,13.9
2004-05-01,2004,1,5,PMC12_VRINFO12,2004-05-01T00:00:00-03:00,15.0
2004-06-01,2004,1,6,PMC12_VRINFO12,2004-06-01T00:00:00-03:00,17.1
2004-07-01,2004,1,7,PMC12_VRINFO12,2004-07-01T00:00:00-03:00,15.2
2004-08-01,2004,1,8,PMC12_VRINFO12,2004-08-01T00:00:00-03:00,14.7
2004-09-01,2004,1,9,PMC12_VRINFO12,2004-09-01T00:00:00-03:00,16.3
2004-10-01,2004,1,10,PMC12_VRINFO12,2004-10-01T00:00:00-03:00,13.8
2004-11-01,2004,1,11,PMC12_VRINFO12,2004-11-01T00:00:00-03:00,16.2
2004-12-01,2004,1,12,PMC12_VRINFO12,2004-12-01T00:00:00-02:00,20.6
2005-01-01,2005,1,1,PMC12_VRINFO12,2005-01-01T00:00:00-02:00,13.0
2005-02-01,2005,1,2,PMC12_VRINFO12,2005-02-01T00:00:00-02:00,16.5
2005-03-01,2005,1,3,PMC12_VRINFO12,2005-03-01T00:00:00-03:00,23.4
2005-04-01,2005,1,4,PMC12_VRINFO12,2005-04-01T00:00:00-03:00,23.4
2005-05-01,2005,1,5,PMC12_VRINFO12,2005-05-01T00:00:00-03:00,22.9
2005-06-01,2005,1,6,PMC12_VRINFO12,2005-06-01T00:00:00-03:00,26.0
2005-07-01,2005,1,7,PMC12_VRINFO12,2005-07-01T00:00:00-03:00,24.4
2005-08-01,2005,1,8,PMC12_VRINFO12,2005-08-01T00:00:00-03:00,24.5
2005-09-01,2005,1,9,PMC12_VRINFO12,2005-09-01T00:00:00-03:00,25.0
