DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2012-03-01,2012,1,3,PNADC12_MRTH12,2012-03-01T00:00:00-03:00,121454.0
2012-04-01,2012,1,4,PNADC12_MRTH12,2012-04-01T00:00:00-03:00,123398.0
2012-05-01,2012,1,5,PNADC12_MRTH12,2012-05-01T00:00:00-03:00,123825.0
2012-06-01,2012,1,6,PNADC12_MRTH12,2012-06-01T00:00:00-03:00,124725.0
2012-07-01,2012,1,7,PNADC12_MRTH12,2012-07-01T00:00:00-03:00,125792.0
2012-08-01,2012,1,8,PNADC12_MRTH12,2012-08-01T00:00:00-03:00,126913.0
2012-09-01,2012,1,9,PNADC12_MRTH12,2012-09-01T00:00:00-03:00,127746.0
2012-10-01,2012,1,10,PNADC12_MRTH12,2012-10-01T00:00:00-03:00,128548.0
2012-11-01,2012,1,11,PNADC12_MRTH12,2012-11-01T00:00:00-02:00,129462.0
2012-12-01,2012,1,12,PNADC12_MRTH12,2012-12-01T00:00:00-02:00,130105.0
2013-01-01,2013,1,1,PNADC12_MRTH12,2013-01-01T00:00:00-02:00,131077.0
2013-02-01,2013,1,2,PNADC12_MRTH12,2013-02-01T00:00:00-02:00,132424.0
2013-03-01,2013,1,3,PNADC12_MRTH12,2013-03-01T00:00:00-03:00,133789.0
2013-04-01,2013,1,4,PNADC12_MRTH12,2013-04-01T00:00:00-03:00,135525.0
2013-05-01,2013,1,5,PNADC12_MRTH12,2013-05-01T00:00:00-03:00,136897.0
2013-06-01,2013,1,6,PNADC12_MRTH12,2013-06-01T00:00:00-03:00,138981.0
2013-07-01,2013,1,7,PNADC12_MRTH12,2013-07-01T00:00:00-03:00,140689.0
2013-08-01,2013,1,8,PNADC12_MRTH12,2013-08-01T00:00:00-03:00,142142.0
2013-09-01,2013,1,9,PNADC12_MRTH12,2013-09-01T00:00:00-03:00,142809.0
2013-10-01,2013,1,10,PNADC12_MRTH12,2013-10-01T00:00:00-03:00,143990.0
2013-11-01,2013,1,11,PNADC12_MRTH12,2013-11-01T00:00:00-02:00,144744.0
2013-12-01,2013,1,12,PNADC12_MRTH12,2013-12-01T00:00:00-02:00,144838.0
2014-01-01,2014,1,1,PNADC12_MRTH12,2014-01-01T00:00:00-02:00,145194.0
2014-02-01,2014,1,2,PNADC12_MRTH12,2014-02-01T00:00:00-02:00,147520.0
2014-03-01,2014,1,3,PNADC12_MRTH12,2014-03-01T00:00:00-03:00,149972.0
2014-04-01,2014,1,4,PNADC12_MRTH12,2014-04-01T00:00:00-03:00,151609.0
2014-05-01,2014,1,5,PNADC12_MRTH12,2014-05-01T00:00:00-03:00,152993.0
2014-06-01,2014,1,6,PNADC12_MRTH12,2014-06-01T00:00:00-03:00,153415.0
2014-07-01,2014,1,7,PNADC12_MRTH12,2014-07-01T00:00:00-03:00,153460.0
2014-08-01,2014,1,8,PNADC12_MRTH12,2014-08-01T00:00:00-03:00,154783.0
2014-09-01,2014,1,9,PNADC12_MRTH12,2014-09-01T00:00:00-03:00,156380.0
2014-10-01,2014,1,10,PNADC12_MRTH12,2014-10-01T00:00:00-03:00,158237.0
2014-11-01,2014,1,11,PNADC12_MRTH12,2014-11-01T00:00:00-02:00,158308.0
2014-12-01,2014,1,12,PNADC12_MRTH12,2014-12-01T00:00:00-02:00,159577.0
2015-01-01,2015,1,1,PNADC12_MRTH12,2015-01-01T00:00:00-02:00,160843.0
2015-02-01,2015,1,2,PNADC12_MRTH12,2015-02-01T00:00:00-02:00,161481.0
2015-03-01,2015,1,3,PNADC12_MRTH12,2015-03-01T00:00:00-03:00,163009.0
2015-04-01,2015,1,4,PNADC12_MRTH12,2015-04-01T00:00:00-03:00,164669.0
2015-05-01,2015,1,5,PNADC12_MRTH12,2015-05-01T00:00:00-03:00,165314.0
2015-06-01,2015,1,6,PNADC12_MRTH12,2015-06-01T00:00:00-03:00,167030.0
2015-07-01,2015,1,7,PNADC12_MRTH12,2015-07-01T00:00:00-03:00,166981.0
2015-08-01,2015,1,8,PNADC12_MRTH12,2015-08-01T00:00:00-03:00,167049.0
2015-09-01,2015,1,9,PNADC12_MRTH12,2015-09-01T00:00:00-03:00,167815.0
2015-10-01,2015,1,10,PNADC12_MRTH12,2015-10-01T00:00:00-03:00,168475.0
2015-11-01,2015,1,11,PNADC12_MRTH12,2015-11-01T00:00:00-02:00,168500.0
2015-12-01,2015,1,12,PNADC12_MRTH12,2015-12-01T00:00:00-02:00,169632.0
2016-01-01,2016,1,1,PNADC12_MRTH12,2016-01-01T00:00:00-02:00,170803.0
2016-02-01,2016,1,2,PNADC12_MRTH12,2016-02-01T00:00:00-02:00,170641.0
2016-03-01,2016,1,3,PNADC12_MRTH12,2016-03-01T00:00:00-03:00,172774.0
2016-04-01,2016,1,4,PNADC12_MRTH12,2016-04-01T00:00:00-03:00,172652.0
2016-05-01,2016,1,5,PNADC12_MRTH12,2016-05-01T00:00:00-03:00,174918.0
2016-06-01,2016,1,6,PNADC12_MRTH12,2016-06-01T00:00:00-03:00,174001.0
2016-07-01,2016,1,7,PNADC12_MRTH12,2016-07-01T00:00:00-03:00,174690.0
2016-08-01,2016,1,8,PNADC12_MRTH12,2016-08-01T00:00:00-03:00,176343.0
2016-09-01,2016,1,9,PNADC12_MRTH12,2016-09-01T00:00:00-03:00,176150.0
2016-10-01,2016,1,10,PNADC12_MRTH12,2016-10-01T00:00:00-03:00,177041.0
2016-11-01,2016,1,11,PNADC12_MRTH12,2016-11-01T00:00:00-02:00,178218.0
2016-12-01,2016,1,12,PNADC12_MRTH12,2016-12-01T00:00:00-02:00,179638.0
2017-01-01,2017,1,1,PNADC12_MRTH12,2017-01-01T00:00:00-02:00,179879.0
2017-02-01,2017,1,2,PNADC12_MRTH12,2017-02-01T00:00:00-02:00,179863.0
2017-03-01,2017,1,3,PNADC12_MRTH12,2017-03-01T00:00:00-03:00,180653.0
2017-04-01,2017,1,4,PNADC12_MRTH12,2017-04-01T00:00:00-03:00,180912.0
2017-05-01,2017,1,5,PNADC12_MRTH12,2017-05-01T00:00:00-03:00,182045.0
2017-06-01,2017,1,6,PNADC12_MRTH12,2017-06-01T00:00:00-03:00,182618.0
2017-07-01,2017,1,7,PNADC12_MRTH12,2017-07-01T00:00:00-03:00,183669.0
2017-08-01,2017,1,8,PNADC12_MRTH12,2017-08-01T00:00:00-03:00,184316.0
2017-09-01,2017,1,9,PNADC12_MRTH12,2017-09-01T00:00:00-03:00,186101.0
2017-10-01,2017,1,10,PNADC12_MRTH12,2017-10-01T00:00:00-03:00,187769.0
2017-11-01,2017,1,11,PNADC12_MRTH12,2017-11-01T00:00:00-02:00,189846.0
2017-12-01,2017,1,12,PNADC12_MRTH12,2017-12-01T00:00:00-02:00,190941.0
2018-01-01,2018,1,1,PNADC12_MRTH12,2018-01-01T00:00:00-02:00,191414.0
2018-02-01,2018,1,2,PNADC12_MRTH12,2018-02-01T00:00:00-02:00,191679.0
2018-03-01,2018,1,3,PNADC12_MRTH12,2018-03-01T00:00:00-03:00,191015.0
2018-04-01,2018,1,4,PNADC12_MRTH12,2018-04-01T00:00:00-03:00,192547.0
2018-05-01,2018,1,5,PNADC12_MRTH12,2018-05-01T00:00:00-03:00,193448.0
2018-06-01,2018,1,6,PNADC12_MRTH12,2018-06-01T00:00:00-03:00,195212.0
2018-07-01,2018,1,7,PNADC12_MRTH12,2018-07-01T00:00:00-03:00,196770.0
2018-08-01,2018,1,8,PNADC12_MRTH12,2018-08-01T00:00:00-03:00,199438.0
2018-09-01,2018,1,9,PNADC12_MRTH12,2018-09-01T00:00:00-03:00,200265.0
2018-10-01,2018,1,10,PNADC12_MRTH12,2018-10-01T00:00:00-03:00,201564.0
2018-11-01,2018,1,11,PNADC12_MRTH12,2018-11-01T00:00:00-03:00,203039.0
2018-12-01,2018,1,12,PNADC12_MRTH12,2018-12-01T00:00:00-02:00,204169.0
2019-01-01,2019,1,1,PNADC12_MRTH12,2019-01-01T00:00:00-02:00,204563.0
2019-02-01,2019,1,2,PNADC12_MRTH12,2019-02-01T00:00:00-02:00,204944.0
2019-03-01,2019,1,3,PNADC12_MRTH12,2019-03-01T00:00:00-03:00,205156.0
2019-04-01,2019,1,4,PNADC12_MRTH12,2019-04-01T00:00:00-03:00,206544.0
2019-05-01,2019,1,5,PNADC12_MRTH12,2019-05-01T00:00:00-03:00,207294.0
2019-06-01,2019,1,6,PNADC12_MRTH12,2019-06-01T00:00:00-03:00,208435.0
2019-07-01,2019,1,7,PNADC12_MRTH12,2019-07-01T00:00:00-03:00,208627.0
2019-08-01,2019,1,8,PNADC12_MRTH12,2019-08-01T00:00:00-03:00,209893.0
2019-09-01,2019,1,9,PNADC12_MRTH12,2019-09-01T00:00:00-03:00,210424.0
2019-10-01,2019,1,10,PNADC12_MRTH12,2019-10-01T00:00:00-03:00,212808.0
2019-11-01,2019,1,11,PNADC12_MRTH12,2019-11-01T00:00:00-03:00,215104.0
2019-12-01,2019,1,12,PNADC12_MRTH12,2019-12-01T00:00:00-03:00,216262.0
2020-01-01,2020,1,1,PNADC12_MRTH12,2020-01-01T00:00:00-03:00,217399.0
2020-02-01,2020,1,2,PNADC12_MRTH12,2020-02-01T00:00:00-03:00,217631.0
2020-03-01,2020,1,3,PNADC12_MRTH12,2020-03-01T00:00:00-03:00,216290.0
2020-04-01,2020,1,4,PNADC12_MRTH12,2020-04-01T00:00:00-03:00,211628.0
2020-05-01,2020,1,5,PNADC12_MRTH12,2020-05-01T00:00:00-03:00,206623.0
2020-06-01,2020,1,6,PNADC12_MRTH12,2020-06-01T00:00:00-03:00,203519.0
2020-07-01,2020,1,7,PNADC12_MRTH12,2020-07-01T00:00:00-03:00,203016.0
2020-08-01,2020,1,8,PNADC12_MRTH12,2020-08-01T00:00:00-03:00,202478.0
2020-09-01,2020,1,9,PNADC12_MRTH12,2020-09-01T00:00:00-03:00,205305.0
2020-10-01,2020,1,10,PNADC12_MRTH12,2020-10-01T00:00:00-03:00,207859.0
2020-11-01,2020,1,11,PNADC12_MRTH12,2020-11-01T00:00:00-03:00,210049.0
2020-12-01,2020,1,12,PNADC12_MRTH12,2020-12-01T00:00:00-03:00,210724.0
