DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2012-03-01,2012,1,3,PNADC12_POP12,2012-03-01T00:00:00-03:00,197074.0
2012-04-01,2012,1,4,PNADC12_POP12,2012-04-01T00:00:00-03:00,197217.0
2012-05-01,2012,1,5,PNADC12_POP12,2012-05-01T00:00:00-03:00,197359.0
2012-06-01,2012,1,6,PNADC12_POP12,2012-06-01T00:00:00-03:00,197502.0
2012-07-01,2012,1,7,PNADC12_POP12,2012-07-01T00:00:00-03:00,197645.0
2012-08-01,2012,1,8,PNADC12_POP12,2012-08-01T00:00:00-03:00,197788.0
2012-09-01,2012,1,9,PNADC12_POP12,2012-09-01T00:00:00-03:00,197931.0
2012-10-01,2012,1,10,PNADC12_POP12,2012-10-01T00:00:00-03:00,198074.0
2012-11-01,2012,1,11,PNADC12_POP12,2012-11-01T00:00:00-02:00,198217.0
2012-12-01,2012,1,12,PNADC12_POP12,2012-12-01T00:00:00-02:00,198360.0
2013-01-01,2013,1,1,PNADC12_POP12,2013-01-01T00:00:00-02:00,198503.0
2013-02-01,2013,1,2,PNADC12_POP12,2013-02-01T00:00:00-02:00,198646.0
2013-03-01,2013,1,3,PNADC12_POP12,2013-03-01T00:00:00-03:00,198789.0
2013-04-01,2013,1,4,PNADC12_POP12,2013-04-01T00:00:00-03:00,198932.0
2013-05-01,2013,1,5,PNADC12_POP12,2013-05-01T00:00:00-03:00,199075.0
2013-06-01,2013,1,6,PNADC12_POP12,2013-06-01T00:00:00-03:00,199217.0
2013-07-01,2013,1,7,PNADC12_POP12,2013-07-01T00:00:00-03:00,199360.0
2013-08-01,2013,1,8,PNADC12_POP12,2013-08-01T00:00:00-03:00,199503.0
2013-09-01,2013,1,9,PNADC12_POP12,2013-09-01T00:00:00-03:00,199646.0
2013-10-01,2013,1,10,PNADC12_POP12,2013-10-01T00:00:00-03:00,199789.0
2013-11-01,2013,1,11,PNADC12_POP12,2013-11-01T00:00:00-02:00,199931.0
2013-12-01,2013,1,12,PNADC12_POP12,2013-12-01T00:00:00-02:00,200074.0
2014-01-01,2014,1,1,PNADC12_POP12,2014-01-01T00:00:00-02:00,200217.0
2014-02-01,2014,1,2,PNADC12_POP12,2014-02-01T00:00:00-02:00,200359.0
2014-03-01,2014,1,3,PNADC12_POP12,2014-03-01T00:00:00-03:00,200502.0
2014-04-01,2014,1,4,PNADC12_POP12,2014-04-01T00:00:00-03:00,200645.0
2014-05-01,2014,1,5,PNADC12_POP12,2014-05-01T00:00:00-03:00,200787.0
2014-06-01,2014,1,6,PNADC12_POP12,2014-06-01T00:00:00-03:00,200929.0
2014-07-01,2014,1,7,PNADC12_POP12,2014-07-01T00:00:00-03:00,201072.0
2014-08-01,2014,1,8,PNADC12_POP12,2014-08-01T00:00:00-03:00,201214.0
2014-09-01,2014,1,9,PNADC12_POP12,2014-09-01T00:00:00-03:00,201357.0
2014-10-01,2014,1,10,PNADC12_POP12,2014-10-01T00:00:00-03:00,201499.0
2014-11-01,2014,1,11,PNADC12_POP12,2014-11-01T00:00:00-02:00,201641.0
2014-12-01,2014,1,12,PNADC12_POP12,2014-12-01T00:00:00-02:00,201783.0
2015-01-01,2015,1,1,PNADC12_POP12,2015-01-01T00:00:00-02:00,201925.0
2015-02-01,2015,1,2,PNADC12_POP12,2015-02-01T00:00:00-02:00,202067.0
2015-03-01,2015,1,3,PNADC12_POP12,2015-03-01T00:00:00-03:00,202209.0
2015-04-01,2015,1,4,PNADC12_POP12,2015-04-01T00:00:00-03:00,202351.0
2015-05-01,2015,1,5,PNADC12_POP12,2015-05-01T00:00:00-03:00,202492.0
2015-06-01,2015,1,6,PNADC12_POP12,2015-06-01T00:00:00-03:00,202634.0
2015-07-01,2015,1,7,PNADC12_POP12,2015-07-01T00:00:00-03:00,202775.0
2015-08-01,2015,1,8,PNADC12_POP12,2015-08-01T00:00:00-03:00,202917.0
