DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$ Penúltimo mês da série)
2012-03-01,2012,1,3,PNADC12_RRPHESPSC12,2012-03-01T00:00:00-03:00,1386.0
2012-04-01,2012,1,4,PNADC12_RRPHESPSC12,2012-04-01T00:00:00-03:00,1377.0
2012-05-01,2012,1,5,PNADC12_RRPHESPSC12,2012-05-01T00:00:00-03:00,1337.0
2012-06-01,2012,1,6,PNADC12_RRPHESPSC12,2012-06-01T00:00:00-03:00,1347.0
2012-07-01,2012,1,7,PNADC12_RRPHESPSC12,2012-07-01T00:00:00-03:00,1352.0
2012-08-01,2012,1,8,PNADC12_RRPHESPSC12,2012-08-01T00:00:00-03:00,1347.0
2012-09-01,2012,1,9,PNADC12_RRPHESPSC12,2012-09-01T00:00:00-03:00,1345.0
2012-10-01,2012,1,10,PNADC12_RRPHESPSC12,2012-10-01T00:00:00-03:00,1342.0
2012-11-01,2012,1,11,PNADC12_RRPHESPSC12,2012-11-01T00:00:00-02:00,1330.0
2012-12-01,2012,1,12,PNADC12_RRPHESPSC12,2012-12-01T00:00:00-02:00,1303.0
2013-01-01,2013,1,1,PNADC12_RRPHESPSC12,2013-01-01T00:00:00-02:00,1304.0
2013-02-01,2013,1,2,PNADC12_RRPHESPSC12,2013-02-01T00:00:00-02:00,1311.0
2013-03-01,2013,1,3,PNADC12_RRPHESPSC12,2013-03-01T00:00:00-03:00,1338.0
2013-04-01,2013,1,4,PNADC12_RRPHESPSC12,2013-04-01T00:00:00-03:00,1365.0
2013-05-01,2013,1,5,PNADC12_RRPHESPSC12,2013-05-01T00:00:00-03:00,1367.0
2013-06-01,2013,1,6,PNADC12_RRPHESPSC12,2013-06-01T00:00:00-03:00,1387.0
2013-07-01,2013,1,7,PNADC12_RRPHESPSC12,2013-07-01T00:00:00-03:00,1381.0
2013-08-01,2013,1,8,PNADC12_RRPHESPSC12,2013-08-01T00:00:00-03:00,1407.0
2013-09-01,2013,1,9,PNADC12_RRPHESPSC12,2013-09-01T00:00:00-03:00,1410.0
2013-10-01,2013,1,10,PNADC12_RRPHESPSC12,2013-10-01T00:00:00-03:00,1405.0
2013-11-01,2013,1,11,PNADC12_RRPHESPSC12,2013-11-01T00:00:00-02:00,1404.0
2013-12-01,2013,1,12,PNADC12_RRPHESPSC12,2013-12-01T00:00:00-02:00,1385.0
2014-01-01,2014,1,1,PNADC12_RRPHESPSC12,2014-01-01T00:00:00-02:00,1387.0
