DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2012-03-01,2012,1,3,PNADC12_TFA12,2012-03-01T00:00:00-03:00,2393.0
2012-04-01,2012,1,4,PNADC12_TFA12,2012-04-01T00:00:00-03:00,2606.0
2012-05-01,2012,1,5,PNADC12_TFA12,2012-05-01T00:00:00-03:00,2822.0
2012-06-01,2012,1,6,PNADC12_TFA12,2012-06-01T00:00:00-03:00,2965.0
2012-07-01,2012,1,7,PNADC12_TFA12,2012-07-01T00:00:00-03:00,2961.0
2012-08-01,2012,1,8,PNADC12_TFA12,2012-08-01T00:00:00-03:00,2946.0
2012-09-01,2012,1,9,PNADC12_TFA12,2012-09-01T00:00:00-03:00,2889.0
2012-10-01,2012,1,10,PNADC12_TFA12,2012-10-01T00:00:00-03:00,2809.0
2012-11-01,2012,1,11,PNADC12_TFA12,2012-11-01T00:00:00-02:00,2821.0
2012-12-01,2012,1,12,PNADC12_TFA12,2012-12-01T00:00:00-02:00,2843.0
2013-01-01,2013,1,1,PNADC12_TFA12,2013-01-01T00:00:00-02:00,2837.0
2013-02-01,2013,1,2,PNADC12_TFA12,2013-02-01T00:00:00-02:00,2792.0
2013-03-01,2013,1,3,PNADC12_TFA12,2013-03-01T00:00:00-03:00,2791.0
2013-04-01,2013,1,4,PNADC12_TFA12,2013-04-01T00:00:00-03:00,2812.0
2013-05-01,2013,1,5,PNADC12_TFA12,2013-05-01T00:00:00-03:00,2832.0
2013-06-01,2013,1,6,PNADC12_TFA12,2013-06-01T00:00:00-03:00,2819.0
2013-07-01,2013,1,7,PNADC12_TFA12,2013-07-01T00:00:00-03:00,2778.0
2013-08-01,2013,1,8,PNADC12_TFA12,2013-08-01T00:00:00-03:00,2711.0
2013-09-01,2013,1,9,PNADC12_TFA12,2013-09-01T00:00:00-03:00,2671.0
2013-10-01,2013,1,10,PNADC12_TFA12,2013-10-01T00:00:00-03:00,2661.0
2013-11-01,2013,1,11,PNADC12_TFA12,2013-11-01T00:00:00-02:00,2716.0
