DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_EXPORTAMERICAN12,1989-01-01T00:00:00-02:00,831878117.0
1989-02-01,1989,1,2,SECEX12_EXPORTAMERICAN12,1989-02-01T00:00:00-02:00,748071375.0
1989-03-01,1989,1,3,SECEX12_EXPORTAMERICAN12,1989-03-01T00:00:00-03:00,801338519.0
1989-04-01,1989,1,4,SECEX12_EXPORTAMERICAN12,1989-04-01T00:00:00-03:00,690277650.0
1989-05-01,1989,1,5,SECEX12_EXPORTAMERICAN12,1989-05-01T00:00:00-03:00,776382227.0
1989-06-01,1989,1,6,SECEX12_EXPORTAMERICAN12,1989-06-01T00:00:00-03:00,994973389.0
1989-07-01,1989,1,7,SECEX12_EXPORTAMERICAN12,1989-07-01T00:00:00-03:00,839190298.0
1989-08-01,1989,1,8,SECEX12_EXPORTAMERICAN12,1989-08-01T00:00:00-03:00,867982497.0
1989-09-01,1989,1,9,SECEX12_EXPORTAMERICAN12,1989-09-01T00:00:00-03:00,823091750.0
1989-10-01,1989,1,10,SECEX12_EXPORTAMERICAN12,1989-10-01T00:00:00-03:00,761896228.0
1989-11-01,1989,1,11,SECEX12_EXPORTAMERICAN12,1989-11-01T00:00:00-03:00,665128050.0
1989-12-01,1989,1,12,SECEX12_EXPORTAMERICAN12,1989-12-01T00:00:00-02:00,783912932.0
1990-01-01,1990,1,1,SECEX12_EXPORTAMERICAN12,1990-01-01T00:00:00-02:00,659458223.0
1990-02-01,1990,1,2,SECEX12_EXPORTAMERICAN12,1990-02-01T00:00:00-02:00,595713255.0
1990-03-01,1990,1,3,SECEX12_EXPORTAMERICAN12,1990-03-01T00:00:00-03:00,673601111.0
1990-04-01,1990,1,4,SECEX12_EXPORTAMERICAN12,1990-04-01T00:00:00-03:00,691101793.0
1990-05-01,1990,1,5,SECEX12_EXPORTAMERICAN12,1990-05-01T00:00:00-03:00,856428177.0
1990-06-01,1990,1,6,SECEX12_EXPORTAMERICAN12,1990-06-01T00:00:00-03:00,655749067.0
1990-07-01,1990,1,7,SECEX12_EXPORTAMERICAN12,1990-07-01T00:00:00-03:00,892161451.0
1990-08-01,1990,1,8,SECEX12_EXPORTAMERICAN12,1990-08-01T00:00:00-03:00,773127720.0
1990-09-01,1990,1,9,SECEX12_EXPORTAMERICAN12,1990-09-01T00:00:00-03:00,715433824.0
1990-10-01,1990,1,10,SECEX12_EXPORTAMERICAN12,1990-10-01T00:00:00-03:00,651630406.0
1990-11-01,1990,1,11,SECEX12_EXPORTAMERICAN12,1990-11-01T00:00:00-03:00,689165481.0
1990-12-01,1990,1,12,SECEX12_EXPORTAMERICAN12,1990-12-01T00:00:00-02:00,767882993.0
1991-01-01,1991,1,1,SECEX12_EXPORTAMERICAN12,1991-01-01T00:00:00-02:00,680882032.0
1991-02-01,1991,1,2,SECEX12_EXPORTAMERICAN12,1991-02-01T00:00:00-02:00,451972727.0
1991-03-01,1991,1,3,SECEX12_EXPORTAMERICAN12,1991-03-01T00:00:00-03:00,668775957.0
