DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_EXPORTAMERICAS12,1989-01-01T00:00:00-02:00,320345767.0
1989-02-01,1989,1,2,SECEX12_EXPORTAMERICAS12,1989-02-01T00:00:00-02:00,257798601.0
1989-03-01,1989,1,3,SECEX12_EXPORTAMERICAS12,1989-03-01T00:00:00-03:00,325310986.0
1989-04-01,1989,1,4,SECEX12_EXPORTAMERICAS12,1989-04-01T00:00:00-03:00,285612625.0
1989-05-01,1989,1,5,SECEX12_EXPORTAMERICAS12,1989-05-01T00:00:00-03:00,279426952.0
1989-06-01,1989,1,6,SECEX12_EXPORTAMERICAS12,1989-06-01T00:00:00-03:00,381889829.0
1989-07-01,1989,1,7,SECEX12_EXPORTAMERICAS12,1989-07-01T00:00:00-03:00,347136769.0
1989-08-01,1989,1,8,SECEX12_EXPORTAMERICAS12,1989-08-01T00:00:00-03:00,313894311.0
1989-09-01,1989,1,9,SECEX12_EXPORTAMERICAS12,1989-09-01T00:00:00-03:00,295043290.0
1989-10-01,1989,1,10,SECEX12_EXPORTAMERICAS12,1989-10-01T00:00:00-03:00,272183819.0
1989-11-01,1989,1,11,SECEX12_EXPORTAMERICAS12,1989-11-01T00:00:00-03:00,292640704.0
1989-12-01,1989,1,12,SECEX12_EXPORTAMERICAS12,1989-12-01T00:00:00-02:00,362892424.0
1990-01-01,1990,1,1,SECEX12_EXPORTAMERICAS12,1990-01-01T00:00:00-02:00,224314171.0
1990-02-01,1990,1,2,SECEX12_EXPORTAMERICAS12,1990-02-01T00:00:00-02:00,217668096.0
1990-03-01,1990,1,3,SECEX12_EXPORTAMERICAS12,1990-03-01T00:00:00-03:00,262374989.0
1990-04-01,1990,1,4,SECEX12_EXPORTAMERICAS12,1990-04-01T00:00:00-03:00,227860905.0
1990-05-01,1990,1,5,SECEX12_EXPORTAMERICAS12,1990-05-01T00:00:00-03:00,349118176.0
1990-06-01,1990,1,6,SECEX12_EXPORTAMERICAS12,1990-06-01T00:00:00-03:00,275989231.0
1990-07-01,1990,1,7,SECEX12_EXPORTAMERICAS12,1990-07-01T00:00:00-03:00,306760885.0
1990-08-01,1990,1,8,SECEX12_EXPORTAMERICAS12,1990-08-01T00:00:00-03:00,293636941.0
1990-09-01,1990,1,9,SECEX12_EXPORTAMERICAS12,1990-09-01T00:00:00-03:00,270426522.0
1990-10-01,1990,1,10,SECEX12_EXPORTAMERICAS12,1990-10-01T00:00:00-03:00,263761680.0
1990-11-01,1990,1,11,SECEX12_EXPORTAMERICAS12,1990-11-01T00:00:00-03:00,287124195.0
1990-12-01,1990,1,12,SECEX12_EXPORTAMERICAS12,1990-12-01T00:00:00-02:00,376562544.0
1991-01-01,1991,1,1,SECEX12_EXPORTAMERICAS12,1991-01-01T00:00:00-02:00,379102833.0
1991-02-01,1991,1,2,SECEX12_EXPORTAMERICAS12,1991-02-01T00:00:00-02:00,239888726.0
1991-03-01,1991,1,3,SECEX12_EXPORTAMERICAS12,1991-03-01T00:00:00-03:00,283060355.0
1991-04-01,1991,1,4,SECEX12_EXPORTAMERICAS12,1991-04-01T00:00:00-03:00,399999617.0
1991-05-01,1991,1,5,SECEX12_EXPORTAMERICAS12,1991-05-01T00:00:00-03:00,322397654.0
1991-06-01,1991,1,6,SECEX12_EXPORTAMERICAS12,1991-06-01T00:00:00-03:00,444383713.0
1991-07-01,1991,1,7,SECEX12_EXPORTAMERICAS12,1991-07-01T00:00:00-03:00,369495665.0
1991-08-01,1991,1,8,SECEX12_EXPORTAMERICAS12,1991-08-01T00:00:00-03:00,479450463.0
1991-09-01,1991,1,9,SECEX12_EXPORTAMERICAS12,1991-09-01T00:00:00-03:00,389489085.0
1991-10-01,1991,1,10,SECEX12_EXPORTAMERICAS12,1991-10-01T00:00:00-03:00,473517001.0
1991-11-01,1991,1,11,SECEX12_EXPORTAMERICAS12,1991-11-01T00:00:00-03:00,440713749.0
1991-12-01,1991,1,12,SECEX12_EXPORTAMERICAS12,1991-12-01T00:00:00-02:00,478991717.0
1992-01-01,1992,1,1,SECEX12_EXPORTAMERICAS12,1992-01-01T00:00:00-02:00,475892241.0
1992-02-01,1992,1,2,SECEX12_EXPORTAMERICAS12,1992-02-01T00:00:00-02:00,360534484.0
1992-03-01,1992,1,3,SECEX12_EXPORTAMERICAS12,1992-03-01T00:00:00-03:00,546403331.0
1992-04-01,1992,1,4,SECEX12_EXPORTAMERICAS12,1992-04-01T00:00:00-03:00,547813281.0
1992-05-01,1992,1,5,SECEX12_EXPORTAMERICAS12,1992-05-01T00:00:00-03:00,530564301.0
1992-06-01,1992,1,6,SECEX12_EXPORTAMERICAS12,1992-06-01T00:00:00-03:00,505005241.0
1992-07-01,1992,1,7,SECEX12_EXPORTAMERICAS12,1992-07-01T00:00:00-03:00,777830271.0
1992-08-01,1992,1,8,SECEX12_EXPORTAMERICAS12,1992-08-01T00:00:00-03:00,573639109.0
1992-09-01,1992,1,9,SECEX12_EXPORTAMERICAS12,1992-09-01T00:00:00-03:00,612841110.0
1992-10-01,1992,1,10,SECEX12_EXPORTAMERICAS12,1992-10-01T00:00:00-03:00,747273387.0
1992-11-01,1992,1,11,SECEX12_EXPORTAMERICAS12,1992-11-01T00:00:00-03:00,691262136.0
1992-12-01,1992,1,12,SECEX12_EXPORTAMERICAS12,1992-12-01T00:00:00-02:00,817927827.0
1993-01-01,1993,1,1,SECEX12_EXPORTAMERICAS12,1993-01-01T00:00:00-02:00,656921650.0
1993-02-01,1993,1,2,SECEX12_EXPORTAMERICAS12,1993-02-01T00:00:00-02:00,658376292.0
1993-03-01,1993,1,3,SECEX12_EXPORTAMERICAS12,1993-03-01T00:00:00-03:00,818660182.0
1993-04-01,1993,1,4,SECEX12_EXPORTAMERICAS12,1993-04-01T00:00:00-03:00,645706032.0
1993-05-01,1993,1,5,SECEX12_EXPORTAMERICAS12,1993-05-01T00:00:00-03:00,550553012.0
1993-06-01,1993,1,6,SECEX12_EXPORTAMERICAS12,1993-06-01T00:00:00-03:00,751130659.0
1993-07-01,1993,1,7,SECEX12_EXPORTAMERICAS12,1993-07-01T00:00:00-03:00,827381233.0
1993-08-01,1993,1,8,SECEX12_EXPORTAMERICAS12,1993-08-01T00:00:00-03:00,854909374.0
1993-09-01,1993,1,9,SECEX12_EXPORTAMERICAS12,1993-09-01T00:00:00-03:00,751649341.0
1993-10-01,1993,1,10,SECEX12_EXPORTAMERICAS12,1993-10-01T00:00:00-03:00,774903758.0
1993-11-01,1993,1,11,SECEX12_EXPORTAMERICAS12,1993-11-01T00:00:00-03:00,786857859.0
1993-12-01,1993,1,12,SECEX12_EXPORTAMERICAS12,1993-12-01T00:00:00-02:00,855887145.0
1994-01-01,1994,1,1,SECEX12_EXPORTAMERICAS12,1994-01-01T00:00:00-02:00,622161985.0
1994-02-01,1994,1,2,SECEX12_EXPORTAMERICAS12,1994-02-01T00:00:00-02:00,606154673.0
1994-03-01,1994,1,3,SECEX12_EXPORTAMERICAS12,1994-03-01T00:00:00-03:00,757989857.0
1994-04-01,1994,1,4,SECEX12_EXPORTAMERICAS12,1994-04-01T00:00:00-03:00,960316155.0
1994-05-01,1994,1,5,SECEX12_EXPORTAMERICAS12,1994-05-01T00:00:00-03:00,789906970.0
1994-06-01,1994,1,6,SECEX12_EXPORTAMERICAS12,1994-06-01T00:00:00-03:00,827061513.0
1994-07-01,1994,1,7,SECEX12_EXPORTAMERICAS12,1994-07-01T00:00:00-03:00,771229409.0
1994-08-01,1994,1,8,SECEX12_EXPORTAMERICAS12,1994-08-01T00:00:00-03:00,938089439.0
1994-09-01,1994,1,9,SECEX12_EXPORTAMERICAS12,1994-09-01T00:00:00-03:00,919297602.0
1994-10-01,1994,1,10,SECEX12_EXPORTAMERICAS12,1994-10-01T00:00:00-03:00,828990826.0
1994-11-01,1994,1,11,SECEX12_EXPORTAMERICAS12,1994-11-01T00:00:00-03:00,850164092.0
1994-12-01,1994,1,12,SECEX12_EXPORTAMERICAS12,1994-12-01T00:00:00-02:00,860099224.0
1995-01-01,1995,1,1,SECEX12_EXPORTAMERICAS12,1995-01-01T00:00:00-02:00,693351083.0
1995-02-01,1995,1,2,SECEX12_EXPORTAMERICAS12,1995-02-01T00:00:00-02:00,686609574.0
1995-03-01,1995,1,3,SECEX12_EXPORTAMERICAS12,1995-03-01T00:00:00-03:00,957633110.0
1995-04-01,1995,1,4,SECEX12_EXPORTAMERICAS12,1995-04-01T00:00:00-03:00,751107663.0
1995-05-01,1995,1,5,SECEX12_EXPORTAMERICAS12,1995-05-01T00:00:00-03:00,994673353.0
1995-06-01,1995,1,6,SECEX12_EXPORTAMERICAS12,1995-06-01T00:00:00-03:00,923997410.0
1995-07-01,1995,1,7,SECEX12_EXPORTAMERICAS12,1995-07-01T00:00:00-03:00,868764482.0
1995-08-01,1995,1,8,SECEX12_EXPORTAMERICAS12,1995-08-01T00:00:00-03:00,998593285.0
1995-09-01,1995,1,9,SECEX12_EXPORTAMERICAS12,1995-09-01T00:00:00-03:00,875310808.0
1995-10-01,1995,1,10,SECEX12_EXPORTAMERICAS12,1995-10-01T00:00:00-03:00,939384525.0
1995-11-01,1995,1,11,SECEX12_EXPORTAMERICAS12,1995-11-01T00:00:00-03:00,855906467.0
1995-12-01,1995,1,12,SECEX12_EXPORTAMERICAS12,1995-12-01T00:00:00-02:00,854166843.0
1996-01-01,1996,1,1,SECEX12_EXPORTAMERICAS12,1996-01-01T00:00:00-02:00,767241992.0
1996-02-01,1996,1,2,SECEX12_EXPORTAMERICAS12,1996-02-01T00:00:00-02:00,774481447.0
1996-03-01,1996,1,3,SECEX12_EXPORTAMERICAS12,1996-03-01T00:00:00-03:00,804658573.0
1996-04-01,1996,1,4,SECEX12_EXPORTAMERICAS12,1996-04-01T00:00:00-03:00,890411788.0
1996-05-01,1996,1,5,SECEX12_EXPORTAMERICAS12,1996-05-01T00:00:00-03:00,1028476428.0
1996-06-01,1996,1,6,SECEX12_EXPORTAMERICAS12,1996-06-01T00:00:00-03:00,839455529.0
1996-07-01,1996,1,7,SECEX12_EXPORTAMERICAS12,1996-07-01T00:00:00-03:00,1030825311.0
1996-08-01,1996,1,8,SECEX12_EXPORTAMERICAS12,1996-08-01T00:00:00-03:00,1039089729.0
