DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_EXPORTZE12,1989-01-01T00:00:00-02:00,680719270.0
1989-02-01,1989,1,2,SECEX12_EXPORTZE12,1989-02-01T00:00:00-02:00,577242299.0
1989-03-01,1989,1,3,SECEX12_EXPORTZE12,1989-03-01T00:00:00-03:00,860232067.0
1989-04-01,1989,1,4,SECEX12_EXPORTZE12,1989-04-01T00:00:00-03:00,625448451.0
1989-05-01,1989,1,5,SECEX12_EXPORTZE12,1989-05-01T00:00:00-03:00,807886081.0
1989-06-01,1989,1,6,SECEX12_EXPORTZE12,1989-06-01T00:00:00-03:00,973057782.0
1989-07-01,1989,1,7,SECEX12_EXPORTZE12,1989-07-01T00:00:00-03:00,876147005.0
1989-08-01,1989,1,8,SECEX12_EXPORTZE12,1989-08-01T00:00:00-03:00,936143777.0
1989-09-01,1989,1,9,SECEX12_EXPORTZE12,1989-09-01T00:00:00-03:00,808238108.0
1989-10-01,1989,1,10,SECEX12_EXPORTZE12,1989-10-01T00:00:00-03:00,756471494.0
1989-11-01,1989,1,11,SECEX12_EXPORTZE12,1989-11-01T00:00:00-03:00,694090787.0
1989-12-01,1989,1,12,SECEX12_EXPORTZE12,1989-12-01T00:00:00-02:00,778662237.0
1990-01-01,1990,1,1,SECEX12_EXPORTZE12,1990-01-01T00:00:00-02:00,578069074.0
1990-02-01,1990,1,2,SECEX12_EXPORTZE12,1990-02-01T00:00:00-02:00,529595966.0
1990-03-01,1990,1,3,SECEX12_EXPORTZE12,1990-03-01T00:00:00-03:00,630117349.0
1990-04-01,1990,1,4,SECEX12_EXPORTZE12,1990-04-01T00:00:00-03:00,838610716.0
1990-05-01,1990,1,5,SECEX12_EXPORTZE12,1990-05-01T00:00:00-03:00,924998324.0
1990-06-01,1990,1,6,SECEX12_EXPORTZE12,1990-06-01T00:00:00-03:00,692618368.0
1990-07-01,1990,1,7,SECEX12_EXPORTZE12,1990-07-01T00:00:00-03:00,812241090.0
1990-08-01,1990,1,8,SECEX12_EXPORTZE12,1990-08-01T00:00:00-03:00,838018566.0
1990-09-01,1990,1,9,SECEX12_EXPORTZE12,1990-09-01T00:00:00-03:00,774745407.0
1990-10-01,1990,1,10,SECEX12_EXPORTZE12,1990-10-01T00:00:00-03:00,632849914.0
1990-11-01,1990,1,11,SECEX12_EXPORTZE12,1990-11-01T00:00:00-03:00,765782134.0
1990-12-01,1990,1,12,SECEX12_EXPORTZE12,1990-12-01T00:00:00-02:00,851295606.0
1991-01-01,1991,1,1,SECEX12_EXPORTZE12,1991-01-01T00:00:00-02:00,881632837.0
1991-02-01,1991,1,2,SECEX12_EXPORTZE12,1991-02-01T00:00:00-02:00,639678072.0
