DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_IMPORTOMEDIO12,1989-01-01T00:00:00-02:00,277857284.0
1989-02-01,1989,1,2,SECEX12_IMPORTOMEDIO12,1989-02-01T00:00:00-02:00,251490292.0
1989-03-01,1989,1,3,SECEX12_IMPORTOMEDIO12,1989-03-01T00:00:00-03:00,234364068.0
1989-04-01,1989,1,4,SECEX12_IMPORTOMEDIO12,1989-04-01T00:00:00-03:00,157127427.0
1989-05-01,1989,1,5,SECEX12_IMPORTOMEDIO12,1989-05-01T00:00:00-03:00,334433576.0
1989-06-01,1989,1,6,SECEX12_IMPORTOMEDIO12,1989-06-01T00:00:00-03:00,213076206.0
1989-07-01,1989,1,7,SECEX12_IMPORTOMEDIO12,1989-07-01T00:00:00-03:00,257032481.0
1989-08-01,1989,1,8,SECEX12_IMPORTOMEDIO12,1989-08-01T00:00:00-03:00,214529890.0
1989-09-01,1989,1,9,SECEX12_IMPORTOMEDIO12,1989-09-01T00:00:00-03:00,360771410.0
1989-10-01,1989,1,10,SECEX12_IMPORTOMEDIO12,1989-10-01T00:00:00-03:00,303219188.0
1989-11-01,1989,1,11,SECEX12_IMPORTOMEDIO12,1989-11-01T00:00:00-03:00,199632156.0
1989-12-01,1989,1,12,SECEX12_IMPORTOMEDIO12,1989-12-01T00:00:00-02:00,258362672.0
1990-01-01,1990,1,1,SECEX12_IMPORTOMEDIO12,1990-01-01T00:00:00-02:00,347787298.0
1990-02-01,1990,1,2,SECEX12_IMPORTOMEDIO12,1990-02-01T00:00:00-02:00,213551039.0
1990-03-01,1990,1,3,SECEX12_IMPORTOMEDIO12,1990-03-01T00:00:00-03:00,308091493.0
1990-04-01,1990,1,4,SECEX12_IMPORTOMEDIO12,1990-04-01T00:00:00-03:00,217799276.0
1990-05-01,1990,1,5,SECEX12_IMPORTOMEDIO12,1990-05-01T00:00:00-03:00,248555414.0
1990-06-01,1990,1,6,SECEX12_IMPORTOMEDIO12,1990-06-01T00:00:00-03:00,158390129.0
1990-07-01,1990,1,7,SECEX12_IMPORTOMEDIO12,1990-07-01T00:00:00-03:00,245650159.0
1990-08-01,1990,1,8,SECEX12_IMPORTOMEDIO12,1990-08-01T00:00:00-03:00,321275828.0
1990-09-01,1990,1,9,SECEX12_IMPORTOMEDIO12,1990-09-01T00:00:00-03:00,379834652.0
1990-10-01,1990,1,10,SECEX12_IMPORTOMEDIO12,1990-10-01T00:00:00-03:00,538743988.0
1990-11-01,1990,1,11,SECEX12_IMPORTOMEDIO12,1990-11-01T00:00:00-03:00,589374563.0
1990-12-01,1990,1,12,SECEX12_IMPORTOMEDIO12,1990-12-01T00:00:00-02:00,395425917.0
1991-01-01,1991,1,1,SECEX12_IMPORTOMEDIO12,1991-01-01T00:00:00-02:00,314862772.0
1991-02-01,1991,1,2,SECEX12_IMPORTOMEDIO12,1991-02-01T00:00:00-02:00,226497057.0
1991-03-01,1991,1,3,SECEX12_IMPORTOMEDIO12,1991-03-01T00:00:00-03:00,105469011.0
1991-04-01,1991,1,4,SECEX12_IMPORTOMEDIO12,1991-04-01T00:00:00-03:00,208703736.0
1991-05-01,1991,1,5,SECEX12_IMPORTOMEDIO12,1991-05-01T00:00:00-03:00,157108608.0
1991-06-01,1991,1,6,SECEX12_IMPORTOMEDIO12,1991-06-01T00:00:00-03:00,255474565.0
1991-07-01,1991,1,7,SECEX12_IMPORTOMEDIO12,1991-07-01T00:00:00-03:00,163616981.0
1991-08-01,1991,1,8,SECEX12_IMPORTOMEDIO12,1991-08-01T00:00:00-03:00,320726820.0
1991-09-01,1991,1,9,SECEX12_IMPORTOMEDIO12,1991-09-01T00:00:00-03:00,134527532.0
1991-10-01,1991,1,10,SECEX12_IMPORTOMEDIO12,1991-10-01T00:00:00-03:00,313865189.0
1991-11-01,1991,1,11,SECEX12_IMPORTOMEDIO12,1991-11-01T00:00:00-03:00,233299578.0
