DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_M607FOB12,1989-01-01T00:00:00-02:00,2173343.0
1989-02-01,1989,1,2,SECEX12_M607FOB12,1989-02-01T00:00:00-02:00,1065056.0
1989-03-01,1989,1,3,SECEX12_M607FOB12,1989-03-01T00:00:00-03:00,1943064.0
1989-04-01,1989,1,4,SECEX12_M607FOB12,1989-04-01T00:00:00-03:00,2359795.0
1989-05-01,1989,1,5,SECEX12_M607FOB12,1989-05-01T00:00:00-03:00,1365013.0
1989-06-01,1989,1,6,SECEX12_M607FOB12,1989-06-01T00:00:00-03:00,1088720.0
1989-07-01,1989,1,7,SECEX12_M607FOB12,1989-07-01T00:00:00-03:00,2829750.0
1989-08-01,1989,1,8,SECEX12_M607FOB12,1989-08-01T00:00:00-03:00,3838603.0
1989-09-01,1989,1,9,SECEX12_M607FOB12,1989-09-01T00:00:00-03:00,3970323.0
1989-10-01,1989,1,10,SECEX12_M607FOB12,1989-10-01T00:00:00-03:00,2438634.0
1989-11-01,1989,1,11,SECEX12_M607FOB12,1989-11-01T00:00:00-03:00,4899469.0
1989-12-01,1989,1,12,SECEX12_M607FOB12,1989-12-01T00:00:00-02:00,6288728.0
1990-01-01,1990,1,1,SECEX12_M607FOB12,1990-01-01T00:00:00-02:00,2401901.0
1990-02-01,1990,1,2,SECEX12_M607FOB12,1990-02-01T00:00:00-02:00,1324468.0
1990-03-01,1990,1,3,SECEX12_M607FOB12,1990-03-01T00:00:00-03:00,1816671.0
1990-04-01,1990,1,4,SECEX12_M607FOB12,1990-04-01T00:00:00-03:00,1498877.0
1990-05-01,1990,1,5,SECEX12_M607FOB12,1990-05-01T00:00:00-03:00,1801489.0
1990-06-01,1990,1,6,SECEX12_M607FOB12,1990-06-01T00:00:00-03:00,1694040.0
1990-07-01,1990,1,7,SECEX12_M607FOB12,1990-07-01T00:00:00-03:00,8498514.0
1990-08-01,1990,1,8,SECEX12_M607FOB12,1990-08-01T00:00:00-03:00,4200602.0
1990-09-01,1990,1,9,SECEX12_M607FOB12,1990-09-01T00:00:00-03:00,3668258.0
1990-10-01,1990,1,10,SECEX12_M607FOB12,1990-10-01T00:00:00-03:00,3594456.0
1990-11-01,1990,1,11,SECEX12_M607FOB12,1990-11-01T00:00:00-03:00,5438347.0
1990-12-01,1990,1,12,SECEX12_M607FOB12,1990-12-01T00:00:00-02:00,5033544.0
1991-01-01,1991,1,1,SECEX12_M607FOB12,1991-01-01T00:00:00-02:00,3174677.0
1991-02-01,1991,1,2,SECEX12_M607FOB12,1991-02-01T00:00:00-02:00,1283634.0
1991-03-01,1991,1,3,SECEX12_M607FOB12,1991-03-01T00:00:00-03:00,2929710.0
1991-04-01,1991,1,4,SECEX12_M607FOB12,1991-04-01T00:00:00-03:00,2245945.0
1991-05-01,1991,1,5,SECEX12_M607FOB12,1991-05-01T00:00:00-03:00,2739691.0
1991-06-01,1991,1,6,SECEX12_M607FOB12,1991-06-01T00:00:00-03:00,2568926.0
1991-07-01,1991,1,7,SECEX12_M607FOB12,1991-07-01T00:00:00-03:00,4703222.0
1991-08-01,1991,1,8,SECEX12_M607FOB12,1991-08-01T00:00:00-03:00,5499615.0
1991-09-01,1991,1,9,SECEX12_M607FOB12,1991-09-01T00:00:00-03:00,3935010.0
1991-10-01,1991,1,10,SECEX12_M607FOB12,1991-10-01T00:00:00-03:00,4020134.0
1991-11-01,1991,1,11,SECEX12_M607FOB12,1991-11-01T00:00:00-03:00,4636820.0
1991-12-01,1991,1,12,SECEX12_M607FOB12,1991-12-01T00:00:00-02:00,5853533.0
1992-01-01,1992,1,1,SECEX12_M607FOB12,1992-01-01T00:00:00-02:00,2438295.0
1992-02-01,1992,1,2,SECEX12_M607FOB12,1992-02-01T00:00:00-02:00,2130122.0
1992-03-01,1992,1,3,SECEX12_M607FOB12,1992-03-01T00:00:00-03:00,1564242.0
1992-04-01,1992,1,4,SECEX12_M607FOB12,1992-04-01T00:00:00-03:00,1856045.0
1992-05-01,1992,1,5,SECEX12_M607FOB12,1992-05-01T00:00:00-03:00,3185488.0
1992-06-01,1992,1,6,SECEX12_M607FOB12,1992-06-01T00:00:00-03:00,3473196.0
1992-07-01,1992,1,7,SECEX12_M607FOB12,1992-07-01T00:00:00-03:00,3010389.0
1992-08-01,1992,1,8,SECEX12_M607FOB12,1992-08-01T00:00:00-03:00,2245450.0
1992-09-01,1992,1,9,SECEX12_M607FOB12,1992-09-01T00:00:00-03:00,1750498.0
1992-10-01,1992,1,10,SECEX12_M607FOB12,1992-10-01T00:00:00-03:00,3351994.0
1992-11-01,1992,1,11,SECEX12_M607FOB12,1992-11-01T00:00:00-03:00,4802190.0
1992-12-01,1992,1,12,SECEX12_M607FOB12,1992-12-01T00:00:00-02:00,6797095.0
1993-01-01,1993,1,1,SECEX12_M607FOB12,1993-01-01T00:00:00-02:00,3242395.0
1993-02-01,1993,1,2,SECEX12_M607FOB12,1993-02-01T00:00:00-02:00,1975263.0
1993-03-01,1993,1,3,SECEX12_M607FOB12,1993-03-01T00:00:00-03:00,4759958.0
1993-04-01,1993,1,4,SECEX12_M607FOB12,1993-04-01T00:00:00-03:00,3487221.0
1993-05-01,1993,1,5,SECEX12_M607FOB12,1993-05-01T00:00:00-03:00,3852126.0
1993-06-01,1993,1,6,SECEX12_M607FOB12,1993-06-01T00:00:00-03:00,4009143.0
1993-07-01,1993,1,7,SECEX12_M607FOB12,1993-07-01T00:00:00-03:00,4103961.0
1993-08-01,1993,1,8,SECEX12_M607FOB12,1993-08-01T00:00:00-03:00,5151568.0
1993-09-01,1993,1,9,SECEX12_M607FOB12,1993-09-01T00:00:00-03:00,6656545.0
1993-10-01,1993,1,10,SECEX12_M607FOB12,1993-10-01T00:00:00-03:00,6188123.0
1993-11-01,1993,1,11,SECEX12_M607FOB12,1993-11-01T00:00:00-03:00,7941769.0
1993-12-01,1993,1,12,SECEX12_M607FOB12,1993-12-01T00:00:00-02:00,4987073.0
1994-01-01,1994,1,1,SECEX12_M607FOB12,1994-01-01T00:00:00-02:00,3371852.0
1994-02-01,1994,1,2,SECEX12_M607FOB12,1994-02-01T00:00:00-02:00,3142159.0
1994-03-01,1994,1,3,SECEX12_M607FOB12,1994-03-01T00:00:00-03:00,6489055.0
1994-04-01,1994,1,4,SECEX12_M607FOB12,1994-04-01T00:00:00-03:00,3339867.0
