DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_MCOBLUBBGCE12,1997-01-01T00:00:00-02:00,9.802329
1997-02-01,1997,1,2,SECEX12_MCOBLUBBGCE12,1997-02-01T00:00:00-02:00,296.051576
1997-03-01,1997,1,3,SECEX12_MCOBLUBBGCE12,1997-03-01T00:00:00-03:00,425.855234
1997-04-01,1997,1,4,SECEX12_MCOBLUBBGCE12,1997-04-01T00:00:00-03:00,427.755906
1997-05-01,1997,1,5,SECEX12_MCOBLUBBGCE12,1997-05-01T00:00:00-03:00,226.287621
1997-06-01,1997,1,6,SECEX12_MCOBLUBBGCE12,1997-06-01T00:00:00-03:00,364.891793
1997-07-01,1997,1,7,SECEX12_MCOBLUBBGCE12,1997-07-01T00:00:00-03:00,220.327315
1997-08-01,1997,1,8,SECEX12_MCOBLUBBGCE12,1997-08-01T00:00:00-03:00,305.078658
1997-09-01,1997,1,9,SECEX12_MCOBLUBBGCE12,1997-09-01T00:00:00-03:00,351.199034
1997-10-01,1997,1,10,SECEX12_MCOBLUBBGCE12,1997-10-01T00:00:00-03:00,320.947533
1997-11-01,1997,1,11,SECEX12_MCOBLUBBGCE12,1997-11-01T00:00:00-03:00,441.939265
1997-12-01,1997,1,12,SECEX12_MCOBLUBBGCE12,1997-12-01T00:00:00-02:00,362.493699
1998-01-01,1998,1,1,SECEX12_MCOBLUBBGCE12,1998-01-01T00:00:00-02:00,272.753547
1998-02-01,1998,1,2,SECEX12_MCOBLUBBGCE12,1998-02-01T00:00:00-02:00,230.204703
1998-03-01,1998,1,3,SECEX12_MCOBLUBBGCE12,1998-03-01T00:00:00-03:00,307.207924
1998-04-01,1998,1,4,SECEX12_MCOBLUBBGCE12,1998-04-01T00:00:00-03:00,207.553293
1998-05-01,1998,1,5,SECEX12_MCOBLUBBGCE12,1998-05-01T00:00:00-03:00,207.040792
1998-06-01,1998,1,6,SECEX12_MCOBLUBBGCE12,1998-06-01T00:00:00-03:00,234.803491
1998-07-01,1998,1,7,SECEX12_MCOBLUBBGCE12,1998-07-01T00:00:00-03:00,213.034294
1998-08-01,1998,1,8,SECEX12_MCOBLUBBGCE12,1998-08-01T00:00:00-03:00,170.29826
1998-09-01,1998,1,9,SECEX12_MCOBLUBBGCE12,1998-09-01T00:00:00-03:00,260.434684
1998-10-01,1998,1,10,SECEX12_MCOBLUBBGCE12,1998-10-01T00:00:00-03:00,232.220333
1998-11-01,1998,1,11,SECEX12_MCOBLUBBGCE12,1998-11-01T00:00:00-03:00,159.495695
1998-12-01,1998,1,12,SECEX12_MCOBLUBBGCE12,1998-12-01T00:00:00-02:00,96.855765
1999-01-01,1999,1,1,SECEX12_MCOBLUBBGCE12,1999-01-01T00:00:00-02:00,95.770989
1999-02-01,1999,1,2,SECEX12_MCOBLUBBGCE12,1999-02-01T00:00:00-02:00,105.093518
1999-03-01,1999,1,3,SECEX12_MCOBLUBBGCE12,1999-03-01T00:00:00-03:00,234.161664
1999-04-01,1999,1,4,SECEX12_MCOBLUBBGCE12,1999-04-01T00:00:00-03:00,194.573787
1999-05-01,1999,1,5,SECEX12_MCOBLUBBGCE12,1999-05-01T00:00:00-03:00,208.287649
1999-06-01,1999,1,6,SECEX12_MCOBLUBBGCE12,1999-06-01T00:00:00-03:00,355.173915
1999-07-01,1999,1,7,SECEX12_MCOBLUBBGCE12,1999-07-01T00:00:00-03:00,208.210385
1999-08-01,1999,1,8,SECEX12_MCOBLUBBGCE12,1999-08-01T00:00:00-03:00,249.966732
1999-09-01,1999,1,9,SECEX12_MCOBLUBBGCE12,1999-09-01T00:00:00-03:00,238.152062
1999-10-01,1999,1,10,SECEX12_MCOBLUBBGCE12,1999-10-01T00:00:00-03:00,282.222649
1999-11-01,1999,1,11,SECEX12_MCOBLUBBGCE12,1999-11-01T00:00:00-03:00,269.449883
1999-12-01,1999,1,12,SECEX12_MCOBLUBBGCE12,1999-12-01T00:00:00-02:00,269.959631
2000-01-01,2000,1,1,SECEX12_MCOBLUBBGCE12,2000-01-01T00:00:00-02:00,183.064155
2000-02-01,2000,1,2,SECEX12_MCOBLUBBGCE12,2000-02-01T00:00:00-02:00,275.90812
2000-03-01,2000,1,3,SECEX12_MCOBLUBBGCE12,2000-03-01T00:00:00-03:00,366.849446
2000-04-01,2000,1,4,SECEX12_MCOBLUBBGCE12,2000-04-01T00:00:00-03:00,229.847295
2000-05-01,2000,1,5,SECEX12_MCOBLUBBGCE12,2000-05-01T00:00:00-03:00,296.77875
2000-06-01,2000,1,6,SECEX12_MCOBLUBBGCE12,2000-06-01T00:00:00-03:00,413.089006
2000-07-01,2000,1,7,SECEX12_MCOBLUBBGCE12,2000-07-01T00:00:00-03:00,338.575357
2000-08-01,2000,1,8,SECEX12_MCOBLUBBGCE12,2000-08-01T00:00:00-03:00,488.162673
2000-09-01,2000,1,9,SECEX12_MCOBLUBBGCE12,2000-09-01T00:00:00-03:00,385.952532
2000-10-01,2000,1,10,SECEX12_MCOBLUBBGCE12,2000-10-01T00:00:00-03:00,305.544907
2000-11-01,2000,1,11,SECEX12_MCOBLUBBGCE12,2000-11-01T00:00:00-03:00,284.479906
2000-12-01,2000,1,12,SECEX12_MCOBLUBBGCE12,2000-12-01T00:00:00-02:00,256.900897
2001-01-01,2001,1,1,SECEX12_MCOBLUBBGCE12,2001-01-01T00:00:00-02:00,340.339821
2001-02-01,2001,1,2,SECEX12_MCOBLUBBGCE12,2001-02-01T00:00:00-02:00,215.467665
2001-03-01,2001,1,3,SECEX12_MCOBLUBBGCE12,2001-03-01T00:00:00-03:00,293.689737
2001-04-01,2001,1,4,SECEX12_MCOBLUBBGCE12,2001-04-01T00:00:00-03:00,180.625909
2001-05-01,2001,1,5,SECEX12_MCOBLUBBGCE12,2001-05-01T00:00:00-03:00,281.981032
2001-06-01,2001,1,6,SECEX12_MCOBLUBBGCE12,2001-06-01T00:00:00-03:00,486.777521
2001-07-01,2001,1,7,SECEX12_MCOBLUBBGCE12,2001-07-01T00:00:00-03:00,327.453665
2001-08-01,2001,1,8,SECEX12_MCOBLUBBGCE12,2001-08-01T00:00:00-03:00,472.88396
2001-09-01,2001,1,9,SECEX12_MCOBLUBBGCE12,2001-09-01T00:00:00-03:00,320.563194
2001-10-01,2001,1,10,SECEX12_MCOBLUBBGCE12,2001-10-01T00:00:00-03:00,469.675506
2001-11-01,2001,1,11,SECEX12_MCOBLUBBGCE12,2001-11-01T00:00:00-03:00,305.357673
2001-12-01,2001,1,12,SECEX12_MCOBLUBBGCE12,2001-12-01T00:00:00-02:00,280.458034
