DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_MCOBLUBEGCE12,1997-01-01T00:00:00-02:00,14.261137
1997-02-01,1997,1,2,SECEX12_MCOBLUBEGCE12,1997-02-01T00:00:00-02:00,133.423768
1997-03-01,1997,1,3,SECEX12_MCOBLUBEGCE12,1997-03-01T00:00:00-03:00,166.990076
1997-04-01,1997,1,4,SECEX12_MCOBLUBEGCE12,1997-04-01T00:00:00-03:00,207.678978
1997-05-01,1997,1,5,SECEX12_MCOBLUBEGCE12,1997-05-01T00:00:00-03:00,140.691376
1997-06-01,1997,1,6,SECEX12_MCOBLUBEGCE12,1997-06-01T00:00:00-03:00,164.137115
1997-07-01,1997,1,7,SECEX12_MCOBLUBEGCE12,1997-07-01T00:00:00-03:00,155.012367
1997-08-01,1997,1,8,SECEX12_MCOBLUBEGCE12,1997-08-01T00:00:00-03:00,154.875784
1997-09-01,1997,1,9,SECEX12_MCOBLUBEGCE12,1997-09-01T00:00:00-03:00,190.210995
1997-10-01,1997,1,10,SECEX12_MCOBLUBEGCE12,1997-10-01T00:00:00-03:00,190.021722
1997-11-01,1997,1,11,SECEX12_MCOBLUBEGCE12,1997-11-01T00:00:00-03:00,227.063846
1997-12-01,1997,1,12,SECEX12_MCOBLUBEGCE12,1997-12-01T00:00:00-02:00,132.579896
1998-01-01,1998,1,1,SECEX12_MCOBLUBEGCE12,1998-01-01T00:00:00-02:00,162.277749
1998-02-01,1998,1,2,SECEX12_MCOBLUBEGCE12,1998-02-01T00:00:00-02:00,92.779567
1998-03-01,1998,1,3,SECEX12_MCOBLUBEGCE12,1998-03-01T00:00:00-03:00,162.075195
1998-04-01,1998,1,4,SECEX12_MCOBLUBEGCE12,1998-04-01T00:00:00-03:00,161.070794
1998-05-01,1998,1,5,SECEX12_MCOBLUBEGCE12,1998-05-01T00:00:00-03:00,158.061138
1998-06-01,1998,1,6,SECEX12_MCOBLUBEGCE12,1998-06-01T00:00:00-03:00,104.230942
1998-07-01,1998,1,7,SECEX12_MCOBLUBEGCE12,1998-07-01T00:00:00-03:00,131.984267
1998-08-01,1998,1,8,SECEX12_MCOBLUBEGCE12,1998-08-01T00:00:00-03:00,84.692785
1998-09-01,1998,1,9,SECEX12_MCOBLUBEGCE12,1998-09-01T00:00:00-03:00,128.859169
1998-10-01,1998,1,10,SECEX12_MCOBLUBEGCE12,1998-10-01T00:00:00-03:00,112.764125
1998-11-01,1998,1,11,SECEX12_MCOBLUBEGCE12,1998-11-01T00:00:00-03:00,95.379821
