DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_MSEMINDURAVGCE12,1997-01-01T00:00:00-02:00,309.943464
1997-02-01,1997,1,2,SECEX12_MSEMINDURAVGCE12,1997-02-01T00:00:00-02:00,447.940591
1997-03-01,1997,1,3,SECEX12_MSEMINDURAVGCE12,1997-03-01T00:00:00-03:00,513.184841
1997-04-01,1997,1,4,SECEX12_MSEMINDURAVGCE12,1997-04-01T00:00:00-03:00,513.548604
1997-05-01,1997,1,5,SECEX12_MSEMINDURAVGCE12,1997-05-01T00:00:00-03:00,517.545045
1997-06-01,1997,1,6,SECEX12_MSEMINDURAVGCE12,1997-06-01T00:00:00-03:00,485.373802
1997-07-01,1997,1,7,SECEX12_MSEMINDURAVGCE12,1997-07-01T00:00:00-03:00,533.13398
1997-08-01,1997,1,8,SECEX12_MSEMINDURAVGCE12,1997-08-01T00:00:00-03:00,456.383284
1997-09-01,1997,1,9,SECEX12_MSEMINDURAVGCE12,1997-09-01T00:00:00-03:00,482.429005
1997-10-01,1997,1,10,SECEX12_MSEMINDURAVGCE12,1997-10-01T00:00:00-03:00,522.685877
1997-11-01,1997,1,11,SECEX12_MSEMINDURAVGCE12,1997-11-01T00:00:00-03:00,527.985336
1997-12-01,1997,1,12,SECEX12_MSEMINDURAVGCE12,1997-12-01T00:00:00-02:00,476.575876
1998-01-01,1998,1,1,SECEX12_MSEMINDURAVGCE12,1998-01-01T00:00:00-02:00,389.720361
1998-02-01,1998,1,2,SECEX12_MSEMINDURAVGCE12,1998-02-01T00:00:00-02:00,384.36104
1998-03-01,1998,1,3,SECEX12_MSEMINDURAVGCE12,1998-03-01T00:00:00-03:00,547.782443
1998-04-01,1998,1,4,SECEX12_MSEMINDURAVGCE12,1998-04-01T00:00:00-03:00,487.1736
1998-05-01,1998,1,5,SECEX12_MSEMINDURAVGCE12,1998-05-01T00:00:00-03:00,493.83627
1998-06-01,1998,1,6,SECEX12_MSEMINDURAVGCE12,1998-06-01T00:00:00-03:00,483.146362
1998-07-01,1998,1,7,SECEX12_MSEMINDURAVGCE12,1998-07-01T00:00:00-03:00,551.885674
1998-08-01,1998,1,8,SECEX12_MSEMINDURAVGCE12,1998-08-01T00:00:00-03:00,417.768176
1998-09-01,1998,1,9,SECEX12_MSEMINDURAVGCE12,1998-09-01T00:00:00-03:00,565.365534
1998-10-01,1998,1,10,SECEX12_MSEMINDURAVGCE12,1998-10-01T00:00:00-03:00,554.00573
1998-11-01,1998,1,11,SECEX12_MSEMINDURAVGCE12,1998-11-01T00:00:00-03:00,518.313259
1998-12-01,1998,1,12,SECEX12_MSEMINDURAVGCE12,1998-12-01T00:00:00-02:00,552.564257
1999-01-01,1999,1,1,SECEX12_MSEMINDURAVGCE12,1999-01-01T00:00:00-02:00,421.089653
1999-02-01,1999,1,2,SECEX12_MSEMINDURAVGCE12,1999-02-01T00:00:00-02:00,298.439951
1999-03-01,1999,1,3,SECEX12_MSEMINDURAVGCE12,1999-03-01T00:00:00-03:00,407.067705
1999-04-01,1999,1,4,SECEX12_MSEMINDURAVGCE12,1999-04-01T00:00:00-03:00,369.643707
1999-05-01,1999,1,5,SECEX12_MSEMINDURAVGCE12,1999-05-01T00:00:00-03:00,336.209099
1999-06-01,1999,1,6,SECEX12_MSEMINDURAVGCE12,1999-06-01T00:00:00-03:00,357.785737
1999-07-01,1999,1,7,SECEX12_MSEMINDURAVGCE12,1999-07-01T00:00:00-03:00,348.456239
1999-08-01,1999,1,8,SECEX12_MSEMINDURAVGCE12,1999-08-01T00:00:00-03:00,367.884015
1999-09-01,1999,1,9,SECEX12_MSEMINDURAVGCE12,1999-09-01T00:00:00-03:00,337.71102
1999-10-01,1999,1,10,SECEX12_MSEMINDURAVGCE12,1999-10-01T00:00:00-03:00,370.082939
1999-11-01,1999,1,11,SECEX12_MSEMINDURAVGCE12,1999-11-01T00:00:00-03:00,399.151157
1999-12-01,1999,1,12,SECEX12_MSEMINDURAVGCE12,1999-12-01T00:00:00-02:00,375.499466
2000-01-01,2000,1,1,SECEX12_MSEMINDURAVGCE12,2000-01-01T00:00:00-02:00,294.089524
2000-02-01,2000,1,2,SECEX12_MSEMINDURAVGCE12,2000-02-01T00:00:00-02:00,301.781217
2000-03-01,2000,1,3,SECEX12_MSEMINDURAVGCE12,2000-03-01T00:00:00-03:00,344.252878
2000-04-01,2000,1,4,SECEX12_MSEMINDURAVGCE12,2000-04-01T00:00:00-03:00,303.647929
2000-05-01,2000,1,5,SECEX12_MSEMINDURAVGCE12,2000-05-01T00:00:00-03:00,327.138386
2000-06-01,2000,1,6,SECEX12_MSEMINDURAVGCE12,2000-06-01T00:00:00-03:00,275.982726
2000-07-01,2000,1,7,SECEX12_MSEMINDURAVGCE12,2000-07-01T00:00:00-03:00,364.284216
2000-08-01,2000,1,8,SECEX12_MSEMINDURAVGCE12,2000-08-01T00:00:00-03:00,381.098235
2000-09-01,2000,1,9,SECEX12_MSEMINDURAVGCE12,2000-09-01T00:00:00-03:00,352.780207
2000-10-01,2000,1,10,SECEX12_MSEMINDURAVGCE12,2000-10-01T00:00:00-03:00,363.708691
2000-11-01,2000,1,11,SECEX12_MSEMINDURAVGCE12,2000-11-01T00:00:00-03:00,385.913755
2000-12-01,2000,1,12,SECEX12_MSEMINDURAVGCE12,2000-12-01T00:00:00-02:00,373.561387
2001-01-01,2001,1,1,SECEX12_MSEMINDURAVGCE12,2001-01-01T00:00:00-02:00,316.59256
2001-02-01,2001,1,2,SECEX12_MSEMINDURAVGCE12,2001-02-01T00:00:00-02:00,272.92553
2001-03-01,2001,1,3,SECEX12_MSEMINDURAVGCE12,2001-03-01T00:00:00-03:00,417.490362
2001-04-01,2001,1,4,SECEX12_MSEMINDURAVGCE12,2001-04-01T00:00:00-03:00,321.200599
2001-05-01,2001,1,5,SECEX12_MSEMINDURAVGCE12,2001-05-01T00:00:00-03:00,335.523223
2001-06-01,2001,1,6,SECEX12_MSEMINDURAVGCE12,2001-06-01T00:00:00-03:00,288.399052
2001-07-01,2001,1,7,SECEX12_MSEMINDURAVGCE12,2001-07-01T00:00:00-03:00,343.423464
2001-08-01,2001,1,8,SECEX12_MSEMINDURAVGCE12,2001-08-01T00:00:00-03:00,344.948619
2001-09-01,2001,1,9,SECEX12_MSEMINDURAVGCE12,2001-09-01T00:00:00-03:00,306.640365
2001-10-01,2001,1,10,SECEX12_MSEMINDURAVGCE12,2001-10-01T00:00:00-03:00,368.326776
2001-11-01,2001,1,11,SECEX12_MSEMINDURAVGCE12,2001-11-01T00:00:00-03:00,373.080188
2001-12-01,2001,1,12,SECEX12_MSEMINDURAVGCE12,2001-12-01T00:00:00-02:00,308.258406
2002-01-01,2002,1,1,SECEX12_MSEMINDURAVGCE12,2002-01-01T00:00:00-02:00,293.100495
2002-02-01,2002,1,2,SECEX12_MSEMINDURAVGCE12,2002-02-01T00:00:00-02:00,276.670588
2002-03-01,2002,1,3,SECEX12_MSEMINDURAVGCE12,2002-03-01T00:00:00-03:00,341.703957
2002-04-01,2002,1,4,SECEX12_MSEMINDURAVGCE12,2002-04-01T00:00:00-03:00,334.522931
2002-05-01,2002,1,5,SECEX12_MSEMINDURAVGCE12,2002-05-01T00:00:00-03:00,286.702526
2002-06-01,2002,1,6,SECEX12_MSEMINDURAVGCE12,2002-06-01T00:00:00-03:00,264.643072
2002-07-01,2002,1,7,SECEX12_MSEMINDURAVGCE12,2002-07-01T00:00:00-03:00,342.143596
2002-08-01,2002,1,8,SECEX12_MSEMINDURAVGCE12,2002-08-01T00:00:00-03:00,305.769999
2002-09-01,2002,1,9,SECEX12_MSEMINDURAVGCE12,2002-09-01T00:00:00-03:00,279.435132
2002-10-01,2002,1,10,SECEX12_MSEMINDURAVGCE12,2002-10-01T00:00:00-03:00,320.311508
2002-11-01,2002,1,11,SECEX12_MSEMINDURAVGCE12,2002-11-01T00:00:00-03:00,319.174147
2002-12-01,2002,1,12,SECEX12_MSEMINDURAVGCE12,2002-12-01T00:00:00-02:00,273.607516
2003-01-01,2003,1,1,SECEX12_MSEMINDURAVGCE12,2003-01-01T00:00:00-02:00,238.762295
2003-02-01,2003,1,2,SECEX12_MSEMINDURAVGCE12,2003-02-01T00:00:00-02:00,240.472499
2003-03-01,2003,1,3,SECEX12_MSEMINDURAVGCE12,2003-03-01T00:00:00-03:00,292.025301
2003-04-01,2003,1,4,SECEX12_MSEMINDURAVGCE12,2003-04-01T00:00:00-03:00,256.670546
2003-05-01,2003,1,5,SECEX12_MSEMINDURAVGCE12,2003-05-01T00:00:00-03:00,267.012871
2003-06-01,2003,1,6,SECEX12_MSEMINDURAVGCE12,2003-06-01T00:00:00-03:00,272.515511
2003-07-01,2003,1,7,SECEX12_MSEMINDURAVGCE12,2003-07-01T00:00:00-03:00,307.224797
2003-08-01,2003,1,8,SECEX12_MSEMINDURAVGCE12,2003-08-01T00:00:00-03:00,285.022378
2003-09-01,2003,1,9,SECEX12_MSEMINDURAVGCE12,2003-09-01T00:00:00-03:00,329.190181
2003-10-01,2003,1,10,SECEX12_MSEMINDURAVGCE12,2003-10-01T00:00:00-03:00,351.035298
2003-11-01,2003,1,11,SECEX12_MSEMINDURAVGCE12,2003-11-01T00:00:00-03:00,335.717377
